Time (cycle),Amplitude_Mean,Amplitude_Standard_deviation,Amplitude_Skewness,Amplitude_Kurtosis,Counts_Mean,Counts_Standard_deviation,Counts_Skewness,Counts_Kurtosis,Duration_Mean,Duration_Standard_deviation,Duration_Skewness,Duration_Kurtosis,Energy_Mean,Energy_Standard_deviation,Energy_Skewness,Energy_Kurtosis,Rise-Time_Mean,Rise-Time_Standard_deviation,Rise-Time_Skewness,Rise-Time_Kurtosis,RMS_Mean,RMS_Standard_deviation,RMS_Skewness,RMS_Kurtosis
501,27.36443908,25.62465847,2.251457778,4.530253809,87.30215718,82.55161706,2.339880541,5.6074473,3863.071469,3742.144901,2.428512237,5.951841877,2.76375E+12,2.70859E+12,2.059350394,4.022949826,31.93284571,22.13196056,2.1595567,5.52788799,5.36001269,3.648237301,1.763273898,2.967003723
1001,37.59220042,50.71078219,4.014031549,19.52568171,119.5593417,114.4220841,2.10380105,4.143229825,5346.583763,5267.513236,2.146116284,4.281327465,5.02467E+12,4.94453E+12,1.814536179,3.223681527,37.64684112,33.82312394,2.998185272,10.59634802,6.616515335,5.851337191,3.162198582,12.43718779
1501,27.4992367,43.29684043,4.001788127,18.48661234,94.95710937,92.59991406,1.923957652,3.359092278,4321.979352,4424.330122,2.09646878,4.300352016,6.27387E+12,6.13994E+12,1.271856616,0.95596007,23.76837696,29.05407972,4.794437409,27.10222232,4.45614492,4.44269949,3.279924264,12.58831697
2001,15.73552636,36.27660661,6.571293165,46.8943609,47.12260491,49.754877,1.940493221,4.169738286,2173.468691,2265.990265,1.716227844,2.91850994,4.82265E+12,4.74285E+12,0.745489969,-0.712114886,12.92089909,22.24264273,3.508355029,11.79344112,2.889617211,6.112414782,6.498579856,46.4802659
2501,16.6075148,43.59901527,6.478978058,44.3691857,21.76586671,35.72662785,3.3656772,13.20598629,1115.359428,1842.17639,2.950364031,9.051366126,1.77375E+12,1.87951E+12,0.941490812,0.076879647,16.2122232,42.63794793,4.420172287,20.72361788,3.793386313,10.89922212,5.625892441,32.81219453
3001,15.95517912,34.93958433,5.595572747,34.59344186,16.18514267,35.01034781,3.932373114,17.01801163,919.6972677,1780.649238,3.281184332,11.83811413,95335316328,2.23676E+11,4.52133355,23.19791829,18.30654742,48.56236838,4.354545868,18.89571043,2.990802552,6.265741028,5.658227024,35.21808214
3501,14.44121294,28.75850806,5.224727409,29.84067967,16.1358653,33.01940795,4.792570971,28.94002341,1002.262427,1773.535422,3.711868166,18.66386366,27578220094,46788180559,3.223892937,13.03840352,21.37059737,63.04348132,4.631415496,21.87279135,3.080673679,5.239009063,4.581680355,23.30631193
4001,14.28348099,34.19829072,6.532572515,45.73387163,13.32542047,24.11378004,3.728859661,17.53021676,817.0174918,1441.087353,3.238200819,12.74636151,17130740445,21808076541,2.258329943,5.108404791,27.18108986,82.20432897,3.957679255,14.75928483,3.097482157,5.213859598,5.028428967,29.46243373
4501,15.38405541,37.59763312,6.206213192,41.30108502,12.38721701,28.53276628,4.373901936,20.62988908,528.5586299,1127.253745,4.116376401,18.80011718,23541694334,14224701299,1.719335151,3.173079736,31.73477109,104.7539619,4.606130697,21.18071928,3.402531162,6.297058561,5.139721202,31.2712499
5001,13.90922813,31.5180478,6.49332397,45.77820166,8.806455969,15.88160737,4.007782911,19.55568078,306.5156576,543.4839596,4.166966942,20.35155659,29901902442,11469432291,1.655864787,6.222870265,16.52664852,30.4004825,3.558049973,14.33517654,4.329305835,12.14274385,6.366993247,42.90956843
5501,13.5118844,28.69270862,6.46408289,46.01565764,8.2995186,13.29797659,3.747760359,17.7838078,298.4737874,443.0291223,3.69730471,17.37056816,23503528929,13981130869,4.134252221,21.33652868,17.5993173,26.05964467,2.601939393,6.859650566,5.505450644,15.06400939,5.127652644,27.20073307
