Frequency (Hz),Amplitude_Mean,Amplitude_Standard_deviation,Amplitude_Skewness,Amplitude_Kurtosis,Counts_Mean,Counts_Standard_deviation,Counts_Skewness,Counts_Kurtosis,Duration_Mean,Duration_Standard_deviation,Duration_Skewness,Duration_Kurtosis,Energy_Mean,Energy_Standard_deviation,Energy_Skewness,Energy_Kurtosis,Rise-Time_Mean,Rise-Time_Standard_deviation,Rise-Time_Skewness,Rise-Time_Kurtosis,RMS_Mean,RMS_Standard_deviation,RMS_Skewness,RMS_Kurtosis
0.0,7.156472785359774,1.2005115579245897,-3.5772320698993827,16.32940535481245,8.02799765246014,10.412634397728645,2.642759450081111,7.541072420306669,170.5313496017898,66.69810886611862,0.7620559294157939,1.8964878934758076,5137754569.937152,18341269319.212414,7.925805309350153,72.46325471196357,5.519979643902516,7.900716610780806,7.293953653572339,56.677669968478924,2.340101374478883,1.2957101464920862,0.8793688926912822,0.3101583733628468
5e-05,21.6440792639029,3.6428496167999724,-3.5295904279679817,16.038727504190422,24.331679872268914,31.722034757424034,2.6710364382495304,7.7872783678346735,516.3343946977443,204.3315649416655,0.7852460106023459,1.9849250998820906,16056475330.491644,58637811482.341705,7.9506796130089485,72.70563275772383,16.787098150140906,24.471139491274393,7.303370494544763,56.76625020107797,7.08162068713128,3.933097056043842,0.8881820932414507,0.3462253342598274
0.0001,36.76551479189765,6.20195355117024,-3.477788369683309,15.741480822417586,41.423755268914775,54.29468013673,2.701439224874588,8.05588500664187,878.1273007588505,351.7886351545632,0.8102675378186045,2.0778864480598385,28228692567.9363,105383342956.05743,7.9649799394306005,72.74756560771098,28.68132692105752,42.58976720370266,7.310050324591986,56.82641375431272,12.036668213800239,6.7060142737259385,0.8977999637784684,0.38532480058395135
0.00015,52.947227561146036,8.943236554744066,-3.4207137058158064,15.430430027952404,59.79761382678507,78.8161363291021,2.734272021782597,8.350014318694916,1266.274401989901,513.8655163573486,0.8370949829280954,2.17559318295749,42148897707.57166,160741579029.9812,7.968859341677354,72.59051940760448,41.558779514742604,62.878437286167106,7.314106141147345,56.86213093198723,17.345920727428542,9.695162380727176,0.9082887909317686,0.4279743140960437
0.0002,70.51289430515654,11.915284333845154,-3.357128443353241,15.097715258263488,79.83697639967517,105.84903524243904,2.769880954379492,8.673277485344393,1688.7659856206958,694.7499961877062,0.8656714987715635,2.278211883964139,58307215370.60051,227013646800.71283,7.962528116435286,72.23775431032979,55.70639610008715,85.90395709381119,7.315658105476648,56.877955206283815,23.116911575431143,12.964358049326052,0.9197149971499251,0.4748036226459833
0.00025,89.64569902336243,15.143697603475,-3.2856689139648334,14.734961307342871,101.77276972214588,135.77561684338013,2.808663254900005,9.029886436608978,2150.314724062068,897.6636886592611,0.895905260649218,2.3858303669914003,77162455696.80432,306512270263.23346,7.946299828544363,71.69498954427749,71.311335873075,112.12629110039472,7.3148372672773245,56.879190398306946,29.411614677472684,16.55364418311416,0.9321457564029326,0.5265841057333911
0.0003,110.36087362566224,18.627129937064534,-3.204813817973437,14.33323247619591,125.6509931332971,168.75327773137707,2.851080135157999,9.424799877802812,2651.6903430571856,1124.5793611116856,0.9276879578385107,2.49843581704389,99114643589.56561,401428097877.8982,7.920571720307546,70.97023522281626,88.43731377442019,141.85262776298845,7.311798999569276,56.87219161788548,36.237341620369975,20.474205205088985,0.9456554885002011,0.5842657508984894
0.00035,132.490603903006,22.335859015017114,-3.112846014393722,13.883030955441239,151.31394607502315,204.68656477881927,2.897668000719557,9.863872596417844,3189.342639333375,1376.0345002983768,0.9609067817486818,2.615911932070089,124467647895.68881,513699308123.2032,7.885770860329143,70.07327968157722,107.00959895786238,175.20079656304685,7.306734173619804,56.8646831866359,43.54164625879583,24.705483129582955,0.9603334372580604,0.6490264297100925
0.0004,155.6825352473826,26.213003328009727,-3.007809188501946,13.374314625508518,178.39672906366087,243.217558376871,2.9490566886604204,10.354052538691736,3755.343894609156,1651.0519553058832,0.9954625806331108,2.7380579538151038,153418507152.5016,644884748449.0134,7.842519524069308,69.01827086586819,126.80988026094676,212.07484058528675,7.299887092909023,56.86619399238174,51.21165545405299,29.194730148613303,0.976292566021244,0.7223343807046332
0.00045,179.41214487206128,30.1783349112255,-2.8874782509354024,12.796674813657312,206.34494481719753,283.73155630526907,3.0060884291331162,10.904127887342774,4337.659526919529,1947.1700944505365,1.031293134816399,2.8646420310627416,186056924318.61215,796054291280.7958,7.791699370439259,67.82502823253114,147.48147872340533,252.15479226534603,7.291580311171492,56.88862476577875,59.077917281030984,33.859083977377175,0.9936747076731781,0.8060267621434996
0.0005,203.00825902222024,34.13447729681999,-2.7493695554464064,12.139893105842482,234.43454773338664,325.39117519924315,3.069656819036688,11.524106077103369,4920.784104583099,2260.4650272551003,1.0688114975434833,2.995656704888016,222332941077.73694,967714208351.8309,7.734385422225789,66.51875040266866,168.54468132986273,294.9017584776521,7.282248793015118,56.94698367841462,66.9225578750494,38.59003019974945,1.0126586643784514,0.9024090416039217
0.00055,225.6900831976507,37.974965766249674,-2.590790896872253,11.394868709303841,261.8113952524897,367.1827704060256,3.1407508828055306,12.225596660271002,5487.037544160872,2584.8687665672815,1.111563704345409,3.133171326597478,262129423130.19937,1159742124386.7825,7.672114840991873,65.13430067040763,189.4213146691756,339.5783724134147,7.27248629815818,57.06032648911802,74.49121642873986,43.259999078632035,1.033465603157379,1.0143752714738152
0.0006,246.6132626801805,41.5936745442152,-2.408997169883151,10.555401918474443,287.53942096594784,407.9784058268646,3.2204534830936513,13.02199816693268,6017.12638248305,2913.689085562986,1.1609604695217792,3.280288024685258,305188636100.72266,1371394177542.0342,7.606703067091108,63.7145661513721,209.4688957091843,385.28260086439013,7.263152457500991,57.253401784493995,81.50799172151507,47.73062354718622,1.056368345337953,1.145551858133019
0.00065,264.9218588707518,44.894903349156365,-2.2015069487706125,9.621117695635354,310.6647944703108,446.6016969317927,3.310040675967343,13.929320195987117,6491.363023312339,3239.995328647975,1.2173709326220787,3.4406716027301574,351092132774.26404,1601338541611.1409,7.540366253595263,62.31297849630933,228.06751221976072,430.96915915287804,7.2564771795736815,57.56887487378808,87.69240934001773,51.862063152726535,1.0817053492465798,1.3004649479922143
0.0007,279.8027429699127,47.80306048853184,-1.9666024931320039,8.601370394082654,330.2708643866382,481.9079516285861,3.4108807462832713,14.965928221640375,6891.110940229525,3556.7133069880665,1.2813690864584664,3.6194544416926577,399384508549.5002,1847695944950.6655,7.475984745992782,60.99775952900709,244.59752895310442,475.54255322124607,7.254248812630439,58.04929600880335,92.77932255877117,55.519323322140494,1.1102988423678606,1.484972114816025
0.00075,290.5387085607608,50.270906270869226,-1.7040615206484249,7.51989374387748,345.5361764778463,512.8613740926442,3.524380058923079,16.15251104699172,7200.117430898708,3856.94522384019,1.3538640068373395,3.8238133439408886,449555819403.55084,2108146785948.8196,7.417053945298645,59.851902558409996,258.5060498332978,517.9063724700535,7.258758789376529,58.74738737977686,96.54635572935089,58.56566139076421,1.1451645384813245,1.7080451948231072
