Time (cycle),Amplitude_Mean,Amplitude_Standard_deviation,Amplitude_Skewness,Amplitude_Kurtosis,Counts_Mean,Counts_Standard_deviation,Counts_Skewness,Counts_Kurtosis,Duration_Mean,Duration_Standard_deviation,Duration_Skewness,Duration_Kurtosis,Energy_Mean,Energy_Standard_deviation,Energy_Skewness,Energy_Kurtosis,Rise-Time_Mean,Rise-Time_Standard_deviation,Rise-Time_Skewness,Rise-Time_Kurtosis,RMS_Mean,RMS_Standard_deviation,RMS_Skewness,RMS_Kurtosis
501,18.42248448,14.47602288,2.260346389,7.252636464,50.61901391,29.45067616,0.98326064,1.369010287,2309.353227,1251.083477,0.669432146,-0.074783523,1.75923E+12,4.82912E+11,-0.938571814,1.520736394,87.72087618,34.9149088,0.129445062,-0.471132813,9.658272039,5.658172744,1.098513706,1.808890955
1001,25.73984945,34.71723127,5.186361815,31.47803784,61.37317133,34.41642205,0.796098641,0.908374101,3175.574577,1541.363128,0.492194713,-0.203717903,2.77204E+12,1.0765E+12,-0.271703872,-1.014625631,102.3858465,41.15326116,0.349273623,0.045792718,12.37663311,9.458779721,2.836901886,11.94467086
1501,19.83690789,31.61451583,5.475648222,34.67453719,41.68127815,23.10099942,0.69527463,0.356775496,2396.770602,1141.291818,0.681350866,0.432671217,2.73322E+12,1.39753E+12,-0.336393429,-1.308232922,62.75204836,29.40737394,1.160579498,2.722734542,8.197021553,7.302411774,4.024979451,22.23892097
2001,14.34110017,33.99574438,6.491569618,44.89783793,20.36124578,35.91788515,5.108057362,27.76008233,1117.250133,1641.996707,5.128972397,28.06215405,2.06968E+12,5.23221E+11,-0.423683259,-0.159528699,18.03678502,10.31158833,2.265585447,8.570108198,3.74407299,6.041908985,6.226034035,43.43612228
2501,13.4655862,32.40342583,6.575448645,46.38200715,9.852142023,24.27907261,4.358597589,19.46901987,434.3312497,977.7169464,5.058105319,27.97113042,7.61495E+11,1.95976E+11,4.048481296,26.86999266,6.886090604,13.24755588,4.417920506,23.61122114,2.837196174,6.085801698,6.519424687,46.88856432
3001,13.59768488,32.50225923,6.606737454,46.98348025,7.739224308,15.59660913,4.528329287,25.17040096,364.5170549,700.1732129,4.549611052,23.64165911,68543285932,91449021253,4.091593105,20.1367679,7.896349438,15.98710196,3.655561099,14.81479774,2.999040658,7.004872261,6.324984181,42.92174916
3501,13.74224648,32.89231506,6.488093051,45.18301174,7.001127845,11.74664481,3.817439607,18.0120245,367.7692226,677.2114101,5.507588253,35.82229124,39103800054,41723409573,1.868492334,4.468605746,9.26633225,20.32825099,3.219094273,10.15392541,2.743422147,5.565200815,6.2340956,43.49113596
4001,13.42281424,31.63528136,6.576225237,46.61159372,7.122945024,14.40957431,5.367426216,33.4616337,393.6195112,840.6761252,5.658265143,35.66558081,36422338770,48823912344,4.497154612,25.3132835,8.146506974,19.58806422,3.755286159,14.59986492,2.885257994,5.944582551,5.868900166,39.07822735
4501,13.30393715,30.38399758,6.429680885,44.6995694,6.204392623,12.65762049,4.644363761,23.47990666,311.6163214,603.7458539,5.854939366,38.85629847,19961516851,33018646114,3.933230196,16.72033376,8.130034022,22.49570156,4.567448213,21.97165063,3.025475629,7.649457505,6.443839088,44.14734233
5001,12.79547368,27.64830378,6.462880024,46.02277222,4.866763232,8.954503951,4.768954763,25.55032367,300.5996954,582.4569877,5.237989677,30.46183922,10677602541,19759695196,4.011193081,16.86349394,4.269561358,8.080549144,4.000939586,17.78460307,2.994986312,7.682424496,6.4428822,44.07570885
