Frequency (Hz),Amplitude_Mean,Amplitude_Standard_deviation,Amplitude_Skewness,Amplitude_Kurtosis,Counts_Mean,Counts_Standard_deviation,Counts_Skewness,Counts_Kurtosis,Duration_Mean,Duration_Standard_deviation,Duration_Skewness,Duration_Kurtosis,Energy_Mean,Energy_Standard_deviation,Energy_Skewness,Energy_Kurtosis,Rise-Time_Mean,Rise-Time_Standard_deviation,Rise-Time_Skewness,Rise-Time_Kurtosis,RMS_Mean,RMS_Standard_deviation,RMS_Skewness,RMS_Kurtosis
0.0,6.514481179266134,1.1913767488215836,-4.1088657511434405,17.31345489228558,4.320826796937708,2.336150873776221,1.5316871446087938,1.7946268575374411,171.67146037866954,46.12572045688326,-0.796120628106559,2.9142674498625754,32092591754.21427,72202715192.25821,3.6816570079210345,13.428076660767111,6.682748278277517,2.3419728305781464,-0.36887785093134795,-0.23334616646147088,7.804093416152959,3.2244001365702313,-0.10588200556660284,-0.5512353665479264
5e-05,19.700095258991645,3.606207477614424,-4.083825577776316,17.185733494568826,13.098871003021832,7.227426600862085,1.5482958172917645,1.8182768757227379,519.610248675602,142.4958341442901,-0.6944819419344116,2.6489388240490452,99985036974.819,231105558144.65366,3.7662909013600956,14.137836625926465,20.2504745060341,7.246301344828734,-0.29440591022979756,-0.26323182553838764,23.625004960944604,9.829385978577966,-0.09233553020022889,-0.5570111897477945
0.0001,33.46021166265767,6.121804024595912,-4.059898574047533,17.08659874596028,22.30681331764587,12.56382060477185,1.5656965064818036,1.8476478482146286,883.4088292384074,247.40452032536635,-0.5919172893805081,2.3920857662687327,175157605223.0198,415989676463.95764,3.854674625534956,14.901805205963853,34.469948117822035,12.609930722504869,-0.2110053161764382,-0.26583510859251014,40.169333524265646,16.8272291430988,-0.07770931344397042,-0.5629529854312847
0.00015,48.18404755582077,8.797121128330549,-4.03649164963098,17.014140782104445,32.21267283966871,18.527219660319787,1.5839363054689584,1.8835822608994066,1273.4939385802084,364.48344246851616,-0.48873578152581476,2.1440581777052534,260481357772.212,635777922353.0065,3.9474479139365592,15.726999575754306,49.753181581332136,18.63449698539133,-0.11771977242184656,-0.23250781136585275,57.90758425777887,24.421134120312864,-0.06191191371660882,-0.5690102345847228
0.0002,64.16752171353257,11.672084057688423,-4.012708698481534,16.96432309072674,43.02624351983655,25.28335113280949,1.6030547245982119,1.9269966221365538,1697.8957239229676,497.0919453482027,-0.38549464666512717,1.9057014336746745,358720685755.2863,900129972606.8842,4.045196470257042,16.62004344912004,66.42131436176805,25.514084146907294,-0.013591034045028668,-0.1528326722186688,77.20050847054786,32.7744430581902,-0.044873334581710646,-0.5750786955311158
0.00025,81.578854825188,14.76172018406378,-3.9873193547663472,16.930846539672345,54.87582770781429,32.96718599577915,1.6230737517001865,1.9789029338329103,2161.3363669069954,648.073942893462,-0.2830056080689256,1.678339402559339,472330207729.0828,1219015982454.7751,4.148441382847521,17.587032166389285,84.66879178476212,33.4242572624637,0.10230182832638421,-0.014504210404194584,98.25725208254622,41.99240312343305,-0.02653556799210997,-0.5810103127709056
0.0003,100.43347498264794,18.0526371288708,-3.958725766128338,16.905116486178596,67.79081574757481,41.67024495246445,1.6440212251247301,2.0404431215417764,2664.5594345668183,819.5567192265386,-0.18226447246781902,1.4635875240060496,603264083441.3246,1602261786599.0332,4.257629712954969,18.633439236978408,104.53669566937803,42.51311411608963,0.23082067244882884,0.19660728771030778,121.10447226348901,52.108286992565034,-0.006839000877756732,-0.5866207091493689
0.00035,120.58015123937007,21.50216747336399,-3.924913739014738,16.876195416196154,81.6913784258914,51.43080109405342,1.6659416217881238,2.1129151924334106,3203.9498112719316,1012.8070968110522,-0.08439980229550047,1.2632985377463921,752812984676.3387,2059093297597.184,4.37311506412792,19.763924843749866,125.89726290014153,52.89477758350269,0.37273648736314285,0.4962241665815843,145.56879527009934,63.07497380821643,0.01429118523864648,-0.591690235812679
0.0004,141.6994954676662,25.040253634527943,-3.8833582011984094,16.83045514269218,96.38618208538644,62.227541242615054,1.6889215307040721,2.1977994282616624,3771.475778522386,1228.148803461565,0.009404919342091726,1.079467797842586,921621076732.0094,2597657266609.5576,4.495237864607362,20.98283029781438,148.45080196301205,64.6455380450901,0.5286719892981607,0.9012161149019224,171.27404217631067,74.76270565090176,0.036956372903524,-0.5959562174376227
0.00045,163.3150773727454,28.574061282246145,-3.8308845395475806,16.750954535013545,111.57824223169682,73.97742211538974,1.7130761329651902,2.296741788876597,4354.9610614098865,1464.9444377889304,0.09798314079330996,0.9141990090095171,1109511974277.506,3224684020702.8247,4.624089942856861,22.292411044888038,171.73540424207295,77.8025103318748,0.6990212441461702,1.4288735167489213,197.65364581596802,86.96322307678525,0.061297391862169356,-0.599103801814612
