Time (cycle),Amplitude_Mean,Amplitude_Standard_deviation,Amplitude_Skewness,Amplitude_Kurtosis,Counts_Mean,Counts_Standard_deviation,Counts_Skewness,Counts_Kurtosis,Duration_Mean,Duration_Standard_deviation,Duration_Skewness,Duration_Kurtosis,Energy_Mean,Energy_Standard_deviation,Energy_Skewness,Energy_Kurtosis,Rise-Time_Mean,Rise-Time_Standard_deviation,Rise-Time_Skewness,Rise-Time_Kurtosis,RMS_Mean,RMS_Standard_deviation,RMS_Skewness,RMS_Kurtosis
501,13.88326298,15.68250003,2.993767363,10.63252315,104.7539199,76.71669938,2.497281455,7.6702741,1105.348995,981.8430018,2.325466454,7.029454946,37801783549,31518614985,1.514725991,2.019042942,24.14482291,28.93908801,3.26446334,12.14599178,2.832292407,2.643022276,1.757675633,2.545833845
1001,22.16230672,38.42046365,4.819472286,26.64239515,122.1261624,140.0433037,3.354992945,11.7059877,1664.07642,1901.896733,3.261155578,12.29371937,60099765403,62232840615,2.181601788,4.50103429,33.17561538,44.58276522,2.962248439,9.234064634,3.636352651,4.431538252,3.090385909,11.76939175
1501,18.95411892,36.60097663,5.200186198,31.11590937,88.22847376,126.615278,3.979836217,16.68880437,1478.414463,2132.644954,3.037947722,8.861714649,54927257048,74844734591,2.686742675,6.5578653,24.31942291,35.76143405,3.181044619,10.43239807,2.452573048,3.049422063,3.169898949,12.14953299
2001,16.39687429,41.85885811,6.154085544,40.04722868,53.04156329,112.5997204,5.947767581,38.13515456,1157.708002,2833.731452,4.100235372,17.90063063,40623988010,88653455177,4.065347426,18.43431803,14.15184472,23.66749221,4.236023844,21.15705229,1.437814232,2.036501328,4.215016585,21.92911967
2501,14.57333102,32.53175058,6.436951317,45.130706,46.2839195,100.5100989,4.704852561,23.49775307,793.4352165,1838.748578,3.484745311,12.16107615,32208219985,80501892470,4.3329631,20.90071639,25.12202913,48.06421067,3.468584268,13.51842988,1.495805145,2.913903494,4.721615564,25.47290957
3001,14.20125789,27.32162083,6.124522238,42.70356666,35.17229985,51.08170186,3.45784617,13.55852871,811.0317968,1731.094567,3.805126582,15.76176819,61226064822,1.23677E+11,2.863131085,8.214317151,142.4475936,293.7816783,2.686760811,6.58982346,1.809301295,5.005492291,5.595690622,32.61466561
3501,14.59959943,30.98071695,6.230088927,43.56482994,53.67268863,101.2979715,3.487808304,14.17474753,1447.855191,2934.129967,2.64505218,6.329226259,1.34276E+11,2.75391E+11,2.492367292,5.057038294,326.6433463,678.8849374,2.577390211,5.696992292,1.409628039,3.462058798,6.42423132,44.28475457
4001,16.69257684,45.79856023,6.432726006,43.41892956,61.40547985,155.0939899,5.050010754,28.34659205,1836.147133,4358.147295,3.637298889,14.97970494,1.76169E+11,3.72414E+11,2.533272111,5.663213374,429.2678666,916.2319054,2.528429858,5.451288562,1.309368823,2.625274638,6.226213602,43.52046356
4501,17.22930051,46.0045903,6.275094479,41.77009884,50.56186351,131.402679,4.436196498,19.92584601,1111.752048,2715.557421,3.611532363,13.06725732,98258963027,2.31455E+11,3.437779296,13.01664846,213.2837402,482.5867424,3.190862164,10.77443774,1.32741135,2.551995376,6.072643247,42.11849357
5001,15.20432007,35.72817875,6.464145446,45.07889084,35.5525316,78.39823038,4.439810526,20.42556971,576.4294392,1313.538106,4.13914322,17.59977849,25547705077,73494692458,5.17267355,28.47541637,57.94041677,168.340846,5.215616627,30.27118678,1.367053346,2.773929271,6.114505163,41.57707895
5501,14.14505418,29.97984023,6.446268195,46.07171343,27.36211164,54.15749961,6.015826581,41.50327052,474.5180837,768.5380435,4.296923732,23.332614,10675287773,21312930964,5.037034421,28.3072411,26.75018211,64.57690687,4.005967012,15.88483864,1.31964229,2.664375111,6.206293884,43.64542895
6001,14.15874014,31.33071321,6.48918468,45.89136461,26.4745891,55.90272377,6.168033345,41.89043794,440.5166618,798.0421237,4.814539747,26.62912265,7975160031,14512999133,5.577016734,35.74413793,11.16642467,16.96902606,4.097947012,21.17783987,1.469916374,3.40761434,6.332117895,44.05172806
6501,14.04140317,31.95531287,6.490170717,45.57954243,22.87603439,43.94464069,6.066010376,41.79624758,278.4456064,416.0413956,3.603500976,15.47866233,6380776017,11681637656,6.050136621,41.9296035,8.764447681,13.11518532,4.156664234,21.85750187,1.808839626,4.345985145,5.630123824,34.78703838
7001,13.83007677,31.3396425,6.534654662,46.29014959,22.41215707,42.59907777,5.794168676,38.92752196,242.8413691,453.9977776,4.88705389,26.3851228,6024732793,11007357356,5.95131273,41.02831711,7.990518486,14.57366627,5.53269997,36.31866862,1.660889567,3.328413294,5.180443667,30.6212588
7501,13.73253366,31.94712912,6.592822708,46.81849662,21.77931829,48.52146342,6.342150542,43.5418042,268.5630386,682.2237004,5.740791871,34.87169286,5632729370,11192124277,6.281065205,43.92128031,8.072656162,16.41187563,5.502367357,34.76092054,1.842305312,3.265000092,3.884235146,17.18692946
8001,13.83222942,32.49659541,6.511374844,45.63350495,20.57327569,44.06560923,6.346468064,44.1136613,221.8260259,471.7125044,5.85673943,38.32264515,5450125838,10930147054,6.302299119,44.18861027,7.09899869,14.52835789,5.924990993,39.7066258,1.973922642,4.222409825,5.294001239,32.01810619
8501,13.6241825,31.30382605,6.555094503,46.44300814,19.56840953,38.31486921,6.224102934,43.46448892,209.7374888,370.0248196,5.185807273,32.08730928,5339526686,10697104867,6.307430734,44.30485521,6.737417953,12.89504281,5.983992399,41.1872477,1.881128807,4.455334922,5.988127378,39.66861367
9001,13.6286694,31.03567519,6.532057521,46.16087706,18.88985129,35.7264922,6.25114522,44.27092605,197.3549681,336.6503068,5.867597019,40.53823196,5301271068,10601975142,6.31443803,44.37191362,7.007952603,14.46331116,6.056337389,41.59951441,2.010324666,4.946399636,6.139251976,40.80674085
9501,13.62609209,30.59943115,6.508055209,45.9322133,19.18403522,38.08097077,6.266449399,43.83796327,205.5124671,373.3355011,5.936878374,40.36170248,5322163881,10604969391,6.292134588,44.10899169,6.746929476,16.84713497,6.633399699,46.84283897,1.862961148,4.285460275,6.463293503,45.13841602
10001,13.57692263,30.01709407,6.511637787,46.19723946,19.22988607,39.20993264,6.368804345,44.92105913,206.3938636,373.4270346,6.134920212,43.2856875,5349285341,10577204846,6.30139344,44.33768452,7.069395453,19.15411641,6.586007949,45.74885497,1.876542709,3.888042913,6.316301693,44.59127797
10501,13.84674182,31.50581735,6.583526545,47.00962493,20.02347977,42.4890258,6.450587607,45.80649894,235.6438833,510.2334118,6.415575185,45.74428746,5541309117,11136638489,6.351033829,44.90455139,7.161050061,17.75740723,6.047511154,38.82102751,1.944805307,4.434130376,6.627905628,47.80126939
11001,14.4271622,34.85548216,6.532956407,45.69210149,21.21310922,47.54133511,6.414241375,44.56814173,300.8850591,804.4082736,6.18749558,40.30998776,5842750213,12173886651,6.319399899,43.93982616,5.794654179,10.060819,5.896098168,40.8338883,2.152986813,5.667291445,6.518525277,44.91790097
11501,14.52702317,34.72370287,6.544871119,45.91341565,21.40038947,45.95352922,6.36652283,44.34343754,296.7412999,732.2042412,6.327877579,42.81195114,5950392308,11899263762,6.26208247,43.60230714,5.994911754,9.356713155,5.03762771,31.2284696,2.187342788,5.780850286,6.595038076,45.94582232
12001,14.37062862,32.72547077,6.532367532,46.21204706,21.5876343,42.48506645,6.251701615,44.24113737,307.2606293,605.8180781,5.483642974,35.41012079,6152526049,11798249604,6.157686971,43.4320171,5.944680327,9.919964368,5.762066773,39.10843066,2.189133457,5.790814442,6.511701475,45.05613339
12501,14.5522022,33.24974964,6.602915166,47.34941294,24.37758636,54.44925104,6.348787227,44.44239092,420.3327504,874.0472085,4.880368807,28.16711078,7113335616,16536872533,6.432754297,45.13061929,6.131799723,10.83940593,5.996689371,41.75883021,2.003612996,4.673935653,5.822105734,37.93834151
13001,15.06313618,36.8840632,6.522929367,45.45570242,27.35941812,61.18126006,5.45496049,32.42154593,469.7318311,1013.702341,3.993990955,16.63676085,8330094006,19346820930,5.392522808,31.17255981,6.897417529,14.45175124,6.40117803,45.7192131,2.547266924,6.242559374,5.147061112,30.09493805
13501,14.82969065,36.48870401,6.66250632,47.38968225,26.42421133,56.63183649,5.393370946,32.08045931,457.402201,1063.986568,4.439041133,21.33610716,7530082093,15338076179,5.401363546,32.41511334,8.664739468,23.08320602,6.472153839,44.30039818,3.374669348,10.20018632,5.199793102,28.29842637
14001,15.12568998,37.64452152,6.554677333,45.7721311,29.77666977,79.98538531,6.190248716,40.3753256,523.3611367,1514.457638,5.648563838,33.86635794,8170989926,18432347595,6.225365327,41.8967062,9.586774622,26.4232998,6.231765968,40.77610579,2.117137705,4.330079354,3.870807107,15.04867579
14501,14.52757738,34.04611492,6.519768459,45.75670546,28.21086073,62.35999295,5.72071591,36.42480175,474.7356228,1070.416429,4.661330667,23.66018265,8383494564,16139850582,5.967104046,40.14876485,9.25535701,21.66326653,6.411457193,45.65330767,2.072846381,4.381893434,4.778541296,25.88186271
15001,14.44639516,31.66466761,6.440211768,45.44368661,28.27614372,54.91371579,5.25630198,31.43571305,438.4180577,875.9143974,4.511196098,21.95521088,8960803027,14358514683,5.403498187,35.32043888,11.44762457,29.3322276,6.292442875,42.81257074,2.25032594,4.946185367,4.28870623,18.72436754
