epoch,loss,val_loss
0,277338.40625,NA
1,62244.55859375,NA
2,13915.326171875,NA
3,11711.7041015625,NA
4,10703.958984375,NA
5,9788.2216796875,NA
6,7989.0185546875,NA
7,4414.111328125,NA
8,1701.9140625,NA
9,1062.9039306640625,NA
10,867.2472534179688,NA
11,769.160888671875,NA
12,698.9271240234375,NA
13,611.0726928710938,NA
14,628.044921875,NA
15,517.026611328125,NA
16,577.7039794921875,NA
17,436.15093994140625,NA
18,398.6616516113281,NA
19,352.455078125,NA
20,312.3791809082031,NA
21,310.227294921875,NA
22,242.1868133544922,NA
23,208.23809814453125,NA
24,143.5966796875,NA
25,104.9098129272461,NA
26,77.90428161621094,NA
27,60.480838775634766,NA
28,43.94701385498047,NA
29,41.55858612060547,NA
30,35.40609359741211,NA
31,30.14907455444336,NA
32,24.20381736755371,NA
33,24.06720733642578,NA
34,21.644412994384766,NA
35,19.2393798828125,NA
36,18.967029571533203,NA
37,20.365798950195312,NA
38,18.650510787963867,NA
39,21.052465438842773,NA
40,18.799461364746094,NA
41,17.555559158325195,NA
42,18.623876571655273,NA
43,18.848360061645508,NA
44,16.494754791259766,NA
45,11.648086547851562,NA
46,11.407186508178711,NA
47,9.811919212341309,NA
48,8.414718627929688,NA
49,8.362701416015625,NA
50,32.98386001586914,NA
51,14.60554027557373,NA
52,9.603374481201172,NA
53,7.290903568267822,NA
54,7.460082054138184,NA
55,7.6330976486206055,NA
56,6.518166542053223,NA
57,8.653279304504395,NA
58,7.67312479019165,NA
59,8.849349021911621,NA
60,10.91461181640625,NA
61,7.841466426849365,NA
62,6.231360912322998,NA
63,18.12453842163086,NA
64,14.418906211853027,NA
65,9.607630729675293,NA
66,8.943360328674316,NA
67,9.050549507141113,NA
68,7.870200157165527,NA
69,7.822180271148682,NA
70,7.046784400939941,NA
71,6.394220352172852,NA
72,7.0114264488220215,NA
73,6.369956970214844,NA
74,7.1303229331970215,NA
75,5.878907203674316,NA
76,4.948468208312988,NA
77,4.690471649169922,NA
78,4.938936233520508,NA
79,4.818368434906006,NA
80,4.620174407958984,NA
81,4.646879196166992,NA
82,4.12214994430542,NA
83,3.499077796936035,NA
84,4.382057189941406,NA
85,3.245404005050659,NA
86,3.075512409210205,NA
87,4.062017917633057,NA
88,3.7857284545898438,NA
89,4.773939609527588,NA
90,4.149277210235596,NA
91,3.579341411590576,NA
92,5.820988655090332,NA
93,3.4127352237701416,NA
94,3.9240431785583496,NA
95,4.40328311920166,NA
96,8.885866165161133,NA
97,7.651857376098633,NA
98,13.766158103942871,NA
99,13.64586353302002,NA
100,13.138470649719238,NA
101,12.697986602783203,NA
102,14.237203598022461,NA
103,6.2686309814453125,NA
104,3.115713357925415,NA
105,3.279334783554077,NA
106,4.919046401977539,NA
107,2.7577829360961914,NA
108,2.5708389282226562,NA
109,2.774913787841797,NA
110,2.1385087966918945,NA
111,1.9231587648391724,NA
112,2.070089101791382,NA
113,2.195950508117676,NA
114,2.714376211166382,NA
115,8.710572242736816,NA
116,9.505355834960938,NA
117,36.63152313232422,NA
118,15.96648120880127,NA
119,7.6748433113098145,NA
120,5.936105251312256,NA
121,6.629896640777588,NA
122,7.6622796058654785,NA
123,4.139005184173584,NA
124,13.637527465820312,NA
125,18.563249588012695,NA
126,14.356616973876953,NA
127,32.73048400878906,NA
128,30.25580406188965,NA
129,58.15620422363281,NA
130,15.564597129821777,NA
131,8.945368766784668,NA
132,4.168711185455322,NA
133,2.2189252376556396,NA
134,2.340386152267456,NA
135,1.8108019828796387,NA
136,1.9683085680007935,NA
137,2.2757625579833984,NA
138,1.6196575164794922,NA
139,1.5350430011749268,NA
140,4.664473056793213,NA
141,1.9928656816482544,NA
142,3.1844348907470703,NA
143,2.6178231239318848,NA
144,1.6628353595733643,NA
145,1.7536789178848267,NA
146,2.992400646209717,NA
147,4.4123969078063965,NA
148,2.2503621578216553,NA
149,1.3053562641143799,NA
150,2.3623948097229004,NA
151,2.639791965484619,NA
152,2.7288172245025635,NA
153,8.580118179321289,NA
154,7.4395012855529785,NA
155,23.750261306762695,NA
156,36.803218841552734,NA
157,12.727285385131836,NA
158,7.466359615325928,NA
159,7.773390293121338,NA
160,3.7935972213745117,NA
161,2.5683560371398926,NA
162,2.0447299480438232,NA
163,8.071263313293457,NA
164,3.7333507537841797,NA
165,3.9013094902038574,NA
166,11.446268081665039,NA
167,9.938992500305176,NA
168,5.027559280395508,NA
169,2.319336414337158,NA
170,3.2883994579315186,NA
171,2.740816593170166,NA
172,1.468406081199646,NA
173,4.2336602210998535,NA
174,2.404637575149536,NA
175,2.245103359222412,NA
176,2.106846332550049,NA
177,5.039857864379883,NA
178,14.62062931060791,NA
179,5.665241718292236,NA
180,4.0635552406311035,NA
181,5.177348613739014,NA
182,2.12680721282959,NA
183,2.5326271057128906,NA
184,1.5681540966033936,NA
185,4.9607648849487305,NA
186,5.132574081420898,NA
187,12.724762916564941,NA
188,17.588422775268555,NA
189,17.09534454345703,NA
190,7.436113357543945,NA
191,4.577527046203613,NA
192,2.698181390762329,NA
193,3.0362417697906494,NA
194,3.3291327953338623,NA
195,10.236124038696289,NA
196,9.448413848876953,NA
197,15.695043563842773,NA
198,45.35912322998047,NA
199,35.32798385620117,NA
