Amplitude_Standard_deviation,Amplitude_Standard_deviation.1,Amplitude_Standard_deviation.2,Amplitude_Standard_deviation.3,Amplitude_Standard_deviation.4,Amplitude_Standard_deviation.5,Amplitude_Standard_deviation.6,Amplitude_Standard_deviation.7,Amplitude_Standard_deviation.8,Amplitude_Standard_deviation.9,Amplitude_Standard_deviation.10,Amplitude_Standard_deviation.11,Amplitude_Standard_deviation.12,Amplitude_Standard_deviation.13,Amplitude_Standard_deviation.14,Amplitude_Standard_deviation.15,Amplitude_Standard_deviation.16,Amplitude_Standard_deviation.17,Amplitude_Standard_deviation.18,Amplitude_Standard_deviation.19,Amplitude_Standard_deviation.20,Amplitude_Standard_deviation.21,Amplitude_Standard_deviation.22,Amplitude_Standard_deviation
10.123759579105002,28.023933138671925,20.932894609744185,21.54751721302082,9.736421547394478,10.30039320513974,9.128793360283549,4.088269945490569,11.035340409549974,2.723882297801264,11.839635117585772,4.278544685777429,10.123759579105002,28.023933138671925,20.932894609744185,21.54751721302082,9.736421547394478,10.30039320513974,9.128793360283549,4.088269945490569,11.035340409549974,2.723882297801264,11.839635117585772,4.278544685777429
9.808658038007987,27.136058046750307,20.595856843125063,21.13442865666023,9.448363182306569,10.11733929925678,8.852763880363078,3.998704391001316,10.719647210938266,2.634517940437367,11.605488051788877,4.133193996578835,9.808658038007987,27.136058046750307,20.595856843125063,21.13442865666023,9.448363182306569,10.11733929925678,8.852763880363078,3.998704391001316,10.719647210938266,2.634517940437367,11.605488051788877,4.133193996578835
9.455323054815883,24.863894735599548,20.194010981490983,20.63821769167306,9.136099463835707,9.93206308748282,8.52698058456966,3.9010462559911536,10.37689698232468,2.5415992659102327,11.354262261861198,3.987729488056633,9.455323054815883,24.863894735599548,20.194010981490983,20.63821769167306,9.136099463835707,9.93206308748282,8.52698058456966,3.9010462559911536,10.37689698232468,2.5415992659102327,11.354262261861198,3.987729488056633
9.091087952763438,22.956285500447613,19.79767484104976,20.01446269528892,8.8190643757037,9.729018428622927,8.16973463955349,3.800327552594561,10.028370359300617,2.449727496797548,11.090978830694525,3.8506660634442462,9.091087952763438,22.956285500447613,19.79767484104976,20.01446269528892,8.8190643757037,9.729018428622927,8.16973463955349,3.800327552594561,10.028370359300617,2.449727496797548,11.090978830694525,3.8506660634442462
8.725622444406303,20.495595628095213,19.55459646324636,19.340875079423988,8.511341824448923,9.52331304659217,7.787021304470081,3.698428840647716,9.684909122241852,2.365221686377378,10.811579629416334,3.7263341993227934,8.725622444406303,20.495595628095213,19.55459646324636,19.340875079423988,8.511341824448923,9.52331304659217,7.787021304470081,3.698428840647716,9.684909122241852,2.365221686377378,10.811579629416334,3.7263341993227934
8.35876374877618,18.4154469856837,19.38461343441825,18.62350894990684,8.205742494367406,9.308713177772868,7.386003523164801,3.594447026191797,9.33732745862595,2.287199894575808,10.490116786694946,3.6086851761667726,8.35876374877618,18.4154469856837,19.38461343441825,18.62350894990684,8.205742494367406,9.308713177772868,7.386003523164801,3.594447026191797,9.33732745862595,2.287199894575808,10.490116786694946,3.6086851761667726
7.98187790049624,17.896591489014927,18.967912760373235,17.870049620366974,7.870026082038451,9.049360533999629,6.965432351888953,3.467588030959507,8.95542054909118,2.2052899567949016,10.066063300730622,3.485201117667593,7.98187790049624,17.896591489014927,18.967912760373235,17.870049620366974,7.870026082038451,9.049360533999629,6.965432351888953,3.467588030959507,8.95542054909118,2.2052899567949016,10.066063300730622,3.485201117667593
7.6239492044121375,18.70197473522348,18.53185171392656,17.2125563144922,7.538859152097316,8.777123665687952,6.585385753635129,3.332597274119689,8.589919940749564,2.1289811947459576,9.601801505732032,3.362443431417569,7.6239492044121375,18.70197473522348,18.53185171392656,17.2125563144922,7.538859152097316,8.777123665687952,6.585385753635129,3.332597274119689,8.589919940749564,2.1289811947459576,9.601801505732032,3.362443431417569
7.279147209851776,19.386980767541488,18.02499789392931,16.690614421081897,7.195614057808051,8.480120084422845,6.260650909017756,3.185771651050308,8.234513192679065,2.0540196080327577,9.08823904943756,3.229722420788769,7.279147209851776,19.386980767541488,18.02499789392931,16.690614421081897,7.195614057808051,8.480120084422845,6.260650909017756,3.185771651050308,8.234513192679065,2.0540196080327577,9.08823904943756,3.229722420788769
6.956667238967892,18.444019178500497,17.546732645354552,16.281708967828926,6.847230839607522,8.155905602156722,5.990452107445469,3.037207607899993,7.898332976267271,1.980398785365961,8.582557470653118,3.085192966595198,6.956667238967892,18.444019178500497,17.546732645354552,16.281708967828926,6.847230839607522,8.155905602156722,5.990452107445469,3.037207607899993,7.898332976267271,1.980398785365961,8.582557470653118,3.085192966595198
6.617435608492428,18.08463266298905,16.949288756973633,15.809785279150969,6.461882360511649,7.770120243748338,5.748351129097073,2.879657076197056,7.5442526830057375,1.9004128945168888,8.080383963727147,2.911597367112115,6.617435608492428,18.08463266298905,16.949288756973633,15.809785279150969,6.461882360511649,7.770120243748338,5.748351129097073,2.879657076197056,7.5442526830057375,1.9004128945168888,8.080383963727147,2.911597367112115
