Energy_Standard_deviation,Energy_Standard_deviation.1,Energy_Standard_deviation.2,Energy_Standard_deviation.3,Energy_Standard_deviation.4,Energy_Standard_deviation.5,Energy_Standard_deviation.6,Energy_Standard_deviation.7,Energy_Standard_deviation.8,Energy_Standard_deviation.9,Energy_Standard_deviation.10,Energy_Standard_deviation.11,Energy_Standard_deviation.12,Energy_Standard_deviation.13,Energy_Standard_deviation.14,Energy_Standard_deviation.15,Energy_Standard_deviation.16,Energy_Standard_deviation.17,Energy_Standard_deviation.18,Energy_Standard_deviation.19,Energy_Standard_deviation.20,Energy_Standard_deviation.21,Energy_Standard_deviation.22,Energy_Standard_deviation
1347630.4637450478,244844.63087544424,371145.4779817927,2802955.643854828,546360.8837284956,963418.0261464388,1467670.36478255,1651720.859979791,219678.7043316757,317221.65900590294,491640.00991187786,350244.6719845582,1347630.4637450478,244844.63087544424,371145.4779817927,2802955.643854828,546360.8837284956,963418.0261464388,1467670.36478255,1651720.859979791,219678.7043316757,317221.65900590294,491640.00991187786,350244.6719845582
1346476.6374286811,238453.0624549058,367144.4350106374,2942019.672717386,516561.2978659361,892220.866979744,1402475.5234118889,1661549.5623736065,216420.0469545592,309152.36577906576,493169.5659627034,343794.44546760584,1346476.6374286811,238453.0624549058,367144.4350106374,2942019.672717386,516561.2978659361,892220.866979744,1402475.5234118889,1661549.5623736065,216420.0469545592,309152.36577906576,493169.5659627034,343794.44546760584
1349811.428807431,256415.0451354148,369630.7240808115,3013704.6980639407,484902.6728672962,822808.6582458592,1393346.963844323,1663848.2611627062,214074.2575227528,312790.69373819075,500092.67820137535,337629.65246606345,1349811.428807431,256415.0451354148,369630.7240808115,3013704.6980639407,484902.6728672962,822808.6582458592,1393346.963844323,1663848.2611627062,214074.2575227528,312790.69373819075,500092.67820137535,337629.65246606345
1330344.7017216096,267620.09865523665,363906.7902226426,2933747.218529601,449503.59763113584,745862.2098711259,1405747.071174479,1624129.1570059855,207620.91314015264,320169.13336572744,499347.0565764185,325933.8883600948,1330344.7017216096,267620.09865523665,363906.7902226426,2933747.218529601,449503.59763113584,745862.2098711259,1405747.071174479,1624129.1570059855,207620.91314015264,320169.13336572744,499347.0565764185,325933.8883600948
1307530.7905412214,283049.748738999,348827.5043118921,2752822.614610646,412089.9021409841,658173.8863267439,1428932.174910882,1556358.6074629368,198037.13424831728,329547.78857778263,494604.0348236498,311249.80424021074,1307530.7905412214,283049.748738999,348827.5043118921,2752822.614610646,412089.9021409841,658173.8863267439,1428932.174910882,1556358.6074629368,198037.13424831728,329547.78857778263,494604.0348236498,311249.80424021074
1312559.2702235235,323527.76761882834,334017.6835027873,2589605.874825215,381361.7164058185,573893.4377902108,1429626.087684182,1476969.2676867323,189307.0671029109,338119.1755175003,488865.21161783184,296914.8164268915,1312559.2702235235,323527.76761882834,334017.6835027873,2589605.874825215,381361.7164058185,573893.4377902108,1429626.087684182,1476969.2676867323,189307.0671029109,338119.1755175003,488865.21161783184,296914.8164268915
1347994.7743589503,353579.7667378845,313184.9073230923,2518311.732384283,359222.62498324853,501885.7795553739,1371734.8168948428,1371638.747930537,181590.9516315109,336335.9754408759,476059.3001274925,280408.6700809688,1347994.7743589503,353579.7667378845,313184.9073230923,2518311.732384283,359222.62498324853,501885.7795553739,1371734.8168948428,1371638.747930537,181590.9516315109,336335.9754408759,476059.3001274925,280408.6700809688
1379613.7274989376,380675.9329180064,290103.4863384511,2529741.766607831,343299.2045553597,456163.6590549576,1255691.4700582316,1259459.3166577648,174691.76005683414,325805.81135931506,459489.1522642423,262391.48719446,1379613.7274989376,380675.9329180064,290103.4863384511,2529741.766607831,343299.2045553597,456163.6590549576,1255691.4700582316,1259459.3166577648,174691.76005683414,325805.81135931506,459489.1522642423,262391.48719446
1368531.7647269114,397765.79154148645,265955.66786758834,2578791.1205131225,331475.49489115324,422382.6198058472,1116975.7214570567,1185051.5507110986,168952.8008006998,315448.87249683874,443889.8153517806,243304.7870566033,1368531.7647269114,397765.79154148645,265955.66786758834,2578791.1205131225,331475.49489115324,422382.6198058472,1116975.7214570567,1185051.5507110986,168952.8008006998,315448.87249683874,443889.8153517806,243304.78705660335
1282488.238640245,381940.402182202,234895.5311716471,2582947.300048292,319769.3535844683,398395.35159954906,1021239.9509018544,1162273.909139115,162882.38243254856,308209.98165664304,425697.3458021257,221645.2454518823,1282488.238640245,381940.402182202,234895.5311716471,2582947.300048292,319769.3535844683,398395.35159954906,1021239.9509018544,1162273.909139115,162882.38243254856,308209.98165664304,425697.3458021257,221645.2454518823
