Rise-Time_Standard_deviation,Rise-Time_Standard_deviation.1,Rise-Time_Standard_deviation.2,Rise-Time_Standard_deviation.3,Rise-Time_Standard_deviation.4,Rise-Time_Standard_deviation.5,Rise-Time_Standard_deviation.6,Rise-Time_Standard_deviation.7,Rise-Time_Standard_deviation.8,Rise-Time_Standard_deviation.9,Rise-Time_Standard_deviation.10,Rise-Time_Standard_deviation.11,Rise-Time_Standard_deviation.12,Rise-Time_Standard_deviation.13,Rise-Time_Standard_deviation.14,Rise-Time_Standard_deviation.15,Rise-Time_Standard_deviation.16,Rise-Time_Standard_deviation.17,Rise-Time_Standard_deviation.18,Rise-Time_Standard_deviation.19,Rise-Time_Standard_deviation.20,Rise-Time_Standard_deviation.21,Rise-Time_Standard_deviation.22,Rise-Time_Standard_deviation
15.297675058105147,11.43548069842433,16.853399141987264,14.410545912419064,8.887291283824164,26.556087356056448,23.136288881129868,13.097016997396269,23.771686874993925,11.529851027300602,14.661353336952205,7.7175187782372925,15.297675058105147,11.43548069842433,16.853399141987264,14.410545912419064,8.887291283824164,26.556087356056448,23.136288881129868,13.097016997396269,23.771686874993925,11.529851027300602,14.661353336952205,7.7175187782372925
14.84242208983338,11.539868532073903,17.7227844108411,14.51406987416508,8.563183690211536,25.10872255653417,22.744574745330247,13.064381708460845,24.14236683653485,11.3573248392213,14.571149475808324,7.589075830993732,14.84242208983338,11.539868532073903,17.7227844108411,14.51406987416508,8.563183690211536,25.10872255653417,22.744574745330247,13.064381708460845,24.14236683653485,11.3573248392213,14.571149475808324,7.589075830993732
14.385522818226493,12.523025854631404,18.613403471728063,14.138003173230588,8.210970305495112,23.42275209690498,22.149003765539003,13.014132838474191,24.282773077381407,11.209653814362648,14.497748115865356,7.460815017182145,14.385522818226493,12.523025854631404,18.613403471728063,14.138003173230588,8.210970305495112,23.42275209690498,22.149003765539003,13.014132838474191,24.282773077381407,11.209653814362648,14.497748115865356,7.460815017182145
14.018104908191878,14.14136787272576,19.50502451627672,13.633015497114258,7.851138467611886,21.70068485512099,21.54402095058537,12.940392898956494,24.219671960360035,11.11977429845795,14.419141306684857,7.381221181561097,14.018104908191878,14.14136787272576,19.50502451627672,13.633015497114258,7.851138467611886,21.70068485512099,21.54402095058537,12.940392898956494,24.219671960360035,11.11977429845795,14.419141306684857,7.381221181561097
13.747790534000517,14.311379318639505,20.5145114571578,13.238692443943751,7.503624285565217,20.15894819564854,21.085158506214,12.82628013728474,23.95389088700038,11.13230144391892,14.286639199834534,7.347098790668133,13.747790534000517,14.311379318639505,20.5145114571578,13.238692443943751,7.503624285565217,20.15894819564854,21.085158506214,12.82628013728474,23.95389088700038,11.13230144391892,14.286639199834534,7.347098790668133
13.517122565232253,14.395207196344542,21.70275384793241,13.112872465723132,7.170600780952977,18.885991050545368,20.88571507608815,12.709284502411816,23.5268681112078,11.239341784937157,14.020948883049895,7.326548464755055,13.517122565232253,14.395207196344542,21.70275384793241,13.112872465723132,7.170600780952977,18.885991050545368,20.88571507608815,12.709284502411816,23.5268681112078,11.239341784937157,14.020948883049895,7.326548464755055
13.244567419873478,14.891974129670809,22.51991985523911,13.125612858446669,6.876698968626985,17.804674473159647,20.874944350936623,12.511414322296355,22.91771128404888,11.37963745435394,13.4784823983757,7.289871794787883,13.244567419873478,14.891974129670809,22.51991985523911,13.125612858446669,6.876698968626985,17.804674473159647,20.874944350936623,12.511414322296355,22.91771128404888,11.37963745435394,13.4784823983757,7.289871794787883
12.98115053112654,15.79463968920896,23.17462977682799,13.21903254411701,6.605100046645713,17.02790647278015,21.09276032189837,12.271743120197716,22.31464165914866,11.477479346816716,12.702989793052566,7.208630835599613,12.98115053112654,15.79463968920896,23.17462977682799,13.21903254411701,6.605100046645713,17.02790647278015,21.09276032189837,12.271743120197716,22.31464165914866,11.477479346816716,12.702989793052566,7.208630835599613
12.762353321050492,17.27989156170944,23.131244508908622,13.422616134126814,6.323216919814417,16.65969564772271,21.467552539790017,11.990084860162622,21.770776548028667,11.543705186248364,11.687558151572285,7.082239663363835,12.762353321050492,17.27989156170944,23.131244508908622,13.422616134126814,6.323216919814417,16.65969564772271,21.467552539790017,11.990084860162622,21.770776548028667,11.543705186248364,11.687558151572285,7.082239663363835
12.453486522337064,18.86343420255148,22.65461679050236,13.533388205224137,5.99777484354782,16.47402467131142,21.8949365527532,11.692944066540678,21.128318756836585,11.508961495913322,10.55695593208767,6.901664775162729,12.453486522337064,18.86343420255148,22.65461679050236,13.533388205224137,5.99777484354782,16.47402467131142,21.8949365527532,11.692944066540678,21.128318756836585,11.508961495913322,10.55695593208767,6.901664775162729
11.98653199181557,19.401900216996285,21.58505697143664,13.516714368579184,5.6392768161632505,16.31229659413364,22.437139481292085,11.38715570672791,20.300164294921817,11.291333032730558,9.366851873380927,6.678875013655704,11.98653199181557,19.401900216996285,21.58505697143664,13.516714368579184,5.6392768161632505,16.31229659413364,22.437139481292085,11.38715570672791,20.300164294921817,11.291333032730558,9.366851873380927,6.678875013655704
11.47891687774836,19.74953810610239,19.814801053930747,13.36719779031332,5.337138169783636,16.11226296212223,22.87019736948319,11.154630984325816,19.23717633369375,10.932892821851713,8.321075406961556,6.440760640710449,11.47891687774836,19.74953810610239,19.814801053930747,13.36719779031332,5.337138169783636,16.11226296212223,22.87019736948319,11.154630984325816,19.23717633369375,10.932892821851713,8.321075406961556,6.440760640710449
