RMS_Mean,RMS_Mean.1,RMS_Mean.2,RMS_Mean.3,RMS_Mean.4,RMS_Mean.5,RMS_Mean.6,RMS_Mean.7,RMS_Mean.8,RMS_Mean.9,RMS_Mean.10,RMS_Mean.11,RMS_Mean.12,RMS_Mean.13,RMS_Mean.14,RMS_Mean.15,RMS_Mean.16,RMS_Mean.17,RMS_Mean.18,RMS_Mean.19,RMS_Mean.20,RMS_Mean.21,RMS_Mean.22,RMS_Mean
8.745215552827844,23.77574632305838,19.97132957096775,32.988088722967355,4.084800092804405,9.514929962934165,9.578075239337906,3.9562772245396673,5.77962345369039,2.1670076552390145,9.532401539081436,2.512524296218669,8.745215552827844,23.77574632305838,19.97132957096775,32.988088722967355,4.084800092804405,9.514929962934165,9.578075239337906,3.9562772245396673,5.77962345369039,2.1670076552390145,9.532401539081436,2.512524296218669
8.5340913692749,22.440975065956955,18.76978177753614,32.323758081441746,3.901477531483495,9.349598317824697,9.384204761017136,3.92775455753588,5.509647442871011,2.132866559977073,9.430668776863726,2.453330794787603,8.5340913692749,22.440975065956955,18.76978177753614,32.323758081441746,3.901477531483495,9.349598317824697,9.384204761017136,3.92775455753588,5.509647442871011,2.132866559977073,9.430668776863726,2.453330794787603
8.279242903006995,20.39445687829338,17.53606622680769,31.132218543780507,3.7183402729396025,9.113513755045735,9.15816092975304,3.872321803848096,5.239599887871313,2.09499821888648,9.305257433166316,2.3885841982225235,8.279242903006995,20.39445687829338,17.53606622680769,31.132218543780507,3.7183402729396025,9.113513755045735,9.15816092975304,3.872321803848096,5.239599887871313,2.09499821888648,9.305257433166316,2.3885841982225235
8.034636074677348,18.13662202673868,16.168048195145044,29.361132977304337,3.5176404615279013,8.827081606325613,8.92168903872237,3.806751674399069,4.996605750173167,2.056673250991551,9.108792539147888,2.323425850899302,8.034636074677348,18.13662202673868,16.168048195145044,29.361132977304337,3.5176404615279013,8.827081606325613,8.92168903872237,3.806751674399069,4.996605750173167,2.056673250991551,9.108792539147888,2.323425850899302
7.821674744990353,16.191430485434868,14.960340570712496,27.25039646054536,3.328117700648978,8.496256631728425,8.73700593592271,3.73126780339912,4.78436629980624,2.023706620179179,8.868627559975934,2.2639353408422265,7.821674744990353,16.191430485434868,14.960340570712496,27.25039646054536,3.328117700648978,8.496256631728425,8.73700593592271,3.73126780339912,4.78436629980624,2.023706620179179,8.868627559975934,2.2639353408422265
7.655149274507002,15.026346007536718,13.835979044093117,24.94944607891629,3.137756651555889,8.122328383628403,8.590298398573022,3.670697228567976,4.601317146710454,1.9979779344056896,8.551263969788964,2.209419392859491,7.655149274507002,15.026346007536718,13.835979044093117,24.94944607891629,3.137756651555889,8.122328383628403,8.590298398573022,3.670697228567976,4.601317146710454,1.9979779344056896,8.551263969788964,2.209419392859491
7.486371639516686,15.323241664507677,12.58578766166196,22.470896106236083,2.949481630409249,7.707114969644892,8.441255236358979,3.611418557900324,4.403448057783681,1.9749202163350783,8.18327762085226,2.158819106017243,7.486371639516686,15.323241664507677,12.58578766166196,22.470896106236083,2.949481630409249,7.707114969644892,8.441255236358979,3.611418557900324,4.403448057783681,1.9749202163350783,8.18327762085226,2.158819106017243
7.301898634485004,17.63806171835091,11.553185975192305,20.4234357056706,2.797682378186817,7.274133789243769,8.346618944226869,3.569669942983737,4.221947691546418,1.953258431443534,7.780299295029603,2.117795422490147,7.301898634485004,17.63806171835091,11.553185975192305,20.4234357056706,2.797682378186817,7.274133789243769,8.346618944226869,3.569669942983737,4.221947691546418,1.953258431443534,7.780299295029603,2.117795422490147
7.025018067391256,20.398929399935533,10.92839232920977,18.56844536894036,2.681832148024706,6.836979773374751,8.255692963532107,3.561935042651695,4.03685699853131,1.93324767299836,7.304169447998189,2.084232405897004,7.025018067391256,20.398929399935533,10.92839232920977,18.56844536894036,2.681832148024706,6.836979773374751,8.255692963532107,3.561935042651695,4.03685699853131,1.93324767299836,7.304169447998189,2.084232405897004
6.634786639446584,22.684733537343085,11.085887369921826,17.234695417353443,2.5805961775882253,6.430380243636698,8.175026613889573,3.574685644715552,3.873873212759568,1.9121628903191137,6.797673314644778,2.058211225663335,6.634786639446584,22.684733537343085,11.085887369921826,17.234695417353443,2.5805961775882253,6.430380243636698,8.175026613889573,3.574685644715552,3.873873212759568,1.9121628903191137,6.797673314644778,2.058211225663335
