Duration_Standard_deviation,Duration_Standard_deviation.1,Duration_Standard_deviation.2,Duration_Standard_deviation.3,Duration_Standard_deviation.4,Duration_Standard_deviation.5,Duration_Standard_deviation.6,Duration_Standard_deviation.7,Duration_Standard_deviation.8,Duration_Standard_deviation.9,Duration_Standard_deviation.10,Duration_Standard_deviation.11,Duration_Standard_deviation.12,Duration_Standard_deviation.13,Duration_Standard_deviation.14,Duration_Standard_deviation.15,Duration_Standard_deviation.16,Duration_Standard_deviation.17,Duration_Standard_deviation.18,Duration_Standard_deviation.19,Duration_Standard_deviation.20,Duration_Standard_deviation.21,Duration_Standard_deviation.22,Duration_Standard_deviation
65.242034620763,66.74540475297692,86.38799450471386,94.40727314353728,63.05500080853299,108.91607780864156,86.53966592770895,45.95664878457759,109.7678432658552,32.15349945602532,61.80265465433715,33.37340895168086,65.242034620763,66.74540475297692,86.38799450471386,94.40727314353728,63.05500080853299,108.91607780864156,86.53966592770895,45.95664878457759,109.7678432658552,32.15349945602532,61.80265465433715,33.37340895168086
64.24053294774237,63.5725974834937,86.9841249004748,92.59783834153409,61.24012608525313,107.08212875301712,83.75625831328873,45.61387830988354,108.93891229239765,31.58593258219756,61.165445257823016,32.53785321352748,64.24053294774237,63.5725974834937,86.9841249004748,92.59783834153409,61.24012608525313,107.08212875301712,83.75625831328873,45.61387830988354,108.93891229239765,31.58593258219756,61.165445257823016,32.53785321352748
62.87757942316227,61.62532235857303,89.86255299013635,90.08749865103324,59.15743624645877,105.2995046939759,80.56312527629555,45.28826973768141,107.65216998220188,30.84050098644609,60.7208159138535,31.927707172196733,62.87757942316227,61.62532235857303,89.86255299013635,90.08749865103324,59.15743624645877,105.2995046939759,80.56312527629555,45.28826973768141,107.65216998220188,30.84050098644609,60.7208159138535,31.927707172196733
61.13840537043615,62.99381093273998,95.51960758275033,86.56324519674415,57.028765045949456,103.497536168661,77.23397370565186,45.04041206529783,106.04018293453872,29.94689273112321,60.373681696326685,31.55030942660738,61.13840537043615,62.99381093273998,95.51960758275033,86.56324519674415,57.028765045949456,103.497536168661,77.23397370565186,45.04041206529783,106.04018293453872,29.94689273112321,60.373681696326685,31.55030942660738
59.29300158576443,69.12529595568813,103.62998226285966,85.12181708999749,54.83925824396268,101.29995634488216,73.90573680366961,44.81127846529103,104.20640510989868,29.039265247940023,59.991622759253474,31.32303284325653,59.29300158576443,69.12529595568813,103.62998226285966,85.12181708999749,54.83925824396268,101.29995634488216,73.90573680366961,44.81127846529103,104.20640510989868,29.039265247940023,59.991622759253474,31.32303284325653
57.38040079447755,72.00156955825241,110.66668847469468,85.7326024587704,52.590495820637216,98.0331772878509,70.83924165438525,44.663542755794914,101.91815315391744,28.092907394995624,59.35136075807992,31.16699486914604,57.38040079447755,72.00156955825241,110.66668847469468,85.7326024587704,52.590495820637216,98.0331772878509,70.83924165438525,44.663542755794914,101.91815315391744,28.092907394995624,59.35136075807992,31.16699486914604
54.94092677800996,71.01609705846222,112.39050591772674,86.11089369596442,50.12295445550284,93.56957129784256,67.5123991688521,44.22638617025696,98.8380426227474,27.047799057735745,57.94826524241956,30.918885939249705,54.94092677800996,71.01609705846222,112.39050591772674,86.11089369596442,50.12295445550284,93.56957129784256,67.5123991688521,44.22638617025696,98.8380426227474,27.047799057735745,57.94826524241956,30.918885939249705
52.45856621778293,73.66725429133054,108.89839584120249,86.31518937379894,47.66658908190388,88.6311842861147,64.18415508597953,43.548757269542776,95.22742340941782,26.03178652666402,55.87773135886039,30.578143248886587,52.45856621778293,73.66725429133054,108.89839584120249,86.31518937379894,47.66658908190388,88.6311842861147,64.18415508597953,43.548757269542776,95.22742340941782,26.03178652666402,55.87773135886039,30.578143248886587
50.324864213621936,75.95034885812528,102.25912861190812,88.12289039809727,45.10484416519313,83.75896881987367,60.990407463208506,42.82783130368969,90.98150970932588,25.184782191464468,53.29756894074513,30.11408021245437,50.324864213621936,75.95034885812528,102.25912861190812,88.12289039809727,45.10484416519313,83.75896881987367,60.990407463208506,42.82783130368969,90.98150970932588,25.184782191464468,53.29756894074513,30.11408021245437
48.73349516852711,78.86518102510139,93.72510744530751,87.17124159668258,42.46135477213389,79.51836613282472,57.91636307650884,42.06675812661798,86.43960494582221,24.619543076432432,50.69697292897702,29.379165853574783,48.73349516852711,78.86518102510139,93.72510744530751,87.17124159668258,42.46135477213389,79.51836613282472,57.91636307650884,42.06675812661798,86.43960494582221,24.619543076432432,50.69697292897702,29.379165853574783
47.434850402460384,82.06624599268734,83.57846949476698,88.0727777978359,39.62555921459938,75.8384216079767,54.83227254304124,41.21032577783877,81.20876728724505,24.287514231161783,48.00402578955743,28.23933865100945,47.434850402460384,82.06624599268734,83.57846949476698,88.0727777978359,39.62555921459938,75.8384216079767,54.83227254304124,41.21032577783877,81.20876728724505,24.287514231161783,48.00402578955743,28.23933865100945
46.38515395478856,81.01176653081323,73.6370784341629,90.97787605382776,37.05041983067117,72.37223164367155,51.7881678682496,40.46516181232924,75.94752862531388,24.103526367102745,45.934347370853445,26.88622701044963,46.38515395478856,81.01176653081323,73.6370784341629,90.97787605382776,37.05041983067117,72.37223164367155,51.7881678682496,40.46516181232924,75.94752862531388,24.103526367102745,45.934347370853445,26.88622701044963
