Counts_Skewness,Counts_Skewness.1,Counts_Skewness.2,Counts_Skewness.3,Counts_Skewness.4,Counts_Skewness.5,Counts_Skewness.6,Counts_Skewness.7,Counts_Skewness.8,Counts_Skewness.9,Counts_Skewness.10,Counts_Skewness.11,Counts_Skewness.12,Counts_Skewness.13,Counts_Skewness.14,Counts_Skewness.15,Counts_Skewness.16,Counts_Skewness.17,Counts_Skewness.18,Counts_Skewness.19,Counts_Skewness.20,Counts_Skewness.21,Counts_Skewness.22,Counts_Skewness
2.0609761571841,-0.3126248699735293,0.005112719810551,0.5062865056115324,5.466988888879723,2.039897243317405,2.6917517665905635,3.442706177111899,2.478463765996118,9.12468780489484,3.237564385065221,7.105734972306675,2.0609761571841,-0.3126248699735293,0.005112719810551,0.5062865056115324,5.466988888879723,2.039897243317405,2.6917517665905635,3.442706177111899,2.478463765996118,9.12468780489484,3.237564385065221,7.105734972306675
2.1164389044466665,-0.0948748627163031,-0.0279289837142173,0.4062443608779275,5.479015111519511,2.0389215082762906,2.715089318199948,3.4339768946918343,2.524743467360802,9.393439745531165,3.0913476957938064,7.246239472949306,2.1164389044466665,-0.0948748627163031,-0.0279289837142173,0.4062443608779275,5.479015111519511,2.0389215082762906,2.715089318199948,3.4339768946918343,2.524743467360802,9.393439745531165,3.0913476957938064,7.246239472949306
2.1647483506111405,0.3907119644810464,0.0138305291809798,0.4148978457821182,5.51933267197915,2.038946445094121,2.7248154146734773,3.435729359607351,2.6006717032849025,9.584129803273097,3.01974348801604,7.401017494351311,2.1647483506111405,0.3907119644810464,0.0138305291809798,0.4148978457821182,5.51933267197915,2.038946445094121,2.7248154146734773,3.435729359607351,2.6006717032849025,9.584129803273097,3.01974348801604,7.401017494351311
2.203352480337906,0.6778090898773287,0.1244405311061421,0.4844430202240691,5.5860464247946044,2.046774268637721,2.7260083347554485,3.4296878707323293,2.686749285265228,9.631681896714555,3.009608453972518,7.514542097469622,2.203352480337906,0.6778090898773287,0.1244405311061421,0.4844430202240691,5.5860464247946044,2.046774268637721,2.7260083347554485,3.4296878707323293,2.686749285265228,9.631681896714555,3.009608453972518,7.514542097469622
2.1761001711576267,0.7220421960839327,0.2447682422589573,0.6516792140104396,5.637006575275381,2.0657143608115134,2.7035379902634293,3.384562813509824,2.752903859113635,9.69398240110525,3.0152275572541125,7.619534296139643,2.1761001711576267,0.7220421960839327,0.2447682422589573,0.6516792140104396,5.637006575275381,2.0657143608115134,2.7035379902634293,3.384562813509824,2.752903859113635,9.69398240110525,3.0152275572541125,7.619534296139643
2.1395592821444747,0.6205882485290592,0.2982249641971346,0.8100428494190152,5.668991572413833,2.125687611455688,2.6740369565207467,3.2922567137469576,2.815554398625849,9.826740942567824,3.002547254389784,7.71697061820247,2.1395592821444747,0.6205882485290592,0.2982249641971346,0.8100428494190152,5.668991572413833,2.125687611455688,2.6740369565207467,3.2922567137469576,2.815554398625849,9.826740942567824,3.002547254389784,7.71697061820247
2.123425566753294,0.5045927407469419,0.3335298750907295,1.0006716630939094,5.711512479872349,2.2461521632140142,2.657297352691544,3.15593738357552,2.8571487863128366,9.536826233782278,2.99506250436113,7.748145610206793,2.123425566753294,0.5045927407469419,0.3335298750907295,1.0006716630939094,5.711512479872349,2.2461521632140142,2.657297352691544,3.15593738357552,2.8571487863128366,9.536826233782278,2.99506250436113,7.748145610206793
2.130951719167151,0.2373340227741633,0.4190640176680493,1.0938254706834938,5.745372397270798,2.396167255858412,2.6458098698997805,2.982930217692894,2.8625925125049787,9.42514866794598,2.9906574845393434,7.622740818849794,2.130951719167151,0.2373340227741633,0.4190640176680493,1.0938254706834938,5.745372397270798,2.396167255858412,2.6458098698997805,2.982930217692894,2.8625925125049787,9.42514866794598,2.9906574845393434,7.622740818849794
2.169299691671265,0.0380553851611797,0.4942374329384697,1.137865666847725,5.840270459348153,2.582657725194578,2.605007165671737,2.7683400835823457,2.8617440593337897,9.034940611465236,3.059986030045732,7.335282435119492,2.169299691671265,0.0380553851611797,0.4942374329384697,1.137865666847725,5.840270459348153,2.582657725194578,2.605007165671737,2.7683400835823457,2.8617440593337897,9.034940611465236,3.059986030045732,7.335282435119492
2.1853286235993865,-0.1673437089378142,0.5561620927333911,1.1186303043107118,5.96136404657026,2.725422795003343,2.5300887170087494,2.5434011379485626,2.817500730142108,8.421351195941222,3.23274877101309,6.8640073932303896,2.1853286235993865,-0.1673437089378142,0.5561620927333911,1.1186303043107118,5.96136404657026,2.725422795003343,2.5300887170087494,2.5434011379485626,2.817500730142108,8.421351195941222,3.23274877101309,6.8640073932303896
