RMS_Standard_deviation,RMS_Standard_deviation.1,RMS_Standard_deviation.2,RMS_Standard_deviation.3,RMS_Standard_deviation.4,RMS_Standard_deviation.5,RMS_Standard_deviation.6,RMS_Standard_deviation.7,RMS_Standard_deviation.8,RMS_Standard_deviation.9,RMS_Standard_deviation.10,RMS_Standard_deviation.11,RMS_Standard_deviation.12,RMS_Standard_deviation.13,RMS_Standard_deviation.14,RMS_Standard_deviation.15,RMS_Standard_deviation.16,RMS_Standard_deviation.17,RMS_Standard_deviation.18,RMS_Standard_deviation.19,RMS_Standard_deviation.20,RMS_Standard_deviation.21,RMS_Standard_deviation.22,RMS_Standard_deviation
11.968033550459412,13.374100716052236,16.64378375718798,26.345249713444485,8.976476113066143,10.88432790100074,11.018940319617425,5.042605035485707,7.855523579798266,3.9742604076593206,16.86380005476571,3.456908037045301,11.968033550459412,13.374100716052236,16.64378375718798,26.345249713444485,8.976476113066143,10.88432790100074,11.018940319617425,5.042605035485707,7.855523579798266,3.9742604076593206,16.86380005476571,3.456908037045301
11.710602707064345,12.288668069018083,16.202669525699253,26.188992454468668,8.5475690212326,10.820072497438296,10.676270886575791,4.952293377557058,7.604850673829171,3.868399448213601,16.610044619157954,3.321699783619382,11.710602707064345,12.288668069018083,16.202669525699253,26.188992454468668,8.5475690212326,10.820072497438296,10.676270886575791,4.952293377557058,7.604850673829171,3.868399448213601,16.610044619157954,3.321699783619382
11.449261647399656,11.643577311190873,15.530914452631658,25.699289504483914,8.081680944807635,10.751443511772118,10.275333261912694,4.814137087359684,7.357224895552736,3.74775040679664,16.122388668391892,3.1745700241819232,11.449261647399656,11.643577311190873,15.530914452631658,25.699289504483914,8.081680944807635,10.751443511772118,10.275333261912694,4.814137087359684,7.357224895552736,3.74775040679664,16.122388668391892,3.1745700241819232
11.192190501917224,11.145050193194551,14.83075673611959,24.97618356450881,7.6088786525142575,10.667759693656432,9.84770003714803,4.638174195962963,7.116123226376272,3.618945291279184,15.464048073733876,3.026644888964052,11.192190501917224,11.145050193194551,14.83075673611959,24.97618356450881,7.6088786525142575,10.667759693656432,9.84770003714803,4.638174195962963,7.116123226376272,3.618945291279184,15.464048073733876,3.026644888964052
10.954954664793402,10.811333670538716,13.846686967758789,23.97765476411684,7.1422418320088905,10.560744047198014,9.4138208702815,4.467243427073874,6.886484298587318,3.481891009292014,14.645980414406514,2.890440562798647,10.954954664793402,10.811333670538716,13.846686967758789,23.97765476411684,7.1422418320088905,10.560744047198014,9.4138208702815,4.467243427073874,6.886484298587318,3.481891009292014,14.645980414406514,2.890440562798647
10.694685293402692,11.062204684636374,12.733454497685502,22.588034610618525,6.703294467287111,10.416067563414362,9.048859223832295,4.315926880877003,6.654950934319226,3.3356024000966613,13.664717542268358,2.7785904888004835,10.694685293402692,11.062204684636374,12.733454497685502,22.588034610618525,6.703294467287111,10.416067563414362,9.048859223832295,4.315926880877003,6.654950934319226,3.3356024000966613,13.664717542268358,2.7785904888004835
10.331172357397689,11.46243402757425,11.713767499868442,20.95043641238337,6.282473159381369,10.141268209587528,8.769332896052328,4.198062664840722,6.403217758107016,3.1657329047857967,12.459262413820683,2.6827402721743825,10.331172357397689,11.46243402757425,11.713767499868442,20.95043641238337,6.282473159381369,10.141268209587528,8.769332896052328,4.198062664840722,6.403217758107016,3.1657329047857967,12.459262413820683,2.6827402721743825
9.89280102915113,11.028844066630995,10.914932846439632,19.243331822684542,5.948404050496756,9.807837018150844,8.58198884526082,4.126864140991653,6.147303715233253,2.995016431614103,11.22290587947458,2.6178976594481145,9.89280102915113,11.028844066630995,10.914932846439632,19.243331822684542,5.948404050496756,9.807837018150844,8.58198884526082,4.126864140991653,6.147303715233253,2.995016431614103,11.22290587947458,2.6178976594481145
9.394863231450064,10.960098269776038,10.540083948332391,17.912297921884054,5.68860876144591,9.410001439807226,8.520175594538914,4.091882441927293,5.906881121889229,2.825321568386655,9.980118952485238,2.574224631009884,9.394863231450064,10.960098269776038,10.540083948332391,17.912297921884054,5.68860876144591,9.410001439807226,8.520175594538914,4.091882441927293,5.906881121889229,2.825321568386655,9.980118952485238,2.574224631009884
8.8937174016647,11.279996018535256,10.502409977038388,16.83358014881677,5.4934784647768495,8.967145404258225,8.485924015682608,4.070972634034294,5.675283522668629,2.669590846918179,8.866707015921284,2.530496171126292,8.8937174016647,11.279996018535256,10.502409977038388,16.83358014881677,5.4934784647768495,8.967145404258225,8.485924015682608,4.070972634034294,5.675283522668629,2.669590846918179,8.866707015921284,2.530496171126292
8.374198466468927,11.550186665532715,10.49447703050671,15.81316061736613,5.32996262273282,8.477667533506166,8.477459783135645,4.030465389945361,5.443621410130235,2.5302785147118296,7.92449398561435,2.4699254217528512,8.374198466468927,11.550186665532715,10.49447703050671,15.81316061736613,5.32996262273282,8.477667533506166,8.477459783135645,4.030465389945361,5.443621410130235,2.5302785147118296,7.92449398561435,2.4699254217528512
7.848706696046693,11.251827538276272,10.687367078351706,15.24419326703101,5.172012486765071,8.009990355737678,8.486911938875055,3.960424400172996,5.250352180324847,2.430925196793408,7.2330396687334835,2.395234863428612,7.848706696046693,11.251827538276272,10.687367078351706,15.24419326703101,5.172012486765071,8.009990355737678,8.486911938875055,3.960424400172996,5.250352180324847,2.430925196793408,7.2330396687334835,2.395234863428612
