Amplitude_Root_mean_squared,Amplitude_Root_mean_squared.1,Amplitude_Root_mean_squared.2,Amplitude_Root_mean_squared.3,Amplitude_Root_mean_squared.4,Amplitude_Root_mean_squared.5,Amplitude_Root_mean_squared.6,Amplitude_Root_mean_squared.7,Amplitude_Root_mean_squared.8,Amplitude_Root_mean_squared.9,Amplitude_Root_mean_squared.10,Amplitude_Root_mean_squared
7.511382822845508,7.13882504276425,7.221853434653919,8.12064654586352,7.46618232885606,7.964094943856033,7.6582458854803965,6.468200170392136,7.63194014799396,6.582244679782391,6.575686965003471,7.182448674030265
5.9332949881670345,12.433641783420526,5.9130616067575525,6.097882979915454,6.099134604352704,15.596341558827568,5.549871126303458,7.736979616355337,5.790189012320634,6.857134808746261,7.13545627399352,6.876771450205033
6.782661181006065,5.367284009384013,4.604269778861186,8.365149516193412,8.622263546175041,15.059282485515109,7.1172420915608265,6.75799785905656,6.462242587939434,5.977499153564786,4.847810880202166,7.813255489454915
9.840887449880777,5.455550889560788,6.0590324180971535,6.037333483539984,5.811059499217604,14.522223412202647,8.998716187291222,3.116396762893891,7.821635034539883,5.097863498383311,2.9467412793477266,4.9066922663157975
8.065938612493493,5.543817769737564,7.513795057333121,10.61049717962796,5.8543134609008565,13.217408563385558,7.446635777971861,2.198072151446976,7.252334353735501,4.218227843201835,2.8297085219643368,4.699531623446282
7.948678997497731,5.63208464991434,3.627804048457387,3.3623700803220458,6.408400580253582,11.912593714568466,5.894555368652499,1.9458803183294369,12.302094531252594,5.5852802887722,5.088205724058333,4.550482563016129
7.821816052021883,5.720351530091115,4.1107299118287965,4.96880919717847,6.962487699606307,5.877661867034168,4.3424749593331375,2.729624899897481,9.12082023643534,5.361274066896115,7.346702926152329,3.504871109187348
7.457977049380509,5.80861841026789,4.593655775200205,8.60202157248348,7.516574818959033,8.481740051218912,6.540989448816479,5.471566421711033,8.846791523803816,5.137267845020031,4.120953451945195,2.8276305197701936
7.099720161764467,5.896885290444666,5.076581638571615,8.196982308141713,4.538046705786218,5.8687404433350014,7.257793133047446,5.223137103442422,8.57276281117229,4.913261623143947,4.232693838426748,3.458039461728319
7.419437618151865,5.985152170621442,4.032465687146162,9.644554695759805,1.5595185926134043,3.255740835451091,7.974596817278413,2.3032681001124944,4.714108194509124,4.689255401267863,5.151622328200436,3.619201851328413
5.551591560615953,6.073419050798217,6.190722035715901,6.544362458245441,2.517943206596668,5.930958185566495,8.69140050150938,1.4357615547199287,9.023358493643062,4.465249179391778,4.206158295469398,3.526512639526394
