Counts_FM4,Counts_FM4.1,Counts_FM4.2,Counts_FM4.3,Counts_FM4.4,Counts_FM4.5,Counts_FM4.6,Counts_FM4.7,Counts_FM4.8,Counts_FM4.9,Counts_FM4.10,Counts_FM4
9.40844734429552,4.510188075015767,5.970970763179583,4.917931803416951,5.380039216589626,5.834497536315849,32.64174125373564,11.759874150215657,3.194444800282925,2.000821797326127,1.5321651812018953,40.664253192078654
4.126082201250518,1.2309761358151032,4.256969217919517,2.014855423361619,2.317257980078072,1.6923600918451505,2.760756828905689,2.7749078076984333,1.8687051072373475,1.5000000000000002,1.6735431207111655,2.323381527241928
2.7907812144927417,1.0,2.5429676726594503,4.576169902738194,1.0,1.596180045922575,1.9743643127218071,5.7633726473154665,1.5000000000000002,1.621396180496403,1.0,2.336260702242594
2.4700201055353257,1.0,1.7714838363297252,1.930492700600133,1.7107867253607114,1.4999999999999998,1.5,25.86674119565032,1.4999999999999998,1.742792360992806,1.0,8.881179047264894
1.8460767719655504,1.0,1.0,1.160059590043907,1.0,1.25,1.535494225846192,4.383730575658069,1.5000000000000004,1.8641885414892088,1.0,4.422201731888383
1.8990408475380072,1.0,1.0,1.483761572798281,1.1666666666666667,1.0,1.570988451692384,18.689756746700382,1.0,1.4999999999999998,1.3498946596719676,5.653889095889024
1.9253148967627511,1.0,1.166666666666667,2.9937145615884946,1.3333333333333337,0.9999999999999998,1.606482677538576,7.604776876718117,1.0682120446959391,1.4999999999999998,1.6997893193439353,5.024247131822739
1.9563770157135367,1.0,1.333333333333334,1.5462876566454693,1.5000000000000002,2.1324256456560216,1.0,2.4853755261492485,1.0341060223479697,1.4999999999999998,1.0,7.244005324840287
2.2198712031272927,1.0,1.5000000000000009,1.9195264391179707,1.25,2.330900740195305,1.0,2.4320403486624604,1.0,1.4999999999999998,2.9130684087883227,3.0478476254992275
2.331572150112972,1.0,1.0000000000000004,1.2298253166946491,1.0,2.5293758347345885,1.0,1.8233461474772288,1.0,1.4999999999999998,1.7327164721003254,3.2164246242106733
2.2406678368508666,1.0,1.2500000000000004,3.075189677101892,2.920163164233699,4.083400435736482,1.0,15.308798038187106,3.829491938280251,1.4999999999999998,2.810915300791478,3.998636031277376
2.3137316726656887,1.0,1.5000000000000002,1.6976529663078943,2.099494883528554,4.176144256088582,1.0,91.93009667745436,2.1977450284691447,1.4999999999999998,2.405571764105234,3.0362985131186924
6.084004346893764,1.0,1.4999999999999998,1.5,1.587596565161648,32.86850626015752,2.651490404545872,8.344224486840023,1.2503836905757515,1.4999999999999998,2.373817905489283,3.0247725918260207
6.470379149360656,1.0,1.4999999999999996,5.687601470341457,1.9468876855082933,3.1167255293763865,2.4550441022746883,7.259802828267825,4.968394507114997,1.4999999999999996,2.115210671603591,3.1224665285826023
5.020265066977433,1.0,2.1239424644899207,1.0000000000000002,1.6312584570055289,3.344657551991552,2.2585978000035047,13.511386724570462,1.3405548598890975,1.4999999999999996,1.9059781555279065,3.018150296300653
14.486396637953412,1.0,2.0348078267056464,2.234329402719486,1.3156292285027644,1.0000000000000002,2.062151497732321,7.832914776942,1.358934255561717,1.4999999999999996,3.172510482602203,3.873575434694339
2.6983945189783767,1.0,1.945673188921372,1.311132325396631,1.0,1.3584279749677148,1.8657051954611368,7.237667023664367,1.826359754761853,1.4999999999999996,1.701909245847749,2.8053598903273778
3.5640429983392328,1.0,1.856538551137097,1.4441743028931553,1.2022007009269524,2.375605046226932,1.6692588931899537,13.092090449582722,2.293785253961989,1.4999999999999996,2.08466039598151,3.970721924138635
4.692288504166568,1.0,1.767403913352823,1.0,1.4044014018539046,2.3154276091409853,1.5846294465949768,17.099913138756335,1.591794951670223,1.4999999999999996,3.299728127847044,3.3041213878760205
