Duration_Central_moment_5th_order,Duration_Central_moment_5th_order.1,Duration_Central_moment_5th_order.2,Duration_Central_moment_5th_order.3,Duration_Central_moment_5th_order.4,Duration_Central_moment_5th_order.5,Duration_Central_moment_5th_order.6,Duration_Central_moment_5th_order.7,Duration_Central_moment_5th_order.8,Duration_Central_moment_5th_order.9,Duration_Central_moment_5th_order.10,Duration_Central_moment_5th_order
-917028867154.7516,-205026710320.02777,-46629560219864.78,-6751066728730.105,-7097898843915.505,-1188867123671.6616,-1.0309866565784e+16,10445542874047.576,83072704135.20747,212230708080.68948,10299420252.972157,-1165678095077159.8
-123901479269.84142,863899753006.5961,-23299803428977.777,74013736700.31737,-43992028753.76249,-4461846516687.988,77613428145.00319,-269442675646.3473,2020474128.498292,-8649213228.155064,480390166514.0511,-4796673223.186743
-5264035042.090849,0.0,29953361909.228046,-3287269105861.594,0.0,49282889135171.25,751143486208.8212,-4048588535.587962,64138824.8251431,-9766497695.954384,7.62939453125e-06,-11099195772.885183
-304098803175.232,0.0,14976680954.614023,26001960457.176098,25543318447.458,103027624787030.5,4041715351859.89,-1967841284313.094,-10070660155.695078,-10883782163.753704,0.0,-73914651727.07146
-132590580449.59752,0.0,0.0,979125659006.775,0.0,51513812393515.25,2693571114893.3057,145257157.49193394,-2500278696.739309,-12001066631.553024,6.103515625e-05,24616834419.373425
-89476046317.61195,0.0,1.5347723092418164e-12,-4723466184.369667,866168246719.4037,0.0,1345426877926.7207,1800419296.6309216,0.0,-281665890947.0001,76263430126438.89,16780724971.61805
-110738436819.70032,0.0,-8224376083.2365,-5091458000.068364,1732336493438.8074,0.0,-2717359039.863651,8161197728.732669,53371201300.92884,-262469498729.1713,152526860252877.78,5103260079.422205
-103486823904.13138,0.0,-16448752166.473,45845773079.84534,2598504740158.211,859489524434.5149,0.0,41068729608.9441,26685600650.46442,-243273106511.34244,0.0,5518082553.89221
-64977002055.18105,0.0,-24673128249.7095,303949450622.5717,1299252370079.1057,430335986120.6752,0.00048828125,3406661143.768198,0.0,-224076714293.5136,86026703.83359072,-4414043866.433214
-85311096117.73819,0.0,-3.4924596548080444e-10,-1328874702018.056,0.0,1182447806.8356233,0.0009765625,1482989263.5907855,0.0,-204880322075.68475,-2824329376.176324,-6365811822.247783
-22077096123.321392,0.0,-5726618494.673457,-277627858740.4306,14652422.995982416,-598219076367.6915,0.00146484375,-553719281.4185718,-269157288409.4264,-185683929857.8559,-369512670.88607645,13548116237.46025
-113899759409.35452,0.0,-11453236989.346914,35859247227.34209,535924831633.0693,371083509.56746966,0.001953125,147469540.25409794,-688355610.9440593,-166487537640.02707,-141510080.24953768,-1970204994.114952
873220353.1773505,0.0,175318.7791009318,22792280043.66785,496152.78572308086,4024274999.0379896,40500095208167.76,-287056247.16740215,-302539858356.3317,-147291145422.19824,489801860.3753039,-27160675242.39573
-488240271.6735236,0.0,5215026.285907633,-65485655112.45906,-370859191.400547,6787363585.940805,32400896832060.01,748519736.8641516,-61549174913.68771,-128094753204.36938,-1995636303.6414056,-2665891604.8465047
85109049.09038645,0.0,8451311370.407975,0.0,-247239460.933698,261854230.50175363,24301698455952.266,414284234.0618479,68629334435.80313,-108898360986.54053,-882923099.1937388,-1383746533.5285609
-382039838.957422,0.0,3210929987.313774,51687034911.91071,-123619730.466849,1.788139343261719e-07,16202500079844.516,-2018871304.1019328,77768751273.49954,-89701968768.7117,-3889972989.9971313,-11610121227.505978
-531638273.2389017,0.0,-2029451395.780427,-342357594543.88904,0.0,-101080513743.17848,8103301703736.77,845391776.0084057,49117559074.50907,-70505576550.88287,-1914949612.346959,1264294166.0472643
7295626.908646673,0.0,-7269832778.874629,1802856597839.827,15524.039257568204,-21472230686.63109,4103327629.0196095,79504202.92915414,20466366875.5186,-51309184333.054016,-6189491652.498431,-137194863186.80196
142385787.07809085,0.0,-12510214161.96883,-1.5570549294352531e-09,31048.078515136407,-8956999316.949375,-111118518948.87444,502422810.8359331,-62772695888.91445,-32112792115.22516,-76449845653.26958,-5001170109.461733
1783406038.5406306,0.0,-17750595545.06303,2342148603804.1377,46572.11777270461,3558232052.7323365,-226340365526.7685,2010346225.74228,1170489771.8121855,-12916399897.396332,-16986176579.63147,-1171009133.996135
10022674.335045183,0.0,-22990976928.157234,-2753890058502.976,-195602.78793799,0.0,-16255978591.854897,-144001436.60308236,117785295.41049592,6279992320.432513,27869316.9722935,-58216703512.4473
279038885.70713234,0.0,-28231358311.251434,110347665476754.84,0.0,21008971396.210625,193727377587.10883,-221007897.3164909,46166917055.08749,97920379801.56444,1201469046.6292386,-115242342151.5298
3311463842.0290875,0.0,-25408222480.12629,18902857002930.816,-38640556.03365331,930196014.1956366,403710733766.0725,969728543.6643996,410128787031.0746,189560767282.6964,6191821849.283498,-14445497963.985708
-131032198.50702643,0.0,-22585086649.00115,8.344650268554688e-07,-77281112.06730662,-168379758736.0528,201712150750.5612,-1688759851.6982307,-24881774000.34451,173764036675.80505,144323597.81591776,-50462994706.11208
-1450378033.3979452,0.0,-19761950817.876007,17804392090397.145,-115921668.10095994,0.0,-286432264.9500723,20194936615.292305,-192018771917.1246,157967306068.91367,-609819099.968553,-1421470807.2278855
5293845532.992337,0.0,-16938814986.750862,364294159384.9391,281964422787.9049,0.0,18139918781.35909,12762295371.10018,1314101408.8733735,142170575462.0223,62438105.031526096,39806486565.27596
-35294092448.42476,-1.788139343261719e-07,-14115679155.62572,-19449843387.63204,0.0,0.0,3405027125.2006187,-7233849056.843617,166659519601.44565,126373844855.13097,-21118345059.435898,-57191663465.70858
-2411741110.7040577,-1.70922200930746e-07,-11292543324.500576,-303292096786.0183,0.0,0.0,0.0,2726539442.1472363,97979481577.5261,110577114248.23958,44491988073.98873,-71702466090.81215
-90568732.10492828,-1.630304675353201e-07,-8469407493.375435,-25600207955.16647,-841417542566.1464,0.0,0.0,274173807.45739496,85045379397.66673,94780383641.3482,91976936463.02364,-60227970878.566444
-219951105.35222623,-1.551387341398942e-07,-5646271662.25029,-131041289743.01315,-590692920445.5778,94147053031.33968,151740223918.39984,217597525.62270537,1418446768.9249918,78983653034.45685,0.0,-132530067358.35477
287806887.70831823,-1.4724700074446834e-07,-2823135831.125145,3256787203296.469,16284520379.53148,-2231368125533.5483,2.40106601268053e-10,101979159.62800334,-911179888.8888088,63186922427.56548,58165098859.01047,-271124080328.5747
2157207056.336828,-1.393552673490424e-07,-2.6226043701171875e-06,-3898613188478.722,3097041561.603716,12459292.57977909,1759638998.9971497,2617798764.834032,9856437258.50442,47390191820.6741,-23729652742.05657,-139573216232.81503
11279439695.192022,-1.3146353395361652e-07,-2276919075.095856,338691416906.1228,6.261657858885884e-14,-2361305800.8232384,1173092665.9980998,371189113.5418853,110024897143.22977,31593461213.782745,239009369645.6354,-193242837241.5871
12991734781.217716,-1.2357180055819061e-07,-2023928066.751872,9876634115.755426,25598680585.29243,1341876871.845229,586546332.9990499,-1095958017.9441414,5614161660.519842,15796730606.891388,-20113674806.134323,-84194644883.16797
7043703662.144789,-1.1568006716276473e-07,-1770937058.4078882,-17823921915.44366,135561437930.71692,8646431958.914488,-4.842877388000488e-08,789480196.877074,63104125168.26743,0.0,5248642120.180973,-591433237818.6066
6031846323.742064,-1.0778833376733882e-07,-1517946050.0639043,8745835450.001806,4601060561.084473,-20734289012078.543,42148118846.83567,2847561473.065833,375637461246.4959,0.0,-1590847780.20769,-67754502569.74249
4878276403.314223,-9.989660037191293e-08,-1264955041.7199202,-18689474844.334686,-418677267.517012,170354454196.69742,84296237693.67134,-5064736431.318007,82849563150.04817,0.0,-233245943.21086448,-351591916455.2551
37559033937.15272,-9.200486697648704e-08,-1011964033.375936,10300282149.69479,42815440.34237123,139640129956.25793,70246864744.72612,-3112325990.373249,-133847297987.09294,7.62939453125e-07,7140727719.162689,-51829850991.28965
898264557.159115,-8.411313358106112e-08,-758973025.0319521,-43618554437.409645,405384741.6808927,-16593046144.327084,56197491795.7809,731710422.0444133,-367989545230.001,1.52587890625e-06,-3308882341.677242,-166841192050.49692
12245613641.548534,-7.622140018563522e-08,-505982016.68796825,131245532395.13542,7539550196.437548,4525376230.370852,42148118846.83567,-147546247.79507682,285314373140.85443,2.2888183593750003e-06,1628522287.042486,10857701047.291405
5322892109.241974,-6.832966679020934e-08,-252991008.34398413,76965351250.5378,1852889548.9534984,-122716315926.28156,28098745897.89045,-1369963483749.8408,72330691374.33466,3.0517578125e-06,-16173824693.84464,21727592975.76141
4417541534.271048,-6.043793339478343e-08,0.0,-96237104212.57603,5847774979.504968,-6544831524.92334,14049372948.94522,-140065878.86924854,-4877100399.513367,3.814697265625e-06,19099926091.627262,-39350817440.55146
10012536348.574713,-5.2546199999357536e-08,-252304003.93536887,59964448330.6256,5923544409.552466,-32059461096.603672,0.0,-20916738336.725098,-1043670677.4078376,4.577636718750001e-06,7870583.879842541,91217785731.29916
