RMS_Central_moment_6th_order,RMS_Central_moment_6th_order.1,RMS_Central_moment_6th_order.2,RMS_Central_moment_6th_order.3,RMS_Central_moment_6th_order.4,RMS_Central_moment_6th_order.5,RMS_Central_moment_6th_order.6,RMS_Central_moment_6th_order.7,RMS_Central_moment_6th_order.8,RMS_Central_moment_6th_order.9,RMS_Central_moment_6th_order.10,RMS_Central_moment_6th_order
19038486.409907173,28967766.383235566,69976894.20155407,120824561.6461976,350395310.00746363,267453549.9916988,95015494.94748664,396770002.2449608,28060453.3378971,18028942.33707697,43137176.33266924,67122629.08486143
4890375.648748206,663562.6043651336,35098657.75880871,1213439.3542298097,3598.768664400506,1566371.6808432024,120031.51769207188,2364786.0538136903,38994.042094491895,1591.532639562358,5208.191376948272,1446799.642777298
8944936.82775076,10334.39770521316,220421.316063342,503657.78694908303,8.038705766945335e-06,785685.874566387,10537.17833343402,478397.9247695946,622.7060866548497,41829.67367683919,7.06923453414097e-14,244733.8441429381
123576075.77751528,9512.198598366656,110506.54637531568,2.94180722048139,1612.929599941765,5000.068289571717,14.855126808919737,1558485.6890386613,30.97299779057826,82067.81471411602,2.731493622893738,12966.90678123721
78281152.28832151,8689.999491520153,591.7766872893269,1.1655660373248584,39001.05870068591,2651.163726229427,54213.01351251588,8730.81282201587,0.6542241817453138,122305.95575139284,0.0085609456843705,150951.79432333438
2358374.298647823,7867.80038467365,10.866050789501893,189.7453618660664,26193.580854023858,302.25916288713665,108411.17189822283,531.8530492839432,5.063245213755192,17013.30911742789,24.508620907318328,212905.93613127025
2774184.4486664385,7045.601277827147,337.2514406618737,4258.072748711157,13386.103007361806,0.0003028370320654,162609.3302839298,103.31706500536534,1232018.3926731958,15879.942904386742,49.00868086895229,50991.88763947554
694055.3674786718,6223.402170980644,663.6368305342454,1011.3167010553632,578.6251606997574,4292646.254392554,527325.3239350984,36895.684421739534,3310060.9923150865,14746.576691345595,5661.579062152118,332036.12654972536
790855.0681837918,5401.203064134141,990.0222204066172,14158.187948306771,289.3125894577814,2620404.158614128,396767.0112560711,5567.563197779136,5388103.591956978,13613.21047830445,134512.44784069934,586307.0540687074
81768.32831896946,4579.003957287638,221859.35040500283,33406.99690387848,1.8215805439574094e-05,948162.0628357012,266208.69857704383,426.9398180410776,65153.32296117588,12479.844265263304,25091.500158332,1113584.8310665009
716270.978549703,3756.804850441136,260035.62256810247,2389135.513287876,1902.755230701272,826110.8958306595,135650.3858980165,910.9547332658144,60004154.80637469,11346.478052222155,235044685.7343738,280304.1395447952
2343026.2062422493,2934.605743594632,298211.8947312023,12122291.515103238,3830.85531593574,130175.54599012036,5092.073218989264,5263.458496072365,153855.97506180336,10213.111839181012,317835.09357073915,570465.3342525914
732807.2967689323,2112.406636748128,1910242.81200308,33030665.248875,3381.7949414762365,14835.899835265049,17870.641488910187,121.76679798180116,11183.376007994124,9079.745626139866,6685230.1785740405,381245.3474707575
5334.645566434821,1290.207529901625,8235.458367567,53811.94716055169,18469.341716490195,1528439.2490829078,24376.440719749364,1379.1918380695847,7731.671159870228,7946.379413098719,7182299.1015592655,366317.8939429896
8491.966836398575,468.0084230551215,183076.76869368675,78.1255410650235,67297.98049259384,550748.8534638168,30882.23995058854,2098.9727467950765,2106575.127215397,6813.013200057572,4033920.87086394,412931.2847741206
45426.62198072405,1320.4545851006592,962339.6217148624,12364.229484500862,116126.61926869748,23.85216189855564,37388.03918142772,4747.336516759434,85194.43330410116,5679.646987016426,476439.778215677,1197461.3410202572
13081973.392965795,2172.9007471461964,1741602.4747360377,15242.406326114517,164955.25804480113,2537.362504987183,43893.838412266894,18222.99779893009,1368724.762398027,4546.280773975281,563311.475014626,405162.57673134
836370.6221904195,3025.346909191734,2520865.3277572133,9431567.115497468,109974.19531192622,933284.909312471,50399.63764310607,3680.465426488231,2652255.091491952,3412.914560934134,278639.0434934087,1300737.2112567923
846109.6574243093,3877.793071237272,3300128.180778389,153960.05133076414,54993.13257905131,512310.04880869866,25589.627422628724,2012.1284056260072,14159.244993028537,2279.548347892988,2301058.630558933,987569.4314809344
