Counts_Central_moment_6th_order,Counts_Central_moment_6th_order.1,Counts_Central_moment_6th_order.2,Counts_Central_moment_6th_order.3,Counts_Central_moment_6th_order.4,Counts_Central_moment_6th_order.5,Counts_Central_moment_6th_order.6,Counts_Central_moment_6th_order.7,Counts_Central_moment_6th_order.8,Counts_Central_moment_6th_order.9,Counts_Central_moment_6th_order.10,Counts_Central_moment_6th_order
198549627513.7765,12431631510.8666,386860061729.8798,97974989265.00787,100917865522.722,116772888058.92824,1046410137424298.4,108962735438.69676,3637953666.009438,491191589.2382674,460910383.0506077,98337894600702.6
300169418.2761235,2247104920.109751,193439279753.55777,440678382.9079774,177044317.09083852,33379197857.287857,288653502.304274,2997469893.740825,33042245.08316438,15441128.380806943,1042215444.6538696,438389211.28668666
509776106.0169301,1624017.8265281154,18497777.23571994,67722990115.2136,8228042.127733186,664360336027.5248,603875460.5111,145269436.80867216,5844235.227367173,64720611.18361138,88387337.58459555,77080494.94147316
2735817000.581851,1488683.008097877,10564942.377756732,198406600.58356723,187192.56523688167,1295341474197.7617,3947262779.522236,11549178034.425398,189721452.0567909,114000093.9864158,205526.53877373348,1083805397.86594
718787560.2773479,1353348.1896676389,2632107.5197935225,2577803939.469059,1616372.8942599664,647793300767.3173,2631844875.2926097,13798251.820665268,1693036182.187804,163279576.78922024,133655.2741783633,397303285.44575393
695111179.035721,1218013.3712374005,2.223410553052829,34529190.33654884,6503083068.013709,245127336.87269488,1316426971.0629835,2768688.395994929,1453040070.8938277,3210781021.3738365,32902126711.438618,528122522.9557459
771308596.3089857,1082678.552807162,1501063.1095619365,1139088017.2086563,13004549763.133158,95486.79502610874,1009066.833357492,8874248.859280553,143069856.35745156,2997968196.975436,65804119767.60306,74320131.58858976
610214308.5078808,947343.7343769236,3002123.99571332,699574638.2355238,19506016458.252605,3114459225.600278,220558.4670894462,209836057.24597165,72987221.28572568,2785155372.5770354,2931470.650028362,77456276.92714117
613520374.7959443,812008.9159466854,4503184.881864703,2422641167.1239343,9753018066.927082,1632379007.5346255,48119902.29364876,79859286.75359885,2904586.2139998204,2572342548.178635,13332166.48218398,37473989.4988688
602817435.6916339,676674.0975164471,36627.6764899753,11308249276.325603,19675.601557432783,150298789.46897292,96019246.12020808,2351293.4816136123,278757.15266221133,2359529723.780235,34313761.49788464,58040185.00246748
197959123.4513645,541339.2790862087,28120743.899551693,21755654918.161564,18877.480264581285,1368547572.7868104,143918589.9467674,27537861.065917213,41179862692.55605,2146716899.3818345,36515717.606856085,166436577.07863265
953753723.6923288,406004.4606559703,56204860.12261341,192487023.0937585,1245498623.3478782,298406.9206744878,191817933.7733267,3612416.49550065,4886901.240997354,1933904074.9834328,10660291.09946277,254296179.8121009
20882621.272295546,270669.64222573186,19557.969300857443,25771631.68601464,6037.135473612952,117946684.59500974,51453946324.297714,1481271.5780976494,1308521959.2855,1721091250.5850334,7787878.549848829,384562537.54716027
510899.1735598211,135334.8237954937,252.11329116197305,469682956.4812316,288859.55652540206,7928268.394229014,41176723965.90181,1532835.3323440007,1437614343.3875935,1508278426.1866329,26931935.01358102,479448168.85665417
2748178.6617111573,0.0053652552102892,4766883.828790044,662.2511817413738,193308.32459100487,1934457.382319732,30899501607.505898,3671431.198678888,1318308597.832878,1295465601.7882323,33401345.947700303,96046619.81539372
4041233.337152475,574217.2100975907,16368907.297910465,4528739718.330812,97757.09265660773,164601.35665639534,20622279249.10999,21969515.424260754,12742017.445022888,1082652777.389832,82545085.09529632,326735447.71253145
8595661.56240547,1148434.4148299263,27970930.76703088,467306669.6326615,2205.86072221052,137663283.5714994,10345056890.71408,6622524.187710925,55313567.903760605,869839952.9914317,32187561.86184133,343601189.26702183
392946.4389202311,1722651.6195622615,39572954.2361513,3881131285.404045,1513.7187849593388,173448157.5724228,67834532.3181729,12306018.618022824,97885118.36249831,657027128.5930309,222146254.9139126,340029201.46306247
30701597.897118475,2296868.8242945974,51174977.70527172,2.921861121809482,821.5768477081572,202833544.84619656,1092406520.432817,371485.7286388486,366761736.3594445,444214304.1946306,1052440468.498848,209321076.3328966
15685156.286241032,2871086.029026933,62777001.17439214,17462465013.11252,129.43491045697533,232218932.11997032,2116978508.5474613,500119.4531172721,20709419.26095813,231401479.79623032,145937691.1459399,373732020.7320774
2091912.8484007504,3445303.233759268,74379024.64351255,7688417515.046921,65.20271049778088,42.2835570771266,304856099.8165485,83363.0751395281,158765.8385995526,18588655.39782976,1353130.6525648984,894601916.262647
3915725.63131932,4019520.438491604,85981048.11263297,1779701453851.528,1.6561288179830013e-07,69041562.61760728,852835211.6914048,3884138.685829352,2326754757.37158,34938677.76845873,28097162.43793414,721839024.099676
19622495.663365733,4593737.643223939,77417717.89735384,316951878959.3089,6614.935555669327,10988048.836832946,1400814323.566261,1909163.1852227875,1558338384.1981907,51288700.1390877,79234193.99450642,442024775.6506629
4241934.011229134,5167954.847956275,68854387.6820747,280894.3614107806,13229.871111173044,425606464.3226795,958531883.4794092,2372886.919928992,238208505.4232776,47467591.25213485,9898025.76304498,1315443194.9365716
6556248.084006135,5742172.052688611,60291057.46679556,58808574746.77837,19844.806666676755,3488438.3205545004,516249443.3925575,7969187.140061861,2046641584.1274064,43646482.365182005,12239848.828016484,1276120624.599468
35144857.573128425,6316389.257420946,51727727.25151643,9670012675.145966,385956464.8980995,2546015.713770067,73248164.14556144,20994183.766717024,4149519.321338204,39825373.47822916,205111.360791298,698546094.7229325
5090148.98617118,27971.499857958366,43164397.0362373,224159694.16050848,88.5710387598045,1717631.6852334016,30906649.52410329,44151415.468226366,797528566.671518,36004264.59127631,63645372.01317358,1165883504.3756807
62491453.41962364,31832.44934389361,34601066.82095816,1582686588.606841,649.7286393056654,889247.6566967361,5680.225478731277,1392037.684017732,487752504.3691548,32183155.704323467,114828664.3418642,1769199566.5703557
