Duration_Central_moment_4th_order,Duration_Central_moment_4th_order.1,Duration_Central_moment_4th_order.2,Duration_Central_moment_4th_order.3,Duration_Central_moment_4th_order.4,Duration_Central_moment_4th_order.5,Duration_Central_moment_4th_order.6,Duration_Central_moment_4th_order.7,Duration_Central_moment_4th_order.8,Duration_Central_moment_4th_order.9,Duration_Central_moment_4th_order.10,Duration_Central_moment_4th_order
381488860.6740105,1714383.4743232448,54659338.2282422,10254379979.16817,961885.9531631256,1914921812.364913,9636564716.755323,12653838.882844009,13785241860.680618,1535871579.3510914,172906609.40899295,343074803.36886096
1094477513.7438557,1918210.0161861847,109274245.03451988,369784511.24333954,2202647075.052448,35939710.38530077,12840269824.09703,3495660.0336427623,20379439.310145624,1390910750.904329,105929919.854637,505205589.3321609
87661079.9873859,2122036.558049124,43804.96556087511,183822078.64228472,205178.6637696983,159292321.16077772,84807638857.55612,10706128.692857224,3135020026.3834586,1245949922.457567,60570880.73057393,674354420.4588015
31621798.867864054,2325863.099912064,301411.03068457515,1083126891.2314718,9251819.11282979,374237302.9752966,67942319699.53906,23510818.24264342,702289075.4332585,1100989094.010805,127897237.38385011,698662315.8558283
9257078.257770184,2529689.641775004,71071673.88550384,204593387.16023448,6508965.864969792,16704822.73868713,51077000541.52201,5706272.40994556,1268738787.2462206,956028265.5640428,69804289.38680659,401731524.8028439
15240082.750967912,10835607.500206135,138197054.86384714,3306427153.598818,3766112.617109795,11883353.001357082,34211681383.50496,28000833.2135822,694247469.9254463,811067437.1172807,128563660.54855607,697056972.1017658
164682230.53917566,19141525.358637266,205322435.8421904,2451262790.8338675,1023259.3692497986,1513526475.4545083,17346362225.4879,14846985.036702909,790549455.8799016,666106608.6705186,170082121.14604247,844846390.6969988
7442856.350289719,27447443.2170684,272447816.8205337,7410463746.799125,686619.2349802954,794450587.1393231,481043067.4708394,6549175.717019742,886851441.834357,521145780.2237563,285574748.14384484,812624685.658393
27382263.17250306,35753361.07549953,339573197.79887694,10970.600933827642,349979.10071079235,722355988.8046606,2970387916.2400694,19121738.77935945,855459092.1570935,376184951.7769942,1027639008.3997904,501462185.5938558
88348692.45608002,44059278.93393066,406698578.7772202,10753940249.852615,13338.9664412892,650261390.4699981,5459732765.009299,21127947.592293203,56425400.50391864,231224123.3302321,246087719.0359588,710312812.3994842
11826871.72383833,52365196.79236179,473823959.7555635,11135492196.493923,13343.95927413236,1445106.1354999165,154020157.2833241,3054686.117100921,5852747.845091928,86263294.88347018,2095409.078714024,1115009880.6810856
43839918.4780802,60671114.65079292,540949340.7339067,146218542170.6645,937.9654632506332,176190670.9853029,1010217108.6933289,26193618.7041522,2556843280.202977,906457411.467594,87507054.84217635,1087500618.599828
60702653.25005402,68977032.50922404,490600483.02558863,34064073762.208435,1136309.2717004798,24848246.688660752,1866414060.1033328,30609811.657484982,3154550735.785953,1726651528.0517178,479642364.686508,571380980.4747053
18357599.703993343,77282950.36765517,440251625.3172706,25575532.5430888,2271680.5779377087,1489071076.661579,1200732337.275952,57723345.22369177,519929231.8035036,1588512483.1891873,47826993.83663062,1508061459.1778183
46171552.59263953,85588868.2260863,389902767.60895246,32254681198.388165,3407051.884174938,109198804.08148548,535050614.4485703,133689904.22954763,3641260836.587481,1450373438.3266568,18402570.129445616,1784347959.713844
151633076.4502735,93894786.08451743,339553909.9006344,7984641767.929286,1625924204.9208565,37477662.4206715,306975527.12578505,106737436.12936851,21043233.754787035,1312234393.464126,2740329.9211130543,1535933540.948506
161078287.78534824,9826458.847888649,289205052.1923163,568435845.361413,0.0010802529599506,26448827.6460791,102838925.08267644,168139678.49426317,1290207261.7348113,1174095348.6015956,118904198.0606718,1551101106.9295728
255667073.9963449,9330622.995759256,238856194.4839981,3544328424.137514,19222566.620638087,15419992.8714867,366242.6028051892,31070901.61543984,957187776.940058,1035956303.7390652,311563631.46961826,1749511353.886765
14302460.730744231,8834787.143629864,188507336.77568007,660806270.4105504,8994423445.895298,4391158.096894303,1669277575.5212104,14771220.019403784,1834036778.476207,897817258.8765346,421001351.3624106,2793883854.8799424
25248857.05720677,8338951.291500471,138158479.067362,7934399973.794537,2939774160.2833734,1942163913.2246387,705672011.4347199,8545807.67494597,142934484.93986684,759678214.014004,3948.243264643792,6184094362.287825
34322245.797569074,7843115.439371078,87809621.3590439,9470272982.010029,210369371.0883368,10332934827.138412,6680.88594516112,2621287.420198927,63428532.57755539,621539169.1514735,575611992.0347154,4896666455.279337
88731837.01612057,7347279.587241686,37460763.65072587,20499479373.97912,33709588.191333644,26395487.448991183,41735752.68159816,77227203.5542127,388136416.267214,483400124.2889431,278147602.3630075,4564874412.213763
112437363.498285,6851443.735112294,251497881.88880548,6577012477.165968,3.522394368883729,57255769.36467768,28286642.55718956,4878805.604523432,591261855.27609,345261079.4264126,2475172375.242608,4338577971.643739
194889596.2148609,6355607.8829829,224237686.16635016,375649464.74510646,1314790242.4700637,16303592.980849378,14837532.432780957,26661649.808618207,130585694.4022969,207122034.56388187,825227670.0768814,7664714940.595791
102250223.60973205,5859772.030853508,196977490.44389483,1491908500.325403,2146398862.502196,142014820.07385367,1388422.3083723544,42044563.624148965,1231510139.858782,68982989.70135137,705334429.5531452,8000335720.750761
87470464.20350654,5363936.178724116,169717294.72143954,951542581.9288596,51733266.20065359,104235017217.72522,384257659.4605046,159678321.363075,2842972073.475354,41925394.418948695,105088249.94397306,3766778162.3983626
162866550.31133905,4868100.326594723,142457098.99898422,623435158.1983486,15580425.522662224,2205277053.998345,767126896.6126368,49112341.01439834,984401045.8176804,14867799.136546012,28109175.14452412,5305464048.54921
517253974.4540628,4372264.474465331,115196903.2765289,1396373012.6700516,3133273.628862417,1605248890.5589385,646603330.9891088,78772780.62912755,725431672.9831357,34822153.34025,135229910.54431048,10057445027.98148
135917813.56331846,3876428.622335938,87936707.55407357,1923519433.9233773,21299716.17394106,348686674.0460752,526079765.3655809,9047702.233590538,11439381784.62518,54776507.543954,372082685.9877815,6571715805.052496
423166277.5823891,3380592.7702065464,60676511.83161825,1940903351.6089528,79128130.4302422,291019731.73519164,405556199.7420529,3792588.578228376,2567980436.4226546,74730861.74765798,44661311.62748491,5899272941.877964
219806000.1390211,2884756.918077153,33416316.109162927,1124280168.5248308,74016650.29233396,729334422.6530817,285032634.11852497,5472388248.769816,1550257909.5563502,94685215.95136198,108606703.5141841,5347538662.555166
347036666.92579454,2388921.065947761,6156120.38670759,3310800105.65459,121640959.7783837,284480689.04489344,164509068.49499702,6984258.989088292,216448168.0846356,114639570.15506598,386857873.4820432,5285279306.86215
189449742.2559134,1893085.2138183685,9586792.481385222,2532563604.2927427,73464803.51828104,750031709.6541154,43985502.871469006,594749662.1087489,61887950.23813548,134593924.35876995,17316745.738243844,7981802236.825854
366384166.1495008,1397249.3616889752,13017464.576062853,2329255669.6383405,36922321.9748622,988108798.9280732,52889304.88318178,7326471.38566723,24628428.28103421,154548278.56247395,9845231.298376491,6401610264.440009
594823272.3471617,901413.5095595828,16448136.670740483,1589701535.2715726,91941747.07870036,185985948.0889156,61793106.89489455,43333757.17698993,79517969.54213887,174502632.76617795,82537323.71093678,8383492495.553487
232961564.7377261,405577.6574301915,19878808.76541812,264988559.8206818,170457654.2155538,96719832.46755911,70696908.90660731,264866386.70188555,369289605.7928668,194456986.96988195,59913736.387877,9042649175.142977
272143308.49390763,859697.2087267498,23309480.860095747,1596874587.934934,234099536.69626525,65291119.62087863,79600710.91832009,725101598.9416202,51992468.3287328,214411341.17358595,4066408907.859133,8103709750.754354
378815910.24682295,1313816.760023308,26740152.954773378,1349196714.719057,152314609.9130139,13450248.652945168,286941712.5724267,2791360568.2112308,120733215.3701214,31529344.094146367,5372070947.409427,7795990647.057683
327852107.6601287,1767936.311319866,30170825.04945101,668086857.7968826,168335140.0005574,841669.311349987,494282714.2265333,870248064.9612554,137043304.6476801,90669395.43661666,20473096.53887755,7670848442.036578
257166044.4793724,2222055.8626164244,33601497.14412864,892053023.8592356,60182769.23704101,434810000.1488942,701623715.8806398,2042839372.1060767,5826141836.154668,322352343.543892,3267459.126476685,6500523413.455617
248562573.62077773,2676175.413912982,37032169.23880627,440435341.6277349,177940163.25412565,564296782.0423224,908964717.5347464,157722378.23563623,2874726236.4928374,238092922.99690816,10589655.436271535,7023887916.496781
