RMS_Crest_factor,RMS_Crest_factor.1,RMS_Crest_factor.2,RMS_Crest_factor.3,RMS_Crest_factor.4,RMS_Crest_factor.5,RMS_Crest_factor.6,RMS_Crest_factor.7,RMS_Crest_factor.8,RMS_Crest_factor.9,RMS_Crest_factor.10,RMS_Crest_factor
2.200866883815823,2.285097956347506,2.770118381554942,3.053458866926326,2.290983472350721,3.1732772141124026,3.4453633755670894,3.974042303171759,3.023066192570695,1.6831278301320904,2.327175558781608,4.274394200736312
3.9585048481835794,2.052185686877581,1.9111939812684569,1.9898174147565464,1.131898996790242,1.470959423204503,2.0084838156730123,2.7604577394246155,1.5736021993225744,1.2327683999688146,1.8409718714416043,2.749308179632925
3.6449105788096783,-0.70265171386125,1.052269580981971,1.7292312590494665,1.032292884632649,1.471517327253952,1.963343641959506,3.644582493869569,1.0419106517973888,1.1641145104087425,1.003455883175168,1.978766484630984
4.059548545609248,-0.5531472871935067,0.5164519648355149,1.1590718694029654,1.6557093116691763,1.472075231303401,0.6494659998859346,7.189913227248016,1.1273524515243367,1.09546062084867,-0.2621548618234706,3.073169575516788
4.319332527548349,-0.4036428605257634,-0.0193656513109413,1.6159297216854565,0.6077090740114403,1.2003005513653446,0.8855300055103376,2.7479355746505063,0.9038142874021602,1.026806731288598,1.1205072806029417,4.767743956685589
7.363468246722437,-0.2541384338580201,1.3377487352423667,0.985151533086478,0.6367392500464636,0.9285258714272884,1.1215940111347409,2.23914661516146,0.2381378150086418,0.8650794219983203,0.9452647021016524,4.926811494074796
6.1343952281706775,-0.1046340071902768,1.0726175865249172,1.4615076933242883,0.6657694260814868,-0.5934650414736637,1.3576580167591437,1.8406446193731647,0.6054369766617641,0.8802476325587575,0.7700221236003634,2.8573580867047417
4.93452885540827,0.0448704194774665,0.807486437807468,1.759992521243818,0.6947996021165102,1.9304977819337448,0.8446210444953764,1.8187509922350056,0.6867180520861037,0.8954158431191948,0.9364891271889628,4.414022982518102
5.4414601912177085,0.1943748461452097,0.5423552890900186,1.946198528251193,0.8768301479025348,1.6260345741052609,0.84962653136723,1.2919756824287596,0.7679991275104433,0.910584053679632,4.759080282278721,3.939321739119656
5.036596675822582,0.3438792728129531,0.9116272566354632,1.0070782346118172,1.0588606936885594,1.3215713662767772,0.8546320182390836,1.0324858016868124,1.043805114489788,0.9257522642400692,3.2157849606517432,6.019100958981562
