Energy_Median,Energy_Median.1,Energy_Median.2,Energy_Median.3,Energy_Median.4,Energy_Median.5,Energy_Median.6,Energy_Median.7,Energy_Median.8,Energy_Median.9,Energy_Median.10,Energy_Median
30371.261111491447,-19374.213584439043,-24428.10862558344,-50.78772038413615,1425.5680153313217,-93502.76718902112,-152330.10043979774,7913.822504010992,73661.7049860589,535259.0112145739,964529.9232547744,-16256.937615351037
1139.557165300489,2673503.286926479,-7955.877080473536,-99189.09531968774,-174455.3670807606,-8995451.135051511,1539852.3777017987,31382.22267871997,-62028.4580743526,-4993.924870947463,1436808.409167665,96932.21555786335
-33883.580608911274,-4189511.575968316,8516.354464636366,38106.04966651101,225066.48055745,-20496448.80961138,3019326.070394749,164.28843078299232,-117446.3591686924,-69364.50738104855,-51726.807765589096,-37798.90606048347
-113757.52616939056,-3744458.398938097,41270.42748289989,95187.65342678547,-51576.3649551915,-31997446.484171253,-21094823.061819404,1689.4853308489892,-138566.80394324232,-133735.08989114966,1860696.484881108,24506.40248076804
-170695.24991141754,-3299405.2219078783,74024.50050116342,-170704.26756155427,1044650.7347072688,-10409598.409342658,-13861254.0111867,1029.1698065897626,-155056.99909857975,-198105.67240125075,3449926.932944116,-624.5632184012356
173718.37313563377,-2854352.0448776595,203892.0580344429,-104257.9551620336,124663.38189584808,11178249.66548594,-6627684.960553994,-1080.2248804958276,-43833.110411776666,445533.0962447208,437634.5267397864,-219547.8935222514
-835152.2824550949,-2409298.8678474408,139681.1433049656,420248.5507213152,-795323.9709155726,6750703.460403917,605884.0900787113,-356.5981998040752,-357848.6550844745,405884.2485896082,-2574657.879464543,519823.94879113097
-462760.3135868042,-1964245.6908172225,75470.22857548832,-217000.4501535984,-1715311.323726993,565084.3388816144,1021753.2314732928,-95235.33704153934,-107824.14497208808,366235.4009344956,839686.400358346,103387.19520272028
-594463.7651085146,-1519192.5137870037,11259.31384601104,1399874.2397804311,-1797358.713008553,326159.34246391425,7793282.3032115875,296776.08667050174,142200.36514029832,326586.55327938293,4433.712722858403,162030.3111664098
-477088.75633871474,-1074139.336756785,18379.61791294125,-6831475.046375115,-1879406.102290113,87234.34604621408,14564811.374949882,-30465.12846502909,437413.6536002677,286937.7056242703,-18890.18528044657,432158.9746074996
-280687.95966541045,-629086.1597265662,90052.84453877633,8168330.746263915,411385.0332177009,3812.361997532964,21336340.44668817,197.93760476954287,852773.2147152296,247288.8579691577,-793.0578252794821,-307309.4607082122
-1258690.3661600342,-184032.9826963474,161726.0711646114,7010.931054677349,-212279.2552237244,5.2592051114381775,28107869.51842647,-21.705131719647284,-228259.02495789685,207640.01031404507,-1992.1072689194707,-248863.5910868324
113.38540441233448,261020.1943338709,78206.53737534459,-723204.7807703137,4050.704689019172,-240.491423485928,-233266.17591347493,-297.31263624950884,-3285264.6082497225,167991.16265893244,-6171.903431421673,-486401.64625371445
-372.4282269616979,706073.3713640897,-244776.84443268392,-40444.21696761588,7906.044386227226,4518.7413207266345,-160821.79679347575,286.402428574723,-28403.32720199009,128342.31500381982,10563.483284387468,-214815.62895858177
930.7136531578273,1151126.5483943084,859934.1080262298,-155060.70783594134,4305.893309831148,137.84605164778236,-88377.41767347656,-34.10914943695764,-901893.9545294282,88693.4673487072,17284.080618527456,-60034.7291500392
