Energy_Peak,Energy_Peak.1,Energy_Peak.2,Energy_Peak.3,Energy_Peak.4,Energy_Peak.5,Energy_Peak.6,Energy_Peak.7,Energy_Peak.8,Energy_Peak.9,Energy_Peak.10,Energy_Peak
64759214.21258958,20397652.851177737,36920541.60398845,47805532.41247457,5607178.22672752,27168198.950158022,114183979.31258003,37432826.65520733,33892772.44526854,22360415.01907754,31072544.957439885,47632870.62910016
16352040.013635516,11842391.119936043,18644690.717150472,18029024.1283736,-85660.95637941961,19853528.06653312,16271823.02730872,17277910.3330009,203940.33331539948,490095.4668007478,15245463.286890209,12458645.601014022
17406205.616435833,-2857932.772608472,368839.8303124971,15798301.337555517,684744.4504901909,28395972.63814386,8397375.036121596,4746824.783440799,282397.91518218827,358324.678252649,3017648.5105378395,1391771.7597534414
23158860.78646861,-2506190.2601343603,550781.6816242543,1403120.8736419478,1594427.7264633612,36938417.2097546,29043684.02754464,88970502.67207883,154343.4782982057,226553.88970455035,3720567.956326107,27633755.73973704
24385732.313223768,-2154447.7476602485,732723.5329360116,1415318.8756286458,1861170.8058965327,25836762.960547075,20138579.06381272,13857637.890383076,-11589.06466034148,94783.10115645162,5780331.898903275,7843015.111933663
15448916.87753075,-1802705.2351861368,318774.8871369797,531786.0170513372,2517646.909472467,14735108.711339545,11233474.1000808,281407.0656048507,429511.0516963298,541688.9700523706,7109218.976770192,12524477.339940015
13072992.741517782,-1450962.722712025,464542.3064222649,3430964.0424635103,3174123.013048401,11499911.889403626,2328369.136348876,575999.6607052521,569331.8047307612,517626.82354161056,8438106.05463711,11455470.356641425
7539703.806214496,-1099220.2102379133,610309.7257075501,728541.5266998741,3830599.1166243353,17683851.491220023,1668210.3275380414,4986241.949519545,370939.8619951522,493564.6770308505,1856494.748173107,7376946.524303997
9020098.472411258,-747477.6977638016,756077.1449928351,11269806.791110745,1294385.9439407918,8970704.592559922,8305270.444919705,1166694.339015207,172547.91925954318,469502.5305200905,998141.6629706416,8447308.133168813
10199278.29495518,-395735.1852896898,168025.66652038516,16016240.708267575,-1241827.2287427515,257557.6938998232,14942330.56230137,66026.26428306552,465906.02775778895,445440.3840093304,224397.72842466808,6763103.367144471
