Energy_Root_amplitude,Energy_Root_amplitude.1,Energy_Root_amplitude.2,Energy_Root_amplitude.3,Energy_Root_amplitude.4,Energy_Root_amplitude.5,Energy_Root_amplitude.6,Energy_Root_amplitude.7,Energy_Root_amplitude.8,Energy_Root_amplitude.9,Energy_Root_amplitude.10,Energy_Root_amplitude
11167.248758138432,1386261.5987644154,220076.39269480787,1617388.911178585,16966.245264225276,66599.3717983921,21359416.785652567,7207.382718957156,652467.5200612112,330680.48985560425,72582.33235691648,1713250.3470496952
34463.23266273427,1141295.4451055736,945389.7131458475,1488826.3625794284,13712.068916097694,28531.61449017709,16233330.69231899,6168.72052377332,1051937.931145805,307733.0121217516,74462.4088598244,841533.0936435804
8414.047321360973,1289657.0800192277,1636217.7551975588,2924011.099026876,10457.892567970111,212107.4215226877,11107244.598985417,37637.92370141885,76951.52392455898,284785.53438789886,77817.72453722078,1145690.811178142
14605.780835342734,1438018.7149328813,2327045.79724927,13824166.998704636,7203.716219842531,356971.69301394984,5981158.505651839,4278.355843917336,230009.68695628768,261838.0566540462,65054.92845363705,1113279.9701658168
11679.878429122376,1586380.349846535,3017873.8393009813,8076428.480871987,5706.697809932323,147142.36145282476,855072.4123182633,2173.271752553747,383067.8499880164,238890.5789201936,99834.41688730023,1063168.2823164845
17361.181729931344,1734741.984760189,3708701.881352693,51815053.523372784,4209.679400022116,250279.3112046132,3659827.21905415,6661.25941537081,456431.8127336483,215943.10118634085,356492.17825113883,937445.3634989202
48594.06200774561,1883103.6196738423,4399529.923404404,26013989.58036233,2712.660990111908,353416.2609564016,6464582.025790037,5863.457733515174,72443.50816666632,192995.62345248816,106968.8759787343,1140888.8914033056
23003.65434881121,2031465.2545874964,5090357.965456115,16995217.110637493,4266.732210062943,322396.79545387113,264175.5461897237,11827.075399753376,86604.53461617864,170048.14571863553,16246.065808223386,1161935.3547349863
9294.21219192649,2179826.88950115,5781186.007507826,64037997.7655196,35722.79832392539,61485.862275431056,4642755.344312993,13989.32348829513,1443380.8716788085,314164.22099647444,243599.48233683145,1019757.2574837946
82425.6168535761,2328188.524414804,6606547.632398221,20683122.835789982,53375.0676136032,65574.59901984657,9021335.142436262,13544.046657215154,2038974.565088641,458280.29627431335,476360.67644579615,947059.6152483154
83828.7492422881,2476550.159328458,7431909.257288614,15997592.836770467,71027.33690328102,534581.450385104,5046522.96644981,8337.64534481386,577031.9055215564,557144.0053559571,23421.860553941133,1079179.393299846
731559.2245031666,2624911.794242112,8257270.882179009,34185972.556459405,88679.60619295883,58689.37615976698,1071710.790463357,5577.078182133265,2699987.9591045645,656007.7144376008,8752.015857338987,1050445.229481367
77659.99523381102,2773273.4291557656,9082632.507069403,6810590.217536445,278361.644932672,521848.9832853559,70316.50627913896,12300.52169559853,963941.0221385048,754871.4235192445,2781.8617613473048,1175640.4926994976
13221.561161992951,2332359.1117286915,9907994.131959798,561022.0451600465,592015.4283954483,543817.0679121447,94917.04723358064,88093.79457231707,332973.442412515,853735.1326008883,19675.270638927523,1177424.9098997626
80577.73799533321,2507681.15001704,10733355.75685019,4411949.155353312,6949332.486175122,565785.1525389336,84583.01302100516,7758.729368522066,329100.3412504447,952598.841682532,41372.605649115605,1277012.8327672624
38152.12201791737,2683003.1883053887,11558717.381740583,1205879.9621360565,18056050.238757808,587753.2371657223,336219.3780877485,21971.85691216976,230973.18344493496,1051462.5507641756,1238188.178039032,1331686.42586934
58729.26657112572,2858325.226593737,12384079.00663098,7632709.416637881,1396214.867215204,5421465.529205014,101759.73459846196,5286.338736243053,63654.67250321909,1150326.259845819,5250632.385805865,1803273.1218569505
140148.22939912594,3033647.264882086,13209440.631521374,1192259.675508601,77850.98228516418,538270.9725022385,94429.34742925115,9055.049249176924,912020.2759337494,1249189.968927463,716691.5452385802,1847346.072299468
309046.86563856486,3208969.303170434,14034802.256411768,15115790.229011131,74731.25561780944,23256.32847816596,30713.84341529573,23861.78139630348,616591.7647314216,1348053.6780091068,26647.205213181875,1918176.261842032
509732.8019109152,3384291.3414587826,2996773.255552228,2159566.6374940905,31550.90770574698,39500.58336781315,116966.02676550132,11499.759360244454,399035.9773889143,1446917.3870907505,921987.6790574046,1856257.9761586145
354208.6108491592,3559613.3797471314,2798445.2901767595,104890.30736152072,725173.176436273,23918.39548225608,203218.2101157069,42675.07747376037,72301.52449005436,1545781.0961723942,564891.9717946125,1833668.332173454
218257.52150167173,3734935.41803548,2600117.324801291,548556.5356918202,1999691.708066612,343577.93907019374,289470.3934659125,21982.53239887616,671035.1902993331,1644644.805254038,210292.59588437105,1601478.9937187335
135690.24569530023,3910257.456323829,2401789.3594258223,74808.83222067349,445966.054872581,13564763.346648512,329870.1284492253,23537.83126320549,837845.9779520372,2473908.219200329,66408.90785048567,1247775.943328093
140039.84348843968,4085579.494612177,2203461.394050354,136797.0229212032,443332.2854097457,2583911.376670537,370269.86343253806,21302.822642818523,465814.934529621,3303171.6331466204,8937.94106228429,1404866.562434306
170962.71183940364,4260901.532900525,2005133.4286748853,441784.1894470352,333646.64649631263,4804902.414647896,406068.1582896396,38224.42953962256,756378.5761433219,3417777.516410698,17847.41377217246,1372471.748629887
48681.55861213356,4436223.571188875,1806805.463299417,900241.063977876,1057444.3406458553,839111.5121679441,441866.4531467412,15998.000376844231,4496034.467754864,3532383.399674776,38277.53710845887,1281292.5679798005
103095.60073268152,4611545.609477223,1608477.4979239483,1262248.181020259,1178465.451240485,664391.7656324449,477664.7480038428,14799.555413273703,3920160.6449639234,3646989.282938854,47225.63281828522,1147524.5048167694
156015.90562255756,4786867.647765571,1410149.5325484795,131504.3522358839,1234242.7885091444,2354946.4098025626,513463.0428609444,229085.9110182023,1619187.9204666694,3761595.166202932,12638.205143659268,941833.6312220262
176947.84908703706,4962189.686053921,1211821.5671730111,120216.29429357036,984384.7875153606,3289177.793366472,549261.3377180459,28510.40203357271,175233.88894097623,3876201.0494670095,44132.677600051466,1075843.465045049
152574.89251655832,5137511.724342268,1216877.3435941082,395709.3365424363,1015592.5527242604,1850535.1561891509,585059.6325751476,50068.54504229839,11209.676117625682,3990806.9327310873,2830.8301919950454,1051994.3116847018
225863.8178355661,5312833.762630617,1221933.1200152051,105202.59177082284,1117286.9511517936,3583138.591582986,574198.6512900328,13071.035813291724,6885.822507513328,4105412.815995165,15972.13330942559,1009345.315559126
270108.524795277,5488155.800918966,1226988.8964363022,227482.50496447043,1294792.8986611653,2420524.564610827,563337.6700049181,59247.28441012206,56091.53659154713,4220018.699259243,31840.10719041216,1073859.7392587136
243713.95168804133,5663477.839207314,1232044.672857399,43079.43640202438,1862933.6995208352,1697915.5427309384,552476.6887198035,153227.88677887726,44544.78138628109,4334624.582523321,102197.03999071992,1008905.1228776056
303661.94251213234,5265699.438191944,1237100.4492784962,151988.9415144411,1864975.3293784885,96775.35658940052,541615.7074346887,3316500.2828070307,8243.639933003058,4449230.465787399,6841909.240843512,880114.6926045608
332795.316702016,4867921.037176573,1242156.2256995933,245735.26408728023,1851548.7995170224,19788.84937939904,1057308.8086592343,2096480.896538452,27423.57974455238,358831.1019211175,3280590.581429901,977390.3215060084
355576.9783641956,4470142.636161203,1247212.0021206904,1303158.096317229,1737976.122195143,12360.961616298251,1573001.9098837802,2770306.0800136426,11856.289139102077,5088365.505915493,30425.1113118152,892943.4604625405
271030.7450812932,4072364.235145832,1252267.7785417873,153429.07433159684,1878136.072268276,733560.3400920094,2088695.0111083256,7495679.971540197,30229.302548863623,28846906.09532916,6918.059932636514,891111.5809955873
231173.7723229152,3674585.834130461,1257323.5549628844,176189.20484775872,1622459.9878115242,226077.88564314743,2604388.112332872,1304024.7312391424,80635.29211363118,19671486.66609325,9939.815382746923,732576.674933037
132816.39926813025,3276807.433115091,1262379.3313839815,283098.3145159398,2183753.7771598604,88794.65181236023,3120081.213557417,44355.09363763266,218102.12278059951,10496067.236857338,6039.753763528979,712796.0124290653
42544.66377691525,2879029.032099721,1267435.1078050784,173247.84822900398,2264106.0970117683,120039.62354510537,3635774.314781963,314237.84466657834,11277.483557114914,13727331.933433956,7492.636495566605,714221.7269361301
70711.19206349365,2481250.63108435,1272490.8842261755,161641.24833811534,2297652.7397733647,141406.6370089404,4151467.4160065087,1321009.487814715,21231.75308839805,16958596.63001057,11670.726994990737,686571.611593862
107746.4439043267,2083472.23006898,1277546.6606472726,251249.08818816807,2173156.733698437,131319.78890574718,4667160.517231055,1377346.532804818,43983.88909721011,20189861.32658719,26724.363915538645,704558.5473611697
49638.706882152655,1685693.8290536087,1282602.4370683697,349605.88863515016,2540075.2262491663,73754.08534424164,5182853.6184556,1433683.577794921,11683.671997583928,23421126.023163807,19044.466515968663,664244.5794900948
44946.62047980206,1287915.4280382383,1287658.2134894666,268936.05050249473,3182347.48790817,59865.93923512544,5698546.719680146,1226878.6183924207,17367.58042702062,26652390.719740424,35289.26660702248,694590.5544812968
39969.57611868919,1273413.3445280665,1292713.9899105637,168994.66294796523,3467321.1204486704,59956.73283670641,6214239.820904692,1369950.7987532143,120492.29331443176,29883655.41631704,13838.376021542364,685034.7039549052
27444.693103394384,1258911.2610178944,1297769.7663316606,234560.341534116,3035926.687586659,69353.9513631973,5285708.416236952,984457.38055835,63452.58505872055,33114920.112893656,94982.42619515072,666557.5928513682
33715.32419370259,1244409.1775077223,1302825.5427527577,128062.4063056954,2878887.2838536804,56957.69606161491,4357177.011569211,256613.2615040848,136844.4683546318,36346184.80947027,16663.899840048092,695114.4673525732
40043.0257099936,1229907.093997551,1249735.7891378966,198492.27644186665,2697473.8336746776,41218.40614134135,3428645.6069014715,531502.3845790003,24295.769901086256,39577449.50604689,9399.6556586604,706046.5949675707
31160.7453246853,1215405.0104873786,1196646.035523035,170044.50120414796,2275759.4181005564,80741.20225328383,2500114.202233732,955191.2621425895,4620.586731784271,42808714.20262351,3359.220927617081,554068.3351940801
57729.96801930474,1200902.9269772067,1143556.2819081745,148858.87428957009,2160566.970325276,149702.82237377303,1571582.797565991,1987631.57581068,8746.225679913317,46039978.89920013,3781.460061029828,540638.3874992647
82493.15064834143,1186400.8434670349,1090466.528293313,124881.78970103696,1918468.061145454,137259.76533284038,643051.3928982512,3744742.40909655,16240.903391965288,26398346.89448864,7554.527108336086,610426.4659462041
95185.04864413242,1171898.759956863,1037376.774678452,83593.51731815255,2119798.843840556,230038.28990162385,2019036.7411075048,3862971.987713606,7151.309049194696,13475024.65681265,24139.48582002939,507209.073868126
111653.53994251504,1157396.676446691,984287.0210635908,145115.9596188282,1697775.8564789763,522883.1399538569,636376.72272768,1549671.151757317,603555.151493306,551702.4191366589,49786.95914564572,538108.2817831382
68384.87856747741,1142894.592936519,931197.2674487296,287064.535715449,1847867.8494918568,599209.2538686303,265385.33403989323,1863042.8427289035,619920.6272128227,827742.8403536708,30535.475886009463,593166.5846096744
156911.39050927208,1128392.5094263472,878107.5138338686,52616.79775207799,2281287.965340065,498185.6442516987,17608.78850974457,1879727.0779978328,142434.7146057723,1103783.2615706827,58688.11699100515,648648.838271857
102464.64538664775,1113890.4259161751,825017.7602190074,17417.70507082147,1998028.0489287868,153273.85837879326,2837403.4718866805,846476.5859005632,396277.81422050414,1379823.6827876945,9380.136582368534,677459.8206291301
129276.65495931733,1099388.3424060033,37400.01388446082,9769.050967889416,1754492.6349438436,414982.1916124155,5657198.155263616,1183393.5038151166,88759.47812469749,1655864.1040047065,71070.82909892613,697147.569706137
115977.38872419928,1084886.2588958314,20640.882472200385,14759.156572728183,1800201.822342536,593510.2350390056,3560079.799345725,671061.3926385192,10375.114615576262,1828741.161745415,4935.042179359529,762968.2069318158
221613.12398092108,1070384.175385659,3881.751059939946,17632.897167999243,1980768.3326913093,458036.221951468,2716663.5211572954,812489.196465513,25026.587547435003,2001618.219486124,7729.692483119817,783621.754558694
46920.78002501145,1055882.0918754877,176184.18163117088,32051.42045213024,1759322.411869031,241087.6181652263,1873247.242968866,865380.5031124811,47773.80351138409,3572323.286169444,10817.513304513504,816174.9437509927
50212.87062184663,1041380.0083653156,16924832.18772878,131383.51413628057,2094514.645555979,1205712.9467615804,1029830.9647804368,1350292.9828126023,67919.08227038529,8400875.796838617,9193.69106267598,820894.0635613445
20167.22656938634,1026877.9248551436,15474756.590942128,168429.7322377997,2119614.2892915704,1087314.8595938648,186414.68659200688,985769.0774551452,24710.927741105585,13229428.307507789,265914.1964102248,923828.893375406
14270.862271414017,1012375.8413449716,1797776.6273863893,134003.03665161465,1667562.7802691774,1871671.4289659653,675364.7383853358,4279667.461771523,12964.536582314116,18057980.81817696,25822.50559181185,928417.1670956312
36672.18762449646,997873.7578347998,2000591.791003049,88293.20681912311,987275.870788062,383223.9888304315,1164314.7901786647,1080309.2262433202,26591.88806828016,22886533.32884613,4575.318897269746,793936.6604317513
29248.71486879958,983371.6743246278,2203406.954619709,116195.8831427286,816266.3739128851,14478.854433181585,1179708.3525340094,2536734.2499816488,4888.219550069925,17792205.17726036,6495.588211405314,801892.6537304836
32403.742002319643,968869.590814456,2406222.1182363685,813330.3572472935,957323.1228677244,38850.5286067635,8760693.97232101,2833645.3186241514,4564.695756593226,2885473.2347658672,239948.60003225657,914598.6364518958
40083.16654304113,954367.507304284,206588.01393068823,1243073.3467679948,878320.1881717192,32589.671048874752,984421.4418135658,4216307.648338495,2581.7680700921032,1781409.3608866069,210055.9583507504,736639.7032121902
16825.168045501003,939865.4237941122,186692.4804121749,272087.4557209249,1047602.2624224188,59122.50604673797,3205856.2792679565,90114.877397584,8650.316070189961,677345.4870073467,1254231.593449931,923761.1861628836
23344.163650992425,925363.3402839402,166796.94689366172,118721.73727822996,1078893.721623697,9102946.68875139,5427291.116722347,65094.50489819775,4338.576727804412,517443.9263349697,400813.9653293285,779247.9537778834
27576.110023719582,910861.2567737682,146901.41337514843,38551.53920970055,1198063.0553837505,3047521.459924716,5593826.11129873,30098.66125522778,14820.2975098159,357542.36566259264,1568056.8986546008,879449.3089835584
30141.86720078324,896359.1732635964,127005.8798566352,29477.35179806324,1249269.5643095898,88835.29098690629,5760361.105875111,66605.1840211444,2433.6538922306604,336751.1863292305,2115806.395824691,839152.245812248
34955.2357068689,881857.0897534244,107110.34633812192,46968.22034981856,1138812.755883732,172756.4181681082,5926896.100451494,52747.396181228425,1708.1175245870083,2295477.505256219,3862868.388048027,1058836.9973057644
31567.3341377332,867355.0062432524,87214.81281960866,69727.96843059419,915699.2018001204,24840.908913672312,5103081.874058681,21786.97832248625,1371.7421698500311,3393701.552242228,428569.4543336175,1204903.9531431429
28806.847745996056,852852.9227330806,76366.33102013975,52801.22778484264,887315.7314143353,376460.20682093134,4279267.647665867,55096.75193918536,1031.9921845379874,4491925.599228236,244760.32557096065,1167477.427861641
37394.57074612186,838350.8392229086,71264.57404544388,35278.45472929675,895640.6647526268,609645.7507679013,3455453.4212730536,96674.33075806842,1702.847246603921,5569186.097391615,109801.6034722654,1117817.4212940624
27151.49768321155,825457.4880739936,66162.817070748,24126.214744176097,927521.7806006412,22883.673774691328,2631639.19488024,154296.30728794282,1660.2709679843977,6646446.595554994,132976.24041886898,987536.3294176236
33024.721167329866,812564.1369250785,61061.06009605212,98256.1127734608,1085047.7917781232,484673.982148162,2186930.798874872,140807.20085611884,15445.366056486884,2945412.146615473,262661.32250466954,1030437.6709021728
37358.23436948838,799670.7857761635,55959.30312135624,75535.48732167887,2040321.9148093967,142348.6376760824,1742222.4028695032,147552.37837885096,1874.9426326845023,2391716.2643052023,142511.7108991798,1002817.3793424864
23267.778321940827,786777.4346272484,50857.54614666037,41701.41608568648,1783424.1526727858,49732.5560571503,1297514.0068641347,119139.11383237976,2126.069642565304,1838020.381994932,22362.09929369008,1034187.4853388168
19886.58550966006,773884.0834783333,45755.78917196448,24206.853809098266,1267703.7447625494,403133.2895704431,852805.6108587664,99679.08647562916,12161.035919812652,1284324.4996846614,19540.53190534901,1043968.5862860178
20657.66968933561,760990.7323294183,40654.03219726861,23817.532409214247,1197220.096102242,601116.4476916146,408097.214853398,86597.44938962652,31105.62195247477,730628.6173743908,48408.00895675011,800522.6782381777
20025.97620120848,748097.3811805032,35552.27522257273,235626.60911096423,797952.8878536907,254039.4200693853,1491164.8952185896,106531.9941488097,15616.760131493842,176932.7350641207,77275.4860081512,700859.5820094884
16843.803929319383,735204.0300315882,30450.51824787685,291775.29423953546,831206.1242071032,278517.5319096,2574232.575583781,88297.19268867637,16447.944312084786,298176.6177850362,106142.9630595523,738231.6694352461
6472.004781995803,722310.6788826731,23636.548670791297,49682.51005702488,840527.9466700746,625390.4051078933,3657300.255948973,82858.92334886492,10736.54448194098,419420.5005059517,163310.63671993988,682094.6631264404
12768.51679720036,709417.327733758,16822.579093705743,199471.115817532,656312.7205582431,405829.79829956585,4740367.936314164,88353.20486337371,7868.003646106233,540664.3832268672,220478.31038032743,645997.2039429159
