Energy_Central_moment_4th_order,Energy_Central_moment_4th_order.1,Energy_Central_moment_4th_order.2,Energy_Central_moment_4th_order.3,Energy_Central_moment_4th_order.4,Energy_Central_moment_4th_order.5,Energy_Central_moment_4th_order.6,Energy_Central_moment_4th_order.7,Energy_Central_moment_4th_order.8,Energy_Central_moment_4th_order.9,Energy_Central_moment_4th_order.10,Energy_Central_moment_4th_order
1.6500690900259147e+29,7.489665808843707e+27,5.952374763448196e+28,1.370484860133089e+29,4.682080331533882e+25,3.865729025608289e+28,4.761049603328094e+30,5.177240953071835e+28,4.54820736294632e+28,2.916766122058575e+28,1.4153530369693383e+29,4.769138755854874e+28
2.1072150327042087e+27,1.002384856060096e+28,2.976187436418318e+28,1.0134694153197142e+28,5.710574136491092e+19,7.965619256024696e+28,1.8268329857826943e+28,9.719446416180608e+27,9.982032850000688e+21,7.443438966477628e+22,1.470760696859866e+28,1.5856957094211055e+27
8.763068080709188e+27,3.143891090916312e+24,1.093884397434214e+21,6.854891532529537e+27,4.464931112584714e+22,9.582930973139069e+29,1.5366700484117837e+28,5.635697960302386e+24,3.5972933190807564e+21,5.0865581348780585e+22,8.87564628063516e+25,5.066511489376553e+23
1.5068028525968983e+28,2.8820680236599774e+24,9.467478513210765e+22,1.4136378831125315e+24,4.658072481325988e+24,1.8369300020675665e+30,7.63124818334473e+29,4.296578664878847e+29,9.450429745889344e+20,2.729677303278489e+22,1.1965524251917966e+25,7.779205011170631e+27
1.1346590158487657e+28,2.620244956403643e+24,1.8825568586678105e+23,3.0594489558261544e+24,4.444955925669383e+23,9.185450280499015e+29,5.0875063799909705e+29,2.8240018220770888e+26,1.0642609404653671e+20,3.727964716789191e+21,2.949345075613659e+25,1.1206897189025284e+26
2.543021447823516e+27,2.358421889147308e+24,1.7418890450317092e+20,3.207744571893028e+23,4.911132465545418e+25,1.6005403223658045e+26,2.543764576637211e+29,1.1653991973071854e+21,5.020050671084848e+22,9.219140056059736e+22,1.207325394205828e+27,6.650788688038963e+26
1.6367672972851225e+27,2.0965988218909727e+24,6.1059568606403445e+22,3.660356627277586e+25,9.777815371834144e+25,5.08727154471286e+26,2.277328345164869e+24,4.517812167087689e+21,7.65391938322749e+22,8.611696224515737e+22,2.3851573376555195e+27,4.619182997902057e+26
2.0409538428688053e+26,1.834775754634639e+24,1.2194494830830372e+23,1.6753227199628252e+23,1.4644498278122868e+26,2.6460762946869445e+28,1.7464607430638098e+23,1.1117289373627318e+26,3.827002101272956e+22,8.004252392971736e+22,1.0689475892295782e+24,7.209453280272816e+25
3.1128015933371415e+26,1.5729526873783046e+24,1.82830328010204e+23,3.232281492785186e+27,7.330511528796512e+25,1.323038225233828e+28,1.310193061303354e+23,4.334454235708471e+22,8.48193184233623e+17,7.396808561427737e+22,6.309211211673198e+21,1.1287586466233284e+26
9.33246170066187e+26,1.3111296201219698e+24,5.014885426244524e+20,3.4308516361328934e+28,1.6524779470157133e+23,1.5578071121917337e+21,8.73925379542898e+22,1.0107318802000095e+19,6.59044219537316e+17,6.789364729883737e+22,1.966786983419809e+20,1.0679732729498402e+26
7.135109916460015e+25,1.0493065528656354e+24,1.1189361312594974e+21,4.40363632338619e+29,4.771395261113183e+22,1.3195981324323972e+29,4.37657697782442e+22,5.593925085212855e+22,1.8817774920291013e+29,6.181920898339737e+22,3.731333842683094e+23,6.785711945947487e+25
3.908975309245654e+27,7.874834856093009e+23,1.7363837198945425e+21,5.870353529945879e+24,1.0615584238077234e+22,2.635814903443893e+19,1.3900160219861638e+20,5.502962258872452e+22,1.5083189069153313e+25,5.574477066795737e+22,6.324322217942395e+18,2.357729148490437e+26
