Energy_Max_Min_difference,Energy_Max_Min_difference.1,Energy_Max_Min_difference.2,Energy_Max_Min_difference.3,Energy_Max_Min_difference.4,Energy_Max_Min_difference.5,Energy_Max_Min_difference.6,Energy_Max_Min_difference.7,Energy_Max_Min_difference.8,Energy_Max_Min_difference.9,Energy_Max_Min_difference.10,Energy_Max_Min_difference
935952.0179880604,2403412.389137292,3783093.283820092,5017896.043330265,156032241.92097032,2311942.29160472,6412990.479471454,10781332.492754135,2353817.0415672297,1059898.3913523348,384642.35032507207,6536169.811452799
1773886.1282706382,2384826.326719732,3648102.782020528,8092418.208978919,154849079.73105347,4407852.4592009615,3939844.757715172,9990365.126717651,181286.3061304113,1016278.6907506464,474720.65921722417,5682794.879960643
1045842.6494595108,2366240.264302173,3513112.2802209635,1138378.969861676,13008417.50875768,2385924.1928230766,2832961.3281140234,4988323.557821075,799494.2455048083,972658.990148958,141825.2523586835,6158684.336152704
3844702.159192387,2347654.2018846143,88013.82181975227,235111.48291935725,13254859.146398284,110444117.27515984,1726077.8985128747,5817957.476493465,721114.0744653272,929039.2895472696,2618592.3724117493,4952691.02796806
8469638.707624637,2329068.1394670554,167010.13484617329,401517.9795176898,13822611.10346948,2936711.979009745,9519951.305703333,8661263.017507369,44611.53534856731,2485002.44367416,79888.09335465869,5103881.941601694
3154522.1603354085,2310482.077049496,246006.4478725943,696466.5105877359,13323462.983165717,3198597.759487087,7190517.611701584,7421236.104675212,80961.80535457438,4040965.597801051,992204.4376485904,5731727.606231386
8912143.433353309,2291896.0146319373,11954761.294681584,14164549.076949708,12687185.803710785,3291788.313703876,4861083.917699833,9491633.172613528,105860.72368818992,8958198.147944115,349103.14531230653,9919413.371983342
5375440.010694868,2273309.9522143784,7345493.89398431,3247486.5542488303,13650314.371481037,140004238.00192595,2531650.223698084,12004777.279659078,243461.29497251607,34606859.15845735,133610.186990916,4861129.235010524
842516.6177496354,2254723.8897968195,38529219.15015234,820766.3005302253,13370152.098074112,6053887.715923501,202216.5296963337,3544184.1468978547,91284.29971433108,60255520.16897059,3019609.4180306336,5466851.929003415
858178.8063174147,2236137.82737926,4562956.587892075,7175220.748964118,24611298.402064875,7801298.895092299,1272673.6871766208,10441245.420732714,141238.84617876084,85904181.17948383,237805.08898475667,6633705.205862179
7377181.9582319055,2217551.7649617014,3724996.36917014,8236633.85776533,33871292.638019554,3095145.474587367,2343130.844656908,7225814.760036937,313354.6234462514,111552842.18999708,21346.031159248392,5805104.505707616
3603561.537396969,2198965.7025441425,2887036.150448204,1006709.4337433908,8631722.999477949,319265.7125935467,7182579.74191386,14269309.866008991,223635.28218016404,63946507.85953104,121278.81412146387,6313231.751466272
1051861.4887232727,2180379.640126584,2049075.9317262685,19078046.7959695,181250363.55502,186162.19594689744,19771810.28010888,18070709.657666422,704286.9998805639,7801267.436433589,594419.9002206426,7185399.730528079
2389762.6739572035,2161793.5777090243,420177.47681347065,13153642.37955086,13882795.531673431,297915.7863966314,3198352.0665154746,13772999.151379934,73771.7674861732,4655924.623695029,5125734.551964323,6977510.444991486
268672.07762708305,2143207.515291465,379349.1152934171,11638625.14235536,6249881.694505098,4947295.44398887,2044255.7802037136,10014059.7198651,136339.97742988277,1510581.8109564688,7750268.488220861,7628397.070364408
327003.53846410394,2124621.4528739066,338520.75377336366,3158766.778051537,5998352.516906593,4526956.947953157,890159.4938919526,637517.9572394257,84428.72906538591,1116969.1408893,933061.3889837572,5993269.254820811
175482.20413482728,2106035.390456348,297692.3922533102,495032.38298926194,17008918.444211956,69637899.9866142,4282435.256538341,7316276.228115633,98438.3649202642,723356.4708221314,9088097.90097469,6428645.947568038
771917.9661518504,2087449.3280387889,256864.03073325663,764485.3088171231,8236771.64084384,823317.0670665444,7674711.01918473,28131101.937556133,61378.71336305198,674681.3455714503,4881190.066532724,6143998.229446638
1152776.6977590565,2068863.2656212293,216035.6692132032,371224.2154572677,8698695.711140176,348884.5555590452,11066986.78183112,791102.1374073641,74342.98836410922,4934004.046021148,30152698.93993289,6079787.359548745
156958.64146890945,2050277.203203671,175207.30769314966,446091.9100701723,25500370.65621567,99020.02089609829,9628974.054484949,671534.6489211278,40214.79581222488,7043834.4889569,7553154.896649783,6631778.664565207
296731.3410178702,2031691.140786112,61018.52472738696,4338828.929179737,7124394.507148331,3011429.583657606,8190961.327138776,743645.3340914522,61171.926120402335,9153664.931892652,3253544.577618853,6462828.3607977
466111.4192797814,2013105.0783685527,61040.4161742106,693183.4209784849,36415294.06132237,3641415.389535928,6752948.599792604,1030117.856718251,81129.16912331153,17241607.088227093,325551.2700013438,6977909.019460877
630512.6198200348,1969944.52275464,61062.30762103424,434757.62686988414,8740660.831589736,2768368.614687873,5314935.872446433,4809259.064361793,81507.07257099624,25329549.24456153,650655.5632283783,7062800.129135159
226049.50888463,1926783.9671407265,61084.19906785788,9423721.489292167,11646157.227998596,4110741.7494411385,4479407.877678501,820968.8165067523,5401045.558194071,166365.54976633564,108273.058693412,7787502.772089675
211002.56404042145,1883623.4115268127,61106.09051468152,18093217.245685555,13579321.525635738,2995608.483786424,3643879.88291057,2705029.446999433,222015.4339630972,254981.7506333709,89594.6962924113,6615115.671104521
106644.1215557622,1840462.8559129,61127.98196150516,15879591.785003783,12981349.786384046,2094829.4827528857,2808351.88814264,4368670.315704382,35852.76836013318,343597.95150040614,70916.3338914106,6282909.1659043245
57413.08798352846,1797302.300298987,61149.8734083288,730088.0849929553,51723008.11965905,3705753.7554579554,1972823.893374708,979559.6788731624,987257.199557811,432214.1523674413,35108.03274289165,5828723.133112903
59610.8711164916,1754141.7446850738,61171.76485515244,3661554.496273135,11363959.32598831,124343577.32367566,1137295.8986067767,3206345.691891165,738049.6357892832,520830.3532344766,65210.1502606141,5304899.438963027
390786.1756729161,1710981.1890711607,61193.65630197608,22562808.8704354,9112491.24763606,2100877.4080231925,3866619.896541956,4146340.310404321,1138971.934699094,609446.5541015118,95312.26777833657,5354679.1470412025
45594.49209501343,1667820.6334572476,61215.54774879972,38127815.74738015,6349676.578618797,2039583.1799042488,6595943.894477135,3406060.772078125,129425.53571096456,907033.6387625732,125414.38529605902,5025467.914531446
