Rise-Time_Central_moment_6th_order,Rise-Time_Central_moment_6th_order.1,Rise-Time_Central_moment_6th_order.2,Rise-Time_Central_moment_6th_order.3,Rise-Time_Central_moment_6th_order.4,Rise-Time_Central_moment_6th_order.5,Rise-Time_Central_moment_6th_order.6,Rise-Time_Central_moment_6th_order.7,Rise-Time_Central_moment_6th_order.8,Rise-Time_Central_moment_6th_order.9,Rise-Time_Central_moment_6th_order.10,Rise-Time_Central_moment_6th_order
177582856.9624087,45976625.26099871,1907530159.731926,389862.81471946905,18.35362910191272,143517381.98121458,700118045.2081844,6008216240.681562,2868081.696448735,23531689130.650143,104821640640.37286,9949404107867.77
428324901.2129879,53454771.740501225,972484141.2538652,2771787.2357926085,1311411.5949394233,73229219.25749148,7967674.590245534,213188107.661566,18607696.396534026,128902355.56199165,3501402.808407621,3147391804298.7554
94969506729.40036,60932918.22000375,37438122.775803946,990385996.2751092,128.5116173821291,236186378.674312,5888964.916711107,1797317661.8952343,78104085193.93376,64788956.286435336,71577119.07679774,10856595172324.42
610032854.7561877,68411064.69950627,33815912.785540625,23800823.5789323,13001956.406284116,1383511.571119469,3810255.243176681,6292964020.335476,1924728759.0509872,675557.0108790231,732684237.0227128,2363882408392.056
184041425.5436351,75889211.17900878,30193702.795277305,174788118.7502643,26003784.300950848,722112470.446889,60770680.3778154,70161808957.07913,45004571.46785232,634544.3756563552,8580597.6193044,11314863927288.297
196763347.81937185,83367357.65851131,26571492.80501399,258831376.898318,39005612.19561759,23147778.53746745,117731105.5124541,289228922814.5318,1145639.2851922903,593531.7404336873,8524871.44376511,5430722578568.455
480380136904.6071,90845504.13801382,22949282.814750668,339389835.84812737,1878096.5771664367,89327571.80714011,859356120.6262537,9274518537.877316,6016822.942949299,552519.1052110194,2951008792.283937,29544895950359.36
172991010.23651007,11472074.677771617,19327072.824487347,35420429490.64784,17023.59742048368,59559121.62262809,6499947477.453601,186186579.95262724,413030172.6719202,511506.46998835145,591818406.4224309,3153039642911.6914
347113353048.5588,21458689.7357806,15704862.83422403,4099495559553.584,1944113.8664967413,29790671.43811608,30786329.20796436,92470671.25393876,13961040.159936836,470493.8347656836,126134516095.30606,2262977482175.938
16598088.020924227,31445304.793789577,12082652.84396071,760680754387.5989,3009913048.917086,22221.25360405013,366230.5636331585,78479948.28203158,1732369047.2400937,429481.1995430157,3754844558.87678,24308702616562.17
