Energy_Standard_deviation,Energy_Standard_deviation.1,Energy_Standard_deviation.2,Energy_Standard_deviation.3,Energy_Standard_deviation.4,Energy_Standard_deviation.5,Energy_Standard_deviation.6,Energy_Standard_deviation.7,Energy_Standard_deviation.8,Energy_Standard_deviation.9,Energy_Standard_deviation.10,Energy_Standard_deviation
1389006.0085072457,398472.1577987741,115762.98580289177,145164.56413254864,13077.738517541611,260468.17044772927,42911317.4454885,87945.94321014796,4407430.682725336,341903.0127526256,60467.504855159896,3353143.624096852
79970.4920164831,305161.49324266706,41091.66849812244,12288354.264438238,18921.792041983303,170960.12348350757,34575407.999385506,69175.51774286137,1945083.6765300625,319616.47394457104,88329.50352107345,2638782.4276125683
230582.59699504304,211850.82868656013,1360722.2281661094,1492863.7412353458,15112.679739595076,68335.68549352785,26239498.553282507,27023.13317830505,977875.583077694,297329.9351365165,119517.4377558963,1282757.412953051
148706.11854212085,234129.57553520805,2030694.1539844389,3344914.830309256,11303.56743720685,240992.00220059988,17903589.107179515,493375.1419990328,157424.68725139793,275043.396328462,446157.4871339128,1752272.4226961313
24201.2619802748,256408.322383856,2700666.0798027683,19644995.05511699,7494.455134818626,489596.16485808574,9567679.66107652,18852.564147336743,313126.07964809414,252756.85752040744,82072.75049792665,1668950.8751533483
85937.5880378457,278687.0692325038,3370638.005621098,18547153.67000721,5972.5927880744575,222901.92086669616,1231770.2149735214,8169.215279901841,468827.4720447903,230470.3187123529,190863.5402962482,1604880.6374553149
160281.41612528515,300965.8160811517,4040609.931439427,4918909.27993251,4450.730441330289,344442.84172739903,3813577.604583524,18174.3849530129,553152.7400535385,208183.7799042984,5061478.311292708,1410950.7172848452
159841.34776316,323244.5629297996,4710581.857257757,31470141.10826041,2928.86809458612,465983.7625881019,6395384.994193527,18383.17707814226,93048.93022665636,185897.24109624384,189767.67786128927,2025479.1896507028
72475.80488891972,345523.3097784475,5380553.783076086,22267608.34133187,7397.827419883109,102429.38140190404,1386389.599731804,37374.20818682429,82582.1395316963,163610.7022881893,73203.47540331152,1818382.2652495035
25225.270122479465,367802.0566270954,6050525.708894415,52558074.50148617,692.1373377924465,53175.08800023981,5002089.194331486,67298.24702355174,2201828.190976587,292374.2155427693,466618.2530589729,1484141.7736783084
143348.74140036825,390080.8034757433,5812867.244775457,33491314.35476759,84235.43617224204,114502.3214198188,8617788.788931167,38144.29334208052,2466120.5782459774,421137.72879734926,929958.8258442348,1312569.015347876
101479.08058418408,412359.5503243912,5575208.7806565,1742697.6093467085,167778.73500669166,734419.833441898,5607518.071579289,31490.962006497222,1115361.2548333283,437710.1994287407,141263.67833267667,1461203.118372027
1081155.1494167608,434638.2971730391,5337550.316537542,40685097.98841774,251322.03384114124,58711.73163874337,2597247.3542274106,11598.172063339767,4655016.984301217,454282.67006013216,63972.80862786482,1390321.8994176483
464788.954342248,456917.044021687,5099891.852418586,9802531.283908892,263144.50250216504,470242.3362479857,148524.7813694405,77837.16711153867,1206593.242801984,470855.1406915237,25727.588640691843,1556930.0188307306
32673.53132816081,2343914.849285806,4862233.388299628,1710612.422673398,676027.8036045986,529447.6235666751,125029.49515990051,3802357.880200584,498913.0688354077,487427.6113229151,68527.98315892804,1522446.106354302
201017.37964560025,2278469.964582721,4624574.924180671,6644985.712068563,2982408.3242592183,588652.9108853645,108924.55066566932,38211.16805088877,380739.49774408847,504000.0819543066,49443.38118665783,1701234.6665463245
84183.6537175823,2213025.0798796364,4386916.460061713,6512291.797126706,22387347.65037836,647858.1982040539,336487.95689932455,35641.97959846382,420064.4266892091,520572.552585698,1614104.2294010269,2703822.6849698103
252300.77621919755,2147580.195176552,4149257.995942756,27784781.83655172,13209194.127431665,1316983.6497624535,127943.56234123588,21705.97548483413,73946.93034078719,537145.0232170895,1112462.2873985176,2334008.649760903
346545.90639508446,2082135.3104734663,3911599.531823799,1243580.388123307,99798.23773818053,4574841.663325087,29237.1407267439,32057.565794015165,970393.6548454518,553717.493848481,2451080.4273607708,2321992.7996469
469643.8836789178,2016690.4257703817,3673941.0677048415,23042396.151488308,71438.45372779772,126943.70083066856,28703.46320193788,202049.620395646,738254.7054020364,570289.9644798724,72878.50005677622,2408251.3682551896
528015.5415663753,1951245.5410672969,2725055.0130261583,18801076.76779399,2387.651816914182,97172.94659928571,61079.54504106939,26032.02963586987,468650.0136303272,586862.4351112639,1775810.5957003315,2394084.1503563747
397312.4946408542,1885800.656364212,2422364.9520351044,356283.0037083589,1019931.7824495214,94834.10955023236,93455.6268802009,1074123.3151978063,146623.05204528867,603434.9057426553,2933415.893968384,2374055.9607353364
484080.5613537322,1820355.771661127,2119674.8910440505,3044246.6511417,2265212.368220299,2048307.11932847,125831.7087193324,120157.97877544998,786970.3714003273,620007.3763740468,395639.7400438704,2056856.789808382
193603.0804805916,1754910.8869580422,1816984.830052997,243520.8974383236,802252.119010318,32496968.34736417,348196.5688428821,50008.3965078739,1209849.6803760626,376163.2210258695,89505.31964244033,1623526.051319729
248996.47599378385,1689466.002254957,1514294.769061943,270131.6034734368,618802.0849375767,10437555.545846011,570561.4289664319,92670.96022814538,532226.8466496463,132319.06567769218,66140.70105821865,1806842.8772061889
326309.29911799345,1624021.1175518725,1211604.708070889,4729332.854151127,630537.9112689442,11566670.544521492,497749.7969963078,262678.9248836615,660074.5368152999,569299.8674160367,64392.4343707001,1766086.0192311564
189448.62421932007,1558576.2328487877,908914.6470798354,10217043.398332655,1428375.43762569,2514289.197724387,424938.1650261837,81536.58933091622,8317194.873067509,1006280.6691543811,110448.28032114312,1804056.8568282768
217209.49268981104,1493131.3481457026,606224.5860887817,11446422.17604106,1528851.118322756,1318175.3259640175,352126.5330560596,118734.66559054318,6807711.997273983,1443261.4708927255,49295.14902018284,1407342.6218215353
273488.353838508,1427686.4634426178,303534.5250977278,561795.4635613511,1630391.386041602,6550710.634571471,279314.9010859355,4639689.7186184265,5523172.65105008,1880242.27263107,57837.384175135245,1187803.827751167
274062.2659212716,1362241.5787395327,844.4641066739568,1984578.180244686,1384030.5896779497,4405786.842836749,206503.2691158114,186732.04055579228,283750.42625634023,2317223.0743694147,136022.448081844,1408429.1315416978
