Energy_Mean,Energy_Mean.1,Energy_Mean.2,Energy_Mean.3,Energy_Mean.4,Energy_Mean.5,Energy_Mean.6,Energy_Mean.7,Energy_Mean.8,Energy_Mean.9,Energy_Mean.10,Energy_Mean
-74383.41360169271,261020.1943338709,49366.39094080363,-766174.334577391,7951.038295326432,-35316.23982970828,1622784.5244755542,-2534.1922805585145,-798419.941369644,52791.15468335532,-4651.270621076598,-615571.3067229992
-2523.576719877811,706073.3713640897,-222124.0319324924,-2131718.383339095,2648.1248650558027,-17815.726675209462,1334788.14028971,915.398145102086,-70213.17454352921,39956.707726914334,5818.700968053157,-293474.499829116
2964.984254851628,1151126.5483943084,1246414.7724648626,-155060.70783594134,800.613629050199,-1037.0697443367774,1046791.756103866,-2096.039043226824,-433777.239888466,27122.26077047336,14988.528994405788,-139167.17790551035
-3729.436453659304,792651.9954631084,240827.89248543547,-2201130.2566299145,-1046.8976069554046,-156545.6346163124,758795.3719180217,-49850.30739299228,52607.28524101824,14287.813814032372,36527.67980352711,-296659.9046337352
593.9687216742485,434177.4425319083,-764758.9874939916,-6130300.708023523,-2894.4088429610083,-40961.49660691103,470798.9877321776,2056.2802901790374,-82351.08224692971,1453.3668575913762,6394.609682344763,-163718.53317810225
-9667.46661781296,75702.88960070815,-1770345.8674734188,-325417.8055198796,-2476.288644519498,6903.890260556579,182802.6035463334,-490.6918720074352,-217309.44973487768,-11381.080098849605,1575.7131644207284,-300288.7456433381
-4618.994023579071,-282771.66333049187,-2775932.747452846,51931794.05946668,-2058.168446077988,-29954.37416032422,-898937.5582134194,-1891.3586165495244,61990.57949972692,-24215.527055290582,187105.01515031268,-197852.9178168521
-7195.370743896644,-641246.2162616919,-3781519.627432273,-10565677.473774595,-1640.0482476364778,-66812.63858120501,-1980677.719973172,-709.5501810313272,-16152.54888736388,-37049.97401173157,-8251.737170530716,-258199.2129360841
-7899.664997265063,-999720.769192892,-4787106.5074117,-1232528.334618505,-697.7455110644902,330532.5603888221,-179894.36477651095,-1853.3781398605545,111719.5483712112,-49884.42096817254,-2158.423068376708,-271173.7285244366
-2276.734603906031,-1358195.322124092,-5792693.387391128,-43313500.21464528,-35726.15090348832,-39343.221162630594,-1504919.9092447965,-416.4829615626185,-79859.4933595669,-126406.84993725954,401523.2843364085,-251534.3472849053
-7447.9424995366,-1716669.8750552922,-6640947.796108402,9745864.234551588,19394.08850765418,2310.064619107039,-2829945.453713082,-1974.7370772761049,-332485.638440906,-202929.27890634656,-9957.126081860217,-185634.09747743665
-18743.913484214525,-2075144.4279864924,-7489202.204825677,16045053.02325931,74514.32791879668,-27090.589729575822,-1688746.2063691851,393.4868981128389,824393.2298492576,-44095.31688043856,-12792.714121820123,-164557.4315804408
-110692.64837796356,-2433618.980917692,-8337456.613542952,-20550284.859381568,129634.5673299392,2290.876788372534,-547546.9590252885,294.51978298849474,43993.97354214539,114738.64514546945,3665.805672878289,-105478.62537725815
-32161.41028540136,-2792093.5338488924,-9185711.022260226,-6858715.175606092,-139732.07009416175,-627783.7756690786,-25772.712299352825,2516.12336064942,385473.7704501415,273572.6071713774,-108.5824450937212,-73044.96556672626
-1630.234776485199,-328342.07640253345,-10033965.4309775,-225640.375680446,-446034.17940765154,-293219.5324537572,84372.04146778167,-111446.0245214638,-147084.3253271044,432406.5691972855,-10234.663456779115,12476.00987593391
-27734.88427116506,-611952.2370585437,-10882219.839694776,1408927.5797113166,7269318.593844661,41344.7107615642,-90749.77896501824,2305.420202102527,-99515.95730270332,591240.5312231935,-8825.900736642214,-118156.43135895093
-3017.837971829096,-895562.397714554,-11730474.24841205,2519740.1962790787,-2753768.189688784,375908.95397688553,-19005.40986094449,-1959.4141591804744,-69046.69507683015,750074.4932491014,-416250.5565281498,-99721.22836375875
3485.5111422153823,-1179172.558370564,-12578728.657129323,1012680.302569544,-1503411.9867135107,5501592.7519476805,-12818.024459595565,-1529.514783352758,35581.577744443806,908908.4552750094,-5309557.304270424,-296026.4431003356
-44714.109846207306,-1462782.7190265744,-13426983.0658466,-376497.2632274548,-11573.53503577812,-37843.98909097071,-96692.4425928492,-1022.8769472934088,-120991.7940093965,1067742.4173009174,138501.03950254785,-237680.21486657613
-152480.34546127802,-1746392.879682585,-14275237.474563874,-6073115.802802081,-30719.14354646743,-14801.379309616865,26543.45671287281,10572.226593795116,-36314.04975984995,1226576.3793268255,-10093.552839130518,-66724.17766506539
-271912.64936671045,-2030003.040338595,1317722.8207719866,-915266.3519832,31596.079791222164,-6381.027590374956,-83352.70818683268,2236.91654160654,29145.336060964502,1385410.3413527336,197201.0072017334,-1614.025088513236
-160212.5535148861,-2313613.200994605,1036662.3168761767,-34799.678184696524,9997.29456581818,-6720.4522390196935,-193248.87308653817,-14799.450157685103,34870.28303880666,1544244.3033786414,-226292.5832470429,-292400.4748098494
-87403.1789645243,-2597223.3616506155,755601.8129803669,-256552.9464925259,-662773.7565070211,-68813.77159145277,-303145.0379862436,-3902.58893423052,-245270.33222071908,1703078.2654045494,23985.24992966499,-250087.7397027796
-16869.40581367302,-2880833.5223066257,474541.309084557,-35765.266635499946,-449993.8617414632,-1527082.7914440972,-297407.00885925035,3713.933153441033,-250434.26919892832,2503787.507003668,62357.71914802658,-79992.94256827256
-46612.39756533014,-3164443.682962636,193480.80518874712,-44854.878512092575,-135229.2647446606,116563.22047734604,-291668.9797322571,-9173.508329456454,-113753.37250622766,3304496.748602787,-2433.6046563607147,-118276.43174532495
