Energy_envelope_Central_moment_3rd_order,Energy_envelope_Central_moment_3rd_order.1,Energy_envelope_Central_moment_3rd_order.2,Energy_envelope_Central_moment_3rd_order.3,Energy_envelope_Central_moment_3rd_order.4,Energy_envelope_Central_moment_3rd_order.5,Energy_envelope_Central_moment_3rd_order.6,Energy_envelope_Central_moment_3rd_order.7,Energy_envelope_Central_moment_3rd_order.8,Energy_envelope_Central_moment_3rd_order.9,Energy_envelope_Central_moment_3rd_order.10,Energy_envelope_Central_moment_3rd_order
2.714127962002005e+19,0.0,-1.2740902989094982e+17,2.3259708730712697e+22,4.908436084864063e+16,9.33042448517822e+21,-292352.0,-5.916899606635339e+16,1.7572499986622257e+22,2897892417022143.0,1.298299718943508e+18,1.6556430342305004e+19
4.984019246967952e+19,0.0,-2.5481805978189965e+17,-1.1288525989821391e+18,6735860252415167.0,-4.628216487746602e+16,-393216.0,5.354461171438902e+16,-1.1358088844451892e+18,4768598115410991.0,142609353536167.8,4.592177508751842e+19
3.1655897696857817e+19,0.0,4.216508520234847e+17,-2.906257902491425e+17,4583198933098542.0,2.039700939827088e+17,9.094936857961352e+22,3280238830056904.5,-3.334236941126698e+19,6639303813799837.0,-179969322567575.56,7.501387463813403e+19
6233750142572484.0,0.0,-7.731124866961213e+17,1.2713466953828217e+22,5337724774763758.0,-4904805483987196.0,7.277554085038158e+22,-1345046731176640.8,2.168801989947134e+19,8510009512188685.0,527490190923618.4,4.271241939985315e+19
1025332942909575.8,0.0,-1.138348888562169e+17,-32768.0,3558483183175839.0,2.209466014212161e+16,5.460171312114965e+22,-224148939898742.16,-1.6352933760261435e+18,1.0380715210577532e+16,9444578140352874.0,4.781001503642725e+18
7.629891753118589e+16,-7.272727272727272,1.348354213456447e+18,2.915977868477804e+19,1779241591587919.5,0.0,3.642788539191772e+22,1.6350995229839388e+16,3.466050278419965e+16,1.225142090896638e+16,1.0187560226850492e+18,1.4857510926287428e+19
376562889880984.3,-14.545454545454543,2.8105433157691105e+18,-2.575257426479574e+20,0.0,-2.332844789403972e+16,1.8254057662685783e+22,-10530475430386.396,-5.280317558525667e+16,1.4122126607355228e+16,-360551650627913.4,1.070816700943621e+19
-782704741210472.0,-21.818181818181817,4.272732418081774e+18,2.2313121649080123e+22,465813313577216.0,2.297873163752993e+16,8.02299334538552e+19,14414875984664.28,-1.40266853954713e+17,1.5992832305744076e+16,4.105441105291179e+16,6.03923875659898e+18
-4379698287660169.5,-29.09090909090909,5.734921520394439e+18,47296.0,931626627154432.0,8.360415847106224e+16,-6.203713033888252e+19,54327321537348.58,2.6898340597981283e+17,1.7863538004132924e+16,3.735895116297203e+21,4.279577463654701e+18
1.2951863767741012e+16,-36.36363636363636,7.197110622707103e+18,1.932423845553199e+22,1397439940731648.0,1.4422958530459453e+17,-2.0430419413162023e+20,20303226940228.523,-8.48557934591864e+16,1.973424370252177e+16,1.177532955157679e+16,7.027786934532813e+19
66395768167763.28,-43.63636363636363,8.659299725019766e+18,-8.804197111585748e+20,6.688034580064626e+16,0.0,2.104566906943047e+19,-10683352665433.465,-3.341284817897189e+17,2.1604949400910616e+16,2647698612227893.0,1.6078571806714145e+19
-801494565326571.4,-50.90909090909091,1.012148882733243e+19,-2.2725562926112432e+21,-800.0,-1308341499775843.8,-8.6065051710773e+19,-602496477333860.0,7.906551426286428e+18,-3443531407301496.0,-1509029415286859.5,3.1651215163592407e+18
-2664454864237387.0,-58.18181818181818,9.109339944599148e+18,2.5657982537856585e+23,2.335521912203707e+17,-5.688811381243432e+16,-1.931757724909765e+20,89388754875700.34,-1.5727062896906317e+18,-2.849201221551361e+16,2.032437384960636e+18,2.4488105270652626e+18
-3970257672264445.0,-65.45454545454545,8.097191061865865e+18,8192.0,4.671043824407421e+17,-1.504538755931977e+18,-9.916248822296642e+18,-41394639212773.055,2.428988536816717e+17,-2.611767786422081e+16,1.0180912873328192e+16,2.074662308141189e+18
4.457538744324236e+18,-72.72727272727272,7.085042179132583e+18,4.45825358321202e+22,7.006565736611137e+17,0.0,1.7334327484638324e+20,3122196211297.9937,1.230818418599259e+20,-2.374334351292801e+16,6320422111843871.0,9.537709999912456e+17
4.443580300713919e+17,-80.0,6.072893296399301e+18,1.2004490337235493e+21,5.85687876029549e+18,-2176.0,1.5923088949252877e+17,-4966472762023491.0,1.2046317126471035e+18,-2.136900916163521e+16,179529797983774.16,2.1627362489610235e+18
-475356512571126.4,1024.0,5.060744413666018e+18,8.736283655213634e+19,-9728.0,-1450.6666666666663,-9435530481994728.0,1.060252395407071e+21,2.3087545097239984e+17,-1.899467481034241e+16,3518487359911499.5,1.426611613960829e+18
