Counts_envelope_Impulse_factor,Counts_envelope_Impulse_factor.1,Counts_envelope_Impulse_factor.2,Counts_envelope_Impulse_factor.3,Counts_envelope_Impulse_factor.4,Counts_envelope_Impulse_factor.5,Counts_envelope_Impulse_factor.6,Counts_envelope_Impulse_factor.7,Counts_envelope_Impulse_factor.8,Counts_envelope_Impulse_factor.9,Counts_envelope_Impulse_factor.10,Counts_envelope_Impulse_factor
7.641156962506122,3.608311456890629,5.674134426972363,5.600898346506921,4.325247677779694,4.417594717457433,15.989078418650855,5.653602147155177,2.081947624675664,1.8964678475982824,1.6714219499836245,21.55788966248882
2.570214166683134,1.545727844519869,3.725369418933233,2.337353351907966,1.0998960965721385,1.4288904188913034,2.215041311343509,2.056944771489541,1.365584091285401,1.1627135746058923,1.5977790262723728,2.513056036362629
2.006668253604914,1.4396134954630588,1.7766044108941037,4.011844891315508,1.1135334796251557,1.431876758886952,1.4828922009433778,2.0329799552621104,1.2172688597406636,1.2242684233367875,1.1622638984287894,1.739512470668509
2.484929832203538,1.412289762355658,1.4397274457830682,1.4111541807808103,1.14010762312053,1.4348630988826,1.4248418494692392,4.183175361897382,1.2521821050758033,1.2858232720676823,1.0238943590087437,2.3961703781668744
1.8602155662124675,1.384966029248257,1.1028504806720325,1.5228789662715756,1.4113037399009318,1.3122308402781715,1.391993433216087,1.782515196374,1.4408285670784746,1.3473781207985778,1.0209832221253254,1.4971598162174058
1.7066852374405628,1.3576422961408563,1.248566182459805,1.416012762854495,1.4827333707373171,1.189598581673743,1.3591450169629349,1.223084054621656,1.3719225828577817,1.253135677150859,1.4305285313874632,1.37592089495557
1.8969855591243696,1.3303185630334553,1.2281933802926914,1.887909741877722,1.554163001573703,1.3020430606341884,1.3262966007097825,1.6017252581282555,1.3647969771147257,1.2480077220441437,1.840073840649601,1.5558608636598878
2.2086130161571647,1.3029948299260543,1.207820578125578,1.5110256581790973,1.625592632410088,1.7821278622733516,1.1411313250115331,2.3023015910277462,1.2593890315658642,1.2428797669374283,1.0062139709663174,1.50252424008082
1.615476687022443,1.2756710968186535,1.1874477759584643,1.8077114924959925,1.3601940817363447,1.6910192591969802,1.246412886031329,1.4652338914044751,1.1539810860170026,1.2377518118307131,2.072079369521485,1.7719200669207629
1.8718897903023524,1.2483473637112528,1.405709767708589,1.5593476824219816,1.0947955310626016,1.599910656120609,1.3516944470511252,1.4530117472600377,1.1828186981559123,1.2326238567239978,1.7759441480021034,1.900111522587472
