Energy_envelope_Shape_factor,Energy_envelope_Shape_factor.1,Energy_envelope_Shape_factor.2,Energy_envelope_Shape_factor.3,Energy_envelope_Shape_factor.4,Energy_envelope_Shape_factor.5,Energy_envelope_Shape_factor.6,Energy_envelope_Shape_factor.7,Energy_envelope_Shape_factor.8,Energy_envelope_Shape_factor.9,Energy_envelope_Shape_factor.10,Energy_envelope_Shape_factor
1.6969731421840746,1.9353397472643483,1.9839782678278253,1.9284253707440424,1.037738773850597,1.419081742848143,2.6487539648083773,1.19981692390081,2.1989008016888216,1.3815145037732162,1.4343809885604355,1.9608494460764927
1.1309507477613538,1.123854452410146,1.53798786943686,1.734475216071157,1.0152446626434484,1.2063337882775085,1.361073472258482,1.1301598797680985,1.2338748642677495,1.0012322747435896,1.2588625639687523,1.2830018454420635
1.2052854186718387,1.3566571836877592,1.0919974710458946,1.5020102378705424,1.0197036048222032,1.1171354307333965,1.1157846832245155,1.0275530094182488,1.101466078869351,1.0100169006808406,1.0003079762722844,1.0184855289810866
1.2041587328687409,1.34605141047355,1.0516090196591883,1.044668600846057,1.0089830418250472,1.0279370731892843,1.0292548247647078,1.4918009263535594,1.2181803476981448,1.018801526618092,1.0029156221910611,1.2322559879454464
1.2435608404362222,1.3354456372593408,1.0112205682724826,1.0092683844456098,1.0097650479771048,1.0876885115643793,1.0346081335695438,1.0108629695394815,1.0535353795371531,1.027586152555343,1.000797526442566,1.03918620721292
1.1489812069049956,1.3248398640451315,1.0150570255320783,1.014143234704059,1.0207614943920242,1.1474399499394743,1.0399614423743802,1.000102706304352,1.0600593179103728,1.0055501144265016,1.0999472046782257,1.0764777414812354
1.1887272271316187,1.3142340908309222,1.0421153927150797,1.1086508126589072,1.031757940806944,1.0177357452429057,1.0453147511792162,1.0001807775783322,1.1530449387083122,1.0091143132241474,1.1990968829138855,1.0894324999167653
1.1808878746661078,1.3036283176167132,1.0691737598980804,1.024413183726016,1.0427543872218634,1.5971173222701218,1.0834933059336966,1.0427176642005478,1.2217295133450188,1.012678512021793,1.0644442873360953,1.0680627653448167
1.2163087152821934,1.293022544402504,1.0962321270810815,1.2089006082123872,1.0225405854925986,1.4590172885146335,1.125013823003369,1.0020245286976417,1.2904140879817252,1.0162427108194387,1.097404556503186,1.0980489154133788
1.160764548837547,1.2824167711882946,1.166234988451425,1.1352779265627784,1.0023267837633336,1.3209172547591457,1.1665343400730412,1.0005258478069503,1.1270311657082164,1.0198069096170843,1.0226435721438734,1.1076312439282057
1.1323447726156757,1.2718109979740857,1.1079884515232166,1.4502964957400275,1.0016661656628525,2.865964393862547,1.2080548571427134,1.0004497596780844,1.3813956249912491,1.02337110841473,1.154895685895167,1.1417451436686843
1.173715805947792,1.2612052247598762,1.0497419145950082,1.080951580637928,1.0005490460096726,1.0104253885813643,1.2495753742123858,1.0002984411674136,1.0241026874888512,1.0269353072123757,1.0103155643226258,1.1996889468437917
1.0318230580533987,1.2505994515456669,1.2067349466262136,1.078842479797555,1.0009795307353957,1.0060295329809776,1.4140969052072887,1.0001389414314448,1.1544082171289831,1.0304995060100215,1.0167031402267035,1.2091656157079502
1.0011862197090478,1.2399936783314578,1.1876651499449404,1.7863144651703289,1.0015445460406605,1.0016000127933309,1.3625707997545335,1.0001103630117354,1.0826037804495865,1.034063704807667,1.0225094888272106,1.1565793324798823
1.0019050970359749,1.2293879051172485,1.1525657790323185,1.1717948245797667,1.0016428522794056,1.0028862193382029,1.3110446943017782,1.0000473174180111,1.05099321021454,1.0376279036053129,1.0314110697336574,1.1189101912364234
1.002910335288749,1.2115872826703264,1.1612916317775543,1.0977885610355886,1.001741158518151,1.0083376180632009,1.259518588849023,1.0008073042561811,1.0067840408594724,1.0411921024029585,1.3857835295587142,1.1879108771800793
1.0011400216422028,1.1937866602234046,1.1700174845227902,1.160106941573744,1.0018394647568962,1.0024572820531636,1.2079924833962676,1.0000187522499715,1.0106339326960447,1.0447563012006045,1.0575444097134266,1.1767334875567428
1.0003276183507543,1.1759860377764826,1.178743337268026,1.3467977063412304,1.001999673030473,1.002787586774438,1.1564663779435125,1.0000269541940836,1.0144838245326169,1.0483204999982498,1.1884580120354489,1.1746268483269997
