Duration_envelope_Root_mean_squared,Duration_envelope_Root_mean_squared.1,Duration_envelope_Root_mean_squared.2,Duration_envelope_Root_mean_squared.3,Duration_envelope_Root_mean_squared.4,Duration_envelope_Root_mean_squared.5,Duration_envelope_Root_mean_squared.6,Duration_envelope_Root_mean_squared.7,Duration_envelope_Root_mean_squared.8,Duration_envelope_Root_mean_squared.9,Duration_envelope_Root_mean_squared.10,Duration_envelope_Root_mean_squared
578.2095101157039,505.2974341782197,937.423255410695,615.0417226115909,589.5973876892962,698.600573862377,1642.6781318665144,570.1216377702876,777.1684569627138,587.0787890395004,699.8933005565542,906.7437450060588
372.4713978880873,591.6570608038184,659.6283808937067,439.1038619969849,410.0479160867532,829.6702860275224,450.396962308814,484.56451195033776,581.3560195510544,554.1286000483328,666.6852633521775,364.5905456368712
508.3747794176975,487.3891148160972,381.8335063767183,531.0494973269723,502.9417352053002,1074.5695750606048,461.1689379178975,399.76394254695833,603.078471497751,511.4762068471196,830.1174627115316,428.6456392965239
555.9646871083247,465.4442187045377,459.53317545798143,477.5617312163767,615.9552816974386,1319.4688640936874,709.1744178491158,487.2694838410266,549.6372937582283,468.8238136459062,647.8336589490234,482.6777881634866
573.8927224991902,443.4993225929783,537.2328445392445,511.8052165425028,485.81261783093726,1000.4143935550838,615.668769603483,449.0339985943822,476.3864595799619,426.17142044469296,668.5862415398041,650.5291868518848
569.0918530969781,421.5544264814188,444.0840771406061,386.36527596292206,559.9875976210589,681.3599230164803,522.1631213578503,418.116775195613,738.8683785793463,700.5746604335919,922.3076005204864,686.7737902507286
544.1183251835048,399.6095303698593,505.0692796253868,495.0161011597762,634.1625774111805,352.2936485149364,428.65747311221753,391.4606066941236,562.5270739319557,688.160823371026,1176.0289595011686,689.1522684485691
505.5186890575434,377.6646342582998,566.0544821101676,481.8988682802656,708.337557201302,713.4844952375411,366.0324485888127,425.2580301884635,581.056337740408,675.7469863084601,397.8983284080014,663.1532712140712
550.291124972114,355.7197381467404,627.0396845949482,587.3561635511849,537.2087425867701,594.610262849239,391.2543931465774,373.284451436659,599.5856015488604,663.3331492458942,442.52065600964033,647.064601808962
602.4276669774274,333.7748420351809,451.9344304200577,831.6858326249604,366.079927972238,475.7360304609369,416.4763377043421,331.7936645564814,312.91908207029434,650.9193121833284,400.7951029270579,627.4095988108335
