Energy_envelope_Root_standard_squared,Energy_envelope_Root_standard_squared.1,Energy_envelope_Root_standard_squared.2,Energy_envelope_Root_standard_squared.3,Energy_envelope_Root_standard_squared.4,Energy_envelope_Root_standard_squared.5,Energy_envelope_Root_standard_squared.6,Energy_envelope_Root_standard_squared.7,Energy_envelope_Root_standard_squared.8,Energy_envelope_Root_standard_squared.9,Energy_envelope_Root_standard_squared.10,Energy_envelope_Root_standard_squared
9011186.912086632,3387995.2166358232,2949244.257908244,26866693.826964192,248615695.07939625,13180505.715525808,4126598.587528244,140352456.13825694,11228334.726463418,17605118.638345737,4413701.879677441,129455809.29514097
8519575.407252362,3349547.826955595,2969836.8169613,13704187.702536454,234135861.73861888,31899523.36303652,3235153.835116947,136786127.26132432,12083469.566195635,17944047.656178214,5451098.453753315,129086105.4242136
8586324.096322631,3311100.437275367,2990429.376014356,28175110.489636883,206532650.07552424,222359930.9440926,2343709.082705651,133084374.98046374,10273366.0013221,18282976.674010687,4691790.376540567,117826886.07246198
7498455.978148838,3272653.0475951387,3011021.935067412,43921619.81168433,163298644.58755302,28942456.11131405,3772400.504148806,110087225.66957912,13051819.386154449,18621905.69184316,3932482.299327818,109853063.8437341
6176336.165031252,3234205.6579149105,3031614.4941204684,63885958.448799245,150733931.2417318,37745572.26723769,5201091.925591961,109068829.7469304,14855136.671655428,18139165.30881664,3173174.22211507,110783820.8469309
4755332.182343778,3195758.2682346823,2658205.7363578337,24543228.85989043,141436131.08746776,78303672.60272633,6629783.347035116,67246236.9519275,13239172.250769077,17656424.925790116,3372177.117229255,102262372.18023404
1517386.4817278811,3157310.878554454,2284796.9785951995,39900279.452639975,132983929.70163085,40754474.76923796,8058474.768478271,72717366.9286463,11477488.913916752,17173684.542763595,3571180.01234344,95535400.83507442
853837.1732401198,3118863.488874226,1911388.2208325649,,138293264.43572733,45052557.73726457,9487166.189921426,78587600.3768842,8498250.416820934,16690944.159737073,3770182.907457624,83727108.14005624
1791772.4883243577,3080416.0991939977,1841383.9099060264,,145156558.1608556,25427873.904296394,10915857.61136458,40685114.08320027,8235526.039206869,16208203.776710551,3969185.802571809,93734516.37324694
824415.5653956465,3041968.709513769,1771379.5989794875,,149448261.26727912,33375456.037055217,8878573.559745446,63636436.44369639,16502857.569990408,15725463.39368403,4504871.214802568,86866272.13893959
745482.4355661507,3003521.3198335413,1701375.288052949,,178063938.49758098,18541843.31151314,6841289.508126311,78371177.97409742,14117490.863281554,15242723.010657508,5040556.627033327,78260674.89209983
891084.5834973769,2965073.930153313,1852852.5967033512,,130079512.82428531,16469116.214860588,7268257.985540757,76746434.35672632,13606067.32555307,14759982.627630986,969874.1379490304,81780527.24124245
2989181.385208655,2926626.540473085,2004329.9053537536,,119917324.7959172,31244700.398288835,7695226.462955204,60174678.6670118,19871770.794110995,14277242.244604465,430759.3309952097,76166388.68131535
1415234.4533083497,2888179.1507928567,2155807.214004156,,106623559.6475572,33069343.04038493,8122194.94036965,62280726.449932046,16259043.222236568,13794501.861577945,607628.0317007147,71607030.11277008
1041923.3421639416,2849731.7611126285,1779820.7940115377,,107245099.76661776,38839551.148858525,16709201.008441271,63835150.46330846,15063161.380428793,13311761.47855142,1812644.3762744784,63342205.000385866
1388193.4753402036,2811284.3714324003,1889028.057676112,,98394730.8795877,20568211.22425548,10959225.74587365,71556880.64245096,11182002.11170784,12829021.095524898,2344439.165250456,61147641.25011246
1174714.7674011528,2772836.981752172,1998235.3213406864,,100412680.07475944,29851355.772603184,9275584.74882421,84424533.89626312,8269933.874556897,12346280.712498376,2727359.0734306206,157067367.86195976
1639087.4241413858,2734389.5920719444,2107442.5850052605,,102470822.27194422,22352694.613729343,8974860.207371997,72814901.09146711,6655536.500874307,11863540.329471854,5162442.163146246,63119834.01991412
2894345.97664332,2695942.202391716,2216649.8486698344,,156378417.32468367,19997053.566152733,8674135.665919783,73935315.40550616,4182133.8714799294,11380799.946445333,11258815.578149848,62955456.11409351
2592485.3508392056,2657494.812711488,2325857.112334409,,99806907.12015674,15514080.846270692,8373411.124467569,64763944.27757324,7600983.726145586,10898059.563418811,18116814.652384687,73778877.4186082
3279670.110563103,2619047.42303126,2435064.375998983,,93405799.83195828,17511280.99664673,8072686.583015356,76077488.0878424,7650828.700156384,4748054.381298024,211764105.1803481,65213107.04663895
2302537.096471657,2580600.033351032,3521421.570357829,,97438983.05750903,79829050.27074133,7771962.041563142,53949352.77423808,9831284.789444182,11693635.023375789,263305471.7755085,70176846.38083978
1926560.979813757,2542152.6436708034,42575180.28870979,,151661338.88444412,23225530.344969355,7471237.500110928,50544285.48984625,9844038.285106769,18639215.66545356,59977425.35115353,68423443.00641708
2078038.5845697564,2503705.253990575,9959646.823846912,,105325928.77063423,13069854.43282702,7170512.958658714,56660060.3506771,9492958.568427157,25584796.30753132,35731598.39450893,67182052.72925879
2646222.1200803,2465257.864310347,11409557.9114862,,155719976.60160002,13657544.30341047,6869788.417206501,57066778.01608581,9679387.447479116,32530376.94960908,28272675.79521733,65609813.31337856
3169385.326455374,2426810.474630119,108499773.9440944,,172845926.46254995,9022424.261148237,6569063.875754288,67305718.93435928,2438819.8939558263,39475957.591686845,16630715.560698695,66723389.88660103
3119137.7459275606,2388363.0849498906,19384240.745264515,,151704344.47789443,106802810.41501851,6268339.334302073,50523511.16808751,6451673.060237787,46421538.23376461,14427697.386792231,63830435.39249457
2469332.388356919,2349915.6952696624,35863799.14029197,,165390119.0131239,107431863.856586,5967614.792849859,68949161.79312421,4995165.754494686,53367118.87584236,12987038.264551057,63471911.04875752
3277390.915667999,2311468.305589434,28195807.146846507,,172621481.17028305,10420340.740842218,5666890.251397645,106743105.52498911,3036481.666917087,60312699.51792014,6119546.652131811,61491967.40908074
1927332.1112057727,2273020.915909206,20527815.153401047,,166629861.35190946,22677625.419068214,5366165.709945432,111233631.2944679,4373829.70230054,67258280.1599979,9830299.0254962,62992317.44988509
2200486.869781035,2234573.526228978,12859823.159955593,,158118209.90451756,7716484.876323563,5065441.168493218,118173712.46133712,4415876.890264878,52859219.2238631,11631474.460285842,60448366.52625764
1701905.1640373913,2196126.1365487496,7990728.642713155,,173733197.3236824,38348701.18104889,4764716.627041005,130043703.68633445,3044386.181141146,38460158.28772831,8129391.853155307,64605472.20284611
1090073.366633166,2157678.746868521,7837004.557680134,,191890988.3797067,11646179.72779983,4463992.085588791,118584658.01677084,3016661.17024206,134036646.52180536,8813396.374305733,59647148.41123847
1105469.93477927,2119231.357188293,7683280.472647112,,177955948.54791465,9993273.40256402,4163267.544136576,123750104.68674453,1469463.6530209167,229613134.7558824,7665445.0053169085,60995908.17334059
1912101.7128674928,2080783.967508065,9414905.90127041,,187698841.631212,12227249.263100583,3862543.002684363,118038456.75304946,3396611.799527576,325189622.9899594,6499030.605282785,59039594.83033149
2460587.856709416,2042336.5778278369,4686958.994788077,,202834743.12303683,111420465.02929536,3561818.461232149,114749611.30829331,4807229.831070829,66097095.49724548,5332616.205248661,58491332.88781741
2551800.266024144,2003889.188147609,3196571.157703773,,258004734.07011023,8459110.99757982,3261093.919779936,104444503.02653912,7466917.025467555,25773710.810221817,5057920.623134395,57016722.20915812
1683974.801597409,1965441.7984673807,1706183.320619469,,260665578.65900967,9471830.686726268,2960369.3783277217,93013475.83559307,8032169.812261014,21757002.924788605,3554658.776152268,53066188.54426471
1361215.1202584363,1926994.4087871525,215795.4835351648,,320513525.15750664,14850123.774441583,2659644.836875508,78696833.88787185,6726141.869067548,20780552.44903755,6586730.329369707,55324894.60766264
