Energy_envelope_Crest_factor,Energy_envelope_Crest_factor.1,Energy_envelope_Crest_factor.2,Energy_envelope_Crest_factor.3,Energy_envelope_Crest_factor.4,Energy_envelope_Crest_factor.5,Energy_envelope_Crest_factor.6,Energy_envelope_Crest_factor.7,Energy_envelope_Crest_factor.8,Energy_envelope_Crest_factor.9,Energy_envelope_Crest_factor.10,Energy_envelope_Crest_factor
8.799973844131491,4.629422426392635,6.729324800788026,6.692077600054546,2.0334365678301825,4.259079821701973,6.627510837022078,5.486119747028299,5.539518007604345,2.888680505366428,2.720591630550883,9.097562284152392
3.651628667139737,1.702352824212784,4.0300131998712825,3.4157369353780944,1.1774657527883146,1.6669737063577306,2.964459800203855,2.9740043248638792,1.842986964792771,1.0650536671756272,2.4146092322153656,3.639462808974691
2.4877833191571024,1.4128831513814966,1.330701598954538,4.625748646497895,1.1763103935838,1.4835021592871025,1.8031748734615023,1.246861208855823,1.2966388978895431,1.146302552512071,1.0245047788892767,1.5845947734345551
3.0528561562417824,1.411401190918285,1.234080970164538,1.295151345460131,1.2165590326496378,1.3000306122164738,1.2939620720882272,11.49043567258615,1.5871487801912525,1.2275514378485146,1.0732889208081036,6.324680406462857
3.432230688411248,1.4099192304550736,1.1374603413745377,1.1869177280888756,1.129065492223006,1.3309609977168384,1.289759118768095,3.3254661135842385,1.317470604887096,1.3088003231849583,1.039117351756132,1.995168034058605
2.5173090429252656,1.408437269991862,1.1567685140848565,1.0980700876567504,1.1647653296594205,1.361891383217203,1.285556165447963,1.014470856296722,1.275161399607698,1.1148545035477853,1.3358097234243238,2.223235588545472
2.8345568112410966,1.4069553095286509,1.2507111541940894,1.5770345840138549,1.2004651670958346,1.1684486957293636,1.2813532121278308,1.1016337270439065,1.3019999750367446,1.1308016856311809,1.6325020950925155,2.271514850646988
2.613364371148003,1.4054733490654392,1.3446537943033223,1.260049782292058,1.236165004532249,2.3167455342483163,1.3078829476442435,1.7326238672709546,1.354486820612332,1.146748867714576,1.282123219434363,1.98337303349074
3.201761722914518,1.4039913886022275,1.4385964344125552,2.074447680325218,1.1509709520223923,2.0327794587109502,1.3308895135344323,1.0845254128087556,1.4069736661879195,1.1626960497979713,4.135434183578418,2.343194155074739
2.5153335313867244,1.4025094281390165,1.3720105437476249,1.646476450266263,1.065776899512536,1.748813383173584,1.353896079424621,1.052999903022335,1.3485047974641275,1.1786432318813669,1.560459068448528,2.348366478940914
