Counts_envelope_Standard_deviation,Counts_envelope_Standard_deviation.1,Counts_envelope_Standard_deviation.2,Counts_envelope_Standard_deviation.3,Counts_envelope_Standard_deviation.4,Counts_envelope_Standard_deviation.5,Counts_envelope_Standard_deviation.6,Counts_envelope_Standard_deviation.7,Counts_envelope_Standard_deviation.8,Counts_envelope_Standard_deviation.9,Counts_envelope_Standard_deviation.10,Counts_envelope_Standard_deviation
46.18633606232587,29.744879581128963,66.00069370809705,44.94265997546112,41.67192836393173,44.00646998854133,177.08560115102256,34.75228174741344,32.58550876846299,27.933956470263368,26.792170512766525,93.69795767825612
22.368727820143853,27.160479135922387,45.56712778290032,31.355680924378458,9.401051759210288,29.66041462831932,26.910513960131816,26.17444230079932,16.810202861888982,10.203114868068091,27.44668806703828,22.47007587348205
25.970110470426192,27.48705108621817,25.13356185770359,37.349863255523175,8.865313913559646,41.86665887837853,21.22402714430794,12.385312426101784,20.23739670989708,13.122256745246585,18.003752009013454,19.75402455060974
27.8237839975012,25.50906435205198,16.20166027251457,18.11078759127308,7.11193986871358,54.072903128437744,31.04761206740776,16.236592036075216,19.74373963948759,16.041398622425074,2.0677450927668914,15.360128142276832
24.26804199413543,23.53107761788579,7.269758687325549,29.395526599189083,20.98425290290907,34.72427134908553,25.27401260376832,8.757729281992578,25.422219330309392,18.960540499603564,1.892961326882144,16.242745882199433
24.01690074424517,21.5530908837196,14.372785747486128,18.50095671009348,32.79225282297261,15.375639569733316,19.50041314012888,5.166123409781408,34.55520212147101,30.39242948953136,30.36284271464559,15.486029505911064
24.590980986599654,19.575104149553407,14.684263181544,27.59863589642624,44.600252743036144,10.892301455289642,13.726813676489442,6.232568647459831,21.96980299884068,28.998887209079964,58.83272410240904,12.10300018535004
23.778310167167312,17.597117415387217,14.995740615601871,17.757528010621073,56.40825266309968,36.74760474813984,7.36196283269355,20.472630176711693,15.36344599893128,27.60534492862857,0.4011231669369195,10.19252075115612
23.030480608485103,15.619130681221026,15.307218049659742,33.61525910398005,30.477838112918285,29.799341826561182,12.805005905733342,16.64188095248791,8.757088999021878,26.211802648177173,11.999798072033434,12.889183111840094
20.94095969045972,13.641143947054836,19.087818793681063,33.430995337376935,4.547423562736885,22.85107890498252,18.24804897877313,8.91466297566327,4.92695430074005,24.818260367725777,16.280917930851135,13.98008461842547
22.39711263244594,11.663157212888644,13.690513876787698,45.23856137341502,7.722520259339121,20.29536674741392,23.691092051812923,4.995230371725959,60.24491987513791,23.424718087274385,13.082013707311098,15.084897436085049
26.4934222390567,9.685170478722457,8.293208959894333,27.28113402020842,22.850423462509,7.114690852862568,29.134135124852715,3.8077431657412872,9.349448947197704,22.031175806822983,11.394084765123807,17.31320313983951
