Counts_envelope_Central_moment_6th_order,Counts_envelope_Central_moment_6th_order.1,Counts_envelope_Central_moment_6th_order.2,Counts_envelope_Central_moment_6th_order.3,Counts_envelope_Central_moment_6th_order.4,Counts_envelope_Central_moment_6th_order.5,Counts_envelope_Central_moment_6th_order.6,Counts_envelope_Central_moment_6th_order.7,Counts_envelope_Central_moment_6th_order.8,Counts_envelope_Central_moment_6th_order.9,Counts_envelope_Central_moment_6th_order.10,Counts_envelope_Central_moment_6th_order
16264327214472.96,67386196259.53962,33713675214352.29,3145912663465.8257,665681232171.4028,2487696144056.9707,8.276242064539515e+16,1430016423372.9128,21501752651.824528,6292560451.339157,3536495164.105107,9049083296604154.0
8072694307.397966,1946604933.0661657,16857290889270.83,9261836402.479069,4547543.62323698,3533592558.9724007,8648863827.923426,3656027797.5058928,88833325.89715268,2675776.415756828,2861133603.923934,4458652618.132461
2984602566.184727,431289512.4216172,906564189.3712176,413660751228.575,485472.5842628555,36130364165.012085,230506571.3180161,528895330.8255516,186891367.42123497,75523242.47423995,34054784.230274394,1138232435.03373
7101336417.018138,395348951.9117935,453355900.3977416,220439399.2539868,702776.7228371792,68727135771.05176,2026994848.7087648,161836513748.09436,161407567.94762155,148370708.53272307,78.15953967383217,2430063365.684201
1965884238.232192,359408391.4019698,147611.4242655899,1225469238.149327,85380967.25221372,34370174350.6024,1363143959.5227337,52458552.58714848,684749702.0399101,221218174.5912062,46.00981093186106,3267585567.6178994
2181077167.545808,323467830.89214605,8815474.835882599,105701852.0273811,26198439119.77473,13212930.153051917,699293070.3367028,16589783.991076237,1702474538.928703,2165182001.83944,126919124206.64227,4837798676.632182
1901063128.1165428,287527270.3823223,17206782.861739747,2523173851.0211654,52311497272.29725,1670005.549000113,35442181.15067168,12178520.48193369,523923138.419377,2020956307.2007368,253838248367.27475,1790174680.9065473
1481480164.361662,251586709.87249863,25598090.887596898,342863379.95818216,78424555424.81976,7993611839.284121,159206.84034510207,3865704732.655893,262187059.8840049,1876730612.5620337,0.0041654936115575,1112038731.022714
1782282461.735611,215646149.3626749,33989398.91345405,5641704474.709725,39212282133.8368,4317169653.604013,153000149.8655975,65447242.92063226,450981.3486327111,1732504917.9233303,267655689.861926,354412387.6376347
1572612638.943488,179705588.85285118,48365738.20195039,6770861595.633864,8842.853837325843,640727467.923906,305841092.8908498,4961647.186983825,14304.451327985087,1588279223.2846272,208104380.57536444,693736544.5142056
1194340614.8535812,143765028.34302747,24630207.324845705,250385709305.65564,1985928.7207188893,6479394484.569196,458682035.91610223,38751783.61500794,1719658711254.8584,1444053528.645924,108844443.76356453,1155015196.5436206
5857203340.789814,107824467.83320372,894676.44774102,2198064412.9749203,1162775529.6316168,7835523.830314344,611522978.9413546,111173536.18779966,2645352.6988801328,1299827834.0072207,43475311.34041239,1419294799.730353
753084824.2370391,71883907.32338005,5220401.780447108,1386406770.3522885,46280.26061051721,29750739168.300583,191286060362.994,2891162.5064491965,6788678675.582998,1155602139.3685176,84005295.63080095,1895792072.5182767
11953993.661546657,35943346.81355631,9055.021896207994,8243245643.265689,1688150.7219543552,58066330.10444968,153074498865.0167,24784732.42339442,1803082550.6645904,1011376444.7298144,64089154.61973873,2024489765.4409173
84509523.9207495,2786.303732611869,21021898.402994584,1162187.65930452,1125915.488699756,146200717.38881066,114862937367.03944,1934673.0078358024,743528519.2795205,867150750.0911114,175078306.450804,571752893.4611559
63709102.32369201,52281.68122002078,18020346.224226303,29261957832.31568,563680.2554451565,32.41107333484997,76651375869.06216,143721395.2071544,9286546.444796652,722925055.4524083,339331105.47835743,3241086157.0330267
36304171.18433109,101777.05870742968,15018794.04545802,35055309142.3907,1445.0221905570188,321297490.2597157,38439814371.0849,5157853.155590531,158525339.852021,578699360.813705,144568288.05688968,2538042481.1100144
5568019.240381158,151272.4361948386,12017241.866689738,22686812636.854782,1095.4718946257904,1312854864.9252954,228252873.10764223,3055290.761326537,307764133.25924534,434473666.17500186,442381452.7994461,2372144641.954878
57172428.33992748,200767.8136822475,9015689.687921455,63881.27502332077,745.9215986945618,852124772.5513062,228465594.15943545,2103107.064798398,240446476.94306383,290247971.53629875,5221263441.47344,1952512463.381662
145023450.83152512,250263.1911696564,6014137.509153172,1988146376.2128923,396.3713027633333,391394680.177317,228678315.2112287,1158386.717988784,1414257010.227208,146022276.8975954,1144176119.117916,3364813948.9888973
34805113.54950331,299758.56865706533,3012585.3303848915,4943593240.137161,9364.004439453776,14643325.136151062,2288219421.1525006,236797.5615762277,62319823.55583438,1796582.2588924048,13149982.7262033,8811839660.896002
56401582.8426897,349253.9461444742,11033.15161660654,142742346950.76767,1085.2019992490868,278802.44165165164,1601689981.4753242,24583611.704305343,3341578450.1642766,225884369.3808672,58494766.30912428,5831133407.562961
119382198.73244137,398749.32363188313,5639502.060879333,3143940681867.908,102802.49281347866,53343858.21922068,915160541.7981476,19093728.87648123,4246160989.177128,449972156.502842,1103867043.1076198,2750061829.809185
7503581.671577,448244.70111929206,11267970.97014206,6610416.039605388,204519.78362770824,611118549.2445508,5391669433.111012,20351398.90332127,91216914.22229502,412591216.4919393,94842301.67071629,7660454337.072932
75651238.49061932,497740.0786067009,16896439.879404787,119593683390.03534,306237.07444193785,618063.7919116109,9868178324.423876,52871989.898527935,7137169829.592674,375210276.4810364,35942116.5304935,5401015588.263227
