Energy_envelope_Mean,Energy_envelope_Mean.1,Energy_envelope_Mean.2,Energy_envelope_Mean.3,Energy_envelope_Mean.4,Energy_envelope_Mean.5,Energy_envelope_Mean.6,Energy_envelope_Mean.7,Energy_envelope_Mean.8,Energy_envelope_Mean.9,Energy_envelope_Mean.10,Energy_envelope_Mean
10587649.300448632,5116067.273387853,9339599.67304497,8223040.749450387,6876593.806734247,9410251.949157368,15273385.663647672,11972652.271679956,6158350.232240759,13424078.901273776,18680191.403767865,5833817.152788496
10786592.318308529,13386911.02897294,5989121.982416946,7279244.162867715,7099798.531986434,24966327.807917293,10630664.043552583,11587044.574786644,2336351.52401799,4630059.547128667,10505831.708548617,5983903.565864388
12351995.394127754,10248852.712947275,2638644.2917889217,5021086.473755848,7907183.406725482,42827770.232497856,8286746.581976107,8451372.869771754,1710327.0333677952,4372103.447261799,10860354.74725039,5321388.016316568
14381815.38139028,9581636.510319697,2923880.8919018954,3803463.333416816,8029193.820622306,60689212.657078415,49653125.03338715,11101799.803412875,864866.303871469,4114147.34739493,5069468.750382407,7836031.681978772
12474503.79200198,8914420.307692114,3209117.4920148696,4865610.142684675,5592718.924986282,34890805.83941324,34290922.03408707,8953364.511557013,1097525.5004788477,3856191.247528062,4564170.213952358,11137949.56796049
10477095.668436488,8247204.105064535,2293470.4560801173,4485656.865547078,6887148.719558776,9092399.021748064,18928719.034786988,8483743.83885184,1075743.7838200685,2965358.896347338,7314896.706248883,11673580.67188488
8639053.49667807,7579987.902436955,2401000.8073842344,5199352.254649397,8181578.51413127,7181842.025090396,3566516.03548691,8424718.008009773,1477404.815095209,2902138.590349557,10065623.19854541,9918914.082094325
5205659.459149761,6912771.699809374,2508531.158688352,6868979.121355998,9476008.308703763,11162566.44745826,6533514.457542814,8397699.65091358,1573846.7365716866,2838918.2843517764,4915440.954974003,7122713.161440643
5316181.04923307,6245555.497181795,2616061.509992469,11162620.295518763,7395534.994300328,7166194.172929414,9081003.2814189,8913180.352203177,1670288.658048164,2775697.978353996,1861164.98511558,6567319.225405987
8495904.114892958,5578339.294554215,1984886.1145812024,20255155.96036161,5315061.679896893,3169821.8984005665,11628492.105294988,8594555.718414275,2624027.4547209777,2712477.6723562144,1030044.5257946812,6484897.173040133
5314930.859973043,4911123.091926634,2141869.3715622155,25596501.2878176,6275510.137694929,4160482.878407051,14175980.929171074,8262438.671089381,23462122.652650345,2649257.3663584334,943166.1643475686,4798310.264704256
12056875.754584676,4243906.889299054,2298852.6285432284,3440391.261378023,6436780.4586735945,2976223.4874880174,16723469.75304716,8034265.686295219,7366947.116332819,2586037.060360653,730238.8710519258,5630923.409994426
10742603.350928787,3576690.686671474,1305250.1595209718,3743668.3057895848,6778675.350580866,3752179.5754647297,56430381.8878463,7767227.126840482,9231158.71199558,2522816.754362872,657311.5468181691,6198400.473084354
7486636.14441497,2909474.4840438943,1613666.160255226,9274065.850888962,7066439.10373388,3833726.462364175,46762169.10043072,7539164.047980699,5222175.820762243,2459596.448365091,592063.0760457974,5758724.063043733
6590212.284151738,2242258.281416314,1379891.0991746343,9445429.780027015,7133315.982668142,4386951.438057202,37093956.31301515,7348042.943202688,3828045.5688622952,2396376.14236731,580887.4029373459,3380985.4924779674
5612668.902452311,2205643.778071252,1687613.4227295944,15533828.882814752,7200192.861602404,5380692.267540643,27425743.52559957,7197322.294461153,3729980.32712794,2333155.8363695294,489125.204796327,3509945.9224474523
4614573.492997362,2169029.274726189,1995335.7462845545,35689093.06379652,7267069.740536666,4782424.887378017,17757530.73818399,7077639.161083469,3421571.741305,2269935.5303717484,378482.3929199919,3553243.126882696
4132143.287848423,2132414.771381127,2303058.069839515,30314906.38794053,7310060.918598961,4968971.055609112,8089317.950768414,6931577.242660386,3113163.1554820603,2206715.2243739674,411506.8660378473,3147529.756641703
3834419.648947389,2095800.2680360647,2610780.393394475,149968579.7787729,7353052.096661256,5145442.676232753,9927878.465546587,6786148.548305062,3510047.219718706,2143494.918376187,2404944.458709897,2758007.2528614625
3582873.0505866096,2059185.7646910024,2918502.716949435,23226121.242269184,7396043.274723551,5321914.296856396,11766438.980324762,6659115.5823800005,2962071.1179611487,2080274.6123784056,738004.734178463,3187056.1499058697
