Energy_envelope_Median,Energy_envelope_Median.1,Energy_envelope_Median.2,Energy_envelope_Median.3,Energy_envelope_Median.4,Energy_envelope_Median.5,Energy_envelope_Median.6,Energy_envelope_Median.7,Energy_envelope_Median.8,Energy_envelope_Median.9,Energy_envelope_Median.10,Energy_envelope_Median
2200133.8824841105,5251408.135756189,14565922.366434705,12186366.648348432,9019245.56782956,5162746.178773246,1252821.388545194,5561958.610749625,3462201.2991257114,1155026.7772473383,268279.0768786345,4181408.8924981593
2023274.850131385,5298915.9440960735,7823734.137511014,4667358.423299515,9388338.475981602,6164079.888959343,1068398.354077513,5519800.971776922,2315803.255297435,1097322.9187962166,625439.1938139976,4623356.472003893
1809412.1481091664,5346423.752435958,7262228.269321301,892648.9445740895,10552762.43981273,6317497.922614149,883975.3196098327,5381587.477990674,1805431.0959530664,1039619.0603450948,1506297.408842531,4099094.043290356
1657100.321131771,5393931.5607758425,6700722.401131588,780397.8019999262,9718881.141693074,7810350.818558022,699552.285142152,5376661.29664776,2959434.3647183683,981915.2018939728,669375.6969023395,3672016.7638667743
1440956.0531505728,5441439.369115727,6139216.532941876,302841.01665592776,9472066.825975338,9181740.98718262,642211.3400902037,5306543.227467384,2031441.3792783124,1096651.9725270683,548780.0699211591,3158576.751368634
1234705.819759048,5488947.177455612,5577710.664752163,821090.8705509576,9617082.618495625,7927276.157228002,584870.3950382554,5238657.56958285,2113073.7419073363,1211388.7431601638,383438.8853766254,3474532.0688327327
1141938.4141768196,5536454.985795497,5016204.79656245,1778056.471955546,8288469.775621133,4032855.55236826,809662.1218536203,5127790.936945835,896856.4551187055,2125998.275338053,230630.56532577213,3296095.244985788
965125.1532084328,5583962.7941353815,4454698.928372737,3282138.2532823104,7746424.273744691,6188617.827276807,1034453.8486689852,4989470.33079488,5199242.530749952,3040607.8075159425,269138.00524403155,3401642.250222712
854716.980646936,5631470.602475266,3893193.060183024,1639767.7445776258,7518234.502109515,10108830.063230244,1259245.5754843503,4811481.536197607,3862194.1221500775,3955217.339693832,237143.86511413573,3065795.961113439
747907.4323776102,5678978.410815151,3331687.191993311,325514.54749382974,6827050.15768433,9615168.773103695,1484037.302299715,4767130.947658823,4599890.235935649,4869826.871871722,159708.3496992293,2733814.0472918623
783205.6903758497,5726486.219155035,2770181.323803598,424738.9441340492,6978006.274228729,11774218.068477089,1708829.02911508,4626737.430966666,3656060.38115298,5784436.404049612,292434.0688108259,2781913.040539888
658150.9388617828,5773994.02749492,2710699.5787843657,863767.9839320031,8725316.809467385,9307133.257384758,1933620.7559304447,4363149.97206314,2902601.674733778,6699045.9362275,245048.1858160801,2739050.142970104
699960.3480401004,5821501.835834805,2651217.8337651333,814585.6734317557,8034239.813549731,8405929.884238202,1690782.7590280862,4079291.0754129216,2282042.169466069,7613655.46840539,392321.0377500383,2693797.039653746
796872.9965002753,5869009.644174689,2591736.0887459004,973831.2764447425,7336185.277143739,6396981.008763275,1447944.7621257273,3421941.6999614546,1950476.153651277,8528265.00058328,597839.4825642329,2734688.1908491324
678697.3659868021,5916517.452514574,2532254.343726668,1464616.658287074,7289389.302617831,5417006.213833788,1205106.7652233683,1833049.024770629,1923233.8658775308,9442874.53276117,1622322.310484763,2620410.414433566
773624.5240970014,5621141.084399554,2472772.598707436,2797452.9246869134,7236097.533029168,4961218.910276171,962268.7683210094,2679665.4783839923,1852420.2526553955,10357484.06493906,3056331.379173689,2188163.054660141
820552.3113794732,5325764.716284534,2413290.853688204,5777078.417035353,6884175.38099999,3412765.4458165728,1661605.8003584445,3705996.857368192,1876543.1048471653,4590644.662835637,637697.2661034213,2333961.3766094763
832943.0374108867,5030388.348169514,2353809.108668971,17591281.315514,7339295.719524225,2802431.972670533,2360942.83239588,3746460.58141529,1735748.3717945074,8196584.238349228,249243.7546064732,2320467.966623584
747838.4694344726,4735011.980054494,2294327.3636497385,11497397.68780956,7802331.741735348,1252316.0350837149,3060279.8644333147,10435756.94112902,1590778.5300444951,36890044.54375211,281271.1890004853,2413677.0386992283
678944.1330302989,4439635.611939474,2234845.618630506,8313951.46310585,7214903.521432492,3675336.359526452,3759616.8964707498,5005620.178683217,1576981.4060083353,23665693.61940557,152665.80116027006,2259377.880353569
774136.7751725899,4144259.2438244536,2175363.873611273,6111090.313680422,7831597.033635037,2998790.189568539,4458953.928508185,3328432.0652213087,1521121.615143608,10441342.695059042,58993.360521730094,2222373.7331103
847898.7339600007,3848882.8757094336,2115882.128592041,4183954.1328589385,8013571.97506324,2508201.6833316423,5158290.96054562,1873444.8780471948,1479503.8139329674,19276372.72832917,61717.61156501662,2213983.951277665
838105.8679457674,3553506.5075944136,2056400.3835728085,1834084.6856785207,7733458.272732071,2057841.4447217053,5857627.992583055,2467175.156382968,1342260.2636405951,28111402.761599302,185507.73426264976,2202645.396209106
797813.4473792447,3258130.1394793936,1996918.638553576,979511.0941686227,7997248.593349241,1749107.8023327314,6556965.02462049,3477575.145837654,1438637.2748315549,36946432.79486944,286542.3165154701,2065120.219457096
809753.571888383,2962753.7713643736,1937436.893534344,974095.5314541172,9408643.420764746,1529259.0339213898,7256302.056657925,4487975.13529234,1654584.2952802258,45781462.82813956,65466.66701924233,2016745.9552783207
784342.4771627919,2667377.4032493536,1877955.148515111,735386.6601738471,10207378.030658277,1373549.1307583994,7955639.08869536,3832423.953911666,1547489.522039082,54616492.861409694,73193.38076010678,2009565.3418169224
756780.780313157,2632775.4232209376,1818473.4034958784,566918.4208565146,10802670.42431007,1113964.6054358832,8654976.120732795,4110272.935001265,1624111.2133480152,63451522.89467983,91569.28453623768,1819680.0762841904
752699.771880808,2598173.4431925216,1758991.658476646,586734.0886305615,10092963.439103588,872288.670959754,7297791.317270213,2780637.5578808,1612030.9570538085,72286552.92794995,170953.4517974496,1618952.3721377784
709253.5641526674,2563571.463164106,1699509.9134574137,428288.76903250016,8674189.5272479,704416.4703173231,5940606.51380763,1537961.0843398697,1524606.838144901,81121582.96122009,92979.00493847128,1596418.6955693483
686386.0559222556,2528969.48313569,1814132.9629301007,413782.469249038,7072162.816352479,638081.5477576448,4583421.710345048,2189171.09474011,1598200.3250308745,89956612.99449022,102634.09582533644,1668588.490011846
676664.91319834,2494367.503107274,1928756.012402789,381191.2582224095,7133394.632926255,390172.7361964117,3226236.906882466,5424623.414518157,1541555.6023721737,98791643.02776034,151890.49117432887,1551414.880354556
647657.5952821213,2459765.523078858,2043379.0618754765,342501.95221829053,7251330.961238266,634369.596626845,1869052.1034198832,7871910.763446462,1525119.4640199244,107626673.06103048,197231.0944328892,1476782.981055074
671955.0279642412,2425163.543050442,2158002.1113481643,329307.8529071146,6565151.892595548,616497.3360844832,511867.2999573018,9984657.91078428,1509006.4605072788,25586926.18429144,247476.21615116423,1457475.469468542
659143.2665497124,2390561.5630220263,2272625.160820852,244848.2386811197,6898933.804092841,780000.0219069597,4506927.826454854,7365311.07652518,1403166.1357556283,19130456.33320147,332964.2741104682,1378514.2586950075
669209.2607074026,2355959.5829936103,2387248.21029354,318962.6168875473,6602363.08148456,1338172.465762443,2442875.499313426,10005810.31650945,964657.9467617834,12673986.482111502,416477.4891320008,1274009.7097874363
614655.8996127587,2321357.6029651943,2501871.259766226,662083.172123371,7454658.780169692,1201813.120201963,951294.7202249984,9537268.716848388,1718266.331619006,11068674.751389008,417630.9864316649,1210034.4281433043
641141.7760284893,2286755.6229367782,2616494.3092389144,219815.43229206893,7966707.722828408,952168.156156212,388281.7224865785,9183735.761724738,1393323.5004397002,9463363.020666515,442183.0803877237,1212672.2226099689
712543.0479578322,2252153.6429083627,2731117.358711602,82885.55171274574,6941984.667390442,420839.85737252096,3552984.9089675564,9194611.440581668,1300164.478259455,7858051.289944021,485235.7141589103,1235052.5649369094
654128.6259803043,2217551.662879946,2298643.2164551783,51997.49977209925,6274128.340719428,688946.2559489128,6717688.095448535,8757827.881762784,1482093.3082443369,6252739.559221528,563051.1419285598,1272706.5525734972
768777.0734774852,2182949.6828515306,1866372.8479775449,103690.60819119174,6148875.7522380175,2288326.4216990788,4742781.660392073,9456548.666804424,1372110.1519915948,6240641.377990542,697438.9712760116,1493408.389076865
637463.6901842733,2148347.7028231146,1434102.4794999107,190606.97830040383,6399951.053386485,709264.8429018869,3736447.296678439,8575215.249809958,1351634.982399995,6228543.196759557,926923.1720564924,1679227.4157796248
740041.3282439391,2113745.7227946986,537383.2757028919,330701.5651145628,6340625.377255363,967588.4137614296,2730112.932964805,12170023.399626575,1330899.2509902664,8072845.877491357,1189439.193395047,1867074.1105392263
675669.886060204,2079143.742766283,13322542.128915776,465261.530827923,6822102.959484318,3040291.2528412766,1723778.5692511713,14271960.909608856,1335748.9693724648,16230023.394702688,1460152.3726669734,2044570.9259527384
623383.0792011752,2044541.762737867,28754212.06145391,661210.17634116,6847203.392724573,4440199.130278049,717444.2055375372,17826831.54019985,1308049.6841495032,24387200.91191402,1692951.9874324263,2579740.1087716813
572540.79932731,2009939.782709451,5197208.302880043,484595.0993980101,6617726.582501398,4410115.55981324,1358315.109309293,16169133.65979238,1356364.7558157532,32544378.429125343,1734077.700999733,2607453.4113160265
543596.5881159311,1975337.8026810351,4330554.97671003,397557.0848877568,5591398.878913855,2255569.434419316,1999186.0130810493,11807818.351974417,1261786.005379179,40701555.94633668,1884781.73511773,2572742.776884202
514596.9420590384,1940735.822652619,3463901.6505400166,826268.9332487996,4594106.035845764,1370531.8719185423,1319853.7960607123,18048441.86538542,1326739.352349705,28289537.44655917,2440105.1791260755,2532704.863840146
478143.0126897838,1906133.8426242035,2597248.324370003,1658126.2366490932,4139220.071143049,1190876.69769134,8710248.464382235,21038000.764876887,1250292.2214607322,15915223.45780224,3894820.317144947,2832512.175888512
485837.0037044387,1871531.8625957875,279191.66543038207,1032967.2028143896,3616510.58737533,1060596.3832873122,3386107.6280855453,20672158.4447381,1180609.1395240205,13968353.961159214,4372885.266739156,2620947.026158802
449040.8462303348,1836929.8825673712,507215.6841139397,290779.04460956657,3896740.877164378,892834.2204619752,3090537.395070166,10334174.4432938,1129685.347216385,12021484.464516187,9068252.697124297,2918825.6906072698
447031.5144937269,1802327.902538956,735239.7027974973,291857.76329595706,3860147.749551069,10023550.638872655,2794967.1620547865,6973292.063818444,1088363.9051916236,12312205.15769171,3321761.150673012,2538771.300641128
431655.00439168734,1767725.9225105396,963263.7214810548,238674.5840851233,3852681.595365865,3146862.9314727746,3758984.051317036,5945998.373587848,1081899.701931481,12602925.85086723,5802434.28581043,2550813.4771570177
418124.6971699293,1733123.9424821236,1191287.7401646124,320442.2897248368,3776941.6470145904,2059916.8205891675,4723000.940579285,5542852.045003225,1037844.5733344584,10868449.276496124,9049717.045536444,2940716.5923368903
401608.5476034829,1698521.9624537076,1419311.75884817,338126.1019736816,3597411.2353751287,1802179.948041975,5687017.829841534,5329590.791213717,982064.5477638624,9294940.738267932,7121710.519839604,2913578.385219088
391789.8572101844,1663919.9824252916,1647335.7775317277,423656.3399425265,3007290.7107661134,1152972.86161832,5466823.29074195,5159142.710899457,923552.6432376108,7991491.393971436,7437905.751191916,2992442.3553628265
376001.9173510718,1629318.0023968758,1639096.2383011507,377127.5365979104,2894994.259454716,1003491.524004391,5246628.751642367,5073860.226609251,853211.8089334585,6688042.049674938,8329742.574016695,2959008.5850333367
354624.1365347837,1594716.02236846,1676840.7829480416,464829.0645819396,2768145.526264366,2334893.6444264594,5026434.212542784,5012528.082158384,792907.4302352108,18279734.01481667,5134089.429052312,2736661.8843415063
356495.17147754447,1587694.872241059,1714585.3275949324,530444.4326111219,2663738.633009255,1215160.088225085,4806239.6734432,4956558.030468129,760197.3621629963,29871425.979958404,3904457.629573825,2311893.6757236947
337209.3384266528,1580673.722113658,1752329.8722418237,642466.5196318246,2614275.864589805,1032250.2101696604,4171033.3503051344,4823818.286484962,728319.2625318328,11554963.335052053,3517610.0995829096,2376025.8138853093
338054.91267979454,1573652.571986257,1790074.4168887143,615030.7019491203,3433633.129544131,1086489.3809018466,3535827.0271670693,4722945.766969183,675667.90050978,10731694.263410952,3317812.369183108,2505041.6405531885
304265.6970599542,1566631.421858856,1827818.961535605,711576.0927088549,3462906.134176562,823444.0894437768,2900620.704029004,4613114.309293129,621513.4045616023,9908425.19176985,3118014.638783307,2579426.1645605536
284607.07715484325,1559610.271731455,1865563.506182496,860405.4088557931,3050191.150135993,1002943.814350903,2265414.3808909385,4476714.155178461,584980.1094025576,9085156.120128747,2737664.296707347,2882315.304053212
257573.154917893,1552589.121604054,1903308.0508293868,1136069.118590793,2733379.133408294,2153277.5224790843,1630208.0577528728,4349272.340119491,608820.9465200752,8261887.0484876465,2563956.109141799,2625417.1802145466
231578.0559882964,1545567.9714766531,1941052.5954762776,1729560.1462733443,2490920.0441876203,1484379.3013344912,1965521.179459873,4204923.053729484,562840.7559105884,7438617.976846545,2390247.921576252,2217173.591011532
208681.66628453025,1538546.8213492522,1978797.1401231687,1547510.6727226186,2521848.1606712667,1035728.711145927,2300834.3011668725,4093277.2655399856,529242.3171341635,7393783.616353724,2216539.734010704,2205918.3436761126
195121.98317036964,1531525.6712218511,1735906.4353740718,1868689.780579668,2679858.8167758323,1480459.774998986,2636147.4228738723,3972835.297703309,459181.1221050157,7348949.255860904,2205392.4529868965,2109119.931695762
194667.8808559764,1524504.5210944505,1493015.7306249752,2802673.060921176,2822180.8859793814,1889076.614073637,2971460.544580872,3957628.144945382,430532.19829334464,7304114.895368083,2194245.171963089,2021271.314126772
204963.7916947565,1517483.3709670492,1250125.0258758783,,2835046.63268306,2168285.3735315134,3306773.666287872,3896988.3021568535,376444.72707931657,7259280.534875263,2183097.8909392813,1825692.8653234164
178041.45486085024,1510462.2208396485,1222042.3214679111,,2766369.7035894794,2059720.371956749,3642086.787994872,3844814.263537156,339244.745728802,7214446.174382443,2171950.609915474,1940700.841154938
168117.44916085666,1503441.0707122474,1193959.6170599442,,2672846.4844648046,1570327.2045101034,2363394.934815133,3823466.013639302,499282.4393205058,7169611.813889623,1565126.9450523593,1890463.025849732
190096.40514257053,1496419.9205848463,1165876.912651977,,2583020.441899332,1415320.2029235596,1084703.0816353953,3822152.832871567,422416.0065262378,7124777.453396802,958303.2801892444,1825139.848308727
192344.28216192065,1489398.7704574454,1285022.983143003,,2271694.033676348,1431112.8852979634,1184214.4842385242,3851302.448583088,435284.761141336,7079943.092903981,582047.9370055186,1809420.0537977177
175508.2018326246,1482377.6203300443,1404169.0536340286,,2113008.73055684,1152815.9414535535,1283725.886841653,3816453.007917415,849154.8261078945,7035108.732411161,303331.7171136196,1696328.1507578068
267379.37758293195,1475356.4702026434,1523315.1241250546,,1827504.6749632985,920911.0558090338,1383237.2894447818,3752388.390330544,628550.9604620971,6990274.37191834,402280.94123756303,1654352.3120699043
230371.24280007769,1468335.3200752423,1221174.1090939103,,1730574.3770390977,811394.8240552689,898601.7515931394,3658536.389069209,568767.9147456924,6945440.01142552,656985.3888394171,1560359.8550224472
200833.0951748372,1461314.1699478414,1230326.557754842,,1624940.0013641806,707882.377741896,862561.6205110571,3950253.208563255,613785.7974978256,6900605.650932699,1450199.2094265055,1667087.229935627
185680.3846400468,1454293.0198204406,1239479.0064157734,,1593863.829721653,684573.6211745422,1096724.7185618451,4001119.623826129,941442.9301538372,6855771.29043988,1530838.9255852827,1874068.241961801
189372.77372903665,1447271.8696930397,1248631.4550767047,,1528900.5915534152,836781.345210677,1101734.409305751,4070853.5193487047,641565.6340482897,6810936.929947059,1676622.5286300827,1664031.8831050564
186308.4396748797,1440250.7195656386,1257783.9037376365,,1448143.0187758491,774217.5028749736,1106744.1000496575,4154779.437597423,417350.693572535,6766102.569454238,3453006.8159254286,1608872.7005174812
174869.86968449474,1433229.5694382377,1266936.3523985678,,1392888.555025607,649408.0709871689,1111753.790793564,4070426.2236157367,578677.5530283493,6721268.208961418,6166256.678418876,1765831.7158544553
169701.6855383663,1426208.4193108366,1276088.8010594994,,1342761.396065819,548498.1324751533,1116763.48153747,3952863.089664557,565463.3714223953,3353681.5754982755,18206059.931057967,1675332.7143825265
163259.50566669638,1419187.2691834357,1531455.3280659628,,1351943.8165495817,508898.3799007753,1121773.1722813763,3915910.9154640296,684756.0157413522,5185301.09350485,16561540.730118863,1894373.3923633613
162343.91051427866,1412166.1190560346,4194588.0823820615,,1500000.0790047892,502670.80045544,1126782.8630252825,3808461.685846232,621529.8267545097,7016920.611511423,22093244.600899182,1861040.5201309903
156806.7517041225,1405144.9689286335,1705157.5961857447,,1525358.823614428,477714.9336321812,1131792.553769189,3699996.446495403,523283.8454820912,8848540.129517997,12244633.866778558,1704361.3181120332
147258.0690489652,1398123.8188012326,1172896.0102978658,,1805240.91632319,391906.4129334618,1136802.2445130951,3622975.020076077,519677.9225648977,10680159.647524573,8032640.626330199,1642595.679681141
147126.72771405082,1391102.6686738315,16654395.813723644,,1912210.418489125,345495.09538534924,1141811.9352570013,3520524.8503082143,688907.1779123158,12511779.165531144,6355647.753010547,1613427.362773636
138295.74413849885,1384081.5185464306,4143463.6633927785,,1767934.7885076292,416038.06642278377,1146821.6260009075,3352514.8990844227,501247.0742645415,14343398.683537718,5423835.15978847,1637957.2061432125
124784.7040704048,1377060.3684190295,7650341.380602523,,1818721.2842779064,395419.2966526062,1151831.316744814,3241426.0982810054,443417.01556138624,16175018.201544292,4906759.01027603,1679543.3850379642
128070.11675221373,1370039.2182916286,6549891.454052904,,1855380.160349607,401279.32220552047,1156841.00748872,3277141.873408228,423563.7653490202,18006637.719550867,4324064.101743937,1646613.4773088044
116802.04415221962,1363018.0681642278,5449441.527503284,,1818742.1050926745,371190.7050451608,1161850.6982326263,3231402.342845578,395178.7240521635,19838257.23755744,4330882.082730176,1663708.2286184155
113465.04588321852,1355996.918036827,4348991.600953665,,1809205.4012078508,307698.69286449807,1166860.3889765325,3176141.8528046203,354079.5571539049,16877392.49333512,3814332.244309244,1624309.7457798682
101165.54358769694,1348975.7679094258,5352495.336974418,,1801320.017604135,298178.18619092624,1171870.079720439,3130523.034504225,301280.49525352626,13916527.749112802,3518163.045895216,1680490.9622877075
105833.50864896276,1341954.617782025,4499673.942853186,,1919347.729079967,362160.4570186349,1176879.770464345,2997399.3638939066,249531.6771145372,19736671.30631697,3249026.7963399547,1614085.7098316038
110292.38938670656,1334933.4676546238,3646852.548731955,,2027218.3489429504,287919.5217331132,1181889.4612082513,2866260.526813311,148163.27589597832,25556814.863521144,3065905.069317234,1556183.5888020822
103645.29421802307,1327912.317527223,2392709.378342101,,2197079.434103785,306088.59528581065,1186899.1519521575,2720562.054829392,323967.46530062566,31376958.42072532,3098194.930575167,1479780.992239346
110167.51614639533,1320891.1673998218,1197005.2445391847,,2076658.0553952325,345985.7068863491,1191908.8426960637,2602518.397398223,405259.0269943001,19812483.531563297,3130484.791833099,1505786.0949377422
112542.83975305382,1313870.017272421,836515.7582325232,,2723239.889864988,331176.06807366374,1196918.53343997,2455247.37229478,463314.71092551947,12522916.991527298,2568224.4088295274,1500123.0480270688
87981.87397582775,1306848.86714502,476026.2719258618,,3045972.649133392,346897.8611418536,1201928.2241838763,2281858.801124137,473955.1479286124,15050363.304397162,2468620.073651194,1415974.6647154028
59555.37332721546,1299827.717017619,115536.78561920056,,3288114.5723428084,410449.01113122585,1206937.9149277825,2015012.2645878743,484957.7160114168,14431496.463162173,3174062.770900925,1388364.8744802556
38471.69914158432,1292806.566890218,1320580.7179844654,,4253030.293158041,541122.1454001782,1211947.605671689,1743635.6230154026,256955.7665330541,14647133.889067134,3299042.672488262,1527620.500293884
113275.73921164786,1285785.4167628172,2525624.65034973,,6387804.10786015,374402.4829038588,1216957.296415595,1514448.3229567287,417178.1106842232,13554223.350436917,2899821.950494958,1454172.3612175358
422700.6473974087,1278764.266635416,3730668.582714995,,,528769.8505234439,1221966.9871595013,1316039.669483011,757847.084938585,14521894.788475815,3059664.938568633,1352757.7310056514
467240.9497088449,1110121.5574452125,4935712.515080259,,,397350.457641526,4346901.10041237,1602371.5189212917,778187.65324466,10410735.45043307,2806137.850848957,1305234.703236778
523831.0672732954,941478.848255009,6140756.447445524,,,485694.2397122177,7471835.213665238,1925287.6027659688,536503.5465473253,9855849.782403436,2623859.8526615254,1398987.511115502
732702.1052946653,826588.2434229892,7345800.379810789,,,494910.095212767,10596769.326918108,2237885.4765999774,519503.235156332,10500524.934964884,2306712.667552228,1233168.248537175
607370.2601004675,553838.7391000809,9340611.010290302,,,455997.64131804905,13721703.440170975,2611773.0431227507,502502.9237653387,8751850.36712053,2171563.557471257,1280175.769198252
712364.2197424897,481028.4083336568,7990027.235673843,,,428826.4188195138,16846637.553423844,2705740.5108980443,394882.5069379821,9510126.401443675,1899894.3184353744,1490924.420010699
811859.8540806259,465463.2364236487,6639443.461057384,,,415587.1412280664,16203876.898333222,2912472.2574238274,453023.61209300056,9510001.88413734,1933357.7557831176,1322263.3732450271
1002786.5678714536,449898.0645136407,5288859.686440923,,,337315.17096028075,15561116.2432426,2833371.4046587674,526482.5117634718,9509877.366831005,1417556.600075091,1193278.442830799
1628384.2941495674,434332.8926036325,3938275.911824464,,,370574.87920255127,14918355.588151976,3091439.685464041,569263.9794667519,9448355.427336108,909924.818288718,1345746.8924664212
4244909.793325826,418767.72069362446,3133742.869230329,,,348865.70318978187,14275594.933061354,3820042.910582344,517740.9705250483,9438657.095167166,1192193.666422403,1016469.407547256
