Energy_envelope_Median,Energy_envelope_Median.1,Energy_envelope_Median.2,Energy_envelope_Median.3,Energy_envelope_Median.4,Energy_envelope_Median.5,Energy_envelope_Median.6,Energy_envelope_Median.7,Energy_envelope_Median.8,Energy_envelope_Median.9,Energy_envelope_Median.10,Energy_envelope_Median
7419805.443018147,2138324.9337841603,4175239.361343089,4514923.592072129,6878898.623055404,5705407.522187025,3660621.569942899,10457616.838540822,2399605.0159954457,7809554.476459742,10033968.326599758,4035236.628534296
9170327.4530057,11566168.379135456,3766922.035447268,1832271.4427212016,7027471.236257428,18354361.260306805,8062762.341212445,10167659.336554898,1998135.4964150924,4568528.780737623,7867771.698002943,4687754.483491553
10214187.562185984,10248852.712947275,3358604.7095514466,3420873.917836316,7907183.406725482,34769351.10635777,6946478.90649986,9337392.193808844,2074439.298444783,4291464.761840399,10860354.74725039,5301841.4068538
12157816.241788143,9581636.510319697,3283861.100783158,3814030.7360952697,7597127.612913672,51184340.95240872,45409632.96625063,9506331.615184654,694045.3867118974,4014400.742943177,5069468.750382407,6722638.604538122
10555137.87222461,8914420.307692114,3209117.4920148696,4832643.276871556,5592718.924986282,30138369.987078395,31600911.30006387,8816171.643885493,1134869.429639619,3737336.7240459537,4564170.213952358,11068375.887456585
10077054.14189742,8247204.105064535,2293470.4560801173,4885315.845590456,7256535.546591403,9092399.021748064,17792189.63387711,8479143.135146609,1075743.7838200685,3009932.2064010594,5996069.106590988,11832233.8188205
8084439.492977903,7579987.902436955,2349895.712410637,5484381.586893523,8920352.168196524,7181842.025090396,3983467.9676903496,8411036.36574029,1775555.6165053954,2941795.7627837323,7427967.999229617,9423854.758636884
4871159.524498451,6912771.699809374,2406320.968741157,6668876.887823212,10584168.789801644,3117638.5740929013,6533514.457542814,8257775.237560515,1722922.13727678,2873659.3191664047,4915440.954974003,7190279.83083831
4744900.932920314,6245555.497181795,2462746.225071677,9272906.878990134,7949615.234849269,2488765.36855146,9081003.2814189,8817358.605601022,1670288.658048164,2805522.875549077,1610044.3383467651,6401143.028277958
8373476.342270235,5578339.294554215,1984886.1145812024,19452716.405137934,5315061.679896893,1859892.1630100184,11628492.105294988,8426581.328640949,2624027.4547209777,2737386.43193175,1039495.169775284,6005663.670934103
4820586.607204681,4911123.091926634,2335360.295283485,15712620.751102578,6141281.883519585,2099930.8719329163,14175980.929171074,8247554.196187469,14959910.14341274,2669249.988314423,874240.3906681911,4074741.704140719
11902672.450640991,4243906.889299054,2685834.475985768,3605348.5473875743,6378113.894617149,3044311.4626409765,16723469.75304716,8013631.462717305,7882023.35594162,2601113.544697095,720242.473414548,4269551.926566779
9889237.023103165,3576690.686671474,875508.2756936067,3828189.8994436935,6729594.995167963,3731824.175882672,34705814.886741154,7766022.189198211,10941463.303041415,2532977.101079768,669083.1628969581,4722280.6576476935
7469205.756156966,2909474.4840438943,2281731.1362311607,6743759.664679764,7028729.282460345,3809355.997217264,29097620.627147347,7534638.427355574,4599785.548095208,2464840.6574624404,588532.685193252,4793655.623737842
6603970.416065081,2242258.281416314,1534497.647382134,9445429.780027015,7108176.101819119,4348390.479917615,23489426.36755354,7348083.615922255,4294257.333674483,2396704.2138451133,580696.6416181267,3055948.0951286936
5551220.75387633,2205643.778071252,1585363.1697942703,16112248.702624235,7187622.921177892,5380692.267540643,17881232.107959732,7192593.493385407,3652511.898027993,2328567.7702277857,441310.604589619,2816254.6950424565
4619084.217389587,2169029.274726189,1636228.692206407,38553979.530166365,7267069.740536666,4837030.862227835,12273037.848365923,7081784.70063287,3475914.028867325,2260431.326610458,386809.8832571674,2880014.7950725653
4128287.149208209,2132414.771381127,1687094.2146185432,17597776.24683554,7305048.892461619,4963656.518408527,6664843.588772116,6929748.269297142,3299316.1597066564,2192294.882993131,421080.4479281174,2551659.9739734693
3825627.0455442127,2095800.2680360647,1737959.7370306796,149968579.7787729,7343028.044386572,5004942.074006011,10710020.223573048,6777965.474423745,3420011.3965600706,2124158.439375804,695474.0778227311,2209989.712911168
3582527.061405398,2059185.7646910024,1788825.259442816,11199931.540714484,7381007.196311526,5046227.629603495,14755196.85837398,6659302.757074672,3277927.9671052527,2056021.995758476,730741.6945538376,2355837.07297039
3475446.423864534,2022571.26134594,1839690.7818549525,43107508.81445976,7290366.459006333,4976548.189788862,2006941.676803034,6504692.274171086,3131346.296710185,1987885.5521411488,498317.99547433655,2713851.589841774
3291161.6673461846,1985956.7580008768,1890556.3042670889,50783825.42867045,8121875.939018508,5150802.1045812,8289192.893562097,6420720.295211194,3704842.258885351,1831123.527724292,365712.3528451244,2322650.5833713333
3048043.7931079897,1949342.2546558152,3158092.91048385,19061872.659967806,8417799.067798398,5665594.191828456,14571444.11032116,6326421.31594133,5477002.83725138,1674361.503307435,1030215.4439614362,2317965.53899036
2852367.679899657,1912727.7513107527,4425629.516700612,6068917.565453903,8713722.19657829,5865173.9791120775,8772945.766890192,6239746.916739313,2929638.1232826053,1616657.644856313,457876.8692237418,2664865.1501891245
3006553.284834465,1876113.2479656904,5693166.122917374,32756774.834554706,9009645.32535818,5580773.244941386,2974447.4234592244,6127865.087515335,7039592.639983369,1558953.7864051913,390760.1611302727,2660003.139142072
3240272.779973706,1839498.744620628,6960702.729134135,15822439.642570997,7942062.975589838,6906737.268001948,1330892.2262840378,6034737.585844374,3600779.422766491,1501249.927954069,251092.5370600148,3017166.55337937
3101111.934477234,5013869.094056766,8228239.335350896,6580886.565802334,9797688.621308316,6985625.316428084,1436156.8368039902,6041647.473579904,3180237.018286229,1443546.0695029476,89302.81142626303,2964029.1109702573
2966356.7910735896,5061376.90239665,9495775.94156766,3317180.8065385385,10546431.671210364,7064513.36485422,1098257.1602971354,5986625.540886825,3193759.80730963,1385842.2110518257,430306.4940028105,3051650.283784779
2790718.0751972366,5108884.710736535,10763312.547784418,3788703.064080606,14594749.494747318,7143401.413280357,956650.8409108524,5890413.054793575,2914100.7156141275,1328138.352600704,1390422.627616383,3022690.75614053
2561165.5279086893,5156392.519076419,12030849.15400118,11957484.367292814,7677964.103045242,8053746.245353227,974745.3600185016,5799123.724683307,2734775.5293799643,1270434.494149582,6258759.996098009,3570600.797427007
2353139.283217909,5203900.3274163045,13298385.760217942,10523221.187953029,8523562.525206784,4552075.712096,1057813.557880289,5673639.058775532,2239840.3739529564,1212730.6356984605,885161.7011274912,3659121.448937699
