Energy_envelope_Impulse_factor,Energy_envelope_Impulse_factor.1,Energy_envelope_Impulse_factor.2,Energy_envelope_Impulse_factor.3,Energy_envelope_Impulse_factor.4,Energy_envelope_Impulse_factor.5,Energy_envelope_Impulse_factor.6,Energy_envelope_Impulse_factor.7,Energy_envelope_Impulse_factor.8,Energy_envelope_Impulse_factor.9,Energy_envelope_Impulse_factor.10,Energy_envelope_Impulse_factor
14.933319265413488,8.95950522867463,13.350834161918254,12.90517222693309,2.11017597060306,6.043982416310193,17.554645606372716,6.582339319030984,12.180850587890856,3.990754014930664,3.902364912498823,17.83894996552661
4.1298121716484815,1.913196801064524,7.401978471346669,5.924511059032152,1.1954158209637864,2.01092670614952,4.034847593634146,3.3611003702179665,2.2740152910309126,1.0663661059102554,3.039661169049256,4.669437500332286
2.9984889593950848,1.9167980770331068,1.453122780775084,6.9479218248556425,1.1994879487272256,1.673638184363898,2.0119549049836483,1.2812159874866766,1.4282037625678723,1.1592124334617773,1.0248203020520166,1.6138868460421585
3.67612340073064,1.8999914544820435,1.301673036783628,1.353003943945724,1.2274874333225685,1.3363496625782754,1.3318167057593466,17.141442580570004,1.9334334529020665,1.2520587610132992,1.076418225803032,7.793625302705095
4.268187679451684,1.88318483193098,1.150223292792172,1.197918537898113,1.1400908709238573,1.449519121580012,1.334350275208929,3.361590550680682,1.3880018937487697,1.344905088564821,1.0399460753210867,2.07335110206582
2.892340782293131,1.8663782093799164,1.1741860071361363,1.1136003506279868,1.1897327412179506,1.5626885805817488,1.336883844658511,1.0145750488492449,1.3517467234937726,1.121042073611376,1.4987371244484549,2.3932636251381343
3.369514858373672,1.849571586828853,1.308469214526536,1.7483806731581617,1.239374611512044,1.189172004126225,1.339417414108093,1.1018328777212902,1.501264481414467,1.1419039113693217,1.9575281735758232,2.474662102338406
3.086090297973094,1.8327649642777888,1.4427524219169354,1.2908116091310804,1.2890164818061371,3.700114424039934,1.4170824187173694,1.806637511818889,1.6584215608413275,1.162765749127267,1.3647487365878708,2.1183668868604566
3.894330687837859,1.815958341726726,1.577035629307335,2.507801062449932,1.1786366068518974,3.005076098613819,1.50013483315174,1.0867210656303086,1.8155786402681888,1.1836275868852124,4.538244316177989,2.572941800582785
2.919709991736066,1.7991517191756623,1.6000867006427446,1.8692083705927267,1.0682567318976577,2.310037773187705,1.5831872475861108,1.0535536207120582,1.519806933849118,1.204489424643158,1.5957934359425037,2.601124084268625
2.941896382168275,1.782345096624599,1.439400654605152,3.446290615686177,1.113165380521264,28.362637629221307,1.6662396620204816,1.1603276488785088,3.913943586532342,1.2253512624011034,7.496742022095545,3.5856024648802025
