RMS_envelope_Mean,RMS_envelope_Mean.1,RMS_envelope_Mean.2,RMS_envelope_Mean.3,RMS_envelope_Mean.4,RMS_envelope_Mean.5,RMS_envelope_Mean.6,RMS_envelope_Mean.7,RMS_envelope_Mean.8,RMS_envelope_Mean.9,RMS_envelope_Mean.10,RMS_envelope_Mean
88.30617705776741,126.01617617753593,78.14273214321932,42.13160967162719,143.927786310943,105.50546620023786,104.97993068267792,107.94824199151653,120.17298962992132,200.84262879260976,141.22420782552066,55.83623251037845
73.50068848237756,76.8104696076008,54.557603583371744,28.90449110147485,121.00248629807852,67.42063634198416,78.88487226048608,76.02014819139629,97.8785288692116,160.96866364625726,96.40851430856158,39.46973419516684
85.77054873571473,77.98116338672573,30.972475023524176,40.70363540054344,117.4668208116308,59.692101338079965,80.59830878486703,77.09822362697756,93.58155981430548,160.40971431624226,90.99447825469926,40.25388424325169
79.6115206763514,76.11922366087553,29.56503743506019,36.73042664673881,111.25057468867207,51.96356633417576,77.41186535393366,68.13628816012819,87.62945492570408,159.8507649862273,85.97001265492443,46.28228597061821
79.87568885935777,74.25728393502534,28.15759984659621,41.755750066235365,110.89576037671668,56.38213381113226,75.78102958143344,58.833110461169866,87.70186634568923,159.2918156562123,84.5532019758077,48.52191388800424
70.01772440423326,72.39534420917515,36.85463956851796,43.84043345847663,111.89335165328862,60.80070128808876,74.15019380893321,52.98789304013304,84.53688972079543,160.01856770172483,80.32399341013584,49.0849310252084
67.23148612950749,70.53340448332496,35.163319232483545,47.38979553189778,112.89094292986054,57.789741767691474,72.51935803643299,51.0855542294684,83.63677324104617,158.94851386469188,76.094784844464,48.44256873675407
62.88884291086902,68.67146475747477,33.47199889644912,50.70941724604096,113.88853420643248,48.12974186441532,64.50583437716952,52.880295129514,79.91398009164826,157.87846002765892,65.72719476367556,48.23832261471374
71.24386711530825,66.80952503162456,31.780678560414703,59.92306136178354,111.5736286650267,41.73106068020459,64.80919678543125,53.3849424273217,76.19118694225034,156.808406190626,65.45431044434707,49.870516624829584
68.4174104780977,64.94758530577437,32.41814183620623,70.28830717859385,109.25872312362092,35.33237949599386,65.112559193693,53.03722195865781,89.48977231552055,155.73835235359303,51.17816394122553,53.08303588961834
63.029026684690976,63.08564557992418,33.0178988303454,68.88894562458438,106.46745333473886,71.12246159274004,65.41592160195475,52.5536986936498,103.10689326756015,154.66829851656007,67.42001680897965,52.77373851785962
61.933909702454095,61.223705854073984,33.617655824484565,73.37944134348614,101.22469357011585,49.85218405072382,65.71928401021648,51.00586452142911,87.2050018621213,153.5982446795271,63.39086136199197,56.27516553661321
56.300062334233054,59.36176612822379,33.57001116262101,80.02508356757042,103.02684100180156,44.64468177845134,78.58187277243253,46.339568256874514,86.3240030138707,152.52819084249415,64.18714145656043,56.23033267326817
50.001712575959786,57.4998264023736,24.964496612173075,76.41269077759631,97.44888270190673,45.86834531079155,76.5526327383597,46.00755094477926,84.73035171991624,151.45813700546125,51.98432808810608,56.05949949673924
50.10334530422048,55.63788667652341,24.930763721065347,81.686122628272,95.56461520569322,54.5187857580566,74.52339270428688,42.46020758446743,88.38667706670881,150.38808316842827,41.20110011196788,44.372156698220856
