Energy_envelope_Root_mean_squared,Energy_envelope_Root_mean_squared.1,Energy_envelope_Root_mean_squared.2,Energy_envelope_Root_mean_squared.3,Energy_envelope_Root_mean_squared.4,Energy_envelope_Root_mean_squared.5,Energy_envelope_Root_mean_squared.6,Energy_envelope_Root_mean_squared.7,Energy_envelope_Root_mean_squared.8,Energy_envelope_Root_mean_squared.9,Energy_envelope_Root_mean_squared.10,Energy_envelope_Root_mean_squared
2585352.37722103,5463740.792272338,16441613.13224626,54230252.60762776,18652971.02899212,12008869.542815875,1053596.105286212,5799687.207844868,2640216.385276882,1312442.9376294955,6772558.588451124,4532934.167255854
2391893.250369253,5569900.910477383,17960694.307917833,11441240.415994955,8567262.754077489,8190513.463162087,1203826.5721749165,5675915.790779505,2843423.9600509964,1246676.866178452,4593533.053880605,4529349.9726110585
2246014.5071937586,5676061.028682429,19479775.48358941,34338140.28871383,8995810.710023157,5201563.325030123,1141794.6891757946,5576838.897060692,3590318.28490494,1180910.794727408,348591.22576867475,4957742.624873959
2043491.1412214087,5782221.146887475,7659458.427286602,31358734.64929993,9405815.467534332,5992287.931883951,1075996.585230488,5516742.839020102,2719671.668452424,1115144.7232763642,2811210.172488443,5264321.845871866
1818867.239183792,5888381.26509252,7137907.144888257,1358192.4362649813,10500764.67238695,6722373.6441587685,1010198.4812851816,5632786.8377114935,2313562.2649127035,1049378.6518253202,5653101.471143431,4974148.747149488
1808332.43007816,5994541.383297566,6616355.862489913,5112702.989469807,10038248.669727609,10317215.396394836,944400.3773398752,5402659.581617152,2877677.661833316,983612.5803742764,929901.8189274392,4438601.0958982445
1426102.84710743,6100701.501502612,6094804.580091568,508189.6530861591,8697479.661824152,53574137.364496574,960846.2874083172,5296351.003680129,3087087.472543499,1314493.2145384592,594923.4709063119,3787071.2376771513
1280885.384440306,6206861.619707657,5573253.297693224,1008028.4137228704,9907886.131029934,18122287.832598247,977292.197476759,5237448.722305707,2251321.0978480736,1645373.848702642,425852.8549241772,4110058.479248959
1207580.7064744805,6313021.737912703,5051702.015294879,8266381.165764562,8459046.794098886,17350144.20740679,1158371.7867909204,5154498.650903643,1226185.9861396677,2534810.8112097816,266376.2750010549,3950912.43619316
1010750.6401500552,6419181.856117749,4530150.732896535,19220231.169984017,7906618.904003785,7950850.689902456,1339451.3761050822,4988355.348931607,14225735.048290584,3424247.773716921,285452.0968454841,4119229.450460352
942880.206921986,6525341.974322794,4008599.45049819,19483268.292052083,7697241.969252343,10105654.169844002,1520530.9654192436,4800555.140437384,10972029.7893254,4313684.736224061,206891.6231086377,3435777.5532578006
879304.8968909219,6631502.09252784,3487048.1680998453,1024673.5076911518,7065437.895007098,13171815.525493572,1701610.5547334054,8027854.797242148,12654499.88596282,5203121.6987312,196984.9212424524,3107434.4204104785
889195.3571544422,6737662.210732886,2965496.885701501,3217719.447874907,7196981.3603614215,13932369.182297554,1882690.1440475667,4673038.877157733,4075051.2113546855,6092558.66123834,363218.2197070135,3335161.8179520946
689221.0924518734,6843822.328937931,2917186.004755628,5897407.270921481,9083500.662099965,9252959.17960938,2063769.7333617285,4762309.834248534,3037832.7703987425,6981995.62374548,276184.5187977854,3181830.996145993
702163.2177858136,6949982.447142976,2868875.123809753,971934.9872063904,8470328.604505321,9076429.940495212,1789751.6848037664,4063343.532989944,2290531.611420327,7871432.586252619,511017.9703121873,3059151.9395975857
768539.5509027799,7056142.565348022,2820564.24286388,1753293.4252726734,7551990.072250199,6550351.520501177,1515733.6362458044,6035289.51208767,1927948.580934428,8760869.548759758,805912.1927740078,3061770.923497956
733977.8941596716,7162302.683553068,2772253.361918006,1547818.1928783308,7421917.202278343,5505532.305630232,1241715.587687842,1987539.779030712,1933060.6508960407,9650306.511266898,1875819.7622994424,2931028.845932331
757228.6141659582,6773110.986812026,2723942.4809721326,2989887.085582273,7549573.971614887,4659683.852079901,967697.53912988,13039245.30495374,1854791.9059508883,10539743.473774036,15764795.251075206,2472769.49143295
851628.5907290286,6383919.2900709845,2675631.600026259,6807758.523457317,6884820.472849819,3588634.478843096,1730278.947805164,6239586.478608752,1892812.2900803385,4621268.299767546,9836761.175646145,2600472.029491612
847804.7526933366,5994727.593329943,2627320.7190803853,22731838.53028542,7347543.990579672,2838855.176892946,2492860.3564804485,24042990.035390973,1743531.2031139126,8196986.099394592,1047062.7425650324,2611335.200815141
791845.520597581,5605535.896588901,2579009.838134512,11788406.423244253,7778147.113966369,1287097.0126415335,3255441.7651557326,21085865.18204194,1581323.4252521307,41044800.47533431,349594.7181520289,2797701.762874137
686326.0331930037,5216344.199847859,2530698.957188638,8382504.9812379535,7229741.256014166,4606216.508041134,4018023.1738310168,12501915.070256004,1595307.4649423969,25771977.517781746,180292.59709228185,2538319.4996778937
820312.6651319034,4827152.503106818,2482388.0762427645,6435050.554109,8394050.600751275,3043318.9133211942,4780604.582506301,3327401.001186849,1505029.2968690428,10499154.560229184,78443.47687814306,2480553.107310405
864319.4056202117,4437960.806365775,2434077.195296891,4350107.3287959015,8474072.685567372,2512099.995480492,5543185.991181585,1951912.6316296104,1471868.7013931968,20161132.60221261,70384.42748590342,2449888.4299319764
844205.7617140119,4048769.1096247337,2385766.314351017,2118626.9840187863,8241020.996919321,3897274.31657524,6305767.399856869,3060341.6379865794,1341152.923665455,29823110.64419605,214201.2823893431,2442428.5693424214
811680.2241168931,3659577.412883692,2337455.433405144,2464660.2347238995,8108823.811808908,1780693.7314141025,7068348.808532153,4655663.239892058,1485240.941860333,39485088.686179474,319605.21586603456,2367097.115389915
813638.4379742375,3270385.71614265,2289144.5524592698,2034902.5187531144,9825328.166500568,1564784.697899638,7830930.217207437,6250984.841797536,1648913.6993196462,49147066.72816291,142237.33644654954,2310823.22014015
790131.2966058238,2881194.0194016085,2240833.6715133963,953058.0174006284,11122920.804106724,1386682.345202841,8593511.62588272,4839003.748098789,1537201.4760945614,58809044.77014634,151911.09986958248,2340723.2778653363
759196.8687054222,2845377.837733117,2192522.790567523,686157.640484622,14837154.248906488,1126612.6305545613,9356093.034558006,5637561.612979126,1602039.1650817764,68471022.81212977,98473.59873264589,2211848.636537852
755292.5842753779,2809561.6560646254,2144211.909621649,4824540.039749948,11599804.426596813,892055.2949861028,8004994.671774929,3600489.65942853,1612140.5945850138,78133000.8541132,441052.8604435277,2013439.09350171
708302.4685114715,2773745.474396134,2095901.0286757755,553321.2655410148,9791928.666628338,726404.735558735,6653896.308991854,2145321.139420368,1492251.2699706273,87794978.89609663,101971.03297706928,2024582.2314322728
833859.8413237145,2737929.2927276418,2221852.7691514343,3605621.034602888,8453718.397494942,669323.8199600403,5302797.946208779,2927008.9570796574,1616086.9392661266,97456956.93808006,105199.76850963672,2199623.376103005
723930.5976957772,2702113.11105915,2347804.509627093,620934.9854683812,8249639.216579916,436131.2957518143,3951699.583425703,5316551.850039069,1541891.21618463,107118934.9800635,150372.62733169075,1984276.0590676493
659589.4225672083,2666296.9293906586,2473756.250102752,533682.7741519242,8105944.497613564,654425.1037006397,2600601.2206426263,9992302.10350758,1525262.1561044536,116780913.02204692,197097.5901046888,1912020.4648878209
678506.1341845723,2630480.747722167,2599707.99057841,796667.3827641987,7387735.46305194,674078.8357117152,1249502.8578595507,13027101.47871759,1512958.848009281,33171236.651045967,251392.22674549595,2024598.9428507136
666984.9065810976,2594664.5660536755,2725659.731054069,315117.283915967,7723683.530993385,858481.3434381866,4137806.914897361,7944934.717432114,1393721.3110457317,23771697.20000344,386635.8092098555,1754277.3933519628
753313.7582530404,2558848.384385184,2851611.471529728,555103.2881840918,7336673.641351444,1334985.8013422363,2327775.3466142565,10895748.571868004,989555.417808322,14372157.748960909,462557.6678858107,1624921.407500109
623668.3285133312,2523032.2027166924,2977563.2120053866,1251979.2574039767,9277101.643522177,1436876.270708032,1705880.4189335224,9764776.125386482,2005305.2078861103,12578850.849315934,454068.1314144846,1764312.2567160586
770156.1741543745,2487216.021048201,3103514.9524810454,823338.9461410455,9622393.54355996,1346075.4020170236,992145.981071304,8770287.1703322,1413462.8517117368,10785543.94967096,487791.85811824776,1868199.5091207584
782477.287412718,2451399.839379709,3229466.692956704,153522.52281400468,7442261.13137769,721411.0368992055,3893174.492870168,8764715.214008301,1433878.9477987988,8992237.050025983,494896.13091123896,1878358.71578554
764134.7561635182,2415583.657711217,2464376.2093743333,69522.86899879109,6885560.462131384,5300041.253391067,6794203.00466903,8651286.526115451,1548926.977837762,7198930.150381008,677745.5485334487,1851603.6048139024
1268289.7495337476,2379767.4760427256,2078919.3169449088,113965.36795622348,6655132.023740377,2243301.624401119,7533190.939374368,9198163.602883715,1368507.0984910417,6714035.917704616,699401.7175438498,2065290.779102632
918902.3245231282,2343951.294374234,1693462.4245154846,202032.87029156263,6761667.672917769,1602794.4491750146,5844783.439267147,8577600.66065781,1336891.7260032534,6229141.685028223,938224.057787315,2178911.531667697
1026273.1282076732,2308135.1127057425,1453392.7242559276,1051633.4907438974,6648258.922779666,1519339.3109789763,4156375.939159926,11574149.135816207,1339798.733167044,8138353.596166465,1202804.7721008037,2379121.4242576687
872870.6044518776,2272318.931037251,18782630.210906856,814511.637986357,7362308.673159052,12192455.95199436,2467968.4390527057,14601229.936320372,1324200.5742154573,20862302.831332624,1486383.8554590563,2437577.76082646
635581.5339440282,2236502.74936876,30105767.088334057,637512.5941984387,7725823.268723536,4131176.358252885,779560.9389454842,18216533.98035119,1322725.9975553907,33586252.066498786,1919359.4096841712,2771044.846337653
578349.0374871214,2200686.567700268,7262605.78770934,902427.2082972192,7591337.937157666,4754418.201891375,1536358.3796214252,16216483.374643637,1364499.8670285605,46310201.30166493,1727664.0514616044,2827590.3812494013
759534.8099795078,2164870.386031776,6007811.0327763725,810961.1724993609,6378752.549303804,2614775.0394423506,2293155.8202973665,12159706.894679517,1245102.926997001,59034150.536831096,1893331.7515574729,2759539.5998985176
571670.9276762902,2129054.2043632846,4753016.277843405,950164.4256353588,5081896.684514364,1389182.6192373347,1958585.3323112929,18153306.53870992,1337812.132255365,43736264.33818444,2590141.1664112126,2805100.541786959
497225.81878776697,2093238.0226947928,3498221.522910436,5955345.595385049,8183690.759365044,1200188.9830508316,12104088.592566203,19709465.39131899,1254794.0550062845,16422197.37044822,3942594.814623759,3013889.6110421456
575110.3133629372,2057421.841026301,2311925.929402019,2259858.9462337587,3857231.840790432,1035578.4312658248,4257810.525936886,23073520.05208401,1184948.483794812,14666435.784632266,4897891.540115537,2774829.20077822
451767.4943304524,2021605.6593578088,2266722.490566396,2416397.415138624,4054838.443485652,1464358.8821535371,4450081.702360686,11382889.143805126,1128909.8134384863,12910674.198816309,10612462.061166482,3016103.3437993773
450487.2172076779,1985789.477689318,2221519.0517307725,573791.6298389826,3967370.4382134494,10972410.15684252,4642352.878784485,7142981.406704204,1086636.021836219,12792707.440608175,3293385.479636898,2681169.0878297472
435342.328550548,1949973.2960208263,2176315.6128951497,274673.91919560806,4130131.8403986935,20794683.655169867,5758606.486320308,6043705.289251247,1081372.8147177629,12674740.682400048,7419737.671339772,2736634.405555225
424751.6060277291,1914157.1143523343,2131112.1740595265,341464.0618248716,4272342.307481097,2130774.8146342463,6874860.09385613,5857014.905272211,1043344.865522213,10870710.679070292,9709943.638100632,3001809.556927622
412533.0584208998,1878340.932683843,2085908.735223904,377511.605982012,3976179.778641049,1856990.171205656,7991113.701391953,5332658.127272698,985262.3024046314,9457092.986037698,14441186.534032913,2953801.2686145785
394811.6238933814,1842524.751015352,2040705.29638828,446612.119700581,3452494.734482502,1362431.7507264607,7195581.70927537,5160264.28146688,925287.5695075268,8323896.05762325,7377578.915898279,3016837.6822759896
379214.3817638024,1806708.56934686,2012624.923400404,520624.748056352,3334102.820129423,1462153.0430223728,6400049.717158787,5077627.21568901,854471.8350725869,7190699.129208804,8662519.231404986,3007980.331759503
363870.8729707395,1770892.387678368,1983478.0923847617,498669.853321594,3503053.153957038,2378734.1903974065,5604517.725042204,5022989.801053596,795567.9107296698,17006839.67120476,5197812.967857728,3024156.0915538464
369140.81251992047,1760006.5920383271,1954331.26136912,537725.6499169298,3376773.710975761,1552947.515375383,4808985.732925622,4980236.028723595,758672.1155005749,26822980.21320072,3809813.7361593647,2677315.507433509
338578.9506964868,1749120.796398286,1925184.430353477,1730176.6540751571,3750194.9470966905,1936441.2193739333,4178639.103442432,4836260.218325272,875611.5103720014,11969380.759067474,3517752.524029191,2769907.91960737
335505.96870180964,1738235.0007582451,1896037.5993378349,1403638.340487202,5171355.585375299,1679456.08257375,3548292.4739592406,4712129.885884488,674945.6891790215,11095976.840028828,3319355.5266424604,2879942.860062076
305332.4204628771,1727349.2051182042,1866890.7683221928,1540910.5702471705,5009522.553689139,901000.8218201582,2917945.8444760498,4607295.089653797,623796.373692412,10222572.920990184,3120958.5292557296,3098128.4821302826
285737.3882220581,1716463.409478163,1837743.9373065503,877320.7177237647,4621202.544108596,1587060.6048096877,2287599.2149928594,4492645.867909661,593154.1922640558,9349169.001951538,2725549.226876657,3041743.871879444
258417.98780167403,1705577.6138381222,1808597.1062909083,1212463.707821306,4141434.7664664527,10981574.245121958,1657252.5855096688,4366356.707562457,660396.978649653,8475765.082912892,2564957.154699076,2797483.879306386
234326.7493171512,1694691.818198081,1779450.275275266,3255687.067205969,3284417.419397697,1612900.0209253689,2290698.6222051056,4209290.27779344,568007.5311747253,7602361.163874248,2404365.082521495,2551963.5346679566
210123.2233920117,1683806.0225580402,1750303.4442596238,4943643.888039138,3003884.0377066047,1344630.3370730698,2924144.658900542,4110686.188565021,529192.332511332,7520463.442543634,2243773.010343914,2538217.590395185
196273.56427907365,1672920.226917999,1617387.486983348,1865987.136467502,3003845.015827552,3615727.650942313,3557590.6955959788,3990330.029855264,462050.2973996246,7438565.72121302,2178977.983079412,2457207.990955048
195893.75244974493,1662034.4312779582,1484471.5297070723,3236340.01816091,2811681.803414364,1914812.2598688488,4191036.7322914153,3943652.9247996127,433498.7734082753,7356667.999882407,2114182.955814909,2427384.7614916177
220459.81015545345,1651148.635637917,1351555.572430797,,2810629.715983167,2244227.753615519,4824482.768986852,3900237.119543143,405599.3628686402,7274770.278551793,2049387.9285504068,2189739.2603649176
182872.01381465024,1640262.8399978764,1302055.04946235,,2773073.4995632987,2213212.342598487,5457928.805682289,3861660.134017214,440207.38340810745,7192872.557221179,1984592.9012859045,2282138.521175248
168283.12260228588,1629377.0443578353,1252554.5264939028,,2792571.875548108,1617046.128702183,4021846.594662403,3830463.3443063614,829299.7958838554,7110974.835890565,1529621.5925002147,2152239.719572904
206759.62664550275,1618491.2487177944,1203054.0035254557,,3348391.821623325,1447874.711154048,2585764.383642517,3815049.252459412,713040.9659118224,7029077.114559952,1074650.283714525,2158966.51288991
199252.5702402222,1607605.4530777535,1310164.635668043,,2429377.7816983857,1484970.2000748832,3286960.0675060223,3851793.1270226073,786859.1899705308,6947179.393229337,559957.0946249289,2125783.581420641
334200.6387201769,1596719.6574377124,1417275.2678106304,,2136277.81197641,1197299.520757653,3988155.751369528,3821095.916453076,1218416.4419097851,6865281.6718987245,304592.84400609334,1998161.3648953624
301728.99925648083,1585833.8617976715,1524385.8999532177,,1902779.0162514104,941386.546408562,4689351.435233033,3762516.283705706,935602.8026428216,6783383.950568111,429657.9016546098,1946734.670414212
239033.6081794091,1574948.0661576306,1258523.3527423835,,1915702.039063865,1388899.5135088286,1329312.657502191,3679396.903975905,859700.028687458,6701486.229237497,740008.967832991,1725875.1659883412
206939.6651188249,1564062.2705175895,1283083.6394481664,,1865156.332332799,823387.4226032752,850600.8823994213,3951067.765250752,822117.145681144,6619588.507906883,1353562.5831560525,1857227.338272364
195785.7945668588,1553176.4748775486,1307643.9261539492,,1823877.1844881263,1163727.0080801386,1071052.2703249692,4057184.1802560897,1181419.1249366996,6537690.786576269,1574641.495221937,4664224.422078109
193168.3054279941,1542290.6792375075,1332204.212859732,,1827506.593407172,1127544.2888844956,1077918.97199646,4076851.780710369,801232.4394012288,6455793.065245655,1825198.93052203,1848487.7335584937
208339.58221039744,1531404.8835974666,1356764.4995655152,,2853164.7463062643,853453.4488203956,1084785.6736679506,4159186.440694223,459048.8295808133,6373895.343915042,3560350.0982738994,1768662.905248531
179756.5166026924,1520519.0879574255,1381324.786271298,,1724658.1451968525,670732.204879747,1091652.375339441,4087863.915054223,871892.6298359433,6291997.622584428,6405261.247100509,1934861.3066300373
171431.1029073967,1509633.2923173846,1405885.072977081,,1637690.4330732743,562543.3932520754,1098519.0770109317,3971212.552646759,573453.8557846226,3357381.45045833,56596337.74297309,1875520.1827478288
165312.52939318243,1498747.4966773435,1760710.7851789144,,1702137.0383100528,3256294.880887696,1105385.7786824224,3945167.398330682,702234.6278174416,7298959.751030298,60406418.03951278,2021623.719448635
163408.76954314264,1487861.7010373028,11808230.430235911,,2686481.4982348927,830543.269500696,1112252.480353913,3809918.869691473,672924.6036790985,11240538.051602269,24485681.366032388,1943879.1901177205
157084.95170194967,1476975.9053972615,2227044.7330011567,,1798145.9468643346,490848.6863143689,1119119.1820254037,3696094.798764894,534867.6216045158,15182116.352174234,12633027.763695808,1865448.5754782888
149812.82669061734,1466090.1097572208,2281911.58229724,,2469568.86937869,428475.2728553244,1125985.8836968942,3623744.027767289,524938.4875964497,19123694.652746204,8161618.490539872,1762329.8077779522
151612.26099225035,1455204.3141171795,41009059.88039992,,2940168.9163324414,353345.4043384615,1132852.5853683848,3537510.049678624,704026.6611402053,23065272.95331817,6285819.642665838,1726824.4878276233
141486.96138847043,1444318.5184771388,8668895.999726528,,2361747.1849768166,4132324.79995401,1139719.2870398755,3338687.594017268,513267.5498192495,27006851.25389013,5453157.039535531,1753556.9205206826
132560.70812167146,1433432.722837098,12679767.785606362,,2449753.57032618,3722293.464182188,1146585.9887113662,3243095.767817448,446781.2074371657,30948429.55446211,4908639.073611707,1728767.6551450763
160494.52364536113,1422546.9271970568,10928052.644781357,,2522778.5750788865,404387.64720219024,1153452.6903828569,3292596.223741463,425192.480370017,34890007.85503408,4327172.935509838,1686770.1148930162
119528.06343933343,1411661.131557016,9176337.50395635,,2394888.4618091555,820447.6930785836,1160319.392054347,3236764.978852577,394374.9429770892,38831586.15560605,4396243.372031888,1770397.2782049323
113632.65333613384,1400775.335916975,7424622.363131344,,2269977.1882471927,310151.71347912814,1167186.093725838,3184592.8016304765,352425.3429544068,29030832.6497351,3877158.153428614,1699570.979506784
104350.50081439386,1389889.540276934,5650298.409884049,,2398431.283754257,1684945.195924507,1174052.795397329,3147549.5037279045,298526.6258567485,19230079.143864155,3635574.559877651,1828050.0661846653
121873.90741269052,1379003.744636893,4745969.323103802,,2628150.543763939,483998.712248347,1180919.4970688194,3012053.325680811,273115.6696053619,42883844.04306591,3331150.7160359,1757370.9633344635
114020.5177831662,1368117.9489968522,3841640.236323556,,2352959.73501743,312595.21179439744,1187786.19874031,2893601.509159641,203777.9441691361,66537608.94226766,3129404.819065385,1732866.271715795
106064.31953301949,1357232.153356811,2516239.443662143,,2606174.3636794337,447371.6556912408,1194652.9004118005,2743596.963185877,331475.3702936809,90191373.8414694,3104096.1103253304,1665898.5443225163
113377.9036930468,1346346.35771677,1252642.4817396696,,2592150.521783527,3830714.496641671,1201519.6020832912,2618107.897258803,402000.7536500717,19929024.13605933,3078787.401585276,1680813.1862179255
119894.03523874648,1335460.5620767293,885958.471078828,,3629911.2252620608,315691.218599003,1208386.3037547818,2477660.93748462,457826.0572984222,14880458.874297136,2920191.833306403,1638438.6163311016
85712.06063246162,1324574.766436688,519274.4604179865,,3814799.777665772,382563.63822083146,1215253.0054262723,2294008.2070263326,493412.2693253015,15384524.30641357,2513523.3254215424,1580022.7707914123
62066.067066659336,1313688.9707966472,152590.44975714496,,4136433.235877503,464520.22269835474,1222119.7070977632,2027891.777783172,512863.5094435372,14694069.553517168,2945675.3531860486,1589822.0777602508
43771.69432111434,1302803.1751566064,1484156.2009149475,,5744611.437824554,3785428.223025182,1228986.4087692536,1749815.9424545106,444589.9246250631,14998455.183173906,3299738.588715173,1678271.9613811714
168127.54677879097,1291917.3795165652,2815721.95207275,,7402248.668184538,482275.55623081967,1235853.1104407443,1544937.2900581474,416353.3628940178,13962893.819192495,2819774.804740479,1581207.2825631995
418071.5525549848,1281031.5838765244,4147287.703230552,,,569613.4501345326,1242719.812112235,3546907.078927685,752938.8510458505,13304795.020268677,3062732.420609012,1468042.858992032
473842.8533888997,1097923.6473345668,5478853.454388355,,,447946.4544931323,4470437.001489455,1996325.971253616,761159.113783547,11252025.890544126,2876152.072025893,1469291.2573510455
533577.5098866207,914815.7107926093,6810419.205546157,,,684798.6128472191,7698154.190866675,2006222.822583012,536513.2502063354,10016847.137108546,2562719.079197351,1643372.1238993683
650210.1958343731,858941.2274439114,8141984.95670396,,,521356.06369104976,10925871.380243894,2418589.636805357,519677.1431154838,9884473.951636096,2351538.916080664,1385750.3018563
633681.316723764,553838.7518357082,14055692.885295682,,,509146.4388414507,14153588.569621114,2819232.235652989,502841.0360246321,9501515.40569752,2468299.9466048125,1385873.1448298672
758105.1449627449,472983.9410738962,11537717.371267596,,,498890.3803738777,17381305.758998334,2813953.128632253,401143.3201329222,9546511.040385785,1918963.618123348,1511304.9945892391
