RMS_envelope_Clearance_factor,RMS_envelope_Clearance_factor.1,RMS_envelope_Clearance_factor.2,RMS_envelope_Clearance_factor.3,RMS_envelope_Clearance_factor.4,RMS_envelope_Clearance_factor.5,RMS_envelope_Clearance_factor.6,RMS_envelope_Clearance_factor.7,RMS_envelope_Clearance_factor.8,RMS_envelope_Clearance_factor.9,RMS_envelope_Clearance_factor.10,RMS_envelope_Clearance_factor
2.6348324931827496,1.8684620687102609,3.105557926018897,4.048106562023128,1.671620126192904,2.065117363997065,1.991990244738183,1.9809073107605408,2.093607619464,1.4013932208422493,1.5797958535254566,2.8345224510854115
1.3242256781018051,1.403986645506573,2.1762363308225647,1.9799138666034064,1.0331258183369536,1.14306091549046,1.1212036106131542,1.1914239086684912,1.1030973795649992,1.0446682025865184,1.1400735710722654,2.1795133776572486
1.3056562260800566,1.0620637513749092,1.246914735626233,1.7236607626758331,1.0349683880409728,1.165090572452005,1.057504759568182,1.1763548812339808,1.0186275450477305,1.0316783722050713,1.031211211073886,1.331954220492119
1.228915214073384,1.0624606049454937,1.214340375761528,1.122119097406041,1.0306185225074262,1.18712022941355,1.0139752098402346,1.7517604503805115,1.00698199743772,1.0186885418236244,1.0264382543742443,1.289461501641137
1.2223613500286217,1.0628574585160782,1.1817660158968233,1.0566630811272624,1.0664359708551554,1.1358335084190738,1.0578352077611417,1.2894948168305742,1.0090340984237642,1.0056987114421774,1.0158756659038193,1.2126473438628105
1.3612471415985146,1.0632543120866629,1.0012197841229258,1.0751291494264992,1.0508146181100668,1.0845467874245975,1.1016952056820486,1.1224810086264796,1.0151780527354648,1.0672329981281237,1.0529782461116524,1.2808743501622084
1.257740992457991,1.0636511656572472,1.0402572576753757,1.0944547076143736,1.035193265364978,1.0509655756841243,1.1455552036029557,1.1947754711275091,1.1024278140079442,1.0630870050555568,1.0900808263194854,1.3062999197766798
1.2687457367518389,1.0640480192278317,1.0792947312278252,1.0961936732162705,1.0195719126198894,1.4754478238636946,1.1270441775663604,1.201175038681452,1.1520006684924984,1.05894101198299,1.0008516580687217,1.3722458958230803
1.184291093916486,1.0644448727984162,1.1183322047802748,1.161109890505549,1.0111003094752289,1.338945865835839,1.0954501883707108,1.1523113687496351,1.2015735229770523,1.0547950189104232,1.4433086015745324,1.3093227721766645
1.1944027539967916,1.0648417263690009,1.2447909225287743,1.222064231877423,1.0026287063305686,1.2024439078079836,1.0638561991750612,1.089621591476336,1.092099896155546,1.0506490258378562,1.309629135056841,1.3520104838004874
1.23166891560138,1.0652385799395854,1.2510453408068212,1.3156113565545071,1.0321659002335546,2.2954903096768526,1.0322622099794116,1.2308170388116726,1.4106378268071007,1.0465030327652896,2.330976993505485,1.4152419294341627
1.2221673841246026,1.06563543351017,1.257299759084868,1.3567598548225113,1.0494723661928456,1.690715994806208,1.000668220783762,1.2044646409757611,1.0959314780469671,1.0423570396927226,1.2311635827020957,1.3129530769998166
1.3777903399047122,1.0660322870807544,1.2564067465103472,1.205812245334013,1.066810483125098,1.2828577073791732,1.1646010376040916,1.138911348612093,1.0889814133128428,1.0382110466201555,1.401981211901415,1.3665971934286552
1.2491398496578867,1.0664291406513389,1.3525908953403445,1.2071501004566303,1.0576677524500733,1.6599974750833957,1.141202055864801,1.21361983916486,1.230946215584766,1.034065053547589,1.6856386793113194,1.3925741913621228
1.2057357712120238,1.0668259942219234,1.4122572754558187,1.0825189837386116,1.04247117032265,1.4433417632022407,1.1178030741255105,1.2609280120456547,1.0632105886962475,1.029919060475022,1.8418583465051623,1.5227172705455525
1.5352315980266495,1.062371470981755,1.4006554550268275,1.2340875808726766,1.0272745881952272,1.0128550649249353,1.0944040923862195,1.322320700583466,1.1838359727942362,1.0257730674024552,1.417823114841755,1.5370855401811707
1.428271295545509,1.0579169477415873,1.3890536345978366,1.1128287097631795,1.012078006067804,1.1159033619792402,1.071005110646929,1.4641772113497702,1.1832595621979167,1.0216270743298883,1.6439625143733083,1.4558059453888053
1.238421800219915,1.0534624245014192,1.3774518141688454,1.219644531922384,1.0280800079253394,1.6389655575046669,1.0476061289076384,1.3486182198904173,1.182683151601597,1.0174810812573216,1.3982579398920585,1.4975181296355364
1.447840464873648,1.0490079012612512,1.3658499937398545,1.3091241167363834,1.044082009782875,1.374821487285392,1.0347910986223945,1.3780960354395613,1.109932314816731,1.0133350881847547,1.4057702065417226,1.5203197048691095
1.4502796567425804,1.0445533780210832,1.3542481733108631,1.1838611193215405,1.0600840116404102,1.110677417066117,1.0219760683371508,1.3346186063032714,1.1799169982810045,1.009189095112188,1.59391066459558,1.4519595749617955
1.465523405664635,1.040098854780915,1.3426463528818722,1.2622651776570115,1.0223219346739707,1.212937498485128,1.078996390389213,1.529374374465332,1.0052642855457388,1.005043102039621,1.0875709115554109,1.5351160431938715
1.3349917652035526,1.0356443315407469,1.331044532452881,1.4133168566133498,1.01808524537439,1.496929400200533,1.0564067207995016,1.648177173561155,1.0573655094372396,1.0302049569904184,1.1218886152714325,1.4493985059190173
1.312995961010201,1.0311898083005788,1.2996275593039242,1.4690977813050146,1.0303813849224488,1.181179658384354,1.0338170512097902,1.9955131377011373,1.1629094256800483,1.0553668119412158,1.2148409548901635,1.437919627788755
1.4675014401851127,1.0267352850604108,1.2682105861549673,1.178174168284962,1.0426775244705075,1.5662455730022176,1.1776607334431426,1.5696159574460635,1.1778054974345908,1.0540592486115048,1.189111381822547,1.5327345043306135
1.3634120306515711,1.0222807618202427,1.2367936130060104,1.2574784773315906,1.0549736640185663,1.5901663057892717,1.321504415676495,1.4160398512718506,1.1209220328837002,1.0527516852817935,1.4208463683534258,1.538164829679041
1.3167995768360676,1.0178262385800747,1.2053766398570536,1.2782728777890937,1.0812478098564189,1.234312139245712,1.155057206450795,1.630331363308187,1.100146720923719,1.0514441219520825,1.128975739135701,1.5973321269326566
1.1399165221776035,1.1947251413189313,1.1739596667080967,1.5039855548291343,1.0961932342401428,1.195216617538788,1.250652848552767,1.6062102511918106,1.2291178254334008,1.0501365586223714,1.255411078580538,1.6835099658533426
1.221427641621794,1.1874829581742783,1.1425426935591396,1.4579705336642903,1.0709481835244787,1.156121095831864,1.0630719705266964,1.6392487125462667,1.276661300521006,1.0488289952926604,1.447731427516736,1.311439946853566
1.41189411759634,1.180240775029625,1.1111257204101828,1.3161077939346946,1.1674833695381963,1.11702557412494,1.1210820389738791,1.6701614098523576,1.197289074289294,1.0475214319629491,1.2292910518804865,1.3788058807978465
1.1994447391509917,1.172998591884972,1.079708747261226,1.2502758803036602,1.2776037435757868,1.4946331502932673,1.0679414367056994,1.6723236009501496,1.0920770646085838,1.046213868633238,1.2325824083824484,1.3472433785677504
1.3876533373302564,1.1657564087403192,1.048291774112269,1.4054585655147056,1.0462337175312473,1.2489281834813597,1.0695275245884073,1.661542550179389,1.0839970421778276,1.044906305303527,1.613079339370985,1.369080150633626
1.6309390926426497,1.158514225595666,1.0168748009633122,1.287070171842859,1.1067934721651107,1.25336940037753,1.1476962470030658,1.6564124568467655,1.1434777080265537,1.043598741973816,2.004723077714944,1.3409572680010629
1.6778575437852576,1.151272042451013,1.1506678470510157,1.5208738552102288,1.1481451007672403,1.3486756930951296,1.1574583181990692,2.0806318429740047,1.2228398082904817,1.042291178644105,2.01519070127252,1.2942087402323457
1.5008209045733194,1.14402985930636,1.1547747170836034,1.5056182611116251,1.2490801359826458,1.128747582920666,1.1672203893950726,2.892284445503534,1.1303701030975102,1.0409836153143937,1.5525336066461564,1.3629914922050708
1.4046637962666162,1.1367876761617068,1.158881587116191,1.4818863786861498,1.0568345355314015,1.232572008049846,1.176982460591076,2.2463184017229967,1.0923500317668495,1.0396760519846826,1.4240949960876064,1.3618119973245728
1.4782630771400809,1.129545493017054,1.1629884571487783,1.4184043964778077,1.0607735051149767,1.326773394683997,1.2311858577317496,1.5987178622587404,1.1111592191341404,1.050130873610217,1.206512610530285,1.3449287609736882
1.459875056558219,1.122303309872401,1.1670953271813662,1.37221663762769,1.2509675469639976,1.2223120984666695,1.2853892548724235,2.0155390339980728,1.154814820313275,1.0605856952357515,1.347564004757865,1.4317184325101318
1.4118371303862105,1.1150611267277477,1.171202197213954,1.4088343235114256,1.2514798613470348,1.3820043385234462,1.274690121276676,1.991699321190706,1.1488474190494953,1.0605920559517883,1.3996476455539804,1.4772605462651418
1.4156687672522594,1.1078189435830947,1.1753090672465416,1.336507239311317,1.3221377444989024,1.3267449264254785,1.2639909876809283,2.4572744317087496,1.0771905402221076,1.0605984166678255,1.31052922007105,1.5919089783161753
1.4754779077810851,1.1005767604384418,1.179415937279129,1.364550844359568,1.3857874908144363,1.3784778357108431,1.253291854085181,2.470614320265238,1.0670060303310325,1.0606047773838627,1.1550894514744827,1.583225318270188
1.455869232521798,1.0933345772937888,1.1835228073117168,1.4021000757292637,1.3800570550876008,1.4404344104134823,1.2425927204894334,3.167188182407291,1.2079349882549717,1.0606111380999,1.361103753384787,1.554133431913442
1.4538211843304063,1.0860923941491356,1.1876296773443045,1.4462443348318244,1.4190521425742353,1.2895661525986089,1.231893586893686,2.1868537175007794,1.137276929067033,1.060617498815937,1.4574573647439115,1.6047726694614417
1.3828081667012193,1.0788502110044826,1.2168932911332324,1.5231372298137598,1.2744289193126777,1.476889012185968,1.2211944532979384,3.3152922783320933,1.3416214877665371,1.060623859531974,2.31034651528085,1.7052275916967723
1.30961522582849,1.0716080278598297,1.24615690492216,1.4614434487874597,1.4075398888415556,1.5743970525718185,1.172818393438952,2.3474326921131423,1.8195276300529435,1.0606302202480111,1.9163262333828208,1.6036605277292453
1.3491577987997243,1.0643658447151765,1.275420518711088,1.2988161258988995,1.4105788205475762,1.5861142402103643,1.1244423335799654,1.8813454851186224,1.2605614510531322,1.060636580964048,1.542591690790133,1.72900561900423
1.406894548374503,1.0571236615705235,1.3046841325000158,1.292984819575158,1.3905203593947888,1.698432670873434,1.0760662737209787,1.3782967513644764,1.2145816856469094,1.060642941680085,1.4706966470148697,1.6939944876799076
1.3631345959614742,1.0571683803508407,1.3339477462889435,1.3253918963616682,1.5119617725981804,1.243234437134447,1.0276902138619923,1.2815117184962448,1.2572773409531803,1.0606493023961223,1.640840271259912,1.7108224985395546
1.2950089170588748,1.0572130991311577,1.3632113600778717,1.2694760672314005,1.496813923356248,1.5587227615700951,1.0470388605001446,1.5025139221795694,1.253994542720571,1.0221258617481046,1.4962861333862292,1.816629793985668
