Counts_envelope_Peak,Counts_envelope_Peak.1,Counts_envelope_Peak.2,Counts_envelope_Peak.3,Counts_envelope_Peak.4,Counts_envelope_Peak.5,Counts_envelope_Peak.6,Counts_envelope_Peak.7,Counts_envelope_Peak.8,Counts_envelope_Peak.9,Counts_envelope_Peak.10,Counts_envelope_Peak
463.1194689276568,174.90948874382,504.439707369299,332.1509292748955,243.994008370622,297.86214790762347,1586.897291429121,315.2135557920201,176.75848353644227,121.12667518711064,147.29087414303092,1223.8705877101668
146.9515986634746,121.00981382856077,291.6769966201639,123.12321227649672,70.89110525230326,147.78798165913793,133.49956922246685,120.41819392136354,88.36485070574034,79.15681489074628,135.78635902680253,115.70186159373922
148.7056428981662,90.01254534399835,78.91428587102881,224.6607417008727,86.95077331134739,200.04692686714472,93.02318701466262,108.47164088607262,91.23459485110014,80.14060925655784,128.95728007868763,114.3740989533564
194.94674038743256,85.62195718277636,78.43341611527998,91.6623463226812,96.12290875349274,252.3058720751515,131.3165383151618,262.92690494191663,78.16382798288247,81.1244036223694,88.60470103329956,158.47398688731496
153.8711130707481,81.23136902155436,77.95254635953114,88.3444376285889,72.00312500935628,174.38863185083846,110.29749400652923,110.58838124858724,81.03224421113394,82.10819798818096,92.10605231815812,138.57995649364378
135.6589407451828,76.84078086033236,72.19555795750026,89.05927290152735,98.9734993000095,96.47139162652542,89.27844969789666,66.58423281364828,127.46486589062285,110.89576090371764,162.90354668654908,131.83426995060444
141.15248442111746,72.45019269911037,77.03501025725994,111.38347959645247,125.94387359066268,46.95438290956801,68.2594053892641,73.97453484836191,92.22709641128796,109.22818492601247,233.70104105494,148.1012588139857
154.64167420367153,68.05960453788838,81.87446255701964,100.30650981804988,152.9142478813159,133.05681233917147,59.5258806028409,114.97582673863008,78.92769225033193,107.56060894830732,64.95294825772133,137.59600032189763
124.00451644596104,63.66901637666638,86.71391485677933,122.80841032752578,102.71626790307424,112.6638858782032,64.88203179323585,77.87557047559417,65.6282880893759,105.89303297060218,125.65075084809146,153.4669631127102
154.18339602767975,59.27842821544438,66.13578340515022,154.44535057321912,52.51828792483254,92.27095941723492,70.23818298363082,56.68287713309636,31.876901710048383,104.22545699289702,96.9052721001077,158.0554270779608
124.84579294497208,54.88784005422239,68.79136774791178,195.07820883987048,50.10183992851936,147.57601489524632,75.59433417402579,90.48191934318606,278.9132431937081,102.55788101519188,92.63587363554628,163.26051312547804
156.4938308414611,50.49725189300039,71.44695209067332,98.45290646769462,85.72960740447517,58.1401468892672,80.95048536442074,106.97601154327523,87.46110755684106,100.89030503748673,72.68018067096791,191.00461253806927
139.65287963064603,46.1066637317784,65.8706016775795,78.48689642265953,37.50785526181279,153.55486095510562,192.0000115053904,76.32739361263998,151.4557114648601,99.22272905978156,66.54326452881,183.8001760539597
87.60310595300642,41.7160755705564,45.66585818294078,177.249689081126,48.36339482311988,76.15940506294974,173.80169600030408,85.85779739271474,131.34667009649755,97.5551530820764,76.5761021573939,193.91976577149487
88.74660753324383,37.32548740933441,58.04514456338714,111.38613972204196,46.32559189521108,89.74662806735579,155.60338049521775,53.843207346809066,107.80346684854597,95.88757710437125,98.14594623157608,154.00164469190244
98.54022878747706,38.52667599032318,56.23201270294157,138.48569491623076,44.28778896730228,55.93218841326869,137.40506499013145,102.78453579217788,84.80211472233903,94.22000112666608,95.9899242762111,186.9707373393291
76.32755885891656,39.72786457131195,54.418880842496,158.82470837284572,42.24998603939347,77.77329051879276,119.20674948504512,64.57384542051503,96.14952419363676,92.55242514896096,86.15199300952925,192.56278664651245
60.968789977315545,40.92905315230071,52.605748982050414,150.02513438665602,44.069857611980765,78.36852339966971,101.00843397995878,56.39822291100601,107.49693366493447,90.8848491712558,87.16450766471922,181.00605195226527
83.83378903289255,42.13024173328948,50.79261712160484,193.55877147544464,45.88972918456806,75.31983605000971,111.77484320190668,55.1564135740455,115.15665780621129,89.21727319355064,156.52806736068615,179.20567900663733
