Counts_envelope_Central_moment_4th_order,Counts_envelope_Central_moment_4th_order.1,Counts_envelope_Central_moment_4th_order.2,Counts_envelope_Central_moment_4th_order.3,Counts_envelope_Central_moment_4th_order.4,Counts_envelope_Central_moment_4th_order.5,Counts_envelope_Central_moment_4th_order.6,Counts_envelope_Central_moment_4th_order.7,Counts_envelope_Central_moment_4th_order.8,Counts_envelope_Central_moment_4th_order.9,Counts_envelope_Central_moment_4th_order.10,Counts_envelope_Central_moment_4th_order
127782861.46507184,5544580.313479456,252983289.58033687,51593097.30974742,23910580.4974846,50629405.53695947,43101513655.195694,27651201.61277422,3878011.025349136,2038923.0114300249,1397753.114025495,7752220343.664737
1513398.090194449,1112703.6985296444,126848690.44268516,2442556.0293583144,18002.80860950829,1635509.3180821997,1945142.6555714728,1323685.2828026426,141166.85093803573,16256.324624268696,1315908.1997271825,1125593.766147683
1145269.920792869,570837.6353184151,714091.3050334824,16549152.08827188,6176.983950106347,7229555.318154882,312356.25438980333,235628.2060686412,251599.5382331948,99383.00402785798,105063.55423686828,592401.6421418752
1701879.8348288944,523284.3331520895,358442.1816009337,251600.49370575784,5440.414489787308,12823601.318227565,1393811.593179588,4409544.917433257,227933.89948979125,182509.68343144725,18.28049684669267,486907.1946251615
873619.3829956052,475731.0309857638,2793.058168385045,957010.4132820796,193898.3203388626,6439745.572237709,953641.0237408468,42552.19032945813,626534.6642305715,265636.36283503653,12.840057416179434,706727.8835826811
910199.5590502413,428177.7288194382,42674.044593519895,177610.1632117111,5191480.61461653,55889.8262478523,513470.45430210594,16007.623844486996,1425784.0446930598,1279831.8984122782,12503313.075476125,811645.3365765008
868081.4935012272,380624.4266531125,55900.16771358404,1134058.060475046,10189062.908894196,14075.978974973794,73299.88486336505,18050.50061089631,473880.57414106897,1195320.6131191233,25006613.310894832,328445.71619046247
727366.5748947281,333071.1244867869,69126.29083364818,320362.1644848203,15186645.203171862,2963161.2081536567,2937.4770499555584,1082772.6069362124,239880.70497362263,1110809.3278259686,0.0258887440482595,213348.1174533504
765498.644225825,285517.8223204613,82352.41395371231,2330362.6645615804,7593536.413369071,1758251.7915103496,182317.54661706067,126914.20695214014,5880.835806176299,1026298.0425328136,125307.70186430305,169393.47437933405
641728.8876605723,237964.5201541356,132747.15245187157,2527228.3605525536,427.6235662791463,553342.3748670426,361697.6161841658,17769.379927704384,589.2697350054697,941786.7572396592,191709.40586135065,247493.90242678908
632048.5646486599,190411.21798781,69921.31550467279,18782187.719467063,9658.550018625678,936705.5754174755,541077.6857512709,22150.45561143335,59934946.34669215,857275.4719465042,108277.75675416128,338157.1761199134
1695519.730156743,142857.91582148435,7095.478557474026,1206219.147838633,665226.4156701552,16229.746326578896,720457.755318376,31227.30543627945,14276.471979053733,772764.1866533494,60743.20195232499,428403.0230336887
328012.9728346257,95304.61365515868,25397.671760836613,1078161.2859842342,757.4904393738127,2360619.029334433,18535699.57989712,3749.530015459248,2406701.745552274,688252.9013601947,82367.41919098546,613887.9448428616
17669.849482400554,47751.311488833046,375.89069988964206,1340590.5083187832,7534.055326732388,62508.470195699374,14889232.8317958,19301.48503505796,655456.140839709,603741.6160670399,85859.98882153748,538568.046666678
67920.65377053819,198.00932250741417,57716.0141043325,11053.95026879004,5065.308667560279,124861.47088118592,11242766.08369448,2473.321268678769,539441.59955758,519230.3307738851,143995.83863436617,264690.14489215525
28989.66837055436,788.2230179004813,49531.15547329799,5362886.433355737,2596.562008388169,10.16550462604417,7596299.335593164,51268.79554974828,34818.853640643654,434719.0454807304,172846.5431233422,535029.2552873415
53099.04139228222,1378.4367132935486,41346.29684226347,8453121.754664388,127.815349216061,300159.829740439,3949832.5874918457,7514.769571408143,179598.57857813055,350207.7601875756,161313.31829452128,635237.4533248642
13118.59071468977,1968.650408686616,33161.43821122895,4551479.087846862,97.3237278031558,583765.2148394086,303365.83939052786,4015.885796613126,324378.3035156175,265696.4748944207,434094.994903307,518801.2009870017
55461.87551367582,2558.864104079683,24976.57958019444,1598.0206380946595,66.8321063902506,474115.13674222695,312341.5433959195,2410.433543900834,266926.160369608,181185.1896012661,876819.8507836232,473785.0967880697
110495.58638544314,3149.07779947275,16791.720949159928,1435034.7990962197,36.340484977345405,364465.05864504527,321317.2474013111,2457.0003757565264,795251.9384418827,96673.90430811116,530140.7318487441,623621.7270641604
29458.01783889351,3739.291494865817,8606.862318125408,2464669.607163862,291.75730513284293,59853.99416377637,796468.2180345017,1172.2414162837536,135721.3555468133,12162.619014956528,22111.26369609782,1077568.4577588409
41059.76951073507,4329.505190258884,422.00368709089753,19014530.82368908,105.60238420465824,3594.413480323936,760336.1788043997,18863.510698766127,1406238.2170000006,244750.7620279056,104197.63223554044,912545.2868324916
159354.14448839467,4919.718885651952,15068.511296941668,131132454.16000465,1063.6207331424705,71023.6156710519,724204.1395742976,19448.2391078955,1523204.7366189384,477338.90504085465,711723.176552868,690365.4845897057
