Energy_envelope_Root_amplitude,Energy_envelope_Root_amplitude.1,Energy_envelope_Root_amplitude.2,Energy_envelope_Root_amplitude.3,Energy_envelope_Root_amplitude.4,Energy_envelope_Root_amplitude.5,Energy_envelope_Root_amplitude.6,Energy_envelope_Root_amplitude.7,Energy_envelope_Root_amplitude.8,Energy_envelope_Root_amplitude.9,Energy_envelope_Root_amplitude.10,Energy_envelope_Root_amplitude
1679568.7471531294,5019966.750094878,5705858.511286586,1275426.186767361,9772200.516299425,9061096.626807692,497131.77240542864,5399023.855821211,2388976.3586881,981065.0430325,722400.5376498523,3556909.3210230414
1392817.8584437224,5029161.986472826,5271463.625358039,323284.1992743209,8534280.363209324,22107627.926420365,559621.8662533254,5294965.295378203,2333825.4185103634,912666.7225562172,539736.8231337141,3179130.30747178
1229984.312250336,5038357.222850774,4837068.739429492,857247.3931603042,9831064.705626044,9611268.076502375,622111.9601012222,5235411.185470054,2009190.3602404443,844268.4020799345,387725.12543975865,3432117.03733358
1128848.157342747,5047552.459228723,4402673.8535009455,2277300.703322185,8368908.553880695,6609959.468763253,829066.2704591148,5136228.213208186,949729.1138161276,1786313.7395003568,224682.20402218684,3222365.472749155
960376.8165051556,5056747.695606671,3968278.9675724,4803829.369010126,7608262.022880132,6380097.990662785,1036020.5808170076,4986550.604953334,7663139.541222307,2728359.076920779,213030.8266151688,3216307.9710412896
861906.0137545924,5065942.93198462,3533884.0816438515,3453071.322042802,7299604.174837029,9687187.405573398,1242974.8911749,4795078.173207821,6168318.687943016,3670404.414341201,161804.34050319492,2853394.948775425
758001.054259158,5075138.168362568,3099489.195715305,411704.4239872303,6670983.416077392,9819349.630467432,1449929.2015327928,5091400.5350463865,7026897.082904386,4612449.751761624,128959.7917831368,2576651.3952797246
780622.3311428196,5084333.404740517,2665094.3097867584,638091.8940037788,6900592.129005657,12296636.468079044,1656883.5118906854,4662144.432446947,3968044.6655355226,5554495.089182045,227792.38890616363,2694640.097176983
616423.3213703241,5093528.641118465,2627920.3557930035,1166672.5173062107,8800061.572529372,8503731.314683843,1863837.822248578,4416502.936313372,3012611.533449753,6496540.426602468,245529.4256359188,2584229.431863044
602606.0801661839,5102723.877496414,2590746.4017992485,832499.5254600691,8114678.201838735,7742907.898080816,1637763.1122385706,4046688.398918642,2275883.5537909945,7438585.76402289,408840.28305795393,2490417.011883716
641023.0241537975,5111919.113874362,2553572.4478054936,1145501.1746161357,7106122.21478867,5519862.359884695,1411688.4022285629,3572394.1334813563,1923460.8136930056,8380631.101443312,571349.3928493068,2468113.737351906
592831.7031232744,5121114.350252311,2516398.4938117387,1493874.8966606555,6645847.798752062,4935151.086560966,1185613.6922185554,1602863.2523408688,1930780.5399793887,9322676.438863734,1070094.488022759,2368656.970977691
600363.8236517161,4887478.216287652,2479224.539817984,2881377.76823808,6612135.301973546,4530070.900895073,959538.9822085478,5030597.278980782,1853838.7557411967,10264721.776284156,4713289.20359258,1975535.863496577
655094.3443327466,4653842.082322993,2442050.585824229,6252017.156871034,6178971.075288348,3521805.516201431,1624435.0417818902,4220246.362508769,1885472.758348044,4575230.012794754,2185033.9466760443,2081077.6948922493
690272.4124265589,4420205.948358335,2404876.6318304744,19976026.736744523,6792293.646984609,2806529.6457178225,2289331.1013552328,8911478.045209397,1738560.1525752307,8196383.297974866,615774.1808381624,2113829.05841418
631621.5489376979,4186569.814393676,2367702.6778367194,11538217.442647738,7056939.149027089,1068837.532123133,2954227.160928576,9955410.813498331,1578492.5994494802,30097987.20293568,284384.5369334242,2292437.506688908
615136.8376627348,3952933.680429017,2330528.7238429645,8317582.131010235,6612379.534367178,4114362.9515541154,3619123.220501918,6753403.350059073,1552625.2509338672,20255131.512400143,159280.7496973281,2178169.929328296
738552.1606709816,3719297.54646436,2293354.7698492096,6122444.120470857,7248524.94695525,3020102.45051433,4284019.28007526,3312204.8611177527,1476489.555485872,10412275.821864609,60939.64136269505,2128579.352936948
848228.7017069224,3485661.4124997,2256180.8158554547,4240458.333663655,7545712.906039709,2463042.391439544,4948915.339648603,1807032.1976765308,1470755.7841397154,16851001.494124092,58244.65927243142,2090393.08892476
829444.5769939589,3252025.278535041,2219006.8618617,1926577.410375536,7265737.493425381,2192953.332288711,5613811.399221946,2291605.8894003388,1339921.030643597,23289727.16638358,195571.7691299684,2125276.664705994
779452.5629122278,3018389.1445703823,2181832.907867945,1049635.7285379956,7193107.369762416,1740825.8505644945,6278707.458795289,3597837.010049784,1459995.1320352473,29728452.838643063,299885.4358630295,2022051.4761762896
801962.2636045901,2784753.010605724,2144658.95387419,1089113.0258787405,8785022.052413883,1548731.0308391813,6943603.518368632,4904068.1306992285,1648779.0628786203,36167178.51090256,85474.59988258521,1972973.385633357
782538.2198389748,2551116.876641065,2107484.999880435,754332.2635874389,9825816.87540348,1376200.999673335,7608499.577941974,4004391.1856729,1535207.690200693,42605904.18316203,106928.2744835353,1991712.264102872
752100.9560886925,2521169.1325852503,2070311.04588668,569232.4851349947,10648018.329864584,1114585.044742521,8273395.637515317,4562212.603938404,1577163.6488886962,49044629.85542151,89710.15761010676,1826422.1168099043
749968.0721669499,2491221.388529436,2033137.091892925,773066.1774340856,10223899.367587045,873351.6684180734,7008748.913433627,2870922.606561287,1611976.1345596155,55483355.52768101,230176.47823894152,1597992.1710693515
701741.3953928713,2461273.6444736207,1995963.1378991704,456356.3406554799,8509611.803834854,712940.3231507406,5744102.189351937,1518438.4249184509,1490702.496179008,61922081.19994049,89297.21044066218,1586421.0533942978
708201.9564375201,2431325.9004178056,2081471.729003772,539652.7713176049,7161974.256820289,630621.0855182331,4479455.465270247,2317925.9669058137,1612581.250900536,68360806.87219998,101587.71741374244,1704459.411648332
682992.28352594,2401378.156361991,2166980.320108373,424766.3506394159,7265676.319596264,390926.4519955468,3214808.741188558,5297233.343668927,1541387.7589245574,74799532.54445946,148696.29566838805,1592187.5866868456
646419.6585846767,2371430.412306176,2252488.9112129747,400173.0918986517,7282096.047723966,600006.4208136747,1950162.0171068683,9466319.04347559,1525048.1113018102,81238258.21671894,196014.2422837445,1523416.9125524785
658319.7343119228,2341482.668250361,2337997.502317576,367542.36262697575,6576116.608446538,611430.847249398,685515.2930251779,11121228.114592828,1512672.5143951222,29207992.90570542,249850.71764410625,1553923.6977072663
639164.9968544515,2311534.9241945464,2423506.0934221777,246401.02098511704,6869852.269645221,663225.7479200289,3792498.5391994817,7050652.971594113,1389662.4639529292,20449956.28900644,355805.7228862865,1376926.8503409263
677172.6490969047,2281587.180138732,2509014.684526779,362730.3427899363,6682856.453816679,1092042.3925222978,2169119.0388593627,10142441.37451176,951879.285804256,11691919.672307467,413689.9853918935,1222006.615606937
592858.3520395167,2251639.436082917,2594523.2756313807,800020.7510392666,7389643.830273784,1147981.4082966945,1018721.480504453,8736585.141313555,1662052.2940746015,10192415.520413855,416462.95314030687,1267491.2491188403
656663.6466895654,2221691.692027102,2680031.8667359822,272343.6330256905,7580039.292643248,1024070.0642412744,495559.9525840158,8184758.970748533,1383106.1253490378,8692911.368520249,452086.74396416935,1304844.2779763448
723197.8948171546,2191743.947971287,2765540.457840584,88798.43161529099,6529632.679765534,476941.6336838108,3587274.894389668,8505735.18122444,1225592.1226492836,7193407.216626639,492575.281581412,1302281.2283751252
650753.7619232944,2161796.2039154726,2209318.208667964,57510.27224015053,6082880.382369695,926944.2409632788,6678989.836195321,8491788.944915159,1534212.7201831804,5693903.064733029,576327.8918217795,1322837.795551193
827398.378481837,2131848.459859658,1854081.571035153,104049.96894560433,5879709.861645415,1923104.62965796,6177482.172725582,8856829.184191216,1367668.8905323108,5961073.49430086,694427.5510418608,1521304.8455601677
700385.7566047576,2101900.715803843,1498844.9334023418,188081.3624192954,5925108.677662251,1092295.779146844,4803968.768111987,8365049.222766499,1335194.969795335,6228243.923868691,927216.045418628,1670130.0899336268
789434.7226889906,2071952.971748028,625792.7883950219,383075.3839848942,5949976.156556895,1171488.6366995953,3430455.363498392,11254646.4233368,1337537.8732180763,8039824.051150689,1198193.4761117117,1835862.526532604
706539.863220571,2042005.227692213,7401720.237899345,525946.3161578691,6497997.276159928,3286258.161298029,2056941.958884797,14245379.036123237,1321348.7324701317,16258096.70239544,1480837.3918779856,2020098.2182698008
623517.0545075182,2012057.4836363983,16801625.65072397,535946.4333500635,6838231.521664849,3523689.5959882187,683428.5542712029,18108720.6569597,1321763.3795068692,24476369.35364019,1730086.9004469214,2330141.333609273
569463.4737474172,1982109.739580584,3163516.8569488702,533210.7360514919,6920251.146670843,3838607.003327481,1254951.058260033,15523339.569794564,1363269.741556375,32694642.004884943,1722203.2868917824,2353242.4010545905
558111.6238805166,1952161.995524769,2728511.2438046765,401055.86417058494,5837633.980600208,2348429.4697763445,1826473.562248863,11888790.562028471,1242097.673758196,40912914.656129695,1892441.9662606493,2391140.3483640533
524320.7728933588,1922214.251468954,2293505.6306604827,878487.2214671144,4682987.667607919,1371233.521838552,1367260.5983084494,17149910.254808817,1336052.445613708,33354242.795229565,2519509.2779482496,2412856.5343270926
479570.6850551954,1892266.50741314,1858500.017516289,2546272.598810962,4290049.579966898,1187690.7361173194,9332460.465759786,17153328.995591495,1252111.278663838,15915636.476366866,3930090.9630893297,2603344.736894335
499707.3581403096,1862318.7633573243,936930.6285254644,1275425.0336443791,3567407.3331338745,985897.093769424,3989351.29900383,22248557.60344999,1184347.3397866793,14357857.542918902,4721995.908131174,2459686.1197931203
449665.086099327,1832371.01930151,1011704.4611048832,602582.4764884776,3665773.8473691614,873538.1546349713,3867993.393573804,10995137.870793136,1127944.3711059757,12800078.60947094,8855522.199707076,2618019.636051111
447731.6995505679,1802423.275245695,1086478.2936843017,289107.3889591365,3574538.222963488,7393848.032108415,3746635.488143777,7099023.312247907,1086411.611005037,12683445.629279908,3167339.4089399343,2312818.249214263
432625.1945502423,1772475.5311898803,1161252.1262637204,240422.2642657688,3629440.2902079658,5513475.836046062,4724132.077173657,6012197.706318812,1080688.3457920523,12566812.649088876,5974703.132832274,2304446.3096489864
419336.6356493719,1742527.7871340653,1236025.958843139,324738.4092083029,3705984.0142738335,2000430.1539102115,5701628.666203536,5631349.036872949,1042848.903690206,10867318.339894606,9468074.191593071,2646436.9717466654
404563.3734093336,1712580.0430782507,1310799.7914225578,352582.8428399429,3456977.088096148,1773914.789533061,6679125.255233415,5330202.141150752,984826.0916954608,9424831.070188629,9091123.652177509,2449637.9943661485
391765.0654815589,1682632.299022436,1385573.6240019763,406424.2236396521,2963719.480738486,1271463.193107852,6210560.406117242,5159073.063695916,924854.6738358324,7920526.20191453,7078595.636583635,2456658.085095563
375976.8180770258,1652684.554966621,1394572.873951072,387750.31653247314,2900836.9187351167,1085870.849841746,5741995.557001067,5075298.816015035,854001.7097481517,6416221.333640431,8539655.142673273,2436170.0117264125
355675.4060799058,1622736.8109108063,1407187.0231942553,479352.05659420666,2853055.839147623,1880451.0388137845,5273430.707884893,5017539.847505478,795333.8014209718,14584228.308749966,5162305.797438183,2462675.7054465897
360580.5341576975,1615067.739432883,1419801.1724374385,528974.2609282385,2803619.1147678224,1299793.8198709483,4804865.858768719,4958546.998668215,758373.1514398219,22752235.283859503,3769097.5229619136,2202168.730711507
333665.48821269866,1607398.66795496,1432415.3216806217,838579.2133750257,2921234.11145463,1239852.9978754984,4167184.2165967743,4830309.509364929,758098.6962813578,11340041.32098728,3517538.884476342,2324665.852398104
328447.37375559984,1599729.5964770366,1445029.4709238044,635775.465254711,4017069.920444446,1319849.7295651548,3529502.5744248293,4703743.279131807,674359.9880613533,10573380.915870195,3317040.093482171,2463115.7771232184
303523.98220325046,1592060.5249991133,1457643.6201669876,759414.0183961123,4003238.102493588,843445.5874248821,2891820.932252884,4595942.261482714,623662.7868964286,9806720.510753108,3116541.302488001,2607071.344294085
284316.56092492724,1584391.45352119,1470257.7694101706,869659.2937876991,3521740.963892464,1181772.325539161,2254139.290080939,4486827.052967749,573103.060934142,9040060.105636025,2711525.5302236024,2559955.8578369524
256819.7844253336,1576722.382043267,1482871.9186533538,1175585.3665761482,3269174.913015212,2519516.2686009826,1616457.647908994,4358674.879296686,625383.0575531224,8273399.700518937,2541934.9209181545,2449647.523754146
232186.65724469587,1569053.3105653436,1495486.0678965368,1975247.3423292765,2740288.31876772,1417359.389834906,1965517.5791093311,4193884.866959287,563860.3270744057,7506739.295401851,2372344.311612707,2216433.6056004977
208584.0845597497,1561384.2390874205,1508100.21713972,1842026.924083007,2648049.1104529942,1057274.859107798,2314577.5103096683,4100477.4547267966,528043.6337980508,7361023.711859853,2202753.702307259,2171426.402081977
195578.2902953238,1553715.167609497,1403704.7987072463,1833694.272626864,2671225.4657555777,1366139.003430475,2663637.4415100054,3983853.8309294702,459506.8511071643,7215308.128317854,2101703.095806565,2080341.217188264
191768.5080985168,1546046.096131574,1299309.3802747726,2944459.165634652,2574868.523194739,1697681.513707818,3012697.3727103425,3938458.5378186936,432744.488244169,7069592.544775857,2000652.4893058715,2078102.1778927376
214774.3106972133,1538377.0246536506,1194913.961842299,,2549998.422729034,2131511.590141039,3361757.30391068,3894311.013127994,377844.3644521096,6923876.961233858,1899601.8828051768,1890192.5346686635
179951.32640390488,1530707.9531757273,1178834.563097909,,2519875.758479067,2143017.875729824,3710817.235111017,3849459.950086431,376315.61454858165,6778161.37769186,1798551.2763044836,1978397.399093408
155642.91983758734,1523038.881697804,1162755.1643535194,,2490932.668408896,1575991.4164758304,2820910.3822914828,3816411.499259477,588152.2259873983,6632445.794149863,1388008.928008533,1898042.34291752
181565.32550042417,1515369.810219881,1146675.7656091298,,2488581.842948124,1376860.5845554925,1931003.5294719487,3806855.0804241663,494690.62836879335,6486730.210607864,977466.5797125824,1874783.15112492
187966.340892355,1507700.7387419576,1272043.6302756758,,2175421.945702834,1433272.229422881,2160413.960366997,3842535.070420444,507516.4353775122,6341014.627065866,532125.7910693462,1818173.7068578152
194698.35153999025,1500031.6672640345,1397411.494942222,,1954469.6063990565,1157388.4106667335,2389824.3912620447,3799298.029299932,886110.5321899399,6195299.043523869,302698.52107925364,1695551.389042369
270481.3163046821,1492362.595786111,1522779.359608768,,1727791.6606434782,881078.0971710051,2619234.822157093,3742890.233810024,729040.1346731264,6049583.45998187,387590.19501635,1671352.232613272
224601.3274813302,1484693.524308188,1201910.0162279392,,1691937.4389362785,815918.181126915,953997.8966096052,3651931.141205,649781.5142338402,5903867.876439872,468496.16854787705,1452602.221079198
203999.53243503525,1477024.4528302646,1208955.377668896,,1656962.9354939722,724880.0298811347,838079.1682244344,3938929.456151788,646786.4710353488,5758152.2928978745,1039028.7074380408,1557116.4473830373
188512.4833700189,1469355.3813523413,1216000.7391098526,,1627228.0558343665,814731.2611831065,1056428.2423775657,3996748.846332865,959153.1615506944,5612436.709355876,1427503.6737582271,1764561.138649839
189447.68496488745,1461686.3098744182,1223046.1005508094,,1603413.36590811,906912.7873990318,1062627.5638589547,4066711.380755131,673894.8707395261,5466721.125813878,1751269.1693662654,1586128.180812728
188018.38088611508,1454017.2383964949,1230091.4619917662,,1590865.6416093076,779232.8991149206,1068826.8853403437,4134950.12959464,384341.0644026011,5321005.54227188,3473019.380536542,1545542.0646274576
177171.99625007104,1446348.1669185716,1237136.8234327228,,1477393.665923371,649603.1803459567,1075026.206821733,4063579.9659938137,698509.8236419493,5175289.958729882,6238126.014458407,1604752.6443128828
170497.28027174785,1438679.0954406485,1244182.1848736797,,1447694.6022534438,542769.4464117686,1081225.528303122,3948641.233916092,565279.6578042068,3351829.594860361,31838943.078890946,1535360.870792798
164988.92980513914,1431010.0239627252,1376544.5550895056,,1485378.9833843757,614371.5279635121,1087424.849784511,3936783.3846779247,693634.5586633773,6083821.971755079,26905901.193598963,1733726.4845648226
163060.92432384647,1423340.952484802,5908658.24784867,,1628128.117584748,524572.2265411384,1093624.1712659,3807249.784034809,663115.7588476067,8815814.348649796,23114946.411810808,1658636.7404087195
156841.45459110636,1415671.8810068786,1493294.7123730448,,1622977.1937442694,481025.9324007915,1099823.492747289,3693248.8750085225,529042.7607559214,11547806.725544516,12443437.183953151,1564515.6451217849
149529.0566375335,1408002.8095289553,1433132.7092150704,,1989721.7683324325,391684.2353388161,1106022.814228678,3620404.7257940094,523366.54868046526,14279799.102439232,8078186.407385608,1488453.025371075
149552.89819192555,1400333.7380510322,19843632.66892642,,2189706.372462087,333972.56607853714,1112222.135710067,3535408.2144632647,694792.9253830924,17011791.479333952,6268224.258697584,1481532.1037595822
140393.71334315522,1392664.6665731089,5049366.463902445,,2001376.9256490984,573482.9370498155,1118421.457191456,3335460.563286149,509802.7841999321,19743783.85622867,5434329.206764437,1475018.8580267453
130062.90305222472,1384995.5950951856,8863949.759086035,,2017109.2035561707,577772.5864678832,1124620.778672845,3229922.448029464,444358.4397552089,22475776.233123384,4899247.122189363,1480157.6210559236
130969.00754132212,1377326.5236172625,7955506.744775316,,2042539.3883939465,376864.0884676035,1130820.100154234,3278768.3590999567,424879.73433578765,25207768.610018104,4322508.566491403,1417290.1669279437
117765.63363797938,1369657.4521393392,7047063.730464596,,1973895.6473576848,401337.14064666943,1137019.421635623,3224161.588364879,394119.23370103,27939760.98691282,4385756.221451378,1510348.744499724
113129.34904055468,1361988.380661416,6138620.716153877,,1919961.472091156,303962.5518204728,1143218.7431170123,3170187.176910592,351876.9097793103,20611101.6858748,3865144.030064811,1469250.1384426432
102097.32865858875,1354319.3091834926,5194805.814725228,,1840484.643485109,373819.4376820791,1149418.0645984013,3122590.744175225,297325.3624443782,13282442.38483678,3621671.412403018,1573625.7743453523
112952.3592916591,1346650.2377055692,4460512.649682594,,1875333.093048246,379952.63167326886,1155617.3860797903,2992655.6611652053,253668.3855461589,24731042.93484053,3311799.070101816,1537445.8377049435
111114.0327728809,1338981.1662276462,3726219.4846399617,,1911270.7557100528,266129.9039642248,1161816.7075611793,2869595.7122179987,158601.94701923913,36179643.48484428,3103811.046375616,1492898.8629468018
103997.5643169597,1331312.0947497229,2438160.134290598,,2095501.971028332,303818.448766908,1168016.0290425683,2723768.23025688,280724.2597718878,47628244.034848034,3083726.975125504,1404946.895649718
110815.34723084905,1323643.0232717996,1116802.634594351,,1935739.9283719223,436321.5816901872,1174215.3505239575,2597804.922315036,383884.2248668412,18843375.992822804,3063642.9038753924,1455811.7015305264
115547.45266350672,1315973.9517938765,773528.9655358596,,2650750.837951558,273673.9325095999,1180414.6720053465,2455423.088891841,443879.3524348849,14386036.974381538,2834469.442057786,1428287.396302472
84199.53080559905,1308304.8803159532,430255.296477368,,2898672.704728267,333432.47493363713,1186613.9934867355,2279184.603147622,470135.9901053727,14879487.925635586,2445752.423882146,1375750.671409535
58388.03189002341,1300635.80883803,86981.62741887642,,3084590.6736812205,362415.9067620724,1192813.3149681245,2007091.6452892032,473205.9974322132,14297776.547835622,2731732.349687027,1375304.0100644878
40723.98779332011,1292966.7373601068,1166542.7705306553,,4206296.542921545,593271.0372587087,1199012.6364495135,1721749.4145793212,291553.73204157053,14467155.05637977,3298694.6409593285,1478964.1385168654
123393.01923402945,1285297.6658821837,2246103.9136424344,,6695655.273744632,403965.185363962,1205211.9579309027,1481497.9090055611,414168.0914334696,13557786.172113411,2808061.211872851,1412715.8813173624
384124.2132820296,1277628.5944042602,3325665.0567542133,,,481787.7091787023,1211411.2794122917,1401393.797101685,731649.148757041,13026897.12949512,3058129.658344976,1249490.5825671412
442265.6784655789,1091362.7854886008,4405226.199865992,,,360086.0168617339,4283236.253881622,1622608.334214508,679676.8947847366,11067348.312178755,2827063.3106130096,1173490.2126144932
494921.940861401,905096.9765729416,5484787.342977771,,,426772.21645808296,7355061.228350953,1877338.168833481,536498.6946300643,9938054.838572076,2530181.563516166,1373016.1811970857
618293.62119235,823294.7062798373,6564348.48608955,,,455970.98735847394,10426886.202820284,2241185.210471296,519416.2242193296,9829399.987837411,2308209.437488761,1223554.9796187773
593618.4217503486,553838.7327322671,10244213.437723456,,,433910.5689509369,13498711.177289614,2589702.986707389,502333.7538085947,9444504.021270324,2136728.2963329097,1202633.75127882
711277.2577119877,469171.33727415424,8661973.165874902,,,423498.2771196153,16570536.151758945,2611099.065395585,383355.2839695981,9491864.212445475,1813715.437937007,1315848.9680160044
