Duration_envelope_Mean,Duration_envelope_Mean.1,Duration_envelope_Mean.2,Duration_envelope_Mean.3,Duration_envelope_Mean.4,Duration_envelope_Mean.5,Duration_envelope_Mean.6,Duration_envelope_Mean.7,Duration_envelope_Mean.8,Duration_envelope_Mean.9,Duration_envelope_Mean.10,Duration_envelope_Mean
415.5821014137993,428.9481678246651,756.692956175451,475.1980148904952,422.8396456600928,590.3905704884694,762.1820994410509,472.3102268795639,740.0304376537625,537.9623448704365,664.3620632286683,482.4539423867728
337.44690788765047,552.6790603894008,552.2536210447547,378.863683628668,406.7603415045876,801.2397035074214,412.0637892649376,443.10609943012383,573.9479581487839,551.4250835776096,623.5380027994261,320.4962502742698
468.1317258391544,443.62448922479626,347.8142859140585,433.2502295066224,497.4352566027092,1027.9665269100428,434.8113909733695,389.7820398441724,586.9336292783013,498.5148826530088,827.1150298184974,411.1628930043871
517.6347323887164,424.162163913493,441.5704182614878,462.9329958949956,603.4140134151725,1254.693350312664,674.9623348716823,465.4126938816252,539.9136554445366,445.60468172840814,647.815859796966,465.89769615192967
549.9470426904469,404.6998386021897,535.3265506089172,460.8147751044882,443.7806470920674,965.081806079605,588.7997118395435,446.4583968285379,470.961366434343,392.6944808038074,658.7966186537907,638.0447474741986
544.6499688732162,385.2375132908864,432.337325423978,382.6143299868337,507.22486922237454,675.4702618465459,502.6370888074048,416.2557199286381,701.7257002721439,680.9827890078699,840.8136728068665,677.6519201207389
517.8576532569652,365.7751879795831,493.8713379426868,450.533007095032,570.6690913526817,332.7646696664864,416.474465775266,390.9590677190233,541.8607941618665,669.4324632922621,1022.8307269599424,683.6739490677422
479.407090603677,346.3128626682798,555.4053504613956,456.6169718424455,634.1133134829888,655.4045126447173,363.219194447674,399.95882313007206,568.8739906723338,657.8821375766545,397.3402473506685,659.2358232557597
528.8151762847452,326.8505373569765,616.9393629801044,533.3869912301234,499.01221682558105,557.6210752636678,372.02075112248895,359.4163154175013,595.8871871828011,646.3318118610468,435.6050468834426,640.4625787419255
585.635523721504,307.3882120456732,426.81744588619,793.5070161790661,363.9111201681733,459.8376378826183,380.8223077973039,323.608491881169,310.6789494384111,634.7814861454391,387.4599832303152,619.5077911222688
527.6308725532618,287.9258867343699,446.2496515592453,532.8336907085749,254.20615018584363,412.6506702565053,389.6238644721189,410.1795412795344,735.8462001969508,623.2311604298313,367.7561055944747,671.9447492941373
616.3026548423801,268.4635614230666,465.6818572323005,377.11754458978186,304.0439917051711,232.22785286516924,398.4254211469338,395.67467480054887,585.3523546407794,611.6808347142237,324.65237507887184,653.323296265405
568.9819783112788,249.0012361117633,369.717633139807,297.8488104312834,149.650784293364,226.0374883225808,704.1304384396178,394.0851114889718,900.5305307022257,600.130508998616,330.9293172510942,659.252621245107
426.2389158586136,229.5389108004601,330.12470826326944,586.7999662854393,180.9725238991614,297.44477305018273,673.4984544239269,365.1744207438102,612.9837378954855,588.5801832830083,348.1353217679125,646.9615847765149
