Counts_envelope_Shape_factor,Counts_envelope_Shape_factor.1,Counts_envelope_Shape_factor.2,Counts_envelope_Shape_factor.3,Counts_envelope_Shape_factor.4,Counts_envelope_Shape_factor.5,Counts_envelope_Shape_factor.6,Counts_envelope_Shape_factor.7,Counts_envelope_Shape_factor.8,Counts_envelope_Shape_factor.9,Counts_envelope_Shape_factor.10,Counts_envelope_Shape_factor
1.257262837642147,1.1732584212785164,1.245455750059952,1.2547233306051042,1.243260263107694,1.1941378691181834,2.045380088221568,1.178352501382204,1.0711249188829357,1.091459095983801,1.045196141081232,1.9297581147597287
1.073808095742225,1.0584728923807842,1.197220753752302,1.1637545401826477,1.0105815920009829,1.040306822801887,1.095155030516524,1.0954001267872475,1.0331928946026072,1.0111682726320692,1.050858705035869,1.1127421304009817
1.0596286439785092,1.0923644196847722,1.1489857574446525,1.2020184222365722,1.0064242897485114,1.043260462364266,1.055684691273283,1.0265877926876354,1.035811754704332,1.023207382852636,1.0130792529379469,1.0441567105520726
1.0610301374315343,1.0851859090890126,1.0771304771405277,1.0381423248049853,1.0035515139840705,1.046214101926645,1.055219524593071,1.0328270167620497,1.0488288499061194,1.0352464930732026,1.000285429461231,1.0266156881545527
1.042149678168847,1.0780073984932528,1.0052751968364024,1.1210550481911077,1.0812820013560265,1.0320146118652742,1.048465518484316,1.0099140936447597,1.0974204886611392,1.0472856032937694,1.0002201235781856,1.0152798475268954
1.0446503528432092,1.0708288878974932,1.030429593452479,1.0423672792358405,1.1095268127236526,1.0178151218039035,1.0417115123755611,1.0044925705967311,1.0669238059203685,1.057331442761886,1.051149750475278,1.0129769210931086
1.0531952021736175,1.0636503773017336,1.0275307373344196,1.104003891163979,1.137771624091279,1.0446195529843714,1.0349575062668062,1.0090646656141282,1.0515222853115354,1.0540699983960806,1.1020793773723705,1.008050732791784
1.0560925878606169,1.0564718667059738,1.02463188121636,1.0351602412612813,1.166016435458905,1.1145621385011215,1.0099099221710377,1.0807672191871531,1.031653961059769,1.0508085540302754,1.0000193065312142,1.0061748410610465
1.0440395717050108,1.0492933561102142,1.0217330250983006,1.1157221040735033,1.085249741478097,1.095098654330895,1.0442396039778048,1.047875432975287,1.0117856368080025,1.04754710966447,1.0193914356362526,1.0110127156371809
1.0318122887488277,1.0421148455144549,1.079166537478881,1.0554284197978534,1.004483047497289,1.0756351701606683,1.078569285784572,1.025778191472501,1.0165739896315578,1.0442856652986643,1.0435645478158566,1.014024718781751
