Amplitude_envelope_Root_mean_squared,Amplitude_envelope_Root_mean_squared.1,Amplitude_envelope_Root_mean_squared.2,Amplitude_envelope_Root_mean_squared.3,Amplitude_envelope_Root_mean_squared.4,Amplitude_envelope_Root_mean_squared.5,Amplitude_envelope_Root_mean_squared.6,Amplitude_envelope_Root_mean_squared.7,Amplitude_envelope_Root_mean_squared.8,Amplitude_envelope_Root_mean_squared.9,Amplitude_envelope_Root_mean_squared.10,Amplitude_envelope_Root_mean_squared
79.76850050171385,74.95794323216872,77.59430949637176,77.7571286835403,76.1190703410069,80.07055607275686,80.01001975027995,77.11889379012531,78.66856906553035,82.08405930575614,90.24894206723503,76.5813726429675
80.66814562228775,89.16709406322576,74.6900038957478,80.94234387358527,79.16020008632906,89.4044883491953,80.57846825365642,77.0237972349931,74.60700499363494,83.99187774205309,87.65665702016872,77.65808748906257
88.34867528003566,75.69161812282516,71.78569829512381,77.25725072227186,84.31505562559377,87.9058386220899,84.44393863452326,78.85524021938764,82.31612321894904,82.44128559725112,93.27494197512785,87.97355212311045
89.57851264765083,76.01782776266306,77.37206659215623,84.56945685621795,87.89966357694911,86.40718889498449,87.44224108834861,80.16228909428673,73.91239772785562,80.89069345244914,84.75398198326161,87.39389284980855
91.98564236356664,76.34403740250096,82.95843488918865,80.2191008942546,81.8727117949359,82.06321581692194,85.93678507570722,79.95880142541029,72.26088511268293,79.34010130764717,88.81619598309695,93.16003883525588
92.56065012125929,76.67024704233884,80.41072354702153,82.95018633336798,82.38656132441498,77.71924273885939,84.43132906306583,80.40501670660366,76.89199188284414,83.72693653371851,86.5890652146785,93.95737102679624
90.24803264973916,76.99645668217674,79.09218611830589,79.52522527547485,82.90041085389409,73.34871737584346,82.92587305042444,75.82331731314355,77.2762446556713,83.47627173521676,84.36193444626007,93.82848735394168
87.58251782746567,77.32266632201464,77.77364868959023,80.21029003188782,83.41426038337318,82.413679966472,80.56863180429079,76.89249190373108,76.279967886762,83.22560693671501,75.0892083745703,92.5162168639308
87.81675997200239,77.64887596185254,76.45511126087459,81.05063894923141,82.26345084478825,80.5554218862227,79.2391115754366,77.68985096129754,75.28369111785267,82.97494213821325,80.64643353779583,90.8929188607777
89.96567921978405,77.97508560169044,70.88509344915839,86.00219747660418,81.11264130620334,78.6971638059734,77.90959134658242,73.03423428279768,67.55221920425825,82.72427733971149,77.55109861614746,90.89147759628608
84.81141107035018,78.30129524152834,74.87357549858879,81.68408696017158,77.35156330701956,76.45502803953508,76.58007111772824,73.76361856154449,84.11212954209272,82.47361254120975,76.18861016337077,91.72724164753436
91.13628846230414,78.62750488136624,78.8620575480192,78.19681752216945,76.19591129237482,76.5047005283379,75.25055088887405,74.81960273263327,79.93406256967934,82.22294774270799,74.59183830745694,91.69892808429525
82.01147301584858,78.95371452120412,68.69464879483428,70.05336721741128,75.60711653426259,77.91868676393277,82.43186330948262,73.64879402453333,88.8078766662765,81.97228294420623,74.79698243796206,90.8860882267763
76.10434104630863,79.27992416104202,69.4028055815919,90.4184464418413,75.7730668521226,77.82546981148687,83.353234881572,73.14149904956378,79.35878428340182,81.72161814570448,78.0269142761578,91.0794920649337
74.55044582868726,79.60613380087992,70.18618007183181,89.85047204215772,75.61963035931099,77.37953164543457,84.2746064536614,73.64491973533256,79.76280046685498,81.47095334720272,79.18169076403801,87.54644143064648
73.91927020762738,79.58025756570069,70.77043410170545,78.91933328933382,75.4661938664994,84.12734718293534,85.19597802575079,73.9286789065894,77.72704163854932,81.22028854870096,71.53298366158593,88.7072669852392
73.86287841503047,79.55438133052147,71.35468813157908,83.1070818385542,75.31275737368779,78.30357233490216,86.11734959784019,72.44342819135012,79.23412946690772,80.96962375019922,76.1443868824378,88.0600266882812
73.06946722100692,79.52850509534224,71.93894216145272,84.17013264824325,75.15796656968801,79.43778223185316,87.03872116992957,71.26130892175607,80.74121729526611,80.71895895169746,76.10763840944941,87.56070763788631
73.5654060012767,79.50262886016301,72.52319619132636,101.05264716527876,75.00317576568823,78.48693561374505,87.20446102642971,72.2075516406065,83.54912564516927,80.4682941531957,80.05000474096327,87.5319144192891
77.13267511693142,79.47675262498379,73.1074502212,79.2349722811268,74.84838496168845,77.53608899563693,87.37020088292985,72.23195028550587,74.16993278683687,80.21762935469395,76.37544073642529,88.48058948092155
75.59963883558066,79.45087638980458,73.69170425107363,95.46651534289708,75.55710161058353,86.05860694055009,64.34623102761982,71.62398719009413,63.43039131904184,79.9669645561922,75.60792207219767,88.69380688926611
74.12207204339228,79.42500015462535,74.27595828094726,84.2183115001306,77.30741025773096,75.25044603512504,78.63614805472378,73.5475713781799,80.05996864882796,79.82536128730382,72.36216310295094,88.04563989914325
