Counts_envelope_Mean,Counts_envelope_Mean.1,Counts_envelope_Mean.2,Counts_envelope_Mean.3,Counts_envelope_Mean.4,Counts_envelope_Mean.5,Counts_envelope_Mean.6,Counts_envelope_Mean.7,Counts_envelope_Mean.8,Counts_envelope_Mean.9,Counts_envelope_Mean.10,Counts_envelope_Mean
60.60855328585795,48.47405520102852,88.90161378119849,59.30315258837827,56.411569127961,67.42631838328967,99.24882784851722,55.75446371843333,84.90054285778614,63.869617057050256,88.12309431767004,56.77135410149757
57.174845804042825,78.28662352016347,66.66010834992467,52.676336753273546,64.45254735718916,103.42849227991096,60.26956180853085,58.542259175078605,64.70846524183217,68.0793762277841,84.98444202487302,46.04030308898518
74.10574350345223,62.52549425778019,44.418602918650855,55.9993588454027,78.08545939778774,139.63408750727294,62.7309166205633,53.35598150159206,74.95024137111129,65.69933064883205,110.95352806967418,65.7506634082373
78.45160771182077,60.112892830724384,57.55069529542823,64.95558569791659,84.3103815852048,175.83968273463492,92.16218513239058,62.85342645130222,62.42209313329124,63.31928506987999,86.53695594053266,66.13636005656294
82.71681834382277,57.70029140366858,70.68278767220559,58.01146354058607,51.01887210644721,128.46771739571352,78.59684652036722,62.04063868490243,56.24003164751281,60.93923949092793,90.21309099127598,92.56189953305578
79.48679567219101,55.287689976612775,57.82277221001413,62.89439985130897,65.36817132529139,81.0957520567921,65.03150790834388,54.439621350672574,92.90966376915183,88.49461628596457,108.6097147413995,95.81529754649269
74.40883444904668,52.87508854955697,62.8903333445586,58.99830755980424,79.71747054413555,36.06208145427837,51.46616929632054,46.184284397691954,67.57568924739442,87.46268065810408,127.00633849152302,95.18926934482025
70.01755086671429,50.462487122501166,67.95789447910306,66.38306191234831,94.06676976297972,74.66176538502631,52.16391777014735,49.93951582481639,62.223444168874224,86.43074503024357,64.5518250907844,91.57655940013083
76.76032556961208,48.04988569544536,73.02545561364754,67.93584642091223,71.01881706253768,66.16716772638166,52.07702588750252,53.14890061746242,56.871199090354025,85.39880940238308,60.63993141204266,86.61054523718138
82.36777444187868,45.63728426838955,47.04796461146916,99.04484568401982,47.97086436209565,57.67257006773702,51.99013400485768,39.01061174486991,26.949947409308333,84.36687377452257,54.56549532209327,83.18218441343338
74.0198101026617,43.22468284133375,53.38328370583138,76.80032647099726,35.0775471715687,50.89587045370231,51.90324212221285,45.142982620106125,95.60072814354268,83.33493814666208,50.56244667971766,95.25688752915956
85.76200127278544,40.81208141427794,59.7186028001936,52.57202139003736,41.20003416645962,30.53522657386712,51.81635023956802,46.0108403322803,72.3875349297405,82.30300251880158,44.50856706712963,89.21823676680971
