Duration_envelope_Clearance_factor,Duration_envelope_Clearance_factor.1,Duration_envelope_Clearance_factor.2,Duration_envelope_Clearance_factor.3,Duration_envelope_Clearance_factor.4,Duration_envelope_Clearance_factor.5,Duration_envelope_Clearance_factor.6,Duration_envelope_Clearance_factor.7,Duration_envelope_Clearance_factor.8,Duration_envelope_Clearance_factor.9,Duration_envelope_Clearance_factor.10,Duration_envelope_Clearance_factor
9.925883558560706,3.875330373077549,5.138399303523856,6.940118775043994,7.236203231993121,4.033159845540725,22.84254381223989,7.381828635687645,1.9510025498416472,2.0742541624466004,1.9200367427062253,24.69202400007984
3.3341095210132083,1.544979963060175,3.4505049731974893,2.736875806689149,1.1937513434474845,1.4701118850423638,2.348523506875395,2.275588341328209,1.2484671962830078,1.0765210211739795,1.889618756087056,2.851533775790438
2.34627679096877,1.5393019284323588,1.7626106428711217,4.844193060619141,1.1556727193868184,1.4808925966772015,1.5583197933598951,2.1295581883694754,1.21106918273821,1.25781154970652,1.087263575026628,1.778832635555008
3.539695401565391,1.529477349796394,1.4245094269529637,1.3023981283618653,1.3052382313655964,1.4916733083120397,1.474869506821212,5.551631024902616,1.1712133892901933,1.4391020782390604,1.0074268035162048,3.829624320572604
2.397949143126637,1.5196527711604293,1.086408211034806,1.8154527324865448,1.5252477142296217,1.3145092959826408,1.438298832383029,1.8731842775018752,1.167342460572764,1.6203926067716008,1.1819475776872834,1.937494966451736
1.8174157347798103,1.5098281925244643,1.2521752569467215,1.1902618285385438,1.5947195756438637,1.1373452836532418,1.4017281579448462,1.1562879905096073,1.36786743416815,1.199267852929508,1.6694184309122164,1.980031290408871
2.004705612920286,1.5000036138884998,1.2273546048457102,2.1612724322352603,1.664191437058106,1.39095440083138,1.365157483506663,1.219276054585595,1.3312979378063134,1.2013222870494968,2.1568892841371494,1.8157928451047456
3.0599218440371185,1.490179035252535,1.2025339527446988,1.7184395456134196,1.733663298472348,1.7483079966272717,1.129109078784282,2.3140935597467887,1.223183460297775,1.2033767211694857,1.0537604655074375,1.809348591113339
2.053315615850904,1.48035445661657,1.1777133006436875,2.1190831619435584,1.4231687535360615,1.543524702592853,1.2964457864508392,1.3792462911942711,1.1150689827892364,1.2054311552894743,2.085912330225036,1.9487249134335312
2.0969943594758376,1.4705298779806053,1.3915871798514885,1.5232303302705796,1.1126742085997752,1.3387414085584337,1.4637824941173965,1.671703785913016,1.1243863660185096,1.2074855894094634,1.6490130521301136,2.069515141309929
1.6528886099259574,1.4607052993446406,1.311218119498323,2.612811303473084,1.11793567883673,3.1856071541404463,1.631119201783954,1.6775315804047235,2.925236586437056,1.2095400235294522,1.8697267522598853,1.9625099821159773
1.9085975570186104,1.4508807207086758,1.2308490591451575,2.0937961128282896,2.34992276896754,2.9501507041133883,1.7984559094505113,1.988035713919611,1.2484994075990483,1.211594457649441,1.91684360948918,2.551191237440249
1.8019913727356505,1.441056142072711,1.1588751907570334,1.6920677072408783,1.144716355935654,5.317590524913296,2.4966611479814302,1.4888898397185837,1.3301337920463536,1.21364889176943,1.8785851818277648,2.2208017642368043
