Counts_envelope_Central_moment_3rd_order,Counts_envelope_Central_moment_3rd_order.1,Counts_envelope_Central_moment_3rd_order.2,Counts_envelope_Central_moment_3rd_order.3,Counts_envelope_Central_moment_3rd_order.4,Counts_envelope_Central_moment_3rd_order.5,Counts_envelope_Central_moment_3rd_order.6,Counts_envelope_Central_moment_3rd_order.7,Counts_envelope_Central_moment_3rd_order.8,Counts_envelope_Central_moment_3rd_order.9,Counts_envelope_Central_moment_3rd_order.10,Counts_envelope_Central_moment_3rd_order
385145.8891531869,44628.20571150051,757927.7111226296,220695.2306685309,135112.15874411995,226625.2546970696,33402680.28548033,129777.97317093858,21270.368008134286,3170.7073717145004,1127.7767009993474,7595756.962398404
15322.678559203549,204.51548408238577,378326.708371266,20341.847817651767,-930.7082925212808,-4257.208939056018,14661.830481021154,4664.159211321797,-770.5739683900774,-370.4924929430375,-1622.9234276526286,12644.5157184166
9372.707699074635,0.0,-1274.2943800975918,93624.60625331494,0.0,53739.88106928,1514.080198667888,-1057.3994690097709,-5685.652219278512,-1765.0269458877929,0.0,-1041.9559726430914
-2287.2572681228344,-6.2172489379008774e-15,-637.1471900487959,-1820.357958152564,319.43290464077137,111736.97107761604,3411.599079944572,22016.255385731623,-5303.715795076131,-3159.5613988325485,9.059419880941277e-14,4584.780950781238
-4623.981782191631,-1.2434497875801756e-14,0.0,-5123.426246345476,-2.7284841053187847e-12,55868.48553880802,1857.743857805484,-219.12563096940067,-8795.782405934811,-4554.095851777303,0.0,-8676.870188222552
-10697.1227610906,-1.8651746813702643e-14,0.0,1626.0966194512669,-25693.020245556025,5.002220859751105e-12,303.88863566639566,-442.7405182343082,1.091393642127514e-11,-19796.751147756604,88818.62258690324,-10522.647861580592
-10356.388833955569,-2.486899575160352e-14,-748.7243633827317,11308.60926467831,-51386.04049111204,-6.821210263296962e-13,-1249.9665864726924,675.4782517346662,-6853.914144049411,-18450.824861673987,177637.24517380647,-4600.164436307239
-6166.26589153797,-3.10862446895044e-14,-1497.448726765463,1347.533164463283,-77079.06073666806,15814.263132118114,0.0,11210.445316076211,-3426.957072024706,-17104.898575591375,3.427813588530171e-15,-2823.8133890520853
-9048.08358005759,-3.730349362740527e-14,-2246.173090148195,12312.52470776342,-38539.53036833403,5990.24332297621,2.273736754432321e-12,104.18663609406508,-7.958078640513122e-13,-15758.972289508758,146.83134782521688,-2055.188637297999
-9403.091663294968,-4.352074256530614e-14,3.637978807091713e-12,18025.884649554213,2.2026824808563106e-13,-3833.776486165693,4.547473508864641e-12,577.9031936208169,0.0,-14413.04600342614,-1785.7151203974531,-1658.5923306537018
-5636.79966896466,-4.973799150320703e-14,201.6584386881036,143313.87025602546,421.3675610581615,6319.569871916033,6.821210263296962e-12,472.81270602853766,288595.3271395132,-13067.119717343525,126.0688440680646,-3725.7140405838254
-19367.02527466925,-5.5955240441107896e-14,403.3168773762034,-44.73219950227927,9372.7867963937,428.9507022420475,9.094947017729282e-12,539.2403143382863,61.89196126016042,-11721.19343126091,-685.7036445126163,-2369.0043676986743
5027.832262192721,-6.217248937900879e-14,513.0314190066573,-3911.539908660716,-41.35560420315259,22084.692561578748,136637.4247254335,42.50107773896737,-23553.07714336593,-10375.267145178295,-1528.8854685829704,-2317.279347947792
177.5845130912964,-6.838973831690968e-14,-11.3758500554448,1735.504961598439,-299.573909815934,1547.9291394038792,109465.39384857177,-94.90668658739442,5664.056094331633,-9029.34085909568,-1495.920812196227,1081.0676881468817
1266.255246019211,-7.460698725481053e-14,-1036.6115850956444,2.273736754432321e-12,-199.7159398772893,2870.9729613464083,82293.36297171004,-32.57618533205579,11840.470308954516,-7683.414573013062,-742.2667960397906,731.9266688538128
