Duration_envelope_Root_amplitude,Duration_envelope_Root_amplitude.1,Duration_envelope_Root_amplitude.2,Duration_envelope_Root_amplitude.3,Duration_envelope_Root_amplitude.4,Duration_envelope_Root_amplitude.5,Duration_envelope_Root_amplitude.6,Duration_envelope_Root_amplitude.7,Duration_envelope_Root_amplitude.8,Duration_envelope_Root_amplitude.9,Duration_envelope_Root_amplitude.10,Duration_envelope_Root_amplitude
360.8840870091966,395.0198577640367,681.3981766939503,416.8527294551855,353.59888681201625,541.1445510255224,569.6904978764018,437.21021330473,720.4509722162937,510.6073676536249,646.7612751751769,406.62583243651534
320.24073597171787,530.5873504016259,504.4389028078826,349.2250873457841,405.1182369085872,786.2113746442092,393.2148132693719,420.19195854686495,570.1514763486666,550.0167929265154,602.1374644586336,297.9748830574424
446.47726121139374,419.3326395332163,327.47962892181505,390.5120997701799,494.6511965730976,1004.9601784130448,420.7957843460819,383.9387369457687,577.8578066491463,491.61309629509503,825.6083440567814,401.7415641497761
493.65093835863513,401.2707995375957,430.9248131323559,454.6054111115639,596.9432403871228,1223.7089821818804,658.0892302576741,458.998037825965,534.6088848318649,433.2093996636746,647.8069599764091,458.7542002003731
535.9874842274027,383.2089595419752,534.3699973428968,433.8316364860927,420.55374860407,948.1042547893252,575.3631543983272,445.1361923401897,468.1195307900322,374.8057030322542,653.8279654632507,628.591416267474
529.3870474235276,365.1471195463546,426.2998469396599,380.73672140922633,477.1022369562496,672.4995273967697,492.6370785389802,415.09120864210814,682.1148071040229,669.8996350922619,801.302393634588,670.4662775019343
501.3175214875615,347.085279550734,488.0300703966514,430.1712831600301,533.6507253084292,322.3902160224048,409.91100267963327,390.72399790523656,529.5295757666955,658.8725580474286,948.7768218059252,679.9910816224657
463.4537918919464,329.02343955511344,549.7602938536429,443.7894671282605,590.1992136606088,625.0910371743166,361.8015872029373,383.9976582421269,561.7780033159772,647.8454810025953,397.0608143462295,656.6717944353072
515.5783418156163,310.96159955949287,611.4905173106343,507.1867016890073,476.5097141604747,537.7119414027335,360.5781739522453,351.92849148380554,594.026430865259,636.818403957762,431.9101639315733,636.7408181027055
575.4387558923734,292.8997595638723,413.4721721451665,772.8913152646933,362.8202146603405,450.3328456311504,359.35476070155335,320.0601641753464,309.5507480786733,625.7913269129288,379.6303369436018,615.0846700743822
514.4992778611283,274.8379195682517,438.1905687113947,500.1800598028189,253.33006448607853,399.2241076155701,358.13134745086137,408.6760153597469,682.6560083242903,614.7642498680955,359.9778475582838,666.9540696233398
600.1460848221568,256.77607957263115,462.9089652776228,348.25977727800785,274.9801469334638,226.81485276385368,356.9079342001694,395.0477982844462,582.6482097924096,603.7371728232622,316.99949186249034,646.4039403229633
