RMS_envelope_Shape_factor,RMS_envelope_Shape_factor.1,RMS_envelope_Shape_factor.2,RMS_envelope_Shape_factor.3,RMS_envelope_Shape_factor.4,RMS_envelope_Shape_factor.5,RMS_envelope_Shape_factor.6,RMS_envelope_Shape_factor.7,RMS_envelope_Shape_factor.8,RMS_envelope_Shape_factor.9,RMS_envelope_Shape_factor.10,RMS_envelope_Shape_factor
1.0823429125799044,1.0626046120501895,1.1392362787825785,1.2195956237711496,1.023021357744833,1.0559502997217474,1.0271464895085975,1.027840530420798,1.0240566229076158,1.0115497381210703,1.0241673473218746,1.0807650228863754
1.0109490808444874,1.0163513086238551,1.0822929038968645,1.0774078676675354,1.0002462204091602,1.0024983330311643,1.0014477679046274,1.0054814484437378,1.001260142819961,1.0006321799378532,1.0020223122225271,1.0299470407023703
1.006187832051915,1.001863188889511,1.0253495290111505,1.031758427525584,1.0006003912104815,1.0072536664230414,1.000837204681766,1.0021669318894555,1.000087423459055,1.0004236515238318,1.0004792691398785,1.0151562902385134
1.008205138868134,1.0018874434652627,1.0200907815330686,1.0017523853393493,1.0003723172583785,1.0120089998149184,1.0000618773915486,1.0030620113737534,1.0000449729145204,1.0002151231098106,1.000344767251376,1.0037685387208506
1.002583913747656,1.0019116980410143,1.0148320340549868,1.0016459225897998,1.0021296455339093,1.007710983920769,1.0014403161071748,1.0029985767856862,1.000020401863974,1.0000065946957892,1.000125004443894,1.0060716069263935
1.0043461400974012,1.001935952616766,1.0000007434824487,1.0018143086256797,1.0014976824256812,1.0034129680266195,1.002818754822801,1.0011870831762126,1.0001143010928466,1.00123443552036,1.000846632272591,1.0051864550188958
1.0034014224378618,1.0019602071925175,1.0040284473152647,1.0023585036497953,1.0008657193174528,1.0012642651879071,1.004197193538427,1.0016003204512156,1.002083082557037,1.0011535511639682,1.001568260101288,1.00542512431301
1.0040577235170267,1.0019844617682692,1.0080561511480808,1.002877660984722,1.0002337562092247,1.0247111678308944,1.0075093289196937,1.0052892907260458,1.010039239649044,1.001072666807577,1.0000003625061866,1.0079593413952392
1.0023140617226636,1.0020087163440208,1.0120838549808968,1.0058492716999434,1.0001186033530725,1.025788689193095,1.005632052485988,1.0038157848612232,1.0179953967410509,1.000991782451185,1.0092411654113194,1.010842174271618
1.002278531788875,1.0020329709197724,1.0257399274954524,1.0072527232804909,1.0000034504969204,1.0268662105552957,1.0037547760522822,1.001162193851422,1.004031919772161,1.0009108980947932,1.006387850287277,1.010199282023574
1.005890100767456,1.002057225495524,1.0216775947413534,1.008254789340125,1.000429210029517,1.0186318551339582,1.0018774996185766,1.0014662294713503,1.0198228633602218,1.0008300137384014,1.015827421953135,1.0080594542733252
1.0026947308024303,1.0020814800712756,1.0176152619872547,1.0185634199562483,1.0007238570935486,1.0098864510233716,1.000000223184871,1.002052997062723,1.0013250589052731,1.00074912938201,1.0047699980507263,1.0063231409705264
1.0138551087615602,1.0021057346470272,1.0435802067523128,1.010150763830636,1.0005092560522992,1.0034472016379183,1.003144118089188,1.0009161393231978,1.0013443573669525,1.000668245025618,1.0181669350951636,1.0070836018680305
1.0033946934312747,1.0021299892227788,1.0293303424979166,1.0014354026354473,1.0007916345013954,1.0141577278519374,1.0026403488591764,1.002638713043704,1.0061289826436877,1.0005873606692264,1.0381344618015644,1.0081714479608996
1.0040212891560023,1.0021542437985305,1.0292083475476648,1.0032550947871286,1.000551921017271,1.0144418809722755,1.002136579629165,1.0027806513413786,1.000972611997356,1.0005064763128346,1.0407924934364512,1.0112621915762356
1.0053271655386788,1.001972717053055,1.0314685996283877,1.0107686983523565,1.0003122075331463,1.0000820893832547,1.0016328103991534,1.0030388995851351,1.006375717533649,1.000425591956443,1.0153320872647926,1.0181127132876333
1.0186628589314883,1.0017911903075796,1.0337288517091106,1.0043565826458305,1.0000724940490222,1.0049503432761404,1.001129041169142,1.0044445453905495,1.005683995619782,1.0003447076000511,1.0166373986398336,1.012402491663575
1.004148710448328,1.001609663562104,1.0359891037898334,1.011525082433791,1.0003429401334885,1.040864816867353,1.0006252719391304,1.0028459901220088,1.0049922737059154,1.0002638232436596,1.010474359219252,1.0138389488385384
1.004150244173278,1.0014281368166285,1.0382493558705566,1.0391286097565615,1.0006133862179547,1.021759761271356,1.0004387119595242,1.0026600313412042,1.0016596063039849,1.0001829388872678,1.0070267411841138,1.0115861140036055
1.005294259826621,1.001246610071153,1.0405096079512794,1.0065386801182594,1.000883832302421,1.002654705675359,1.000252151979918,1.0041040549313804,1.0053644150599323,1.0001020545308763,1.0377647706108024,1.0126263261344184
1.0101989504346294,1.0010650833256776,1.0427698600320023,1.0093912638015077,1.0001960942126018,1.0199234826652548,1.000584011766158,1.007599933690213,1.000007513277021,1.0000211701744846,1.0014344864820628,1.0151338287340337
1.0024094132340908,1.000883556580202,1.0450301121127252,1.0619906471559364,1.000162036350652,1.07378261053855,1.000760660341251,1.0042656997612185,1.0006923385398647,1.0004445994112845,1.0094779657549962,1.0145619468861282
1.0079694167941269,1.000702029834727,1.040541216978211,1.019959333933915,1.000222833565587,1.009557073815525,1.0009373089163445,1.0162493702225002,1.0043073728294498,1.000868028648084,1.0202407215636562,1.013885396599716
