RMS_envelope_Central_moment_3rd_order,RMS_envelope_Central_moment_3rd_order.1,RMS_envelope_Central_moment_3rd_order.2,RMS_envelope_Central_moment_3rd_order.3,RMS_envelope_Central_moment_3rd_order.4,RMS_envelope_Central_moment_3rd_order.5,RMS_envelope_Central_moment_3rd_order.6,RMS_envelope_Central_moment_3rd_order.7,RMS_envelope_Central_moment_3rd_order.8,RMS_envelope_Central_moment_3rd_order.9,RMS_envelope_Central_moment_3rd_order.10,RMS_envelope_Central_moment_3rd_order
80059.30097347658,19977.974378006034,90949.796296129,43142.14918782231,8615.784068751558,32004.097985070293,11378.161094350451,27042.37359659962,19829.514315882578,28187.681649994927,25623.02706319611,15450.669036867635
-742.3509631595174,4219.044873210477,45364.52703656936,1359.3035243825325,4.4899944508589815,117.93931728818522,40.3973545628899,-740.5712026686743,50.59976276410368,12.7099460533736,72.53068741986938,2493.192936934191
-2801.2608645601063,0.0,-220.74222299029253,750.3842069894145,3.552713678800501e-13,9.455618724958754,3.9946154733493366,-191.2475582123137,1.2648862419884157,8.510714087563443,1.7053025658242404e-13,-497.3219176815777
-3498.5773676217627,-1.213843840256838e-14,-110.37111149514628,12.279269370481222,-16.61064686958918,-99.02807983826771,0.0568782969456975,453.8074396915692,-0.4050247497521071,4.311482121753285,-1.0835776720341529e-13,-31.08918068307209
-572.6449316143647,-2.427687680513676e-14,0.0,-6.930975000889699,0.0,-49.51403991913372,-9.779326990051665,34.57783945581014,0.1231029380256494,0.1122501559431273,0.0,-142.53145538922
-77.68762892955749,-3.641531520770514e-14,0.0,-6.41194366437297,-3.093487055341076,2.700062395888381e-13,-19.615532277049024,0.761196195137107,0.0,198.40114176658383,7.564628375642741,-87.97181232490333
-338.765943199926,-4.855375361027352e-14,-28.68099144672635,-10.341013742721366,-6.186974110682152,0.0,-29.451737564046383,12.716645036062424,82.63418454677903,185.1361707368235,15.129256751285482,11.101247434960658
-234.3871671555619,-6.06921920128419e-14,-57.3619828934527,6.809026339183583,-9.280461166023228,520.8888796166702,0.0,-135.0922182947246,41.317092273391786,171.87119970706317,6.675974877079494e-17,-53.91084671117731
-239.9307111793673,-7.283063041541028e-14,-86.04297434017904,-112.99211410759034,-4.640230583011613,5.766374944988684,-1.0272815584300156e-17,1.0148410195840256,4.547473508864641e-12,158.60622867730282,-145.47906122307947,-185.12935645473505
-47.73905664081629,-8.496906881797866e-14,3.1263880373444413e-13,513.9544927091538,1.7555401576885288e-15,-509.35612972669287,-2.054563116860031e-17,-3.8197275319323065,-1.3642420526593924e-12,145.34125764754248,-27.77183429290628,-228.1857788993362
-744.2190533560345,-9.710750722054705e-14,34.29411192559335,762.5319518426314,-18.29551593992309,8198.161991818144,-3.0818446752900464e-17,17.401375799968896,-10326.76277290222,132.07628661778213,646.1733724586455,-39.02344089200786
-262.17539476437344,-1.0924594562311545e-13,68.58822385118638,822.9799507774029,-51.23390454974847,468.2440256017257,-4.109126233720062e-17,12.84509989977523,10.188466867808426,118.8113155880218,-188.6202383934048,-133.50697343907666
-313.1537221682221,-1.213843840256838e-13,-706.7997197421813,958.0365195071852,23.211563250644264,-12.518110790997987,223.43885911222472,3.1715935659167926,42.27340886712008,105.54634455826148,-1397.8206259672418,-11.309992845677536
57.49223386902655,-1.335228224282522e-13,112.91145080898964,42.35235547339583,-41.82323383113695,-345.01810351768506,179.2250023929189,2.466207507925237,-150.2472269313629,92.28137352850112,-17.07054750229917,93.23912471751878
22.529883513005952,-1.4566126083082056e-13,156.22879490695505,0.0,-27.88215588742464,-112.95905159977627,135.0111456736131,17.773336120762448,2.6571909719730105,79.01640249874077,971.4756424220068,76.9299333147746
69.90041222167511,-1.3116780389116852e-13,-3.3171329415368405,66.76197515773467,-13.94107794371232,0.0,90.79728895430728,15.120933514385325,310.6801001012137,65.75143146898043,-202.59557666706272,256.3035603397926
-2503.513364119791,-1.1667434695151646e-13,-162.86306079002873,-140.5075588910251,0.0,-88.29308660762041,46.58343223500148,42.96387066352926,128.33713157257506,52.48646043922011,142.32170581558188,208.842847350212
-467.285401374156,-1.0218089001186445e-13,-322.4089886385206,-520.0769655841285,-7.111944312495864,1164.332891361883,2.3695755156956806,17.290039550855543,-54.00583695606363,39.22148940945976,-365.1104824273843,281.9542452730534
-180.4644458353204,-8.768743307221238e-14,-481.9549164870125,-6.366462912410498e-12,-14.223888624991728,581.1578756792476,0.0852635169620845,19.65370698177553,88.92722552236233,25.956518379699418,-73.83514783187654,228.236384892982
