Energy_envelope_Central_moment_5th_order,Energy_envelope_Central_moment_5th_order.1,Energy_envelope_Central_moment_5th_order.2,Energy_envelope_Central_moment_5th_order.3,Energy_envelope_Central_moment_5th_order.4,Energy_envelope_Central_moment_5th_order.5,Energy_envelope_Central_moment_5th_order.6,Energy_envelope_Central_moment_5th_order.7,Energy_envelope_Central_moment_5th_order.8,Energy_envelope_Central_moment_5th_order.9,Energy_envelope_Central_moment_5th_order.10,Energy_envelope_Central_moment_5th_order
2.8592247948030358e+38,2.2941535214866704e+36,1.4610022759005089e+38,7.70728786834849e+37,4.898382518875198e+32,4.785755992615401e+36,1.0465321276436636e+40,7.815647623735248e+36,2.3109725783918444e+37,5.527716917269063e+36,2.0856902381233875e+37,4.147239970626911e+37
4.440440551924424e+35,4.0099254219739664e+34,7.305011263146786e+37,2.472476546877059e+36,2.0842822889177224e+29,1.9418563925811365e+36,1.8946245194057727e+36,5.04278532080277e+35,1.7907197782383358e+31,6.140926344116116e+26,3.173006582935978e+35,1.1805443746817995e+35
2.863835389671924e+35,0.0,-2.327115166594394e+30,4.9642698160645125e+35,0.0,1.5229538766937443e+36,6.721760202038562e+33,-7.842310085465832e+32,-4.559398419893419e+29,2.143695572598801e+29,0.0,9.514624141028016e+30
6.133504721071527e+35,0.0,-1.163557583297197e+30,-3.964812198188217e+29,4.864969576603431e+30,1.1040513608063518e+36,3.129259984137468e+35,5.4455568836816515e+38,7.943367439292212e+28,4.281250218853486e+29,52226802319360.0,2.516749037347901e+36
6.714789076815749e+35,0.0,0.0,6.179433592940724e+28,0.0,5.520256804031759e+35,2.086162555997073e+35,1.1330806781602849e+34,-2.4385750779353287e+27,6.418804865108171e+29,0.0,8.33237387295096e+32
1.5976289847371142e+34,0.0,-14293651161088.0,-9.466554864404507e+29,-7.630028219134057e+31,1.4411518807585587e+18,1.043065127856678e+35,-4.010613314992671e+27,6047313952768.0,-1.5796796769964248e+27,8.336290574935253e+33,-7.399159062245767e+32
2.8483412316797464e+34,0.0,3.6111741458714336e+29,-1.2436819931821894e+32,-1.5260056438268111e+32,0.0,-3.23002837167689e+30,9.474792336536092e+27,-9.619817471637652e+29,3.0573351752354457e+26,1.6672581149870506e+34,3.8890854255730855e+33
1.410602568073565e+33,0.0,7.222348291742867e+29,-8.406017252049487e+29,-2.289008465740217e+32,2.590539499727469e+36,1.2610078956637389e+17,1.990335826652465e+32,-4.809908735818826e+29,2.191146712043514e+27,-2.3643898043695104e+16,9.734654127441264e+31
4.011372567576097e+33,0.0,1.08335224376143e+30,1.429461183292669e+35,-1.1445042328701084e+32,1.2953451358053018e+36,-2.757554051838955e+19,3.9142318981969634e+28,0.0,4.076559906563483e+27,4.633072907607955e+31,5.270554133054118e+32
6.193180622549917e+33,0.0,0.0,2.5344881747875085e+35,-40681930227712.0,1.5077188313466797e+32,-5.527718182634548e+19,1.573894155538161e+27,0.0,5.961973101083453e+27,-6.645914800076784e+26,4.454557312863512e+32
2.10880909503066e+33,0.0,-1.71626426194656e+29,9.196794144307984e+37,2.8999217307433344e+28,7.985876874920047e+37,-8.29788231343014e+19,-4.236481350926043e+29,7.093665372969862e+37,7.847386295603423e+27,3.875579537508371e+31,8.737158953481408e+32
1.4292990107318875e+34,0.0,-3.43252852389312e+29,-7.526709266966317e+30,9.523653220845592e+26,-5.072386867764392e+28,-1.1068046444225733e+20,3.689803555064638e+29,-1.158157508176872e+31,9.73279949012339e+27,7.591086648763838e+24,3.877164726439393e+33
2.58879306588044e+33,0.0,8.193030466438736e+29,-1.6689785051810618e+30,1.3888751152608812e+27,1.456638267241308e+30,1.1805679637062135e+39,7.366746659377057e+27,-1.949162023042869e+33,1.161821268464336e+28,-2.285312110903992e+25,8.932535195523897e+33
1.2551721751805935e+27,0.0,-2.066210471568225e+30,8.476786995000189e+37,2.768219617223432e+27,-2.5412654264136385e+27,9.444557699628926e+38,-2.316874313420149e+27,1.3157717877211204e+33,1.350362587916333e+28,1.099683670854366e+26,1.2452556762469254e+34
4.407381383467012e+28,0.0,-2.372779176704061e+29,-2.8823037615171174e+18,1.8454797448156216e+27,2.04773982915414e+28,7.083435762195712e+38,-4.713040820989441e+25,-8.35420632166074e+30,1.53890390736833e+28,1.902144176152576e+28,4.434540365230319e+32
4.852323282144278e+29,-2798756870702.5454,2.114727019151932e+31,1.1884053017689236e+34,9.227398724078108e+26,0.0,4.7223138247624976e+38,1.1733262980092932e+29,2.1883449422663005e+28,1.727445226820327e+28,3.234411989906357e+31,7.971501758361942e+32
4.836291375977827e+25,-5597513741405.091,4.253181830070903e+31,7.988359586313302e+34,0.0,-1.1629487473011332e+28,2.3611918873292865e+38,1.927722595733116e+23,-9.319714413604888e+28,1.915986546272324e+28,-7.119401386602583e+25,4.347157644946317e+32
-5.471720329557417e+26,-8396270612107.637,6.391636640989876e+31,8.458024195055778e+37,3.996615599767859e+26,1.500531573219124e+28,6.994989607410612e+33,2.052535923832028e+23,-2.082777376947608e+29,2.1045278657243205e+28,1.4880361555642076e+29,1.578651149084276e+32
-8.985883514050898e+28,-11195027482810.182,8.530091451908848e+31,8.34573305947095e+16,7.993231199535719e+26,9.775026323470348e+28,-9.661437508701274e+33,1.8502230191355004e+24,6.0609851504041535e+29,2.293069185176317e+28,1.6712931879563917e+37,9.935650166087942e+31
