RMS_envelope_Central_moment_5th_order,RMS_envelope_Central_moment_5th_order.1,RMS_envelope_Central_moment_5th_order.2,RMS_envelope_Central_moment_5th_order.3,RMS_envelope_Central_moment_5th_order.4,RMS_envelope_Central_moment_5th_order.5,RMS_envelope_Central_moment_5th_order.6,RMS_envelope_Central_moment_5th_order.7,RMS_envelope_Central_moment_5th_order.8,RMS_envelope_Central_moment_5th_order.9,RMS_envelope_Central_moment_5th_order.10,RMS_envelope_Central_moment_5th_order
960415709.4623286,186387653.38377923,1190863226.8228369,396021486.6703711,75245018.42570713,352709644.3213968,94841135.8809557,193912410.54876864,320166248.4270437,194039939.74812835,183828963.02691373,83266389.49540281
-985393.8130704198,4176525.217258611,595411067.8601397,846062.5020992005,107.9246489814304,12648.889272739289,4555.283111533209,-839404.1289066193,7222.711039629037,1041.2963656074264,19690.270361014424,4471848.069266851
-7159234.700466891,0.0,-41091.10255730203,552491.4738471656,9.77706804405898e-12,-1751.6802784918873,27.47469246317208,-173648.2030095311,4.842270005007592,694.2393175635177,2.245315045001917e-12,-386222.0984053213
-6811802.548378403,-2.652692880171041e-13,-20545.55127865101,280.36889790650383,-510.38020355384987,-16152.249829723063,0.1054574067569438,1009786.43797584,-0.6993789977053932,347.1822695196089,-9.237055564881302e-13,-14321.441221169498
-847857.6726758452,-5.305385760342082e-13,0.0,-132.70959339637415,0.0,-8076.124914861526,-1653.381650200089,5926.056939694362,0.0965896008275387,0.1252214757001606,0.0,-58327.41008391412
-137826.53300524494,-7.958078640513122e-13,0.0,-149.1945904605509,-46.90209333629189,1.1368683772161605e-11,-3306.868757806935,55.67735427558456,0.0,31375.54732328125,420.83038040520887,-57278.828802321084
-386088.44724862825,-1.0610771520684163e-12,-1760.8083176670557,-810.7659769982614,-93.80418667258378,0.0,-4960.355865413781,1697.9857470794177,8035.661010119417,29283.76029699455,841.6607608104177,-561.208388183799
-170763.5819314894,-1.3263464400855205e-12,-3521.616635334111,48.861486768900704,-140.70628000887567,322280.2976289846,0.0,-51535.31683019132,4017.830505060524,27191.97327070785,3.485011182359412e-19,-41897.58022603752
-236630.9352803265,-1.5916157281026244e-12,-5282.424953001167,-22474.73515018952,-70.35314000443783,109801.64456805692,-3.301112388576623e-20,-665.6987341909507,1.629814505577087e-09,25100.18624442115,-55292.18416605205,-55200.1888508439
-34027.70012954861,-1.8568850161197288e-12,2.7284841053187847e-11,153878.02131520392,2.411265631607762e-16,-102677.00849287077,-6.602224777153246e-20,-180.7122480413788,-1.4915713109076023e-10,23008.39921813445,-9825.707006399352,-116489.20200951306
-724866.6159671218,-2.1221543041368327e-12,3443.6728283955204,398241.90216459095,-574.351092687874,40759022.83587199,-9.903337165729869e-20,1920.189636119342,-63538689.85692785,20916.61219184775,16283796.716341425,-81588.63150156419
-201461.99231498755,-2.387423592153937e-12,6887.345656791013,691054.9133007497,-4076.309670259344,277751.8929006827,-1.3204449554306491e-19,621.4486939473479,1182.325352028436,18824.825165561047,-97839.25839509533,-148985.51821828092
-87652.24389079801,-2.652692880171041e-12,-177345.56103697556,312969.27256990696,1483.895555639982,-2683.706116906781,44532.672575992525,120.0629337597657,3435.1132811934413,16733.038139274347,-1370635.3800064158,-22223.58395272425
7625.623429374404,-2.917962168188145e-12,10471.128913270566,12207.64448961042,-2504.094938903382,-664749.1096530418,35633.46097828318,184.66021614009583,-145346.7570178409,14641.251112987648,113429.3134162346,-22706.80541861087
2297.9541652419666,-3.183231456205249e-12,19184.24099120302,0.0,-1669.396625935588,-8677.72283247623,26734.24938057385,1592.7574810536194,134.66535914441573,12549.464086700948,609833.3741610983,16380.182668237718
35203.98160069654,-2.891151964299545e-12,-34352.0644552466,81998.77001600081,-834.698312967794,0.0,17835.03778286451,985.054599951525,66499.59640978512,10457.677060414248,-86486.99642714897,115587.56979409338
-3180749.627475506,-2.5990724723938414e-12,-87888.36990169622,-25391.39308090195,0.0,-8262.567733896622,8935.826185155172,10800.77917174163,35355.23521517416,8365.890034127548,22501.720725613195,71588.46746098336
-340261.5278902793,-2.306992980488138e-12,-141424.67534814583,-319980.721210109,-519.368103490697,668401.2345795966,36.614587445833216,2192.3426129878585,4210.874020563193,6274.103007840844,-867933.4011113402,85684.7600875676
-268179.0881287327,-2.014913488582434e-12,-194960.98079459544,-7.450580596923828e-09,-1038.736206981394,334132.4425686401,11.285808755369278,2965.5071136799347,9146.052998955647,4182.315981554144,-116263.90192648712,69331.53596579903
-246990.1005032788,-1.7228339966767305e-12,-248497.28624104508,389218.7535609096,-1558.104310472091,-136.34944231636308,-14.04296993509466,77.64558242802092,73008.81657251852,2090.528955267444,-926833.0710593468,15590.697479055829
-468190.71326316457,-1.4307545047710266e-12,-302033.5916874947,490736.4441547534,-126.75239557286804,-1.0459189070388676e-11,40.09502627446504,14050.811425073562,0.0096553169105047,-1.2580710192557063,-2032.023671366151,15366.558865548091
-104805.19753577048,-1.1386750128653233e-12,-355569.8971339443,-59291028.04321098,2.1227464230832998e-13,-911969.0157806682,-209.2698786418024,13159.558929619763,-1710.256451317015,2722.4182978334707,-358636.13923537283,-29001.07788674601
475685.3088939712,-8.465955209596192e-13,-320012.9074205499,31606486.22744973,-77.46955947018749,-503076.0642063416,-458.6347835580698,396084.1246559008,27563.33098332356,5446.094666686196,-482951.094906552,-18742.383713340856
-1153778.611656731,-5.545160290539153e-13,-284455.91770715546,0.0,-154.9391189403752,274271.836261354,7392.989286191107,7904.548243724165,32207.17505067904,4992.253444462342,-75926.42322315407,-12251.755338155248
555798.1432948846,-2.624365371482118e-13,-248898.92799376103,-4733396.952892739,-232.4086784105629,-3.725290298461914e-09,15244.613355940284,2428.7731840150104,-368278.4925850385,4538.412222238488,-5183240.802522358,316769.4097054242
-71380.2338497568,2.964295475749168e-14,-213341.9382803666,-19732851.49711238,5535.872390986187,2.1827872842550278e-10,2775.6492445882586,12623.411645962704,-4773.4097861383625,4084.571000014633,-670424.6219468251,169437.56525532732
-1404130.07894037,3.346940502524376e-10,-177784.94856697216,-7712936.37546836,2.0736479200422764e-10,1.4610653427856352e-10,47999.57954781926,6095.50370588068,205021.7428340408,3630.729777790778,-439363.66127805697,67200.995321998
-91641.18969590693,3.1694095301454103e-10,-142227.95885357773,10054167.564106625,9.640643838793039e-11,7.393434013162428e-11,2.7284841053187847e-12,7599.039633450428,964407.5177078072,3176.8885555669235,726478.8084362401,-163882.25506004048
-277213.4611672406,2.9918785577664446e-10,-106670.9691401833,-269472674.1311387,65531.84802793909,1.7621459846850485e-12,2.4556356947869062e-11,12311.99373393248,157094.69316080378,2723.047333343069,-78621.0129950172,-85148.4417176243
-111067.7774180566,2.8143475853874785e-10,-71113.97942678886,-2235594.845244028,97115.92223243568,657880.4704796629,-9464.773079359136,16173.679015536414,3694.447661816704,2269.2061111192143,3.2014213502407074e-10,-168157.75350750162
-425483.3618838544,2.636816613008513e-10,-35556.98971339443,-39984487.91448718,-677.8954051919557,-1578911.8649354377,0.0,11289.989796880876,4650.579263448636,1815.36488889536,-26019643.72681861,-273496.5318510826
-409967.4733531316,2.4592856406295477e-10,0.0,-4741409.001845014,4118.856089188777,-245829.2104267964,-1860.7705233278184,12838.155365613096,10300.152821592588,1361.5236666715057,3418515.4001129274,-293806.37087939243
-602942.2367616481,2.2817546682505816e-10,-1566.5347796235471,-1327040.6625998905,0.0,-637726.662741745,-1240.5136822186328,55363.73974903167,353344.9886715921,907.6824444476506,9712533.93344481,-258636.198537314
-564728.6761232222,2.104223695871616e-10,-1392.4753596653752,-229687.61846680308,272744.2573505199,1432.6995605336365,-620.2568411094474,628896.4364242979,14346.189837707372,453.8412222237957,-757013.2411532375,-113079.52890579354
-363612.7890283567,1.9266927234926503e-10,-1218.4159397072033,-10818791.621388396,-17.881060112137618,-1747832.9022705704,-2.6193447411060333e-10,329313.8206894559,1054.960365288238,-5.820766091346741e-11,12094.762934855236,-232869.69437551856
-1089776.5832458625,1.749161751113685e-10,-1044.3565197490316,-3517213.354569945,100.47483960012688,-417329.38593584736,-5634.336332893296,-3567.913786157066,-32880.127511584295,-2.9103830456733704e-11,-173473.6872817732,-178041.7477636284
-714709.8051389437,1.5716307787347188e-10,-870.2970997908595,-716533.2882269785,-85816.49486906834,-484714.3635427935,-11268.67266578633,200437.13048162937,-193684.39659212183,0.0,-1705555.9563210085,-238230.98261249813
180974.48314504256,1.3940998063557537e-10,-696.2376798326876,5724165.231794176,-26674.527202306483,-2860472.793901525,-9390.56055482194,116979.41355677982,-75671.05653594196,-2.9467628337442874e-11,-17912238.271940064,-35140.9102740823
