Energy_envelope_Clearance_factor,Energy_envelope_Clearance_factor.1,Energy_envelope_Clearance_factor.2,Energy_envelope_Clearance_factor.3,Energy_envelope_Clearance_factor.4,Energy_envelope_Clearance_factor.5,Energy_envelope_Clearance_factor.6,Energy_envelope_Clearance_factor.7,Energy_envelope_Clearance_factor.8,Energy_envelope_Clearance_factor.9,Energy_envelope_Clearance_factor.10,Energy_envelope_Clearance_factor
17.89989692691313,13.233021960452463,19.883606865276164,17.572595560680135,2.1565628952824625,7.1651288331584535,33.96580952717993,6.986439318665142,18.74087643112747,4.806584005155337,5.041975892191134,22.649659645004203
4.334656136773003,2.042510267284469,10.713011403408196,9.302014347509544,1.204725694262993,2.2640574662713884,4.797461630861101,3.526257759466294,2.68677277604679,1.067018342632548,3.4493007478979467,5.203567257108517
3.366388664818777,2.739552786957857,1.5424159415402297,8.225675374754827,1.2116650126041772,1.809179329908173,2.121697932250272,1.3107213389012589,1.5331793017440507,1.1659294258742336,1.0249781851565876,1.62860246770235
4.183579267767159,2.6795042635169466,1.3496013943648737,1.3860239560327554,1.2327317863798812,1.354301193544959,1.3511260258780833,18.33089710432654,2.2192141986995857,1.2648405091159194,1.077994333256428,8.273900609092466
4.94698664422387,2.6194557400760368,1.156786847189517,1.2035232577859123,1.1457401427218628,1.5326359742630975,1.3595707052223904,3.373022883407409,1.4303554782596135,1.3637515923576051,1.040361264254377,2.119183705341327
3.200493275164728,2.5594072166351265,1.1832301643152727,1.1225537951321447,1.2043135138686638,1.7109707549812363,1.3680153845666974,1.014628558731583,1.3963638940793943,1.1242199481934352,1.617832500926338,2.517934878325599
3.825500369234453,2.4993586931942167,1.3436945007537535,1.9024665705593613,1.2628868850154649,1.2000056756157538,1.3764600639110045,1.1019298004859726,1.7450191352293576,1.14799553688447,2.195303737598299,2.6114565450013827
3.4837476718025626,2.4393101697533064,1.504158837192235,1.307387914439428,1.321460256162266,5.887688916059547,1.48473537476988,1.853911254571278,2.02259537142418,1.1717711255755046,1.4134374246942032,2.205057257988723
4.499983534381214,2.379261646312396,1.664623173630716,2.806263016892804,1.1954820710318763,4.459247833996593,1.639736805419486,1.087817806833205,2.300171607619001,1.1955467142665392,4.70635347392105,2.731868999756023
3.273451292879053,2.3192131228714863,1.7779383475756665,2.019383238395851,1.069503885901487,3.030806751933639,1.794738236069092,1.0538296493178885,1.6392387857280537,1.2193223029575742,1.6154041333939293,2.7782370946358537
3.1543910786514866,2.259164599430576,1.5478119789255862,4.676563578493636,1.1140688584170853,43.86951933819485,1.949739666718698,1.1606084837712125,4.774432553703432,1.2430978916486088,7.771171875788194,3.8664175979201145
2.656130551997933,2.199116075989666,1.3176856102755057,1.684851411130594,1.0552295966525838,1.2476674877307048,2.1047410973683043,1.347711937523198,1.339724589102153,1.2668734803396435,1.3137391688283468,3.68673821820952
2.095718129948255,2.139067552548756,2.1733608288935096,1.553998536284552,1.0644322845755978,1.7673462093406462,4.051834499869909,1.1771303775265838,1.8230732095612647,1.2906490690306782,1.4620038885808249,4.309293377982539
1.134143220105486,2.079019029107846,1.8160432179214352,13.326046183828687,1.0771932801315178,1.1210518495317177,3.6795056731104143,1.1308076986869031,2.6488120806417577,1.314424657721713,1.919089543753269,7.215541269551291
1.2964973536078044,2.018970505666936,1.737178499197842,1.7980246160675613,1.0720156230518614,1.260508090818111,3.307176846350919,1.024052990594926,1.3329815744828968,1.3382002464127476,3.62512345187788,6.324902061921844
1.5339933603478355,1.952120940867216,1.8038973750578304,1.8760932836453976,1.066837965972205,1.1341694045750954,2.934848019591424,1.519236934498106,1.179313004592191,1.3619758351037825,14.923786377133649,5.099546526707678
1.0895983890928216,1.8852713760674964,1.8706162509178184,2.1375910110630554,1.0616603088925485,1.079791405323108,2.562519192831928,1.0259168255358644,1.1831717808027855,1.385751423794817,1.9224074338291608,4.73057683888089
1.1626310682267091,1.8184218112677768,1.937335126777807,3.779806248844272,1.0669572881270202,1.1460342278991558,2.190190366072433,1.0218069356445916,1.1870305570133806,1.409527012485852,6.789388526032642,3.779328488241701
1.5909491666099969,1.751572246468057,2.004054002637796,1.0068711721651764,1.072254267361492,1.1682656955600654,2.020322528682642,1.0346613809954253,1.388783150234099,1.4333026011768866,58.2749756157215,4.275593588449875
1.4823387310100191,1.6847226816683372,2.0707728784977832,4.2669176681056165,1.0775512465959636,1.1904971632209749,1.8504546912928508,1.0315940112772817,1.2791927822033338,1.4570781898679213,1.8748278495720527,19.41530946881777
1.119682781483291,1.6178731168686171,2.137491754357772,1.9723826482896425,1.1396250873111242,1.0392833790295777,4.908732017428164,1.0429771347090295,1.2612820294505802,1.480853778558956,1.8583820691170203,10.47339239566184
1.096893795131408,1.5510235520688975,2.20421063021776,1.9443668851109035,1.0959296431901109,1.043108161070486,3.397922745378715,1.133891137324814,2.826217191884705,1.5303397166462736,1.704579837789344,3.4759940391787607
1.1366996155183569,1.4841739872691782,2.242438865606211,5.5925171464093895,1.1581812088232224,1.1536730497057912,1.8871134733292656,1.059760532154408,1.754872516143256,1.5798256547335912,3.5550765477794424,3.3494199925050143
1.082018331817794,1.4173244224694583,2.280667100994662,1.6657695020485326,1.2204327744563337,1.4165462982487809,3.987583653792052,1.0630589514479514,1.466935041850317,1.5364853165729346,2.560730819161442,4.456240587603396
2.248615982262709,1.3504748576697383,2.318895336383113,3.966109389475839,1.2826843400894452,1.2013474276515836,6.088053834254837,1.0219731905418012,2.837613578056441,1.4931449784122783,3.162792564679874,3.4699156179908286
2.2030256751646786,1.283625292870019,2.357123571771564,3.28920131947732,1.32634211393115,1.1890092249999271,2.169583421364789,1.1456742229418166,1.7191068339908238,1.4498046402516218,2.8172768922224574,3.979111160194632
1.048355366920724,1.24721168222692,2.395351807160015,3.771877326099743,1.2023318273259618,1.395367899686754,1.6067911195282594,12.29347542965279,1.4920855357906169,1.4064643020909655,4.903442811552317,5.4456343010532215
