Duration_envelope_Impulse_factor,Duration_envelope_Impulse_factor.1,Duration_envelope_Impulse_factor.2,Duration_envelope_Impulse_factor.3,Duration_envelope_Impulse_factor.4,Duration_envelope_Impulse_factor.5,Duration_envelope_Impulse_factor.6,Duration_envelope_Impulse_factor.7,Duration_envelope_Impulse_factor.8,Duration_envelope_Impulse_factor.9,Duration_envelope_Impulse_factor.10,Duration_envelope_Impulse_factor
8.619460303041418,3.568805202094908,4.627102562501969,6.088004081386856,6.051261829017682,3.696743449041801,17.073584077481915,6.833243679076483,1.8993836095259649,1.968779911513166,1.869169660382085,20.81113642455366
3.164105706296966,1.483223960839283,3.143331860481853,2.522769359921988,1.1889321308361815,1.4425379583167908,2.2410953261922963,2.157911893379158,1.2402089858974883,1.0737716821704115,1.8247648763594888,2.651155645809806
2.2377445873760875,1.4550133195217485,1.6595611584617374,4.366335837718464,1.1492046168897587,1.4486873660525037,1.5080892849678416,2.097633542638252,1.1923422798212944,1.231373572031041,1.0852829985787735,1.7380727140688554
3.37568916294109,1.4479918351444974,1.3720140553994056,1.2789696172557434,1.291241373230171,1.4548367737882162,1.4379998532199691,5.475114410635667,1.1597059597113677,1.3889754618916703,1.0074129632904063,3.770905623193444
2.337080898265967,1.440970350767246,1.0844669523370736,1.7091483876991589,1.4454182442885588,1.293589992771195,1.406547626649708,1.8676367669682847,1.1602985804373525,1.5465773517523,1.1730333127432293,1.9087888581392136
1.7664856417169956,1.4339488663899949,1.2346889546363728,1.1844208402542329,1.501479603769286,1.1323432117541732,1.375095400079447,1.153053175104168,1.329640101024701,1.1797494885675786,1.58688089360627,1.9590355597033584
1.9406762512066504,1.4269273820127435,1.212229858333985,2.063594277870375,1.5575409632500137,1.3475892444074145,1.343643173509186,1.2185429471613871,1.3010013638577904,1.182582739315249,2.0007284744693106,1.806011392460951
2.958096384695239,1.4199058976354924,1.1897707620315974,1.6701643111571671,1.613602322730741,1.6674460395488726,1.1247022819116204,2.2217449810001244,1.206294179643124,1.1854159900629195,1.0530193992429473,1.8023113189108848
2.001918832742582,1.412884413258241,1.1673116657292095,2.014992523593754,1.3614705199502826,1.4892579068885154,1.2462891541164018,1.3505120547485243,1.111586995428458,1.18824924081059,2.0682192342354826,1.9374007737878849
2.060482632033668,1.4058629288809898,1.3480765126362384,1.4836560602612603,1.109338717169824,1.3110697742281583,1.3678760263211835,1.6533737574733975,1.1203032627721976,1.1910824915582603,1.615690413717987,2.054739352996008
