Duration_envelope_Max_Min_difference,Duration_envelope_Max_Min_difference.1,Duration_envelope_Max_Min_difference.2,Duration_envelope_Max_Min_difference.3,Duration_envelope_Max_Min_difference.4,Duration_envelope_Max_Min_difference.5,Duration_envelope_Max_Min_difference.6,Duration_envelope_Max_Min_difference.7,Duration_envelope_Max_Min_difference.8,Duration_envelope_Max_Min_difference.9,Duration_envelope_Max_Min_difference.10,Duration_envelope_Max_Min_difference
3566.267389451124,1442.5538154938547,3427.592028183885,2851.843741031221,2548.456833082922,2019.0049501900407,12901.007742915825,3173.745827857262,1221.4838225689089,915.9653830253756,941.4069826028532,9995.5837115013
1033.3302826964134,573.360204709449,1944.2891803972807,849.5339485820876,146.0148084844315,696.4898847224058,747.1776380389347,880.7429010457687,277.9731535227229,117.9596903641015,830.3521125328962,806.4185590519518
1001.4534328527466,403.7101029266295,460.9863326106774,1837.4781924620163,148.43927377773218,814.5199721041993,424.2774452780377,688.7211488059307,308.11991991476003,208.11700841235955,141.0776998249862,567.2164081520363
1726.2964273986188,383.04876950953616,275.71056854039216,324.8611884798865,349.0472066843206,932.5500594859926,517.490433334091,2380.531590471848,230.9050239430581,298.27432646061754,9.604470375235678,1662.8390271281703
1248.6370337306514,362.3874360924429,90.434804470107,573.1835767811306,395.3359933539784,555.6689336402005,444.8796828854306,639.3460133920328,171.84726850172729,388.4316445088756,227.98752269940653,1202.7159409933354
896.3185581146478,341.7261026753495,202.9295899080775,130.38184463270744,521.2778151637449,178.78780779440854,372.2689324367702,311.096318810526,462.63386145867713,354.9671747301492,908.5594322342844,1313.222607231775
916.8035755098462,321.0647692582562,221.6275643393959,695.3409791465608,647.2196369735115,231.33084018971368,299.65818198810985,111.39804710474112,409.94004490529153,344.25873899610133,1589.131341769162,1208.949492799934
1394.6043037295226,300.4034358411629,240.3255387707143,541.9095458512402,773.161458783278,803.8423592891388,90.588524763451,856.0331430749918,271.4632832846897,333.55030326205343,42.13348241915304,1175.3010489229457
1021.9368228746526,279.7421024240696,259.0235132020327,805.1874961798388,426.3703044346606,591.2717819727153,189.6702746951558,258.53770547877144,132.98652166408783,322.84186752800554,731.6755725264563,1213.1692423266916
1116.5281589281308,259.0807690069763,297.1302561927429,754.9692628175217,79.57915008604328,378.7012046562918,288.7520246268606,278.77946490038664,74.75138258415899,312.13343179395764,562.9962579138303,1224.258449095323
731.300570610934,238.41943558988297,227.3872364836421,1077.1967631855034,81.43373431396537,1154.0991579001748,387.83377455856544,464.61964628414256,1760.5324251900415,301.42499605990974,655.6641205104361,1257.310456162544
1110.006692974771,217.75810217278965,157.64421677454135,614.3173309935171,524.5515168429126,588.002965807215,486.91552449027023,431.2559034345359,237.9974706884442,290.71656032586185,584.2674112091798,1631.4639545651855
763.1103761405988,197.0967687556964,86.63627386371184,331.8093515471431,37.17473576699945,1005.4290648729054,1363.2344112096575,375.4389822498543,667.1561936295898,280.00812459181395,579.0949121672893,1429.9764798678375
444.01216241307895,176.435435338603,50.271111833676,1123.4269290119382,112.09061765171592,700.8043858519154,1191.7464120297425,514.4669968540636,684.4088627523403,269.29968885776606,547.4960155449176,1553.6658418158047
401.8459392665564,155.7741019215097,216.735785676416,237.49064300052805,95.28278661621776,336.179189074412,1020.258412849827,335.2804246698955,414.7109722056272,258.59125312371816,486.5854335536825,1200.7578060911435
445.5861286916,154.22662119711163,200.2668877267272,782.9610988128256,78.47495558071961,113.49931240709122,848.7704136699117,733.2226035128964,349.8516595972517,247.8828173896703,686.8092008984698,1563.6069835818034
599.0034500974336,152.6791404727136,183.7979897770384,963.3266008582189,61.66712454522144,489.238038642241,677.2824144899964,385.9878321813309,380.41637344921423,237.1743816556224,685.422133339039,1529.8280422112364
333.25856167137346,151.13165974831557,167.32909182734963,1141.3189909698206,51.39911547783864,656.9144378421353,505.7944153100811,450.9360987543071,410.9810873011768,226.4659459215745,610.0324094218587,1521.1118188711753
491.38749659904255,149.58417902391753,150.86019387766083,167.21795062257138,41.13110641045584,534.541260482634,447.38028000721215,400.4029027865625,399.4004410234654,215.7575101875266,1120.7533217861535,1515.5061809154197
708.3878944506674,148.0366982995195,134.39129592797207,558.6438288057084,30.86309734307304,412.1680831231328,388.9661447043432,485.5975571718334,491.1329720266604,205.0490744534787,513.7269567954472,1559.3799040481488
405.3046557687879,146.48921757512147,117.92239797828329,652.6005961719208,100.69706976291155,219.62653050023016,557.3756930341636,317.16303781833915,313.88412654094924,194.3406387194308,188.5077687693468,1652.892514656955
576.8952679594441,144.94173685072343,101.4535000285945,946.2526362331248,59.85588843802629,123.02337290184228,492.6120727964319,488.6551540164448,737.971123151515,369.6475582669475,280.07807120621675,1520.7402238805334
380.0586307082504,143.3942561263254,123.79182274958836,1530.0658933170416,104.38430416987924,392.8312857150351,427.8484525587001,437.7301416683511,622.7158009603127,544.9544778144641,627.2228654285102,1262.116192754442
