Amplitude_envelope_Mean,Amplitude_envelope_Mean.1,Amplitude_envelope_Mean.2,Amplitude_envelope_Mean.3,Amplitude_envelope_Mean.4,Amplitude_envelope_Mean.5,Amplitude_envelope_Mean.6,Amplitude_envelope_Mean.7,Amplitude_envelope_Mean.8,Amplitude_envelope_Mean.9,Amplitude_envelope_Mean.10,Amplitude_envelope_Mean
79.21264676398776,74.4227562207978,77.0411874577912,77.15499068335862,75.57185329520497,79.56615899385191,79.40545575460163,76.76081334884195,78.11533437796405,81.39382578056552,89.87273521809838,76.08341918477548
80.21744555625013,88.34314015058311,74.07205987034992,80.26633488398596,78.99685821650283,88.14689969273827,80.01326178854009,76.61705253820917,74.37851783757641,83.82348590712017,87.19890016167727,77.2540155670706
87.75972853155274,75.29235766734766,71.10293228290864,76.61848813812772,83.957138699736,86.45944437340242,84.18428863081915,78.70201069667071,82.17943074784962,82.27104713649412,93.22460373422354,87.48519030727118
88.84303651318595,75.63787260651364,76.7178682955155,84.35614942056436,87.63930899992113,84.77198905406658,86.89443164456316,80.10497835283162,73.64286915536651,80.71860836586805,84.72906586895479,87.18163715287133
91.59591330575782,75.98338754567962,82.33280430812238,79.50708121965064,81.41547849416037,80.59988605085618,85.51709151042743,79.93185515785649,71.92250818062091,79.166169595242,88.81478555278083,92.98570673450006
92.20725891039444,76.3289024848456,80.39657206494684,82.83358802197537,81.84159944250469,76.4277830476458,84.13975137629173,80.39628156698389,75.741096969318,83.569434482951,86.375084204406,93.81918605496136
89.85634788088852,76.67441742401158,78.91421632331092,79.23960904132292,82.26772039084901,73.29599075723344,82.762411242156,75.78154659935554,76.72435015314426,83.3276658451236,83.93538285603115,93.7610551746014
87.19115668495651,77.01993236317756,77.43186058167501,79.6522704280504,82.69384133919333,81.62678983038208,80.5530833266007,76.56052235624395,75.79107092583284,83.0858972072962,75.08472477384841,92.46161527195308
87.48305397905902,77.36544730234354,75.9495048400391,80.47134211338691,81.847592981589,80.07945901893467,78.96738629244645,77.51292469758121,74.85779169852142,82.84412856946881,80.46397826837453,90.81676679799848
89.63648443557484,77.71096224150952,70.86319806884865,85.55902056535096,81.00134462398466,78.53212820748725,77.3816892582922,72.99660027925019,67.5522149526206,82.6023599316414,77.28135623568497,90.80250612043814
84.4475171349701,78.0564771806755,74.64181551826451,81.01753292127552,77.33725668006866,76.18601354024838,75.79599222413795,73.74710991392945,83.04139522982535,82.36059129381401,76.01016986243619,91.64184132587636
90.68999053207116,78.40199211984148,78.42043296768036,77.79618507859261,75.76278639321711,76.46119165202447,74.2102951899837,74.80859768298266,79.87743286724711,82.11882265598662,74.4899048446473,91.59023049169286
81.80991767169094,78.74750705900746,68.6901366808844,69.8978624748833,75.59182132028243,77.89003097965248,81.96776661635397,73.63857182156366,88.30646442402895,81.87705401815921,74.6597815742174,90.75782643339596
76.070545367306,79.09302199817344,69.369028493937,90.21908796894442,75.67885565530888,77.7784156882424,82.93307763555468,73.12255577772264,79.24526695322483,81.63528538033182,77.86330174177185,90.95749643957096
74.43448497360703,79.43853693733942,70.07666175477006,89.6930700247572,75.55636686940484,77.32912290467334,83.8983886547554,73.63171966841018,79.25215954885158,81.39351674250442,78.91493242320713,87.45094294822555
73.89665311667363,79.42776476853119,70.6608678962987,78.6133369430151,75.43387808350079,84.12705264665638,84.8636996739561,73.89449158351005,77.599857616811,81.15174810467703,71.08447960551386,88.60692322450079
73.75783007419814,79.41699259972297,71.24507403782734,81.5943337118492,75.31138929759675,78.04823830472141,85.82901069315682,72.427128566571,79.02825185976354,80.90997946684963,75.70348376540538,87.94006798480817
