Energy_envelope_Standard_deviation,Energy_envelope_Standard_deviation.1,Energy_envelope_Standard_deviation.2,Energy_envelope_Standard_deviation.3,Energy_envelope_Standard_deviation.4,Energy_envelope_Standard_deviation.5,Energy_envelope_Standard_deviation.6,Energy_envelope_Standard_deviation.7,Energy_envelope_Standard_deviation.8,Energy_envelope_Standard_deviation.9,Energy_envelope_Standard_deviation.10,Energy_envelope_Standard_deviation
99759.18195734924,793889.8213172045,18012030.752909023,272478.0822098303,2879907.9118327983,1639204.565775223,304941.09180328075,1618952.2086837003,41288.48328705859,17985439.9896019,678127.1594913221,1175378.0623528832
82672.66533561386,777483.1870079364,5072915.20569228,664731.4259283335,2562066.80645543,2222249.41734804,714124.1093339366,3832852.202809904,47395.56330082592,26462903.08379247,111511.11061618704,1237835.4153137535
480389.8713363865,761076.5526986681,4163100.3735305103,668152.4164298526,2158935.3200890752,932740.3888319288,1123307.1268645923,2082653.8686300907,69834.08202772134,34940366.177983046,47362.1027435022,1077336.453768079
202847.20957950864,744669.9183894,3253285.5413687406,296999.97641800245,1630625.2080015347,181471.8856966844,1141362.087828557,4584385.864314669,56190.35950043865,23423717.990582194,495109.6472932368,1116090.660662296
107594.25293710933,728263.2840801317,2343470.709206971,4840664.431886114,6681106.017825154,141012.45528844834,6228746.579146419,7291549.677371208,66717.50772916463,3302447.279168841,256717.84013357607,1191825.8315365748
249052.70068819053,711856.6497708636,1783375.629992099,1581360.9912414085,1201027.348590524,253257.7750584996,1231364.390894779,5053100.124696338,30824.69818813203,2343529.007558807,1090779.479007947,1017706.2202408818
35371.26662325404,695450.0154615954,1686892.393486926,2186363.827917252,1383801.2479936946,1050994.8322069102,1757999.5286018597,2459198.936866375,38081.67716869779,1384610.7359487724,4608775.073439508,1185841.0849928465
40558.25471607532,679043.3811523272,1590409.1569817532,448436.693661502,1372001.8386228243,6230380.526158942,2284634.66630894,648555.9804436268,18033.0504759271,1365972.8237026013,730381.2580292271,1083679.441805116
39689.47283544568,662636.746843059,1493925.92047658,112317.86934968934,1588362.2739742324,18398506.205877896,2748934.310468203,498548.3833387641,31411.60477244605,1347334.9114564303,3467286.5680856407,1181373.2088649103
56202.39970211506,646230.1125337908,1397442.6839714071,88747.7752581281,1712295.2599934863,595925.0090991472,3213233.954627466,1431831.6428317006,26334.639416892067,221722.782509544,1771837.388900922,1116629.6158716795
68203.4832497365,629823.4782245226,1300959.4474662342,111835.1974891626,1585519.197144579,447839.1796502798,3677533.598786729,132130.6108480137,23944.63758456871,638286.2240046223,9690429.775842903,1289963.2635674165
39963.05451959014,613416.8439152543,1204476.2109610613,147950.9972230414,1470470.135063278,400139.65402533975,2798773.453593149,90559.11667721158,23106.527154990486,1639772.4608909478,1652830.4871058697,1382992.8589724386
40217.30829127056,597010.2096059861,1167913.7827252054,321895.93217893224,1341145.348055049,808624.1643901971,1920013.3083995683,125575.34410437407,23146.25370046304,2641258.6977772736,1201242.556705912,1397002.3233538866
62407.32836225938,580603.5752967179,1115796.0844679342,114436.1753489342,1767753.865310378,1137703.1225821238,1041253.1632059882,191029.61589790872,15764.588350769189,6898350.4676777255,495148.38678355,1400629.594566544
64982.72370418167,569394.2320633787,1063678.386210663,77576.1961083223,1564793.5420478347,718372.1572926687,162493.01801240817,376420.19352693553,17395.31046000029,11155442.237578176,449416.5100792652,1215441.4285542227
46527.32066489062,558184.8888300394,1011560.6879533916,1424924.8751036825,1990046.240689821,1215830.9613260406,189629.2433661961,196025.49884365004,399154.80109878455,3122322.545980379,31654.504040602595,1213457.7998187975
55430.15211792469,546975.5455967002,959442.9896961204,1205222.8406215422,2708481.7247928414,896935.4884616022,216765.46871998408,228878.7768694069,22993.99053172489,2695597.1636986737,83589.4348125736,1206494.212649349
27088.93175057034,535766.202363361,907325.2914388492,1279277.0589643775,2511877.8730025315,276283.5841174156,243901.69407377203,260297.78891631428,10554.206312298093,2268871.7814169684,135524.3655845446,1358333.2242981838
23207.92417704965,524556.8591300218,855207.593181578,94101.00675161184,2592641.980306947,865169.9330969552,271037.91942756,186918.9918932016,126306.61677145188,1842146.399135264,224960.7978304724,1312784.1646249976
23387.851393696983,513347.5158966825,803089.8949243068,253703.28303237504,2130076.228818328,10418432.836171668,298174.14478134795,210859.23286447857,176192.20883995428,1415421.0168535584,266148.5084182692,1078744.1125503543
25954.755679864003,502138.17266334326,750972.1966670356,2390961.3510836205,1527425.4924975547,613158.0397614306,792701.1535705958,289323.41623773024,57462.29065711364,988695.6345718532,307336.21900606604,1015477.317664524
20712.99487971852,490928.829430004,698854.4984097643,4325628.439870529,1161557.4113667589,668861.783895175,1287228.1623598435,235581.70252498647,28416.197449556134,1102236.7583080009,348523.92959386285,1054559.0708191693
13479.23644558469,479719.4861966648,637137.0444407864,281339.23101497407,1115064.4346173871,3206021.373615467,1781755.171149091,185069.28243359664,40949.26107618764,1215777.8820441486,424732.954667958,1054000.8525785827
32363.535839650813,468510.1429633256,575419.5904718086,1158969.619214096,896215.0267041698,692232.9418676983,2276282.179938339,165009.86763080946,20979.17698569826,1329319.0057802964,500941.97974205314,1023443.9162984336
41305.41810139114,457300.7997299864,513702.1365028307,,932358.011861516,557856.9198460678,2770809.188727587,175466.59217302123,133203.3825375336,1442860.1295164442,577151.0048161483,910678.2891618544
27021.714503819847,446091.4564966471,441390.03550793655,,910914.0465425756,452172.5327361947,3265336.197516835,250162.91129769257,189382.33433372653,1556401.253252592,653360.0298902434,930740.6147320584
51651.443369395,434882.11326330784,369077.93451304233,,1005341.8404063948,295113.9333779676,2348759.278739073,267605.89194539364,488065.3923097473,1669942.3769887397,509392.3396840348,829058.4108169287
78911.0229866217,423672.7700299686,296765.83351814817,,2028572.475483168,362356.9789004871,1432182.359961311,203031.81163188783,446590.7438809148,1783483.5007248877,365424.6494778262,889413.5189583485
52641.14568440061,412463.4267966293,216885.96111004456,,867665.263302318,316754.678224394,2044497.5051973744,217670.8469291,510946.7335352054,1897024.6244610352,140596.5041748872,902244.543999648
248913.86507828315,401254.0835632901,137006.08870194093,,687903.7755324043,248914.22429298505,2656812.650433438,332349.3155217572,674592.8696971944,2010565.748197183,27688.8066305386,866282.569141705
108649.7539525506,390044.7403299509,57126.21629383729,,634395.7019704692,264997.20903248125,3269127.7956695016,313004.82899153617,489448.4152415694,2124106.871933331,150917.05261918783,818224.7839810028
66182.4359537602,378835.3970966117,304326.8385742931,,754883.8035066936,1062048.9243402174,819837.4769190634,366491.7051359345,471023.99590751337,2237647.9956694786,445857.5986298268,747234.051161142
28526.84908053933,367626.0538632724,342145.25536974205,,691161.0108576107,331826.2514450809,118277.12280698892,251345.73646713217,406527.9129458054,2351189.1194056263,670308.0108153163,807140.4108670545
43296.54577197553,356416.7106299332,379963.67216519103,,671196.768529024,698622.4761104259,139775.10835162166,603744.2501897234,557841.9057551697,2464730.243141774,536502.2584603314,4182264.394148167
30807.99620051044,345207.3673965939,417782.08896064,,713785.1089253167,553571.0430670932,143230.58078665088,234688.7351856737,366251.8009163305,2578271.366877922,422538.768271092,759235.7215615629
78217.06707229986,333998.0241632547,455600.50575608894,,2273169.081343673,281951.29730121687,146686.05322168014,365703.7706004071,199499.0226008988,2691812.4906140696,637741.7380334522,687864.0591406522
24629.6694235179,322788.68092991546,493418.92255153786,,716058.8837274646,137600.5830590223,150141.52565670936,362668.3990441156,433960.9273556333,2805353.6143502174,1187291.9009898084,856371.2444184198
14640.02942589412,311579.33769657626,531237.3393469868,,630072.0134754705,120410.22467013694,153596.99809173858,344761.1633640435,78866.1317416229,157575.67720013927,40352953.11150305,852423.9037925942
8441.981094012086,300369.994463237,866687.9968970021,,691445.2887753627,3137520.402151561,157052.47052676784,210450.90723984485,89517.57785725071,2640687.504258489,45484320.53105306,823989.3093092177
8714.2097564853,289160.65122989775,8695681.171685824,,2033768.6597144287,615015.5234072702,160507.94296179706,116385.82633432109,94914.73503678189,5123799.33131684,6695054.386263034,798618.7590888126
7141.004670545514,277951.3079965585,1313363.2598885228,,634477.8041304498,80544.3545707031,163963.41539682628,118285.9956387637,64636.645842457525,7606911.15837519,1786012.054298862,798584.8708290325
7520.304769586743,266741.9647632193,1533550.169035498,,1287444.2775426053,151676.84932885328,167418.88783185554,126967.20723001644,33053.48782304105,10090022.98543354,950090.2954271708,742332.15263984
20338.83512004116,255532.62152988004,28388723.56239636,,1758174.9107150908,92757.76166832056,170874.36026688476,99718.2215591182,92471.89555040374,12573134.81249189,382796.8655187886,707046.5207212521
14503.523402147102,244323.2782965408,5746296.211208228,,1057461.6714453548,4032725.196393872,174329.832701914,119535.3608038162,48849.97108799686,15056246.63955024,369499.2323553933,753830.3894696297
21287.910463512515,233113.9350632016,7756630.957521608,,1177017.3821763664,3618001.580924244,177785.30513694324,237946.00307679223,37868.82352623811,17539358.46660859,247784.3783904986,708797.6490354663
86116.88007165436,221904.5918298624,6333079.96562938,,1255002.2834249467,121339.55230017612,181240.7775719725,246027.0338574013,13354.342826562432,20022470.29366694,163997.73723509512,725570.1324599516
17357.54316092608,210695.24859652307,4909528.973737152,,1139283.8405929804,687263.8357136411,184696.2500070017,232849.17897117755,11590.886430940594,22505582.12072529,248861.96603527924,734778.3004842901
8722.73404598567,199485.90536318388,3485977.9818449253,,1017263.1195943372,50271.595768473686,188151.7224420309,246741.12584285345,16030.19330144452,16888856.170153767,249555.6911270538,684791.9052910235
18355.203635298207,188276.56212984465,1810156.2883920623,,1371478.651951796,1599331.1352890967,191607.1948770602,322764.7296015996,21660.838014936093,11272130.219582245,260725.2271209361,746498.5112394199
39500.1612061092,177067.21889650536,1287797.7295176317,,1670748.354395105,272598.7271083669,195062.6673120894,278417.2138486904,84645.99215344452,29945635.882723376,294920.64662554424,682531.2376194459
21680.042228714097,165857.87566316617,765439.1706432012,,1133288.7663662883,132371.85151304695,198518.13974711864,303456.52899672376,106491.43713160722,48619141.54586451,327983.32954404096,702372.0826444845
17173.033381527766,154648.5324298269,511313.1793581678,,1277350.4070690912,294667.7970194125,201973.61218214783,268823.67074948055,138888.87294885272,67292647.20900564,288168.07832913275,717123.8071093516
20065.65707208871,143439.18919648766,453926.5901890922,,1469660.6679926564,3758906.7458117353,205429.0846171771,265420.90861768223,91070.7690125872,5321494.636765086,248352.8271142245,680984.7495146173
26843.88314479135,132229.8459631484,335842.71157806145,,2238641.7146327333,123028.37120645032,208884.5570522064,270302.93229139945,88349.81060934789,3139784.967364674,578684.0368421874,645385.9606189341
13055.61965412957,121020.5027298092,217758.8329670307,,2198126.285761897,144920.12310892882,212340.0294872356,212264.5606785456,119948.98910728763,3189067.660035651,472984.6079996085,624618.9517952058
17019.876077735305,109811.15949646996,99674.95435599991,,2484063.3996775867,231674.4959824656,215795.5019222648,235980.766934442,160513.82192717632,2765427.6120227613,869773.2918456863,649873.7041789611
13461.744775204486,98601.81626313068,705501.8597744688,,3580979.734520182,3690776.00977589,219250.97435729404,252843.0264480688,290857.7839637686,3227247.5451098103,67765.76537979883,643350.452841674
95506.119624431,87392.4730297915,1311328.7651929376,,2737144.697678566,214939.88010015347,222706.4467923233,354806.5807467671,34617.79774684661,2724637.3310887576,208402.50914962264,571861.6636304562
132916.86912372932,76183.12979645224,1917155.6706114064,,,241589.69776414736,226161.9192273525,3167041.957043952,145953.73162344442,2199273.68544191,137041.3949992573,609554.3047675827
137891.42256658827,92117.45756017792,2522982.576029876,,,207705.1144976099,1036513.3835547698,1060978.8880760006,269509.5733035595,1663989.7407360529,433335.3779772527,712915.1369932697
161677.0450025756,108051.7853239036,3128809.481448344,,,491177.6731589891,1846864.8478821872,568220.4771067527,3226.792386860237,1024081.0801000393,329208.9659601228,755698.2406328087
161267.41131896502,200018.34690827425,3734636.386866813,,,200112.2683272059,2657216.3122096043,738862.2100683711,10831.843969648748,848109.5879315335,369476.76158966,523255.8670810645
180702.4579529945,118.7727567719412,7807248.697604761,,,211673.2427524051,3467567.7765370216,898924.4404101676,18436.895552437258,850254.8043579969,1001902.8226395764,557382.1617409075
214516.716810435,48418.397185085225,6005555.686917871,,,213466.9737542981,4277919.240864439,844595.9687610818,94598.61758479232,832687.740255422,511200.2200814954,583066.8512605214
212138.93207920544,50466.54483449431,4203862.67623098,,,234594.85276862225,4150083.41149237,937137.5448870336,111018.92418157452,805245.0393271162,511303.2541877239,575065.7967331352
290675.29728282173,52514.69248390339,2402169.66554409,,,229720.92515526488,4022247.5821203017,915419.908150037,129954.83897228232,777802.3383988105,443369.9639953873,962890.1268633178
