Amplitude_envelope_Shape_factor,Amplitude_envelope_Shape_factor.1,Amplitude_envelope_Shape_factor.2,Amplitude_envelope_Shape_factor.3,Amplitude_envelope_Shape_factor.4,Amplitude_envelope_Shape_factor.5,Amplitude_envelope_Shape_factor.6,Amplitude_envelope_Shape_factor.7,Amplitude_envelope_Shape_factor.8,Amplitude_envelope_Shape_factor.9,Amplitude_envelope_Shape_factor.10,Amplitude_envelope_Shape_factor
1.007017234752706,1.0071911742932915,1.007179562735629,1.0078042650883443,1.0072410166211532,1.0063393418167128,1.0076136329668164,1.0046648859706069,1.0070822802202888,1.0084801705604975,1.004185995321314,1.0065448354388844
1.005618479408218,1.0093267446825889,1.0083910321059597,1.0084220737196534,1.0020677008366403,1.014266964134198,1.0070639098129766,1.0053088011520814,1.0030719509167618,1.00200888609094,1.0052495714698546,1.0052304326063306
1.00671089984367,1.0053028018758756,1.00960250147629,1.008336924933739,1.0042630910414636,1.0167781763768844,1.0030843047785647,1.0019469581699445,1.0016633416641547,1.0020716060444608,1.0005399673357456,1.0055822227067692
1.008278376824229,1.0050367156989322,1.008600651149219,1.0025286530634552,1.0029707511389463,1.0192893886195709,1.006304310108457,1.0007154454396414,1.0036599412214708,1.0021343259979816,1.0002940680869226,1.0024346376584443
1.004254873866565,1.0047706295219887,1.0075988008221477,1.0089554246449683,1.0056160488058583,1.0180935831805282,1.0048612310900629,1.0003371155029566,1.004704743210738,1.0021970459515024,1.000015880580101,1.0018748268618702
1.0038325747347967,1.0045045433450452,1.0001760209634718,1.0014076211616196,1.0066479934308716,1.0168977777414854,1.003418152071669,1.0001086510401913,1.0151951181007104,1.0018846848939686,1.002548892482766,1.0014728860656916
1.0043590105550455,1.0042384571681018,1.0023363936867922,1.0036044629397778,1.0076799380558847,1.000719365657866,1.0019750730532748,1.000551199014304,1.0071932118216114,1.0017791032543757,1.005081904385431,1.0007191917711964
1.0044885416983655,1.0039723709911583,1.0044967664101128,1.0070056961444869,1.008711882680898,1.0096400965629673,1.000193021508898,1.004336040785386,1.006441329283401,1.0016735216147827,1.0000597138863518,1.0005905325341455
1.003814521530344,1.003706284814215,1.0066571391334331,1.0071987967471483,1.0050429464928654,1.0058708003892716,1.0036491845423106,1.0022825388721508,1.0056894467451898,1.0015679399751898,1.0022675397531644,1.0008385242666544
1.0036725534951765,1.0034401986372716,1.0003089809789345,1.005179780090104,1.001374010304833,1.0021015042155756,1.007105347575723,1.0005155583055036,1.000000062938538,1.0014623583355968,1.0034903939785924,1.0009798350249266
