RMS_envelope_Impulse_factor,RMS_envelope_Impulse_factor.1,RMS_envelope_Impulse_factor.2,RMS_envelope_Impulse_factor.3,RMS_envelope_Impulse_factor.4,RMS_envelope_Impulse_factor.5,RMS_envelope_Impulse_factor.6,RMS_envelope_Impulse_factor.7,RMS_envelope_Impulse_factor.8,RMS_envelope_Impulse_factor.9,RMS_envelope_Impulse_factor.10,RMS_envelope_Impulse_factor
2.540360731590042,1.8040844429436789,2.9022055384434444,3.663959909776312,1.6515456098432215,2.0049929778792426,1.964938029213257,1.9563697376978688,2.0688606458798144,1.3936897088481128,1.5613493951807336,2.728708687286937
1.316414742055226,1.3937082468601711,2.0656864843211618,1.9073963714544333,1.0329989064561962,1.1416806077657575,1.120401094009754,1.1877829927909729,1.1024082926102938,1.0443381176080533,1.1389279765532323,2.1529406569933505
1.3003981260962016,1.061072491777071,1.229167430198879,1.6970872187050805,1.0346575084299,1.160725488869226,1.057062558064356,1.174990952733087,1.0185832105191257,1.031457211325562,1.030963978727956,1.3193015939655204
1.2221674322660985,1.0614559851111278,1.201018744665267,1.1211668454459731,1.0304249947488675,1.1797703699726945,1.0139438517639077,1.7492895284723136,1.006959276872779,1.018576305043071,1.0262612522018544,1.2869350237393231
1.2205260385897982,1.0618394784451843,1.1728700591316548,1.0557788340470484,1.065297982035575,1.131230028691426,1.0570032419988995,1.2875761152511738,1.0090238280783104,1.0056953987605797,1.0158121634793928,1.2086827346268574
1.3581912790351414,1.062222971779241,1.001219411927981,1.0741408629465,1.0500159578142925,1.082689687410158,1.100062632233892,1.1218137832703816,1.015120028122757,1.066579688613141,1.0525203673663177,1.2773450460265152
1.2553296189968255,1.0626064651132978,1.0378402574462076,1.093144784749646,1.0347339335930097,1.0503003851106527,1.143122022468884,1.1938290024072484,1.1012952037851975,1.0624765386477335,1.0892285712532424,1.3027336180955404
1.2659492238776533,1.0629899584473543,1.074461102964434,1.0946180129678464,1.0194519093717271,1.4571392012061115,1.122780486479779,1.197787977021885,1.1459295883669172,1.058373388682326,1.000851476661197,1.3665749857253608
1.182779253917638,1.063373451781411,1.1110819484826606,1.157599333891592,1.0110394429563476,1.3204234700981754,1.0922523921390177,1.1500970246136093,1.190563972948637,1.0542702387169185,1.4364168639923005,1.3018249340028816
1.193007308243693,1.0637569451154678,1.2283471017078504,1.2178017606567353,1.002626976540968,1.1837077389902395,1.0617242977982562,1.0889833183791533,1.0898893537710177,1.050167088751511,1.305350762832872,1.344661127248972
1.2273475964984042,1.0641404384495243,1.237301711647452,1.3104651069219773,1.0319422937260974,2.278039905745725,1.0311962034574946,1.2299292861824027,1.3928173292474595,1.0460639387861037,2.310477933908776,1.4093259005928211
1.220279053149404,1.064523931783581,1.2462563215870537,1.3440819922040517,1.0490854019454514,1.6829040977563603,1.000668109116733,1.2032372512075344,1.0952052950384563,1.041960788820696,1.228059095460279,1.3085457667498908
1.3677118834308235,1.0649074251176378,1.2241069922104193,1.1998967415667252,1.0665413606884078,1.2805938096003846,1.162825153935826,1.138393019703355,1.0882565741139878,1.0378576388552887,1.387586308614822,1.3616711412185083
1.2470750372880333,1.0652909184516943,1.3332540112045728,1.2062935514830426,1.057242510054947,1.6450072322583873,1.1397159893356743,1.212012404254902,1.227078977846738,1.033754488889881,1.651193277500242,1.386850242198116
1.2033205007905905,1.065674411785751,1.3924908923706392,1.080751379036711,1.0421754462339272,1.4325627697314978,1.116606824735523,1.2592005227353558,1.062693251222336,1.0296513389244737,1.805059549803512,1.5140949083090158
1.5311670519361875,1.0613172923321137,1.3787671188287132,1.2273579078872658,1.0271083824129073,1.0128134891882057,1.0934976601353714,1.3203282496153983,1.1801526648549336,1.0255481889590663,1.4062988037130502,1.5229781880497932
1.4113425671847128,1.056960172878476,1.365043345286787,1.1102887804521318,1.0120413185918875,1.1130481748309056,1.07038849553522,1.4609765029599946,1.179920149544225,1.021445038993659,1.6301068025115333,1.4468592947237786
1.2353207693235388,1.0526030534248387,1.351319571744861,1.2122896399072665,1.027897994601362,1.6073459441802809,1.0472793309350683,1.3467313999336967,1.1796876342335163,1.0173418890282513,1.3894904160506172,1.4871838610581718
1.4444484641332158,1.0482459339712011,1.3375957982029347,1.2824681709761374,1.0437546706108367,1.3582699038157793,1.0345628650757268,1.376293688331914,1.1090304125832515,1.013238739062844,1.4004956038167722,1.5115807604185272
1.4461561382606838,1.0438888145175638,1.3238720246610087,1.1800791193731952,1.0596113466203112,1.1091938634512777,1.021846399216385,1.3318417864885963,1.1767691501998858,1.0091355890974365,1.5603969044978383,1.4427081133879929
